=======================================================================================
ECMWF ERA5 (0.5x0.5 deg)
2m Dewpoint Temperature (deg C)
Values averaged across Specify Point (58.1006N; 291.536E)
---------------------------------------------------------------------------------------
This file was generated using Climate Reanalyzer (https://ClimateReanalyzer.org)
Climate Change Institute; University of Maine; USA (https://climatechange.umaine.edu)
=======================================================================================
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Ann,DJF,MAM,JJA,SON,Ann_D-N,Ann_NO,Ann_OS,NDJFM,MJJAS,ONDJFMA,AMJJASO,JFM,FMA,AMJ,MJJ,JAS,ASO,OND,NDJ
1940,-21.329,-28.950,-15.948,-10.818,-4.072,2.651,6.291,6.519,4.221,-4.590,-15.009,-28.044,-9.090,-999,-10.280,5.153,-5.126,-999,-999,-999,-999,3.122,-999,0.029,-22.076,-18.572,-4.080,1.623,5.677,2.050,-15.881,-999
1941,-29.411,-23.574,-20.160,-12.679,-3.407,2.717,7.156,4.003,-0.078,-5.753,-10.103,-25.061,-9.696,-27.010,-12.082,4.626,-5.311,-9.944,-10.353,-10.256,-23.240,2.078,-19.067,-1.149,-24.382,-18.804,-4.456,2.155,3.694,-0.609,-13.639,-24.155
1942,-31.237,-25.972,-16.169,-12.435,-4.830,1.347,7.890,5.995,0.938,-3.652,-11.975,-23.042,-9.429,-27.423,-11.145,5.077,-4.896,-9.597,-9.441,-9.616,-21.709,2.268,-18.104,-0.678,-24.459,-18.192,-5.306,1.469,4.941,1.094,-12.890,-22.134
1943,-25.493,-32.266,-24.218,-12.316,-4.086,2.186,8.214,7.219,3.244,-3.182,-11.958,-24.469,-9.760,-26.934,-13.540,5.873,-3.965,-9.642,-9.643,-9.682,-23.399,3.355,-18.995,0.183,-27.326,-22.933,-4.739,2.104,6.226,2.427,-13.203,-20.170
1944,-25.170,-27.620,-21.260,-9.765,-5.355,1.632,9.161,8.275,4.133,-5.739,-11.810,-22.417,-8.828,-25.753,-12.127,6.356,-4.472,-8.999,-9.011,-8.798,-22.096,3.569,-17.632,0.334,-24.684,-19.549,-4.496,1.813,7.190,2.223,-13.322,-20.532
1945,-30.175,-29.077,-20.088,-13.724,-3.428,1.619,6.592,5.931,0.598,-3.748,-11.767,-23.452,-10.060,-27.223,-12.413,4.714,-4.972,-9.974,-9.977,-10.143,-22.713,2.262,-19.004,-0.880,-26.447,-20.963,-5.178,1.594,4.374,0.927,-12.989,-21.467
1946,-35.957,-31.546,-19.813,-12.794,-4.525,1.030,6.771,7.249,5.120,-3.482,-11.746,-22.313,-10.167,-30.318,-12.377,5.017,-3.369,-10.262,-10.264,-10.286,-24.507,3.129,-19.868,-0.090,-29.105,-21.384,-5.430,1.092,6.380,2.962,-12.514,-23.725
1947,-27.831,-12.128,-16.563,-14.896,-5.024,3.441,6.453,4.944,0.961,-1.448,-8.697,-18.427,-7.435,-20.757,-12.161,4.946,-3.061,-7.758,-8.012,-8.182,-18.116,2.155,-15.566,-0.795,-18.841,-14.529,-5.493,1.624,4.120,1.486,-9.524,-20.630
1948,-29.896,-31.810,-26.705,-16.104,-4.586,2.862,8.251,6.448,4.269,-0.847,-8.989,-21.980,-9.924,-26.711,-15.799,5.854,-1.855,-9.628,-9.604,-9.654,-23.107,3.449,-19.013,0.042,-29.470,-24.873,-5.943,2.176,6.323,3.290,-10.605,-19.007
1949,-28.603,-33.383,-22.179,-14.154,-5.945,4.081,7.603,5.896,2.508,-3.908,-15.788,-22.029,-10.492,-27.988,-14.092,5.860,-5.729,-10.487,-9.921,-9.666,-23.027,2.829,-18.590,-0.560,-28.055,-23.238,-5.339,1.913,5.336,1.499,-13.908,-19.857
