=======================================================================================
ECMWF ERA5 (0.5x0.5 deg)
Total Precipitation (m)
Values averaged across Specify Point (58.1006N; 291.536E)
---------------------------------------------------------------------------------------
This file was generated using Climate Reanalyzer (https://ClimateReanalyzer.org)
Climate Change Institute; University of Maine; USA (https://climatechange.umaine.edu)
=======================================================================================
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Ann,DJF,MAM,JJA,SON,Ann_D-N,Ann_NO,Ann_OS,NDJFM,MJJAS,ONDJFMA,AMJJASO,JFM,FMA,AMJ,MJJ,JAS,ASO,OND,NDJ
1940,0.0197,0.0148,0.0531,0.0486,0.0184,0.0571,0.0924,0.1321,0.0486,0.0425,0.0157,0.0161,0.5592,-999,0.1201,0.2816,0.1068,-999,-999,-999,-999,0.3486,-999,0.4397,0.0876,0.1165,0.1241,0.1679,0.2731,0.2232,0.0744,-999
1941,0.0333,0.0313,0.0337,0.0131,0.0183,0.0477,0.0714,0.0623,0.1040,0.0545,0.0344,0.0257,0.5298,0.0808,0.0651,0.1814,0.1930,0.5203,0.5016,0.4896,0.1302,0.3038,0.1858,0.3714,0.0983,0.0782,0.0792,0.1375,0.2377,0.2208,0.1146,0.0652
1942,0.0213,0.0238,0.0332,0.0380,0.0369,0.0271,0.1133,0.1001,0.1199,0.0704,0.0875,0.0536,0.7252,0.0708,0.1081,0.2406,0.2778,0.6973,0.6442,0.6284,0.1384,0.3974,0.2310,0.5058,0.0783,0.0950,0.1020,0.1774,0.3334,0.2904,0.2115,0.0815
1943,0.0850,0.0133,0.0142,0.0349,0.0507,0.0367,0.0667,0.0983,0.0671,0.0351,0.0430,0.0406,0.5857,0.1519,0.0999,0.2018,0.1452,0.5987,0.6432,0.6785,0.2537,0.3196,0.3589,0.3896,0.1125,0.0625,0.1224,0.1542,0.2321,0.2005,0.1187,0.2261
1944,0.0221,0.0317,0.0421,0.0307,0.0548,0.0362,0.1349,0.0725,0.0739,0.0386,0.0294,0.0218,0.5887,0.0944,0.1276,0.2436,0.1418,0.6075,0.6211,0.6176,0.1795,0.3723,0.2454,0.4415,0.0960,0.1046,0.1216,0.2258,0.2813,0.1850,0.0897,0.1056
1945,0.0387,0.0098,0.0206,0.0568,0.0608,0.0510,0.0833,0.1335,0.0770,0.0572,0.0502,0.0414,0.6803,0.0703,0.1382,0.2678,0.1844,0.6606,0.6398,0.6212,0.1202,0.4057,0.2155,0.5196,0.0690,0.0871,0.1686,0.1951,0.2938,0.2677,0.1488,0.0898
1946,0.0223,0.0468,0.0302,0.0398,0.0825,0.0509,0.0752,0.0960,0.1143,0.0758,0.0370,0.0173,0.6879,0.1105,0.1525,0.2220,0.2271,0.7121,0.7253,0.7067,0.1909,0.4188,0.2879,0.5344,0.0993,0.1168,0.1731,0.2085,0.2854,0.2861,0.1301,0.1139
1947,0.0472,0.0210,0.0198,0.0447,0.0568,0.0755,0.0429,0.0999,0.0642,0.0601,0.0256,0.0440,0.6018,0.0855,0.1214,0.2183,0.1499,0.5751,0.5865,0.6022,0.1423,0.3393,0.2629,0.4442,0.0880,0.0855,0.1770,0.1752,0.2070,0.2242,0.1297,0.1015
1948,0.0109,0.0154,0.0124,0.0338,0.0585,0.0586,0.0525,0.0349,0.0371,0.0375,0.0474,0.0233,0.4223,0.0703,0.1047,0.1460,0.1220,0.4429,0.4211,0.4437,0.1082,0.2415,0.2022,0.3129,0.0387,0.0616,0.1509,0.1696,0.1245,0.1095,0.1082,0.0804
1949,0.0294,0.0108,0.0494,0.0131,0.0283,0.0841,0.0701,0.0577,0.0480,0.0713,0.0372,0.0325,0.5318,0.0635,0.0907,0.2118,0.1565,0.5225,0.5328,0.4990,0.1603,0.2880,0.2109,0.3725,0.0896,0.0733,0.1254,0.1824,0.1757,0.1770,0.1411,0.1001
