=======================================================================================
ECMWF ERA5 (0.5x0.5 deg)
2m Temperature (deg C)
Values averaged across Specify Point (58.1006N; 291.536E)
---------------------------------------------------------------------------------------
This file was generated using Climate Reanalyzer (https://ClimateReanalyzer.org)
Climate Change Institute; University of Maine; USA (https://climatechange.umaine.edu)
=======================================================================================
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Ann,DJF,MAM,JJA,SON,Ann_D-N,Ann_NO,Ann_OS,NDJFM,MJJAS,ONDJFMA,AMJJASO,JFM,FMA,AMJ,MJJ,JAS,ASO,OND,NDJ
1940,-18.622,-25.345,-13.274,-7.772,-1.253,5.948,10.023,10.270,7.362,-1.936,-12.328,-24.671,-5.967,-999,-7.433,8.747,-2.301,-999,-999,-999,-999,6.470,-999,3.235,-19.080,-15.464,-1.025,4.906,9.218,5.232,-12.979,-999
1941,-25.922,-20.072,-16.808,-8.545,-0.210,7.504,11.076,7.778,3.071,-3.806,-7.930,-21.542,-6.284,-23.555,-8.521,8.786,-2.888,-6.545,-6.911,-6.755,-19.960,5.844,-15.755,2.410,-20.934,-15.142,-0.417,6.123,7.308,2.348,-11.093,-20.974
1942,-27.307,-22.613,-12.844,-8.692,-1.269,5.374,11.858,8.902,4.588,-0.927,-9.596,-19.963,-6.041,-23.821,-7.602,8.712,-1.978,-6.172,-6.033,-6.273,-18.447,5.891,-14.962,2.834,-20.922,-14.716,-1.529,5.321,8.450,4.188,-10.162,-18.926
1943,-22.211,-28.614,-20.538,-8.620,-0.900,6.092,12.247,10.411,7.182,0.484,-9.100,-21.039,-6.217,-23.596,-10.019,9.583,-0.478,-6.127,-6.169,-6.286,-20.184,7.006,-15.781,3.842,-23.787,-19.257,-1.143,5.813,9.947,6.026,-9.885,-17.256
1944,-21.900,-23.983,-17.430,-6.802,-1.917,5.493,13.535,11.603,7.386,-2.748,-9.871,-19.700,-5.528,-22.307,-8.716,10.211,-1.744,-5.639,-5.575,-5.306,-18.690,7.220,-14.253,3.793,-21.104,-16.072,-1.075,5.704,10.841,5.413,-10.773,-17.346
1945,-26.687,-25.189,-16.576,-10.134,-0.540,5.974,10.754,9.637,4.668,-0.330,-9.314,-20.337,-6.506,-23.859,-9.083,8.788,-1.659,-6.453,-6.499,-6.701,-19.604,6.099,-15.843,2.861,-22.817,-17.299,-1.567,5.396,8.353,4.659,-9.994,-18.753
1946,-32.160,-27.551,-15.976,-9.248,-1.766,5.101,11.494,11.089,8.320,-0.597,-9.011,-19.466,-6.648,-26.683,-8.997,9.228,-0.429,-6.720,-6.745,-6.723,-21.068,6.848,-16.417,3.485,-25.229,-17.592,-1.971,4.943,10.301,6.271,-9.691,-20.604
1947,-24.281,-9.453,-13.224,-11.131,-1.904,6.972,11.464,8.748,4.911,0.953,-6.190,-15.883,-4.085,-17.733,-8.753,9.061,-0.108,-4.383,-4.618,-4.748,-15.087,6.038,-12.452,2.859,-15.652,-11.269,-2.021,5.511,8.375,4.871,-7.040,-17.586
1948,-26.432,-27.331,-22.266,-12.165,-1.907,6.844,11.549,10.287,7.445,2.573,-6.587,-19.273,-6.439,-23.216,-12.113,9.560,1.144,-6.156,-6.123,-6.258,-19.620,6.844,-15.616,3.518,-25.343,-20.587,-2.409,5.496,9.760,6.768,-7.762,-16.168
1949,-24.712,-29.355,-18.694,-10.892,-2.437,8.949,11.984,9.855,6.059,0.232,-13.480,-18.754,-6.770,-24.446,-10.675,10.263,-2.396,-6.814,-6.239,-6.044,-19.724,6.882,-15.277,3.393,-24.254,-19.647,-1.460,6.165,9.300,5.382,-10.667,-16.857
