=======================================================================================
ECMWF ERA5 (0.5x0.5 deg)
2m Dewpoint Temperature (deg C)
Values averaged across Specify Point (72.4195N; 282.555E)
---------------------------------------------------------------------------------------
This file was generated using Climate Reanalyzer (https://ClimateReanalyzer.org)
Climate Change Institute; University of Maine; USA (https://climatechange.umaine.edu)
=======================================================================================
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Ann,DJF,MAM,JJA,SON,Ann_D-N,Ann_NO,Ann_OS,NDJFM,MJJAS,ONDJFMA,AMJJASO,JFM,FMA,AMJ,MJJ,JAS,ASO,OND,NDJ
1940,-33.210,-33.590,-28.831,-20.478,-8.800,-1.207,-0.396,-1.255,-6.287,-17.601,-28.634,-33.560,-17.821,-999,-19.370,-0.953,-17.507,-999,-999,-999,-999,-3.589,-999,-8.004,-31.877,-27.633,-10.162,-3.468,-2.646,-8.381,-26.598,-999
1941,-33.796,-32.888,-33.959,-27.735,-13.870,-3.318,-0.147,-0.272,-8.900,-17.066,-29.179,-31.204,-19.361,-33.415,-25.188,-1.246,-18.382,-19.557,-19.512,-19.557,-32.567,-5.301,-29.739,-10.187,-33.548,-31.527,-14.974,-5.778,-3.106,-8.746,-25.816,-31.996
1942,-33.893,-35.029,-27.933,-23.755,-10.334,-2.220,-0.644,-1.238,-7.431,-16.351,-28.716,-32.540,-18.340,-33.375,-20.674,-1.367,-17.499,-18.229,-18.268,-18.327,-31.448,-4.373,-28.294,-8.853,-32.285,-28.906,-12.103,-4.399,-3.104,-8.340,-25.869,-31.425
1943,-34.757,-39.473,-34.128,-23.818,-12.053,-2.469,0.689,2.117,-6.809,-15.006,-25.173,-32.008,-18.574,-35.590,-23.333,0.112,-15.663,-18.618,-18.914,-19.026,-33.923,-3.705,-29.969,-8.193,-36.119,-32.473,-12.780,-4.611,-1.334,-6.566,-24.062,-32.004
1944,-32.112,-35.138,-32.909,-18.211,-12.672,-2.931,0.243,-0.288,-6.313,-15.797,-26.019,-32.271,-17.868,-33.086,-21.264,-0.992,-16.043,-17.846,-17.776,-17.710,-31.468,-4.392,-27.222,-7.995,-33.386,-28.752,-11.271,-5.120,-2.119,-7.466,-24.696,-29.764
1945,-30.154,-33.587,-26.506,-23.658,-11.424,-3.510,0.605,-0.577,-9.613,-18.107,-27.337,-32.466,-18.028,-32.004,-20.529,-1.161,-18.353,-18.011,-17.902,-17.709,-29.707,-4.904,-26.856,-9.469,-30.082,-27.917,-12.864,-4.776,-3.195,-9.432,-25.970,-29.481
1946,-35.393,-34.737,-27.471,-24.445,-7.197,-3.057,-1.998,0.266,-8.341,-17.986,-25.805,-30.106,-18.022,-34.199,-19.704,-1.597,-17.377,-18.219,-18.347,-18.357,-31.481,-4.066,-28.565,-8.965,-32.534,-28.884,-11.566,-4.084,-3.358,-8.687,-24.632,-31.732
1947,-32.364,-25.528,-26.624,-21.958,-11.010,-2.262,0.489,-0.915,-6.710,-14.683,-19.506,-30.724,-15.983,-29.333,-19.864,-0.896,-13.633,-15.932,-16.456,-16.732,-28.085,-4.082,-25.767,-8.150,-28.172,-24.703,-11.743,-4.261,-2.379,-7.436,-21.638,-29.425
1948,-33.160,-39.722,-36.789,-24.053,-12.002,-1.019,3.464,-0.501,-6.309,-15.239,-26.696,-37.628,-19.138,-34.535,-24.282,0.648,-16.081,-18.563,-17.963,-17.917,-31.980,-3.273,-28.377,-7.951,-36.557,-33.521,-12.358,-3.186,-1.115,-7.350,-26.521,-27.797
1949,-37.558,-39.822,-32.734,-25.409,-13.439,-1.839,1.971,-1.430,-8.929,-17.668,-26.647,-30.515,-19.502,-38.336,-23.861,-0.433,-17.748,-20.094,-20.098,-19.896,-34.888,-4.733,-30.727,-9.535,-36.705,-32.655,-13.562,-4.436,-2.796,-9.342,-24.943,-33.961
1950,-40.820,-37.032,-30.892,-27.886,-11.344,-2.518,1.596,-1.703,-8.733,-18.538,-26.632,-30.440,-19.578,-36.122,-23.374,-0.875,-17.968,-19.585,-19.586,-19.513,-33.181,-4.540,-30.209,-9.875,-36.248,-31.937,-13.916,-4.089,-2.946,-9.658,-25.204,-32.661
1951,-34.718,-40.519,-28.897,-22.637,-11.913,-2.026,0.394,-2.771,-6.021,-18.455,-28.021,-35.718,-19.275,-35.226,-21.149,-1.468,-17.499,-18.836,-18.720,-18.727,-32.241,-4.468,-28.912,-9.061,-34.712,-30.684,-12.192,-4.515,-2.799,-9.082,-27.398,-30.597
1952,-37.905,-35.635,-30.768,-21.568,-9.012,-1.520,-0.075,-0.183,-8.340,-19.955,-24.631,-29.455,-18.254,-36.419,-20.449,-0.593,-17.642,-18.776,-19.058,-18.933,-33.609,-3.826,-29.724,-8.665,-34.769,-29.324,-10.700,-3.536,-2.866,-9.493,-24.680,-33.881
1953,-34.592,-33.425,-34.331,-15.786,-10.802,-4.681,0.167,0.988,-7.450,-19.842,-32.052,-37.873,-19.140,-32.490,-20.306,-1.175,-19.781,-18.438,-17.820,-17.829,-31.287,-4.356,-27.453,-8.201,-34.116,-27.847,-10.423,-5.105,-2.098,-8.768,-29.922,-29.559
1954,-36.813,-36.560,-30.085,-21.555,-10.894,-5.288,2.042,0.683,-7.745,-19.934,-30.223,-34.835,-19.267,-37.082,-20.845,-0.854,-19.300,-19.520,-19.673,-19.665,-34.677,-4.240,-30.683,-8.956,-34.486,-29.400,-12.579,-4.713,-1.673,-8.998,-28.330,-35.579
1955,-34.568,-38.417,-33.507,-22.127,-12.332,-3.035,0.195,0.132,-9.540,-10.192,-27.138,-30.436,-18.414,-35.940,-22.655,-0.903,-15.623,-18.780,-19.037,-19.849,-34.310,-4.916,-30.516,-8.129,-35.497,-31.350,-12.498,-5.058,-3.071,-6.533,-22.589,-33.209
1956,-33.915,-33.442,-35.386,-20.443,-14.227,-3.437,1.842,0.147,-8.205,-19.423,-28.753,-33.594,-19.070,-32.598,-23.352,-0.482,-18.794,-18.807,-18.672,-17.903,-32.064,-4.776,-27.279,-9.107,-34.248,-29.757,-12.702,-5.274,-2.072,-9.160,-27.257,-30.497
