=======================================================================================
ECMWF ERA5 (0.5x0.5 deg)
Total Precipitation (m)
Values averaged across Specify Point (72.4195N; 282.555E)
---------------------------------------------------------------------------------------
This file was generated using Climate Reanalyzer (https://ClimateReanalyzer.org)
Climate Change Institute; University of Maine; USA (https://climatechange.umaine.edu)
=======================================================================================
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Ann,DJF,MAM,JJA,SON,Ann_D-N,Ann_NO,Ann_OS,NDJFM,MJJAS,ONDJFMA,AMJJASO,JFM,FMA,AMJ,MJJ,JAS,ASO,OND,NDJ
1940,0.0020,0.0027,0.0022,0.0088,0.0303,0.0342,0.0108,0.0413,0.0403,0.0270,0.0045,0.0011,0.2052,-999,0.0413,0.0863,0.0718,-999,-999,-999,-999,0.1570,-999,0.1928,0.0069,0.0137,0.0734,0.0754,0.0924,0.1086,0.0325,-999
1941,0.0089,0.0101,0.0085,0.0110,0.0143,0.0338,0.0292,0.0329,0.0220,0.0140,0.0161,0.0127,0.2134,0.0200,0.0338,0.0959,0.0521,0.2018,0.1901,0.2031,0.0330,0.1322,0.0710,0.1571,0.0275,0.0296,0.0591,0.0773,0.0841,0.0689,0.0427,0.0144
1942,0.0080,0.0085,0.0108,0.0106,0.0131,0.0439,0.0098,0.0290,0.0451,0.0328,0.0088,0.0063,0.2270,0.0292,0.0346,0.0828,0.0867,0.2333,0.2406,0.2218,0.0561,0.1411,0.0807,0.1845,0.0273,0.0300,0.0677,0.0669,0.0840,0.1069,0.0479,0.0368
1943,0.0039,0.0017,0.0035,0.0038,0.0229,0.0152,0.0362,0.0431,0.0285,0.0438,0.0181,0.0110,0.2317,0.0119,0.0302,0.0945,0.0904,0.2270,0.2177,0.2067,0.0243,0.1459,0.0608,0.1935,0.0091,0.0090,0.0419,0.0743,0.1078,0.1154,0.0730,0.0190
1944,0.0124,0.0047,0.0045,0.0081,0.0252,0.0073,0.0326,0.0452,0.0922,0.0283,0.0187,0.0085,0.2877,0.0281,0.0378,0.0851,0.1392,0.2902,0.2897,0.3052,0.0508,0.2025,0.1027,0.2389,0.0216,0.0174,0.0406,0.0651,0.1700,0.1657,0.0555,0.0416
1945,0.0185,0.0054,0.0141,0.0083,0.0228,0.0413,0.0166,0.0505,0.0179,0.0163,0.0135,0.0048,0.2299,0.0324,0.0452,0.1084,0.0477,0.2337,0.2388,0.2508,0.0652,0.1490,0.1018,0.1736,0.0380,0.0278,0.0723,0.0806,0.0850,0.0847,0.0346,0.0457
1946,0.0068,0.0099,0.0081,0.0073,0.0173,0.0132,0.0565,0.0350,0.0202,0.0203,0.0109,0.0021,0.2077,0.0215,0.0327,0.1047,0.0514,0.2104,0.2130,0.2090,0.0431,0.1423,0.0667,0.1699,0.0248,0.0254,0.0379,0.0871,0.1117,0.0755,0.0333,0.0251
1947,0.0044,0.0075,0.0022,0.0077,0.0093,0.0225,0.0527,0.0325,0.0740,0.0160,0.0208,0.0020,0.2517,0.0140,0.0193,0.1077,0.1108,0.2518,0.2420,0.2462,0.0272,0.1911,0.0552,0.2148,0.0141,0.0175,0.0396,0.0846,0.1592,0.1225,0.0387,0.0174
1948,0.0106,0.0009,0.0043,0.0159,0.0197,0.0368,0.1024,0.0662,0.0973,0.0500,0.0169,0.0054,0.4264,0.0135,0.0399,0.2054,0.1642,0.4230,0.4268,0.3929,0.0386,0.3224,0.0705,0.3882,0.0158,0.0211,0.0725,0.1589,0.2658,0.2134,0.0723,0.0334
1949,0.0057,0.0038,0.0205,0.0059,0.0076,0.0344,0.0742,0.0769,0.0610,0.0299,0.0133,0.0068,0.3402,0.0150,0.0341,0.1855,0.1042,0.3388,0.3424,0.3625,0.0525,0.2541,0.1083,0.2900,0.0301,0.0302,0.0480,0.1163,0.2121,0.1678,0.0501,0.0281
