=======================================================================================,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECMWF ERA5 (0.5x0.5 deg),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2m Temperature (deg C),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Values averaged across Specify Point (72.4195N, 282.555E),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
---------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
This file was generated using Climate Reanalyzer (https://ClimateReanalyzer.org),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Climate Change Institute, University of Maine, USA (https://climatechange.umaine.edu),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
=======================================================================================,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Ann,DJF,MAM,JJA,SON,Ann_D-N,Ann_NO,Ann_OS,NDJFM,MJJAS,ONDJFMA,AMJJASO,JFM,FMA,AMJ,MJJ,JAS,ASO,OND,NDJ
1940,-28.232,-27.888,-23.579,-16.858,-6.413,0.616,1.978,0.479,-5.027,-14.991,-25.287,-29.661,-14.572,-999,-15.617,1.025,-15.102,-999,-999,-999,-999,-1.673,-999,-5.745,-26.566,-22.775,-7.552,-1.273,-0.857,-6.513,-23.313,-999
1941,-30.372,-28.785,-30.386,-24.306,-11.125,-1.08,2.229,1.28,-7.226,-13.699,-25.008,-28.224,-16.392,-29.606,-21.939,0.809,-15.311,-16.512,-16.535,-16.643,-28.898,-3.184,-26.256,-7.704,-29.848,-27.826,-12.17,-3.325,-1.239,-6.548,-22.31,-28.44
1942,-30.259,-30.455,-23.188,-19.918,-6.982,-0.196,1.579,0.135,-5.925,-13.009,-24.01,-26.758,-14.916,-29.646,-16.696,0.506,-14.315,-15.038,-15.121,-15.178,-27.427,-2.278,-24.393,-6.331,-27.967,-24.52,-9.032,-1.866,-1.404,-6.267,-21.259,-27.83
1943,-29.523,-35.18,-30.307,-19.245,-8.797,0.064,3.72,3.981,-5.127,-13.204,-21.947,-28.289,-15.321,-30.487,-19.45,2.588,-13.426,-15.194,-15.365,-15.349,-29.156,-1.232,-25.433,-5.515,-31.67,-28.244,-9.326,-1.671,0.858,-4.783,-21.147,-26.764
1944,-28.154,-30.893,-28.413,-13.069,-9.897,-0.434,2.195,2.258,-5.101,-13.963,-22.421,-27.938,-14.653,-29.112,-17.126,1.339,-13.828,-14.682,-14.642,-14.579,-27.539,-2.196,-23.424,-5.43,-29.153,-24.125,-7.8,-2.712,-0.216,-5.602,-21.441,-26.13
1945,-24.75,-30.056,-23.089,-20.14,-8.035,-1.653,3.469,1.788,-8.074,-15.611,-24.113,-28.663,-14.911,-27.581,-17.088,1.201,-15.933,-14.85,-14.709,-14.572,-25.651,-2.501,-23.194,-6.894,-25.965,-24.428,-9.942,-2.073,-0.939,-7.299,-22.796,-25.036
1946,-31.901,-30.914,-23.309,-20.996,-4.758,1.402,2.631,2.294,-6.341,-16.003,-22.452,-25.851,-14.683,-30.493,-16.354,2.109,-14.932,-14.917,-15.056,-15.023,-27.78,-0.954,-25.072,-5.967,-28.708,-25.073,-8.117,-0.242,-0.472,-6.683,-21.435,-28.226
1947,-27.943,-18.568,-20.943,-18.383,-7.978,1.192,3.828,1.789,-5.139,-11.695,-16.508,-24.356,-12.059,-24.121,-15.768,2.27,-11.114,-12.183,-12.679,-13.038,-23.151,-1.262,-21.449,-5.198,-22.484,-19.298,-8.39,-0.986,0.159,-5.015,-17.52,-25.415
1948,-29.746,-35.857,-32.766,-20.032,-9.221,1.712,6.176,1.97,-4.608,-13.347,-22.76,-32.955,-15.953,-29.986,-20.673,3.286,-13.572,-15.236,-14.715,-14.578,-27.847,-0.794,-24.423,-5.336,-32.79,-29.552,-9.181,-0.444,1.179,-5.328,-23.021,-23.537
1949,-33.931,-36.534,-29.368,-22.046,-9.513,0.164,3.75,1.082,-7.505,-14.147,-23.591,-27.199,-16.57,-34.473,-20.309,1.665,-15.081,-17.05,-16.98,-16.914,-31.11,-2.405,-27.277,-6.888,-33.278,-29.316,-10.465,-1.867,-0.891,-6.857,-21.646,-29.882
