=======================================================================================
ECMWF ERA5 (0.5x0.5 deg)
2m Dewpoint Temperature (deg C)
Values averaged across Specify Point (66.56N; 209.21E)
---------------------------------------------------------------------------------------
This file was generated using Climate Reanalyzer (https://ClimateReanalyzer.org)
Climate Change Institute; University of Maine; USA (https://climatechange.umaine.edu)
=======================================================================================
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Ann,DJF,MAM,JJA,SON,Ann_D-N,Ann_NO,Ann_OS,NDJFM,MJJAS,ONDJFMA,AMJJASO,JFM,FMA,AMJ,MJJ,JAS,ASO,OND,NDJ
1940,-23.745,-22.579,-19.634,-4.652,0.590,7.856,9.324,5.831,1.110,-7.408,-20.050,-24.878,-8.186,-999,-7.899,7.670,-8.783,-999,-999,-999,-999,4.942,-999,1.807,-21.986,-15.622,1.265,5.923,5.422,-0.156,-17.445,-999
1941,-29.427,-18.863,-21.662,-7.796,-1.503,4.126,7.380,5.513,-3.400,-12.554,-26.890,-25.741,-10.901,-24.389,-10.320,5.673,-14.281,-10.829,-10.259,-9.831,-22.976,2.423,-18.583,-1.176,-23.317,-16.107,-1.724,3.334,3.165,-3.480,-21.728,-24.785
1942,-22.454,-19.273,-22.003,-8.714,-1.310,7.120,6.085,5.702,1.259,-9.648,-26.905,-34.708,-10.404,-22.489,-10.676,6.302,-11.765,-9.657,-9.656,-9.898,-23.272,3.771,-19.661,0.070,-21.243,-16.664,-0.968,3.965,4.348,-0.896,-23.754,-25.028
1943,-36.319,-20.987,-19.315,-9.062,0.183,7.707,8.868,5.469,-0.372,-7.984,-16.300,-24.672,-9.399,-30.671,-9.398,7.348,-8.219,-10.235,-11.119,-11.257,-27.647,4.371,-22.421,0.687,-25.540,-16.455,-0.391,5.586,4.655,-0.962,-16.319,-32.644
1944,-24.122,-18.548,-18.548,-10.427,0.561,7.450,9.833,5.902,-0.602,-7.235,-21.522,-22.101,-8.280,-22.447,-9.471,7.728,-9.786,-8.494,-8.059,-8.121,-20.438,4.629,-17.229,0.783,-20.406,-15.841,-0.805,5.948,5.044,-0.645,-16.953,-21.698
1945,-19.730,-20.972,-19.486,-11.714,-3.871,5.681,9.299,5.657,0.684,-9.010,-25.519,-22.866,-9.321,-20.934,-11.690,6.879,-11.282,-9.257,-8.924,-8.776,-20.762,3.490,-17.537,-0.468,-20.063,-17.391,-3.301,3.703,5.213,-0.889,-19.132,-21.118
1946,-23.762,-24.595,-22.768,-11.818,1.125,8.630,9.199,5.184,-0.823,-6.695,-23.293,-34.264,-10.323,-23.741,-11.154,7.671,-10.270,-9.373,-9.559,-9.752,-23.902,4.663,-20.048,0.686,-23.708,-19.727,-0.688,6.318,4.520,-0.778,-21.417,-24.049
1947,-34.107,-23.231,-15.954,-11.902,0.224,6.775,9.080,3.595,-1.410,-10.569,-16.778,-18.902,-9.431,-30.534,-9.210,6.483,-9.586,-10.712,-11.255,-10.932,-26.170,3.653,-21.349,-0.601,-24.431,-17.029,-1.634,5.360,3.755,-2.795,-15.416,-30.555
1948,-23.279,-25.222,-21.461,-11.004,-1.772,7.288,8.221,4.171,-2.516,-10.735,-25.073,-30.603,-10.999,-22.468,-11.412,6.560,-12.775,-10.024,-9.332,-9.319,-21.128,3.079,-18.174,-0.907,-23.321,-19.229,-1.829,4.579,3.292,-3.027,-22.137,-19.653
1949,-26.037,-27.195,-12.814,-14.333,-2.527,3.659,10.308,7.191,3.645,-8.059,-12.995,-28.199,-8.946,-27.945,-9.891,7.053,-5.803,-9.146,-10.153,-10.376,-24.344,4.455,-20.970,-0.016,-22.015,-18.114,-4.400,3.814,7.048,0.926,-16.417,-27.237
