=======================================================================================
ECMWF ERA5 (0.5x0.5 deg)
Total Precipitation (m)
Values averaged across Specify Point (66.56N; 209.21E)
---------------------------------------------------------------------------------------
This file was generated using Climate Reanalyzer (https://ClimateReanalyzer.org)
Climate Change Institute; University of Maine; USA (https://climatechange.umaine.edu)
=======================================================================================
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Ann,DJF,MAM,JJA,SON,Ann_D-N,Ann_NO,Ann_OS,NDJFM,MJJAS,ONDJFMA,AMJJASO,JFM,FMA,AMJ,MJJ,JAS,ASO,OND,NDJ
1940,0.0111,0.0065,0.0035,0.0095,0.0503,0.0815,0.0512,0.0292,0.0647,0.0365,0.0244,0.0221,0.3904,-999,0.0633,0.1619,0.1256,-999,-999,-999,-999,0.2769,-999,0.3229,0.0212,0.0195,0.1412,0.1829,0.1451,0.1304,0.0829,-999
1941,0.0102,0.0225,0.0109,0.0143,0.0414,0.0300,0.1235,0.0523,0.0233,0.0336,0.0241,0.0209,0.4069,0.0547,0.0666,0.2058,0.0810,0.4081,0.4084,0.4113,0.0900,0.2705,0.1408,0.3184,0.0435,0.0477,0.0857,0.1948,0.1991,0.1093,0.0786,0.0566
1942,0.0196,0.0192,0.0182,0.0157,0.0491,0.1270,0.0843,0.1136,0.0786,0.0420,0.0207,0.0038,0.5920,0.0598,0.0830,0.3250,0.1413,0.6091,0.6124,0.6040,0.1021,0.4527,0.1514,0.5103,0.0571,0.0531,0.1918,0.2605,0.2765,0.2342,0.0665,0.0647
1943,0.0041,0.0433,0.0543,0.0183,0.0546,0.0959,0.0853,0.1363,0.0486,0.0393,0.0188,0.0290,0.6277,0.0512,0.1271,0.3175,0.1067,0.6025,0.6045,0.6071,0.1262,0.4207,0.1864,0.4783,0.1016,0.1158,0.1687,0.2357,0.2702,0.2243,0.0871,0.0286
1944,0.0240,0.0736,0.0335,0.0038,0.0768,0.0574,0.0883,0.1498,0.1106,0.0438,0.0125,0.0363,0.7105,0.1267,0.1141,0.2956,0.1669,0.7032,0.7095,0.7050,0.1790,0.4830,0.2220,0.5305,0.1312,0.1109,0.1380,0.2225,0.3487,0.3042,0.0926,0.0718
1945,0.0124,0.0310,0.0177,0.0193,0.0453,0.1252,0.1091,0.1547,0.0473,0.0662,0.0222,0.0105,0.6609,0.0798,0.0823,0.3890,0.1357,0.6867,0.6770,0.6546,0.1100,0.4816,0.1730,0.5670,0.0611,0.0679,0.1898,0.2796,0.3111,0.2682,0.0989,0.0613
1946,0.0195,0.0107,0.0235,0.0156,0.0963,0.0861,0.0409,0.0908,0.0509,0.0750,0.0206,0.0215,0.5514,0.0407,0.1354,0.2177,0.1465,0.5404,0.5419,0.5331,0.0864,0.3649,0.1681,0.4555,0.0537,0.0497,0.1979,0.2232,0.1825,0.2167,0.1172,0.0522
1947,0.0284,0.0131,0.0299,0.0062,0.0253,0.1370,0.0775,0.1048,0.0483,0.0193,0.0203,0.0250,0.5352,0.0631,0.0615,0.3193,0.0879,0.5317,0.5321,0.5878,0.1136,0.3929,0.1949,0.4184,0.0715,0.0493,0.1685,0.2398,0.2306,0.1724,0.0646,0.0706
1948,0.0373,0.0246,0.0329,0.0933,0.0392,0.0741,0.1073,0.0929,0.0546,0.0409,0.0202,0.0300,0.6474,0.0869,0.1654,0.2743,0.1157,0.6423,0.6424,0.6208,0.1401,0.3681,0.2527,0.5023,0.0948,0.1508,0.2066,0.2206,0.2548,0.1884,0.0912,0.0826
1949,0.0289,0.0161,0.0265,0.0118,0.0399,0.0996,0.0990,0.0507,0.0402,0.0328,0.0176,0.0112,0.4743,0.0750,0.0782,0.2493,0.0905,0.4931,0.4957,0.5038,0.1217,0.3294,0.1744,0.3740,0.0714,0.0544,0.1514,0.2385,0.1899,0.1237,0.0616,0.0791
1950,0.0475,0.0039,0.0049,0.0157,0.0427,0.0909,0.0588,0.0380,0.0459,0.0227,0.0341,0.0323,0.4374,0.0626,0.0633,0.1877,0.1028,0.4163,0.3998,0.4098,0.0851,0.2764,0.1335,0.3147,0.0562,0.0244,0.1494,0.1924,0.1427,0.1066,0.0892,0.0763
1951,0.0193,0.0343,0.0152,0.0227,0.0323,0.0591,0.1024,0.1064,0.0710,0.0156,0.0305,0.0575,0.5663,0.0860,0.0703,0.2678,0.1171,0.5411,0.5447,0.5518,0.1353,0.3711,0.1807,0.4095,0.0688,0.0723,0.1141,0.1938,0.2797,0.1929,0.1036,0.0858
1952,0.0232,0.0112,0.0201,0.0240,0.0373,0.0919,0.0765,0.1091,0.0310,0.0468,0.0340,0.0083,0.5134,0.0920,0.0814,0.2775,0.1118,0.5627,0.5591,0.5280,0.1426,0.3458,0.1822,0.4166,0.0545,0.0554,0.1532,0.2056,0.2166,0.1869,0.0891,0.1112
1953,0.0035,0.0264,0.0122,0.0089,0.0383,0.1131,0.0557,0.1115,0.0643,0.0298,0.0065,0.0171,0.4873,0.0382,0.0594,0.2803,0.1006,0.4785,0.5060,0.5230,0.0845,0.3829,0.1401,0.4216,0.0422,0.0475,0.1603,0.2071,0.2315,0.2056,0.0534,0.0458
1954,0.0204,0.0119,0.0310,0.0099,0.0145,0.0818,0.1082,0.0979,0.0580,0.0256,0.0129,0.0247,0.4969,0.0494,0.0554,0.2879,0.0965,0.4893,0.4829,0.4871,0.0869,0.3605,0.1266,0.3960,0.0633,0.0528,0.1063,0.2046,0.2641,0.1815,0.0632,0.0440
1955,0.0127,0.0130,0.0420,0.0228,0.0435,0.1229,0.0735,0.1360,0.0702,0.0387,0.0170,0.0459,0.6382,0.0505,0.1083,0.3324,0.1259,0.6171,0.6129,0.5998,0.1053,0.4461,0.1538,0.5076,0.0677,0.0778,0.1892,0.2399,0.2797,0.2449,0.1016,0.0503
1956,0.0111,0.0241,0.0339,0.0091,0.0699,0.0803,0.0652,0.1760,0.0563,0.0226,0.0374,0.0093,0.5952,0.0810,0.1130,0.3215,0.1163,0.6318,0.6114,0.6275,0.1319,0.4477,0.1798,0.4794,0.0691,0.0671,0.1593,0.2154,0.2975,0.2549,0.0693,0.0739
1957,0.0686,0.0125,0.0124,0.0084,0.0296,0.0294,0.0692,0.0497,0.0936,0.0331,0.0226,0.0149,0.4439,0.0904,0.0503,0.1482,0.1493,0.4382,0.4531,0.4426,0.1402,0.2714,0.1712,0.3128,0.0935,0.0332,0.0673,0.1281,0.2125,0.1764,0.0706,0.1154
1958,0.0197,0.0073,0.0244,0.0209,0.0724,0.0981,0.1510,0.1021,0.0430,0.0413,0.0180,0.0081,0.6064,0.0419,0.1177,0.3512,0.1023,0.6132,0.6178,0.6096,0.0889,0.4667,0.1429,0.5289,0.0514,0.0526,0.1914,0.3215,0.2962,0.1865,0.0674,0.0573
1959,0.0010,0.0429,0.0060,0.0094,0.0478,0.0553,0.1404,0.0772,0.0572,0.0226,0.0155,0.0174,0.4928,0.0520,0.0632,0.2729,0.0954,0.4835,0.4859,0.5046,0.0760,0.3779,0.1267,0.4100,0.0499,0.0583,0.1125,0.2435,0.2748,0.1571,0.0555,0.0271
1960,0.0491,0.0142,0.0010,0.0232,0.0169,0.0415,0.0924,0.0902,0.0925,0.0489,0.0110,0.0170,0.4979,0.0806,0.0412,0.2241,0.1524,0.4983,0.5028,0.4765,0.0972,0.3334,0.1431,0.4056,0.0643,0.0385,0.0817,0.1508,0.2750,0.2315,0.0770,0.0820
1961,0.0033,0.0087,0.0099,0.0327,0.0503,0.0792,0.0918,0.1176,0.0879,0.0428,0.0194,0.0259,0.5695,0.0290,0.0928,0.2886,0.1502,0.5606,0.5523,0.5584,0.0500,0.4268,0.1315,0.5023,0.0219,0.0513,0.1621,0.2213,0.2974,0.2484,0.0881,0.0314
1962,0.0388,0.0152,0.0211,0.0321,0.0462,0.0562,0.0783,0.1125,0.0754,0.0253,0.0182,0.0185,0.5379,0.0799,0.0994,0.2471,0.1189,0.5453,0.5465,0.5640,0.1204,0.3687,0.1953,0.4261,0.0751,0.0684,0.1345,0.1808,0.2663,0.2132,0.0620,0.0841
1963,0.0358,0.0096,0.0614,0.0340,0.0299,0.1178,0.1507,0.1701,0.0257,0.0572,0.0043,0.0234,0.7199,0.0640,0.1253,0.4386,0.0872,0.7150,0.7289,0.6970,0.1435,0.4942,0.2028,0.5854,0.1068,0.1050,0.1817,0.2984,0.3465,0.2530,0.0849,0.0725
1964,0.0108,0.0384,0.0051,0.0332,0.0368,0.0502,0.0879,0.0944,0.0726,0.0479,0.0178,0.0119,0.5070,0.0725,0.0752,0.2325,0.1383,0.5185,0.5050,0.5143,0.0820,0.3419,0.1724,0.4230,0.0543,0.0767,0.1202,0.1749,0.2549,0.2149,0.0775,0.0385
1965,0.0188,0.0073,0.0565,0.0546,0.0362,0.1189,0.0934,0.0919,0.1060,0.0172,0.0337,0.0330,0.6678,0.0380,0.1474,0.3043,0.1570,0.6466,0.6307,0.6614,0.1123,0.4465,0.2148,0.5184,0.0826,0.1185,0.2098,0.2486,0.2914,0.2152,0.0839,0.0485
1966,0.0013,0.0170,0.0128,0.0222,0.0420,0.0394,0.0469,0.0698,0.0372,0.0378,0.0538,0.0133,0.3935,0.0513,0.0770,0.1561,0.1288,0.4132,0.3931,0.3726,0.0978,0.2353,0.1372,0.2953,0.0311,0.0520,0.1036,0.1283,0.1539,0.1448,0.1048,0.0680
1967,0.0128,0.0141,0.0441,0.0514,0.0202,0.0512,0.1016,0.0980,0.0251,0.0108,0.0681,0.0608,0.5581,0.0402,0.1156,0.2508,0.1039,0.5105,0.4962,0.5232,0.1380,0.2961,0.2272,0.3582,0.0710,0.1095,0.1227,0.1730,0.2247,0.1339,0.1397,0.0799
1968,0.0420,0.0253,0.0114,0.0215,0.0268,0.0708,0.0209,0.0573,0.0261,0.0089,0.0090,0.0396,0.3598,0.1282,0.0597,0.1490,0.0441,0.3810,0.4400,0.4419,0.2076,0.2019,0.2399,0.2324,0.0787,0.0583,0.1191,0.1185,0.1044,0.0924,0.0576,0.1709
1969,0.0079,0.0097,0.0119,0.0060,0.0224,0.0311,0.0568,0.1200,0.0158,0.0197,0.0231,0.0116,0.3359,0.0572,0.0402,0.2079,0.0585,0.3639,0.3499,0.3391,0.0781,0.2461,0.0930,0.2717,0.0295,0.0276,0.0595,0.1103,0.1926,0.1555,0.0543,0.0565
1970,0.0057,0.0232,0.0205,0.0364,0.0239,0.0742,0.1160,0.0959,0.0351,0.0458,0.0625,0.0557,0.5950,0.0405,0.0809,0.2861,0.1434,0.5509,0.5115,0.4853,0.0841,0.3451,0.1402,0.4274,0.0494,0.0802,0.1346,0.2141,0.2470,0.1768,0.1640,0.0404
