=======================================================================================
ECMWF ERA5 (0.5x0.5 deg)
2m Temperature (deg C)
Values averaged across Specify Point (66.56N; 209.21E)
---------------------------------------------------------------------------------------
This file was generated using Climate Reanalyzer (https://ClimateReanalyzer.org)
Climate Change Institute; University of Maine; USA (https://climatechange.umaine.edu)
=======================================================================================
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Ann,DJF,MAM,JJA,SON,Ann_D-N,Ann_NO,Ann_OS,NDJFM,MJJAS,ONDJFMA,AMJJASO,JFM,FMA,AMJ,MJJ,JAS,ASO,OND,NDJ
1940,-20.308,-19.169,-15.358,1.355,8.065,13.698,15.474,12.159,4.680,-4.397,-16.604,-22.070,-3.539,-999,-1.979,13.777,-5.440,-999,-999,-999,-999,10.815,-999,7.291,-18.278,-11.057,7.706,12.413,10.771,4.147,-14.357,-999
1941,-25.862,-15.307,-17.173,-3.701,4.559,12.205,11.828,9.572,2.976,-9.097,-24.219,-22.497,-6.393,-21.079,-5.438,11.202,-10.113,-6.357,-5.723,-5.331,-19.403,8.228,-15.016,4.049,-19.447,-12.060,4.354,9.531,8.125,1.150,-18.604,-21.512
1942,-19.475,-16.045,-18.008,-4.606,4.112,11.097,10.456,8.682,3.592,-6.951,-23.682,-31.430,-6.855,-19.339,-6.167,10.078,-9.013,-6.110,-6.155,-6.334,-20.049,7.588,-16.278,3.769,-17.843,-12.886,3.534,8.555,7.577,1.774,-20.687,-22.064
1943,-32.613,-18.010,-15.168,-4.618,5.457,12.863,13.241,8.217,2.635,-5.852,-13.233,-21.286,-5.697,-27.351,-4.776,11.441,-5.483,-6.542,-7.413,-7.505,-24.181,8.483,-18.924,4.563,-21.930,-12.599,4.567,10.520,8.031,1.667,-13.457,-29.241
1944,-21.068,-15.309,-15.153,-5.511,5.171,12.155,13.627,9.008,2.052,-5.010,-18.310,-19.055,-4.784,-19.221,-5.164,11.597,-7.090,-4.969,-4.546,-4.617,-17.210,8.403,-13.916,4.499,-17.177,-11.991,3.939,10.318,8.229,2.016,-14.125,-18.529
1945,-15.566,-17.550,-15.339,-7.251,1.102,9.533,13.041,8.346,3.428,-6.062,-22.236,-18.974,-5.627,-17.391,-7.163,10.307,-8.290,-5.634,-5.307,-5.219,-17.164,7.090,-14.012,3.162,-16.152,-13.380,1.128,7.892,8.272,1.904,-15.757,-17.644
1946,-19.994,-20.057,-19.000,-7.324,4.889,13.534,15.209,9.169,3.126,-3.716,-19.595,-31.103,-6.238,-19.675,-7.145,12.638,-6.728,-5.228,-5.448,-5.643,-20.052,9.185,-16.235,4.984,-19.684,-15.460,3.700,11.211,9.168,2.860,-18.138,-20.401
1947,-31.558,-18.996,-12.708,-6.743,5.782,11.862,13.966,8.176,2.720,-7.558,-13.959,-15.944,-5.413,-27.219,-4.556,11.335,-6.266,-6.677,-7.146,-6.826,-22.792,8.501,-17.774,4.029,-21.087,-12.816,3.634,10.537,8.287,1.112,-12.487,-27.418
1948,-19.998,-21.521,-17.383,-7.288,2.710,12.784,12.514,8.117,1.523,-8.419,-22.397,-27.351,-7.226,-19.154,-7.320,11.138,-9.764,-6.275,-5.572,-5.500,-17.761,7.530,-14.807,3.134,-19.634,-15.397,2.735,9.336,7.385,0.407,-19.389,-16.634
1949,-22.974,-23.224,-9.220,-9.650,2.307,8.939,14.441,11.607,7.155,-4.433,-10.660,-25.248,-5.080,-24.516,-5.521,11.663,-2.646,-5.255,-6.233,-6.565,-21.033,8.890,-17.605,4.338,-18.472,-14.031,0.532,8.562,11.068,4.777,-13.447,-24.241
1950,-20.521,-30.021,-10.756,-5.494,5.695,11.672,16.527,12.855,5.645,-4.697,-19.943,-19.194,-4.853,-25.263,-3.518,13.685,-6.332,-5.357,-4.584,-4.562,-19.441,10.479,-15.305,6.029,-20.433,-15.424,3.958,11.298,11.676,4.601,-14.612,-18.810
1951,-29.747,-24.447,-20.882,-4.024,6.444,11.844,13.546,12.196,5.142,-7.796,-11.755,-23.197,-6.056,-24.463,-6.154,12.529,-4.803,-5.723,-6.405,-6.147,-22.843,9.835,-17.562,5.336,-25.025,-16.451,4.755,10.611,10.295,3.181,-14.249,-22.962
1952,-25.699,-21.547,-16.825,-7.205,0.453,12.547,14.098,10.017,2.700,-4.701,-10.414,-18.569,-5.429,-23.481,-7.859,12.221,-4.138,-5.814,-5.926,-6.184,-19.804,7.963,-16.289,3.987,-21.357,-15.192,1.932,9.033,8.938,2.672,-11.228,-20.217
1953,-29.615,-19.643,-17.221,-3.231,7.195,14.046,14.328,10.966,4.521,-7.593,-17.372,-20.476,-5.341,-22.609,-4.419,13.113,-6.815,-5.182,-4.603,-4.362,-19.092,10.211,-14.771,5.747,-22.160,-13.365,6.003,11.856,9.938,2.631,-15.147,-19.533
1954,-26.420,-29.300,-13.371,-6.938,6.614,11.905,12.783,11.696,3.520,-4.109,-12.454,-30.333,-6.368,-25.399,-4.565,12.128,-4.348,-5.546,-5.956,-6.246,-21.388,9.303,-17.353,5.067,-23.031,-16.537,3.860,10.434,9.333,3.702,-15.632,-21.423
1955,-20.188,-29.169,-16.380,-9.874,4.397,10.592,14.788,9.559,3.735,-7.396,-24.919,-24.602,-7.455,-26.564,-7.285,11.646,-9.527,-7.932,-6.894,-6.620,-21.705,8.614,-17.501,3.686,-21.912,-18.474,1.705,9.926,9.361,1.966,-18.972,-20.992
1956,-29.082,-27.459,-17.010,-5.102,5.388,12.199,14.208,9.992,3.399,-11.091,-23.746,-31.629,-8.328,-27.048,-5.575,12.133,-10.479,-7.742,-7.840,-7.532,-24.614,9.037,-19.367,4.142,-24.517,-16.524,4.161,10.598,9.199,0.767,-22.155,-26.201
1957,-17.738,-23.226,-12.294,-3.281,5.023,14.913,13.982,12.600,4.717,-4.237,-12.416,-26.763,-4.060,-24.197,-3.517,13.832,-3.979,-4.465,-5.410,-5.981,-21.726,10.247,-17.572,6.245,-17.752,-12.933,5.552,11.306,10.433,4.360,-14.472,-24.371
1958,-19.097,-19.072,-12.555,-4.539,4.899,14.487,14.453,11.747,3.735,-12.484,-19.584,-19.659,-4.806,-21.644,-4.065,13.562,-9.444,-5.398,-4.800,-4.113,-17.980,9.864,-14.097,4.614,-16.908,-12.055,4.949,11.280,9.978,0.999,-17.242,-19.425
1959,-25.608,-14.706,-25.157,-7.691,4.621,14.280,10.515,10.694,3.643,-7.185,-15.456,-23.967,-6.335,-19.991,-9.409,11.829,-6.333,-5.976,-6.320,-6.761,-20.943,8.751,-17.841,4.125,-21.823,-15.851,3.737,9.805,8.284,2.384,-15.536,-21.617
1960,-21.576,-15.800,-17.671,-8.999,7.447,11.822,14.991,10.808,2.280,-6.639,-20.392,-13.941,-4.806,-20.448,-6.408,12.540,-8.250,-5.641,-5.230,-5.276,-18.894,9.470,-15.808,4.530,-18.349,-14.157,3.423,11.420,9.360,2.150,-13.657,-20.333
1961,-16.918,-22.356,-21.003,-9.311,6.721,12.693,13.279,10.383,4.706,-9.841,-21.841,-29.612,-6.925,-17.738,-7.864,12.119,-8.992,-5.619,-5.498,-5.231,-18.922,9.557,-15.794,4.090,-20.092,-17.556,3.368,10.898,9.456,1.749,-20.431,-17.083
