=======================================================================================
ECMWF ERA5 (0.5x0.5 deg)
2m Dewpoint Temperature (deg C)
Values averaged across Specify Point (67.193N; 296.862E)
---------------------------------------------------------------------------------------
This file was generated using Climate Reanalyzer (https://ClimateReanalyzer.org)
Climate Change Institute; University of Maine; USA (https://climatechange.umaine.edu)
=======================================================================================
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Ann,DJF,MAM,JJA,SON,Ann_D-N,Ann_NO,Ann_OS,NDJFM,MJJAS,ONDJFMA,AMJJASO,JFM,FMA,AMJ,MJJ,JAS,ASO,OND,NDJ
1940,-31.053,-28.395,-27.267,-19.166,-8.408,-2.115,-1.600,-1.368,-3.578,-12.685,-21.739,-31.437,-15.734,-999,-18.280,-1.694,-12.667,-999,-999,-999,-999,-3.414,-999,-6.988,-28.905,-24.943,-9.896,-4.041,-2.182,-5.877,-21.954,-999
1941,-30.114,-28.775,-27.608,-23.931,-11.130,-2.409,0.419,-0.727,-5.359,-9.542,-23.050,-30.104,-16.028,-30.109,-20.889,-0.906,-12.650,-16.139,-16.029,-16.291,-27.934,-3.841,-25.184,-7.526,-28.832,-26.771,-12.490,-4.373,-1.889,-5.209,-20.899,-27.763
1942,-32.461,-33.287,-27.480,-20.726,-8.820,-2.198,0.237,-1.644,-5.681,-12.841,-23.050,-29.493,-16.454,-31.951,-19.009,-1.202,-13.857,-16.505,-16.505,-16.230,-29.277,-3.621,-25.236,-7.382,-31.076,-27.164,-10.581,-3.594,-2.362,-6.722,-21.795,-28.539
1943,-30.442,-36.462,-33.550,-24.080,-11.004,-3.107,-0.048,-0.541,-4.983,-12.488,-20.800,-29.529,-17.253,-32.132,-22.878,-1.232,-12.757,-17.250,-17.437,-17.467,-30.599,-3.937,-27.131,-8.036,-33.484,-31.364,-12.731,-4.720,-1.857,-6.004,-20.939,-27.662
1944,-32.670,-30.589,-29.317,-17.642,-10.914,-2.003,0.526,-0.756,-3.609,-11.694,-22.298,-30.958,-15.994,-30.930,-19.291,-0.744,-12.534,-15.875,-15.750,-15.816,-28.581,-3.351,-24.719,-6.585,-30.859,-25.849,-10.186,-4.130,-1.280,-5.353,-21.650,-27.666
1945,-27.771,-34.349,-25.668,-22.136,-10.492,-1.493,0.295,-0.604,-4.933,-10.605,-23.441,-28.612,-15.817,-31.026,-19.432,-0.601,-12.993,-16.013,-15.918,-16.008,-28.209,-3.445,-24.982,-7.138,-29.262,-27.384,-11.374,-3.897,-1.748,-5.381,-20.886,-27.009
1946,-32.668,-31.907,-23.992,-22.085,-7.668,-1.696,0.281,-0.097,-4.415,-11.218,-19.000,-29.854,-15.360,-31.063,-17.915,-0.504,-11.544,-15.257,-15.627,-15.576,-28.124,-2.719,-24.759,-6.700,-29.523,-25.995,-10.483,-3.028,-1.410,-5.243,-20.024,-28.240
1947,-30.554,-26.001,-23.993,-20.164,-9.420,-1.655,0.104,-1.974,-4.480,-12.253,-18.190,-26.611,-14.599,-28.803,-17.859,-1.175,-11.641,-14.869,-14.937,-14.851,-25.880,-3.485,-22.969,-7.120,-26.849,-23.386,-10.413,-3.657,-2.117,-6.236,-19.018,-26.469
1948,-30.355,-33.755,-34.180,-22.053,-9.334,-0.956,1.682,0.689,-3.096,-9.642,-18.589,-34.476,-16.172,-30.240,-21.856,0.472,-10.442,-15.517,-15.483,-15.701,-28.618,-2.203,-25.342,-6.101,-32.763,-29.996,-10.781,-2.869,-0.242,-4.016,-20.902,-25.052
1949,-37.238,-39.648,-31.400,-22.632,-11.052,-0.981,1.256,-0.414,-4.728,-13.074,-20.993,-25.597,-17.209,-37.121,-21.695,-0.047,-12.932,-17.948,-17.748,-17.462,-32.270,-3.184,-27.661,-7.375,-36.095,-31.227,-11.555,-3.593,-1.296,-6.072,-19.888,-30.101
