=======================================================================================
ECMWF ERA5 (0.5x0.5 deg)
Total Precipitation (m)
Values averaged across Specify Point (67.193N; 296.862E)
---------------------------------------------------------------------------------------
This file was generated using Climate Reanalyzer (https://ClimateReanalyzer.org)
Climate Change Institute; University of Maine; USA (https://climatechange.umaine.edu)
=======================================================================================
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Ann,DJF,MAM,JJA,SON,Ann_D-N,Ann_NO,Ann_OS,NDJFM,MJJAS,ONDJFMA,AMJJASO,JFM,FMA,AMJ,MJJ,JAS,ASO,OND,NDJ
1940,0.0023,0.0288,0.0093,0.0177,0.0164,0.0199,0.0651,0.0389,0.0542,0.0577,0.0547,0.0064,0.3713,-999,0.0433,0.1239,0.1666,-999,-999,-999,-999,0.1944,-999,0.2698,0.0404,0.0557,0.0539,0.1013,0.1582,0.1508,0.1189,-999
1941,0.0166,0.0189,0.0195,0.0118,0.0263,0.0248,0.0325,0.0348,0.0443,0.0939,0.0163,0.0169,0.3566,0.0419,0.0576,0.0921,0.1545,0.3461,0.3845,0.3483,0.1161,0.1627,0.1857,0.2684,0.0550,0.0503,0.0629,0.0836,0.1116,0.1730,0.1271,0.0777
1942,0.0375,0.0083,0.0089,0.0220,0.0588,0.0486,0.0535,0.0410,0.0422,0.0491,0.0362,0.0184,0.4245,0.0627,0.0897,0.1431,0.1275,0.4230,0.4031,0.4479,0.0879,0.2441,0.2038,0.3152,0.0547,0.0392,0.1294,0.1609,0.1367,0.1323,0.1037,0.0708
1943,0.0133,0.0128,0.0009,0.0043,0.0362,0.0330,0.0242,0.0156,0.0735,0.0474,0.0474,0.0131,0.3217,0.0446,0.0414,0.0728,0.1683,0.3270,0.3158,0.3175,0.0816,0.1825,0.1350,0.2342,0.0270,0.0180,0.0736,0.0934,0.1132,0.1364,0.1079,0.0679
1944,0.0060,0.0282,0.0183,0.0059,0.0474,0.0501,0.0346,0.0161,0.0519,0.0533,0.0191,0.0079,0.3388,0.0472,0.0716,0.1009,0.1243,0.3440,0.3723,0.3664,0.1130,0.2001,0.1663,0.2593,0.0525,0.0524,0.1034,0.1321,0.1026,0.1213,0.0803,0.0665
1945,0.0610,0.0065,0.0221,0.0283,0.0225,0.0369,0.0542,0.0394,0.0635,0.0571,0.0219,0.0248,0.4381,0.0753,0.0728,0.1304,0.1426,0.4211,0.4183,0.4145,0.1165,0.2164,0.1981,0.3018,0.0895,0.0568,0.0876,0.1135,0.1571,0.1600,0.1039,0.0879
1946,0.0119,0.0335,0.0377,0.0223,0.0305,0.0216,0.0377,0.0793,0.1369,0.0765,0.0554,0.0041,0.5474,0.0702,0.0904,0.1387,0.2687,0.5681,0.5347,0.5154,0.1299,0.3061,0.2093,0.4048,0.0831,0.0935,0.0743,0.0898,0.2540,0.2927,0.1360,0.0587
1947,0.0214,0.0014,0.0221,0.0193,0.0149,0.0394,0.0293,0.0597,0.0569,0.0401,0.0387,0.0057,0.3489,0.0270,0.0563,0.1284,0.1357,0.3473,0.3640,0.4004,0.1044,0.2001,0.2002,0.2596,0.0449,0.0429,0.0736,0.0836,0.1459,0.1567,0.0845,0.0809
1948,0.0148,0.0193,0.0144,0.0179,0.0451,0.0078,0.0247,0.0572,0.0129,0.0432,0.0525,0.0061,0.3158,0.0398,0.0774,0.0897,0.1085,0.3155,0.3017,0.2986,0.0929,0.1477,0.1510,0.2088,0.0485,0.0517,0.0708,0.0776,0.0948,0.1132,0.1017,0.0592
1949,0.0222,0.0081,0.0145,0.0060,0.0072,0.0215,0.0246,0.0521,0.0390,0.0540,0.0399,0.0315,0.3206,0.0363,0.0278,0.0982,0.1329,0.2952,0.3078,0.2970,0.1033,0.1444,0.1525,0.2045,0.0448,0.0286,0.0347,0.0533,0.1157,0.1452,0.1254,0.0807
