=======================================================================================
ECMWF ERA5 (0.5x0.5 deg)
2m Dewpoint Temperature (deg C)
Values averaged across Specify Point (63.742N; 221.151E)
---------------------------------------------------------------------------------------
This file was generated using Climate Reanalyzer (https://ClimateReanalyzer.org)
Climate Change Institute; University of Maine; USA (https://climatechange.umaine.edu)
=======================================================================================
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Ann,DJF,MAM,JJA,SON,Ann_D-N,Ann_NO,Ann_OS,NDJFM,MJJAS,ONDJFMA,AMJJASO,JFM,FMA,AMJ,MJJ,JAS,ASO,OND,NDJ
1940,-28.196,-24.840,-16.575,-4.484,1.106,6.301,9.705,5.165,3.006,-3.324,-22.042,-22.829,-8.084,-999,-6.651,7.057,-7.453,-999,-999,-999,-999,5.057,-999,2.496,-23.204,-15.300,0.974,5.704,5.959,1.616,-16.065,-999
1941,-28.589,-20.452,-13.365,-3.790,0.189,6.616,7.730,6.761,-1.949,-9.265,-22.681,-30.839,-9.136,-23.957,-5.656,7.036,-11.298,-8.469,-8.415,-7.920,-21.456,3.869,-16.342,0.899,-20.802,-12.536,1.005,4.845,4.181,-1.484,-20.928,-24.487
1942,-21.538,-16.683,-13.910,-5.687,2.102,6.655,7.716,6.815,3.106,-2.877,-27.632,-39.362,-8.441,-23.020,-5.832,7.062,-9.134,-7.731,-7.318,-7.851,-21.130,5.279,-17.229,2.547,-17.377,-12.093,1.023,5.491,5.879,2.348,-23.290,-25.019
1943,-35.403,-22.571,-18.081,-5.957,0.162,6.736,7.786,6.074,2.269,-4.199,-12.218,-19.121,-7.877,-32.445,-7.959,6.866,-4.716,-9.564,-10.848,-10.738,-28.610,4.606,-21.697,1.839,-25.352,-15.536,0.314,4.895,5.377,1.381,-11.846,-34.132
1944,-21.434,-19.714,-15.909,-9.232,-0.209,5.823,8.260,5.394,0.785,-4.262,-19.091,-25.540,-7.927,-20.090,-8.450,6.493,-7.523,-7.392,-6.820,-6.814,-17.679,4.011,-14.547,0.937,-19.019,-14.952,-1.206,4.625,4.813,0.639,-16.298,-17.591
1945,-24.808,-20.700,-13.404,-10.064,-0.654,4.234,7.279,6.298,0.674,-5.939,-26.933,-27.476,-9.291,-23.683,-8.041,5.937,-10.733,-9.130,-8.476,-8.337,-20.709,3.566,-16.838,0.261,-19.637,-14.723,-2.161,3.620,4.750,0.344,-20.116,-23.146
1946,-28.893,-22.233,-15.879,-7.365,0.846,8.234,7.947,4.630,-0.577,-6.486,-26.892,-37.626,-10.358,-26.201,-7.466,6.937,-11.318,-9.512,-9.515,-9.470,-24.283,4.216,-19.245,1.033,-22.335,-15.159,0.572,5.675,4.000,-0.811,-23.668,-27.767
1947,-36.345,-28.444,-9.456,-6.710,0.992,4.607,8.891,2.628,0.153,-4.980,-13.590,-22.124,-8.698,-34.138,-5.058,5.375,-6.139,-9.990,-11.099,-11.224,-27.753,3.454,-21.708,0.797,-24.748,-14.870,-0.370,4.830,3.891,-0.733,-13.565,-33.621
1948,-25.590,-30.804,-20.875,-11.961,-0.192,5.579,8.175,3.476,-0.250,-6.390,-24.929,-37.581,-11.779,-26.173,-11.009,5.743,-10.523,-10.490,-9.546,-9.428,-22.597,3.357,-18.561,-0.223,-25.756,-21.213,-2.191,4.521,3.800,-1.055,-22.966,-20.435
1949,-30.359,-33.853,-12.577,-6.900,-2.113,3.236,8.236,7.586,3.549,-7.674,-14.337,-33.997,-9.934,-33.931,-7.197,6.352,-6.154,-10.232,-11.115,-11.008,-27.860,4.099,-21.798,0.846,-25.596,-17.777,-1.926,3.120,6.457,1.154,-18.669,-30.956
