=======================================================================================
ECMWF ERA5 (0.5x0.5 deg)
2m Temperature (deg C)
Values averaged across Specify Point (63.742N; 221.151E)
---------------------------------------------------------------------------------------
This file was generated using Climate Reanalyzer (https://ClimateReanalyzer.org)
Climate Change Institute; University of Maine; USA (https://climatechange.umaine.edu)
=======================================================================================
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Ann,DJF,MAM,JJA,SON,Ann_D-N,Ann_NO,Ann_OS,NDJFM,MJJAS,ONDJFMA,AMJJASO,JFM,FMA,AMJ,MJJ,JAS,ASO,OND,NDJ
1940,-25.335,-21.927,-12.788,0.842,7.182,12.095,15.693,11.471,7.719,-0.692,-19.662,-20.693,-3.841,-999,-1.588,13.086,-4.212,-999,-999,-999,-999,10.832,-999,7.759,-20.017,-11.291,6.706,11.657,11.628,6.166,-13.682,-999
1941,-25.911,-17.502,-9.849,1.969,7.305,12.772,14.111,12.354,4.235,-6.234,-20.557,-28.253,-4.630,-21.369,-0.192,13.079,-7.518,-4.000,-3.925,-3.464,-18.723,10.155,-13.191,6.645,-17.754,-8.461,7.349,11.396,10.233,3.452,-18.348,-22.089
1942,-19.397,-14.451,-10.412,-0.997,9.360,13.191,13.735,12.055,6.667,-0.324,-25.109,-36.402,-4.341,-20.701,-0.683,12.993,-6.256,-3.661,-3.282,-3.775,-18.614,11.001,-14.329,7.669,-14.754,-8.620,7.185,12.095,10.819,6.132,-20.612,-22.736
1943,-32.355,-19.879,-14.049,-0.940,7.334,13.295,13.575,11.282,6.436,-1.061,-10.488,-17.254,-3.675,-29.546,-2.552,12.717,-1.705,-5.271,-6.490,-6.428,-25.559,10.384,-18.437,7.131,-22.095,-11.623,6.563,11.401,10.431,5.552,-9.601,-31.289
1944,-19.134,-16.899,-12.126,-4.347,7.320,13.933,15.051,11.365,5.425,-1.766,-17.093,-23.317,-3.466,-17.762,-3.051,13.449,-4.478,-2.961,-2.410,-2.351,-15.180,10.619,-11.616,6.711,-16.053,-11.124,5.635,12.101,10.613,5.008,-14.059,-15.626
1945,-22.461,-18.007,-9.832,-4.776,6.471,11.281,12.854,11.979,4.825,-3.293,-24.373,-25.040,-5.031,-21.262,-2.712,12.038,-7.614,-4.887,-4.281,-4.154,-18.142,9.482,-13.893,5.620,-16.766,-10.872,4.325,10.202,9.886,4.504,-17.568,-20.957
1946,-26.272,-19.416,-12.348,-2.127,8.689,16.007,14.815,11.569,6.089,-3.771,-24.306,-34.835,-5.492,-23.576,-1.928,14.130,-7.329,-4.676,-4.681,-4.641,-21.490,11.434,-16.124,7.325,-19.345,-11.297,7.523,13.170,10.824,4.629,-20.971,-25.228
1947,-33.423,-25.386,-6.212,-1.907,8.895,11.841,15.761,9.797,4.636,-2.353,-11.986,-20.016,-4.196,-31.215,0.259,12.466,-3.235,-5.431,-6.458,-6.576,-24.833,10.186,-18.549,6.667,-21.674,-11.168,6.276,12.166,10.065,4.026,-11.452,-30.855
1948,-23.168,-27.306,-16.311,-6.514,6.466,13.018,14.794,9.964,3.958,-2.921,-22.577,-34.494,-7.091,-23.497,-5.453,12.592,-7.180,-5.884,-5.002,-4.955,-19.758,9.640,-15.379,5.538,-22.262,-16.710,4.323,11.426,9.572,3.667,-19.997,-18.390
1949,-27.681,-30.378,-8.689,-2.175,4.323,8.808,13.488,12.648,7.673,-4.600,-12.867,-31.111,-5.880,-30.851,-2.180,11.648,-3.265,-6.162,-6.971,-6.831,-24.764,9.388,-18.416,5.738,-22.249,-13.747,3.652,8.873,11.270,5.240,-16.193,-28.250
1950,-27.562,-30.888,-10.693,-4.019,6.996,15.285,14.419,13.211,7.340,-4.552,-28.303,-23.091,-5.988,-29.854,-2.572,14.305,-8.505,-6.657,-5.370,-5.374,-22.624,11.450,-17.392,6.954,-23.048,-15.200,6.087,12.233,11.657,5.333,-18.649,-23.847
1951,-33.792,-25.472,-17.779,-0.610,8.170,11.445,16.677,14.023,7.763,-8.323,-15.525,-28.255,-5.973,-27.452,-3.406,14.048,-5.362,-5.543,-6.608,-6.293,-25.687,11.616,-19.086,7.021,-25.681,-14.620,6.335,12.098,12.821,4.487,-17.368,-28.395
1952,-36.447,-21.449,-13.038,-2.605,5.383,12.082,14.368,11.222,4.653,-0.224,-8.572,-21.905,-4.711,-28.717,-3.420,12.557,-1.381,-5.240,-5.820,-6.495,-22.943,9.541,-17.949,6.411,-23.645,-12.364,4.953,10.611,10.081,5.217,-10.234,-26.742
1953,-37.400,-17.625,-14.046,0.275,9.166,14.896,15.629,12.366,5.343,-3.658,-20.276,-23.381,-4.893,-25.643,-1.535,14.297,-6.197,-4.770,-3.794,-3.508,-19.910,11.480,-14.214,7.717,-23.023,-10.465,8.112,13.230,11.113,4.684,-15.771,-22.626
