=======================================================================================
ECMWF ERA5 (0.5x0.5 deg)
2m Dewpoint Temperature (deg C)
Values averaged across Specify Point (70.5582N; 291.05E)
---------------------------------------------------------------------------------------
This file was generated using Climate Reanalyzer (https://ClimateReanalyzer.org)
Climate Change Institute; University of Maine; USA (https://climatechange.umaine.edu)
=======================================================================================
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Ann,DJF,MAM,JJA,SON,Ann_D-N,Ann_NO,Ann_OS,NDJFM,MJJAS,ONDJFMA,AMJJASO,JFM,FMA,AMJ,MJJ,JAS,ASO,OND,NDJ
1940,-35.061,-31.745,-30.253,-21.428,-8.771,-1.388,-0.730,-1.155,-5.457,-16.592,-28.395,-34.355,-17.944,-999,-20.151,-1.091,-16.815,-999,-999,-999,-999,-3.500,-999,-7.932,-32.353,-27.808,-10.529,-3.630,-2.447,-7.734,-26.447,-999
1941,-33.544,-32.208,-32.971,-28.518,-14.847,-2.550,0.019,-0.333,-8.281,-13.921,-27.658,-32.864,-18.973,-33.369,-25.445,-0.955,-16.620,-19.097,-19.159,-19.381,-32.295,-5.198,-29.512,-9.776,-32.908,-31.233,-15.305,-5.793,-2.865,-7.511,-24.814,-32.098
1942,-34.528,-36.832,-29.794,-23.980,-9.119,-2.046,-0.276,-1.888,-7.527,-16.355,-29.321,-34.202,-18.822,-34.741,-20.965,-1.403,-17.734,-18.711,-18.572,-18.369,-32.335,-4.171,-28.511,-8.742,-33.718,-30.202,-11.715,-3.814,-3.230,-8.590,-26.626,-31.683
1943,-35.557,-39.948,-36.098,-25.699,-11.868,-2.469,0.212,0.062,-5.883,-15.521,-25.556,-33.584,-19.326,-36.569,-24.555,-0.731,-15.653,-19.377,-19.691,-19.761,-35.025,-3.989,-31.026,-8.738,-37.201,-33.915,-13.345,-4.708,-1.870,-7.114,-24.887,-33.027
1944,-33.899,-35.288,-35.141,-19.738,-12.267,-2.481,0.245,-1.635,-5.805,-12.889,-26.661,-32.995,-18.213,-34.257,-22.382,-1.291,-15.118,-18.262,-18.170,-18.389,-32.694,-4.389,-28.390,-7.796,-34.776,-30.056,-11.496,-4.835,-2.398,-6.776,-24.182,-31.013
1945,-30.566,-35.825,-27.570,-24.298,-11.580,-2.379,-0.432,-0.848,-6.369,-16.695,-28.656,-32.597,-18.151,-33.129,-21.149,-1.220,-17.240,-18.185,-18.018,-17.701,-30.724,-4.322,-27.258,-8.943,-31.320,-29.231,-12.752,-4.797,-2.550,-7.971,-25.983,-30.074
1946,-36.307,-36.020,-28.199,-26.595,-7.414,-2.423,-0.534,-0.695,-6.642,-17.804,-26.055,-31.663,-18.362,-34.975,-20.736,-1.217,-16.833,-18.440,-18.657,-18.565,-32.356,-3.541,-29.296,-8.872,-33.509,-30.272,-12.144,-3.457,-2.623,-8.380,-25.174,-32.520
1947,-33.177,-27.093,-27.850,-22.732,-10.938,-2.606,0.041,-1.747,-6.623,-16.417,-21.371,-31.091,-16.800,-30.644,-20.507,-1.437,-14.804,-16.848,-17.238,-17.354,-29.167,-4.374,-26.625,-8.717,-29.373,-25.892,-12.092,-4.501,-2.776,-8.262,-22.960,-30.298
1948,-34.141,-38.503,-38.373,-25.721,-10.500,-1.122,1.362,-0.313,-4.360,-11.933,-25.458,-38.894,-18.996,-34.578,-24.865,-0.024,-13.917,-18.346,-18.006,-18.379,-32.696,-2.987,-29.374,-7.512,-37.006,-34.199,-12.448,-3.420,-1.104,-5.535,-25.428,-28.868
1949,-38.634,-41.789,-34.027,-25.519,-13.886,-0.737,1.107,-1.446,-7.260,-15.934,-26.096,-30.224,-19.537,-39.772,-24.477,-0.358,-16.430,-20.259,-20.206,-19.873,-35.760,-4.444,-30.893,-9.096,-38.150,-33.778,-13.381,-4.505,-2.533,-8.213,-24.085,-34.329
1950,-43.074,-37.456,-31.154,-27.534,-10.542,-1.570,0.938,-1.320,-8.979,-19.389,-26.999,-29.196,-19.690,-36.918,-23.077,-0.651,-18.456,-19.775,-19.700,-19.412,-33.601,-4.295,-30.210,-9.771,-37.228,-32.048,-13.215,-3.725,-3.120,-9.896,-25.195,-33.131
1951,-34.859,-41.704,-29.556,-23.088,-11.325,-1.880,0.363,-1.645,-4.566,-17.068,-26.301,-35.138,-18.897,-35.253,-21.323,-1.054,-15.978,-18.402,-18.460,-18.654,-32.463,-3.810,-29.256,-8.458,-35.373,-31.449,-12.098,-4.281,-1.949,-7.759,-26.169,-30.352
1952,-37.723,-36.379,-31.520,-22.568,-7.584,-1.630,0.298,-0.515,-8.391,-18.207,-23.287,-30.688,-18.183,-36.414,-20.557,-0.616,-16.628,-18.554,-18.805,-18.710,-33.412,-3.564,-29.528,-8.371,-35.207,-30.156,-10.594,-2.972,-2.869,-9.038,-24.060,-33.054
1953,-34.535,-35.825,-35.592,-16.989,-8.687,-3.511,0.042,-0.037,-7.193,-14.558,-32.405,-38.727,-19.001,-33.683,-20.423,-1.169,-18.052,-18.332,-17.572,-17.876,-31.985,-3.877,-27.875,-7.276,-35.317,-29.469,-9.729,-4.052,-2.396,-7.263,-28.564,-29.503
1954,-37.053,-37.617,-30.976,-22.586,-9.243,-3.956,0.634,-0.653,-7.038,-19.537,-30.467,-35.598,-19.507,-37.799,-20.935,-1.325,-19.014,-19.768,-19.930,-19.515,-35.356,-4.051,-30.560,-8.911,-35.215,-30.393,-11.928,-4.188,-2.352,-9.076,-28.534,-36.062
1955,-34.472,-37.249,-33.825,-24.885,-10.422,-1.854,-0.395,-0.415,-8.159,-8.867,-27.144,-29.145,-18.069,-35.773,-23.044,-0.888,-14.724,-18.607,-18.884,-19.773,-34.322,-4.249,-30.862,-7.857,-35.182,-31.986,-12.387,-4.224,-2.990,-5.814,-21.719,-33.513
1956,-33.449,-33.468,-35.718,-20.558,-13.733,-4.226,0.407,0.260,-3.983,-15.904,-27.103,-33.865,-18.445,-32.021,-23.336,-1.186,-15.663,-18.052,-18.055,-17.469,-31.785,-4.255,-26.907,-8.248,-34.212,-29.915,-12.839,-5.851,-1.105,-6.542,-25.624,-29.913
1957,-39.649,-32.762,-27.471,-24.238,-12.247,-2.001,2.450,0.616,-1.945,-11.221,-24.926,-31.361,-17.063,-35.426,-21.319,0.355,-12.697,-17.272,-17.453,-17.843,-32.170,-2.625,-28.713,-6.941,-33.294,-28.157,-12.829,-3.932,0.374,-4.183,-22.503,-33.539
1958,-32.200,-30.640,-29.392,-27.745,-7.754,-1.550,1.085,-0.724,-4.756,-12.969,-28.692,-28.562,-16.991,-31.400,-21.630,-0.396,-15.472,-17.225,-16.911,-16.765,-29.704,-2.740,-26.783,-7.773,-30.744,-29.259,-12.350,-2.740,-1.465,-6.150,-23.408,-29.495
1959,-25.927,-35.446,-35.957,-26.830,-14.220,-3.960,-0.272,-1.784,-6.713,-18.337,-22.608,-30.152,-18.517,-29.978,-25.669,-2.005,-15.886,-18.385,-18.892,-18.444,-30.917,-5.390,-27.769,-10.302,-32.444,-32.744,-15.003,-6.150,-2.923,-8.945,-23.699,-27.727
1960,-34.247,-30.274,-34.320,-28.543,-11.032,-3.227,0.051,0.084,-7.275,-12.576,-24.302,-31.135,-18.066,-31.558,-24.632,-1.031,-14.718,-17.984,-17.843,-18.323,-30.320,-4.280,-28.355,-8.931,-32.947,-31.046,-14.267,-4.736,-2.380,-6.589,-22.671,-29.003
1961,-38.151,-40.478,-41.087,-23.653,-15.286,-2.043,0.031,-1.294,-9.609,-19.670,-29.266,-31.406,-20.993,-36.588,-26.675,-1.102,-19.515,-20.970,-20.557,-19.965,-35.031,-5.640,-30.198,-10.218,-39.906,-35.073,-13.661,-5.766,-3.624,-10.191,-26.781,-31.196
1962,-34.577,-39.906,-26.851,-23.409,-14.634,-3.029,0.079,-1.069,-7.828,-15.976,-23.887,-28.773,-18.322,-35.296,-21.631,-1.340,-15.897,-18.541,-18.989,-19.297,-32.401,-5.296,-29.298,-9.409,-33.778,-30.055,-13.691,-5.861,-2.940,-8.291,-22.879,-31.750
