=======================================================================================
ECMWF ERA5 (0.5x0.5 deg)
2m Temperature (deg C)
Values averaged across Specify Point (68.207N; 226.594E)
---------------------------------------------------------------------------------------
This file was generated using Climate Reanalyzer (https://ClimateReanalyzer.org)
Climate Change Institute; University of Maine; USA (https://climatechange.umaine.edu)
=======================================================================================
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Ann,DJF,MAM,JJA,SON,Ann_D-N,Ann_NO,Ann_OS,NDJFM,MJJAS,ONDJFMA,AMJJASO,JFM,FMA,AMJ,MJJ,JAS,ASO,OND,NDJ
1940,-25.033,-26.673,-20.108,-5.754,1.678,9.950,17.513,8.485,7.121,-4.397,-19.344,-25.589,-6.846,-999,-8.061,11.983,-5.540,-999,-999,-999,-999,8.950,-999,4.943,-23.938,-17.512,1.958,9.714,11.040,3.736,-16.443,-999
1941,-27.475,-22.818,-24.030,-10.127,3.436,10.346,13.943,8.465,-2.290,-11.939,-22.973,-28.001,-9.455,-25.294,-10.240,10.918,-12.401,-9.254,-8.952,-8.323,-23.851,6.780,-19.112,1.691,-24.775,-18.992,1.218,9.242,6.706,-1.921,-20.971,-24.136
1942,-24.159,-25.920,-22.410,-9.497,2.725,11.814,13.217,8.437,2.274,-6.426,-25.225,-33.166,-9.028,-26.027,-9.727,11.156,-9.792,-8.597,-8.410,-8.869,-24.693,7.694,-20.700,3.221,-24.163,-19.276,1.681,9.252,7.976,1.429,-21.605,-25.044
1943,-32.541,-21.448,-20.536,-6.192,5.617,13.176,15.142,11.555,2.846,-3.581,-14.301,-25.411,-6.306,-29.051,-7.037,13.291,-5.012,-6.952,-7.863,-8.100,-26.583,9.667,-20.790,5.509,-24.841,-16.058,4.200,11.311,9.848,3.607,-14.431,-30.310
1944,-24.333,-23.745,-20.261,-6.120,2.288,12.536,13.648,8.709,1.474,-5.018,-21.951,-24.051,-7.235,-24.496,-8.031,11.631,-8.498,-7.349,-6.711,-6.591,-21.610,7.731,-16.822,3.931,-22.780,-16.708,2.901,9.491,7.944,1.721,-17.007,-21.348
1945,-26.992,-23.905,-21.484,-9.294,1.034,11.654,13.938,8.930,0.639,-5.285,-24.492,-27.663,-8.577,-24.983,-9.915,11.507,-9.713,-8.276,-8.064,-8.042,-23.677,7.239,-18.957,3.088,-24.127,-18.228,1.131,8.875,7.836,1.428,-19.147,-24.331
1946,-30.422,-31.258,-19.682,-9.693,4.809,12.593,13.733,11.499,-0.544,-6.788,-20.380,-32.159,-9.024,-29.781,-8.189,12.608,-9.237,-8.650,-8.992,-8.867,-26.703,8.418,-21.213,3.658,-27.120,-20.211,2.569,10.378,8.229,1.389,-19.776,-27.526
1947,-28.052,-31.254,-16.712,-10.387,1.663,10.269,14.130,6.973,2.751,-7.166,-18.365,-23.292,-8.287,-30.488,-8.479,10.457,-7.593,-9.026,-9.194,-9.162,-25.711,7.157,-20.819,2.605,-25.339,-19.451,0.515,8.687,7.951,0.853,-16.274,-26.864
1948,-26.479,-24.798,-21.858,-11.329,1.152,9.858,14.721,8.445,-0.307,-10.302,-22.210,-33.349,-9.705,-24.856,-10.678,11.008,-10.940,-8.867,-8.546,-8.285,-22.958,6.774,-19.041,1.748,-24.378,-19.328,-0.106,8.577,7.620,-0.721,-21.954,-22.712
1949,-27.247,-30.206,-15.237,-11.952,-1.412,7.222,11.613,11.928,6.200,-5.765,-13.207,-26.340,-7.867,-30.267,-9.534,10.254,-4.257,-8.451,-9.201,-9.579,-25.650,7.110,-21.501,2.548,-24.230,-19.132,-2.047,5.808,9.914,4.121,-15.104,-27.602
1950,-23.912,-31.992,-18.359,-9.586,2.822,13.142,15.652,10.039,5.139,-6.795,-17.897,-25.528,-7.273,-27.414,-8.374,12.944,-6.517,-7.340,-6.950,-6.864,-22.762,9.359,-18.451,4.345,-24.754,-19.979,2.126,10.539,10.276,2.794,-16.740,-21.153
1951,-33.958,-28.488,-26.462,-10.711,1.403,8.221,14.416,15.689,4.496,-9.288,-16.622,-26.964,-9.023,-29.325,-11.924,12.775,-7.138,-8.903,-9.009,-8.801,-26.467,8.845,-21.406,3.461,-29.636,-21.887,-0.363,8.013,11.533,3.632,-17.625,-25.794
1952,-33.824,-31.875,-22.167,-10.732,-0.779,10.903,14.010,9.843,0.299,-5.136,-12.767,-25.651,-8.990,-30.888,-11.226,11.585,-5.868,-9.099,-9.420,-9.766,-26.290,6.855,-21.639,2.630,-29.288,-21.591,-0.203,8.045,8.051,1.669,-14.518,-25.803
