=======================================================================================
ECMWF ERA5 (0.5x0.5 deg)
2m Dewpoint Temperature (deg C)
Values averaged across Specify Point (67.32N; 209.85E)
---------------------------------------------------------------------------------------
This file was generated using Climate Reanalyzer (https://ClimateReanalyzer.org)
Climate Change Institute; University of Maine; USA (https://climatechange.umaine.edu)
=======================================================================================
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Ann,DJF,MAM,JJA,SON,Ann_D-N,Ann_NO,Ann_OS,NDJFM,MJJAS,ONDJFMA,AMJJASO,JFM,FMA,AMJ,MJJ,JAS,ASO,OND,NDJ
1940,-28.938,-27.530,-22.778,-7.428,-1.216,5.473,7.318,3.741,-0.802,-10.986,-25.044,-27.046,-11.270,-999,-10.474,5.511,-12.277,-999,-999,-999,-999,2.903,-999,-0.557,-26.416,-19.245,-1.057,3.858,3.419,-2.682,-21.025,-999
1941,-31.769,-24.697,-25.354,-11.263,-3.669,2.176,5.791,4.058,-5.472,-17.720,-29.515,-28.069,-13.792,-27.837,-13.428,4.008,-17.569,-13.707,-13.334,-12.773,-26.782,0.577,-22.308,-3.728,-27.273,-20.438,-4.252,1.433,1.459,-6.378,-25.101,-27.953
1942,-27.575,-25.361,-26.068,-12.773,-4.078,5.101,4.972,3.454,-1.239,-12.980,-29.956,-36.107,-13.551,-27.002,-14.306,4.509,-14.725,-12.881,-12.844,-13.239,-27.318,1.642,-23.869,-2.506,-26.334,-21.401,-3.917,1.998,2.395,-3.589,-26.348,-28.386
1943,-38.065,-24.131,-25.272,-12.543,-2.303,5.957,7.091,3.678,-2.381,-12.328,-20.245,-27.758,-12.358,-32.768,-13.373,5.575,-11.652,-13.054,-13.863,-13.918,-30.706,2.408,-25.579,-1.833,-29.156,-20.649,-2.963,3.582,2.796,-3.677,-20.110,-34.709
1944,-26.895,-23.085,-23.204,-14.115,-1.926,5.482,8.188,3.466,-4.350,-11.735,-26.157,-26.359,-11.724,-25.913,-13.081,5.712,-14.081,-11.841,-11.348,-11.397,-24.237,2.172,-21.090,-2.141,-24.395,-20.135,-3.520,3.915,2.435,-4.206,-21.417,-24.966
1945,-26.249,-24.769,-23.428,-14.954,-6.266,3.506,7.064,3.587,-2.242,-12.609,-30.466,-27.986,-12.901,-25.792,-14.883,4.719,-15.106,-12.765,-12.406,-12.333,-25.392,1.130,-21.950,-3.131,-24.815,-21.050,-5.905,1.435,2.803,-3.755,-23.687,-26.255
1946,-27.398,-29.811,-25.910,-16.433,-1.678,6.780,7.006,3.321,-3.642,-11.775,-27.439,-36.569,-13.629,-28.398,-14.674,5.702,-14.285,-12.914,-13.166,-13.236,-28.314,2.358,-24.373,-2.346,-27.707,-24.052,-3.777,4.036,2.228,-4.032,-25.261,-28.617
1947,-36.077,-27.747,-17.823,-17.007,-1.682,4.762,7.846,1.571,-5.027,-15.140,-22.342,-23.085,-12.646,-33.464,-12.171,4.726,-14.170,-13.770,-14.194,-13.914,-29.131,1.494,-24.920,-3.525,-27.216,-20.859,-4.643,3.642,1.463,-6.198,-20.189,-33.362
1948,-27.451,-30.050,-26.604,-17.012,-4.846,5.288,6.093,1.607,-6.330,-15.165,-27.563,-33.937,-14.664,-26.862,-16.154,4.329,-16.353,-13.760,-13.325,-13.323,-25.906,0.362,-23.098,-4.338,-28.035,-24.555,-5.523,2.178,0.456,-6.630,-25.555,-24.293
1949,-30.160,-32.705,-18.165,-19.290,-5.726,1.517,8.150,5.830,1.203,-12.713,-16.057,-30.831,-12.412,-32.267,-14.394,5.166,-9.189,-12.671,-13.630,-13.834,-28.506,2.195,-25.284,-3.004,-27.010,-23.387,-7.833,1.314,5.061,-1.893,-19.867,-30.553
1950,-27.869,-37.120,-18.380,-13.181,-3.141,4.625,8.407,5.209,-1.037,-12.768,-25.402,-26.503,-12.263,-31.940,-11.567,6.080,-13.069,-12.624,-11.845,-11.841,-26.052,2.812,-22.307,-1.698,-27.790,-22.894,-3.899,3.297,4.193,-2.866,-21.558,-24.919
1951,-36.713,-33.620,-30.735,-12.694,-2.077,2.693,6.698,6.443,-1.169,-15.898,-18.691,-29.281,-13.754,-32.279,-15.169,5.278,-11.920,-13.522,-14.081,-13.821,-30.595,2.518,-25.491,-2.286,-33.689,-25.683,-4.026,2.438,3.991,-3.541,-21.290,-29.539
1952,-35.579,-32.153,-23.604,-16.047,-7.631,4.933,7.323,3.622,-5.014,-12.168,-17.015,-27.356,-13.391,-32.337,-15.760,5.293,-11.399,-13.551,-13.691,-14.002,-27.861,0.647,-24.465,-3.569,-30.445,-23.934,-6.248,1.542,1.977,-4.520,-18.846,-27.850
1953,-38.004,-26.983,-26.200,-11.659,-2.537,6.600,6.382,4.516,-1.652,-15.248,-24.841,-27.729,-13.113,-30.781,-13.465,5.832,-13.913,-13.082,-12.430,-12.173,-27.112,2.662,-22.769,-1.942,-30.396,-21.614,-2.532,3.482,3.082,-4.128,-22.606,-27.458
1954,-34.752,-35.842,-21.921,-16.780,-3.275,3.945,5.704,6.390,-3.559,-12.672,-21.219,-36.714,-14.224,-32.774,-13.992,5.346,-12.483,-13.476,-13.778,-13.992,-29.017,1.841,-25.302,-2.892,-30.838,-24.848,-5.370,2.125,2.845,-3.280,-23.535,-29.107
1955,-27.947,-36.749,-25.870,-18.107,-3.797,3.678,8.068,2.198,-2.536,-14.256,-31.405,-32.780,-14.959,-33.803,-15.925,4.648,-16.066,-15.287,-14.438,-14.306,-29.700,1.522,-25.611,-3.536,-30.189,-26.909,-6.076,2.649,2.577,-4.865,-26.147,-28.626
1956,-35.343,-33.817,-24.931,-14.793,-2.914,3.940,6.055,4.044,-4.713,-20.249,-27.831,-35.766,-15.527,-33.980,-14.213,4.680,-17.598,-15.278,-15.576,-15.076,-31.655,1.282,-26.761,-4.090,-31.364,-24.514,-4.589,2.360,1.795,-6.973,-27.949,-33.176
1957,-26.091,-31.426,-21.770,-11.816,-3.544,3.743,5.995,6.399,-1.904,-11.205,-21.803,-33.246,-12.222,-31.094,-12.377,5.379,-11.637,-12.432,-12.935,-13.688,-28.577,2.138,-24.993,-1.762,-26.429,-21.671,-3.872,2.065,3.497,-2.237,-22.085,-29.896
1958,-28.299,-31.728,-21.263,-11.100,-3.568,7.370,8.177,6.364,-2.291,-20.365,-25.749,-30.622,-12.756,-31.091,-11.977,7.303,-16.135,-12.975,-12.646,-11.883,-27.268,3.210,-22.663,-2.202,-27.097,-21.364,-2.433,3.993,4.083,-5.431,-25.579,-27.783
1959,-35.246,-24.142,-33.471,-17.928,-4.311,5.333,4.049,3.646,-3.820,-15.259,-25.999,-30.648,-14.816,-30.003,-18.570,4.342,-15.026,-14.814,-14.793,-15.219,-29.846,0.979,-26.789,-4.042,-30.953,-25.180,-5.635,1.690,1.291,-5.144,-23.969,-30.539
1960,-28.958,-25.899,-27.728,-17.198,-2.710,2.539,5.883,4.239,-4.328,-15.510,-30.609,-24.561,-13.737,-28.502,-15.879,4.220,-16.815,-14.244,-13.860,-13.839,-27.846,1.124,-24.527,-3.869,-27.528,-23.608,-5.790,1.904,1.931,-5.200,-23.560,-28.535
1961,-27.827,-33.478,-29.775,-18.681,-2.532,5.074,6.135,4.527,-0.725,-17.040,-31.250,-35.076,-15.054,-28.622,-16.996,5.245,-16.338,-14.178,-14.124,-13.997,-29.250,2.496,-25.777,-3.320,-30.360,-27.311,-5.380,2.892,3.312,-4.412,-27.788,-27.665
1962,-29.704,-24.183,-26.448,-15.524,-5.632,2.817,7.395,6.876,-4.797,-12.919,-25.934,-27.042,-12.925,-29.654,-15.868,5.696,-14.550,-13.594,-14.037,-14.381,-29.332,1.332,-25.604,-3.112,-26.779,-22.052,-6.113,1.527,3.158,-3.613,-21.965,-32.010
1963,-27.341,-27.435,-28.323,-15.561,-2.421,2.822,6.287,4.437,-3.498,-15.244,-31.544,-24.380,-13.517,-27.273,-15.435,4.516,-16.762,-13.738,-13.271,-13.077,-27.215,1.526,-23.508,-3.311,-27.700,-23.773,-5.053,2.230,2.409,-4.768,-23.723,-26.773
1964,-33.378,-28.834,-32.898,-17.438,-9.491,3.527,6.431,5.381,-1.105,-9.860,-25.505,-38.883,-15.171,-28.864,-19.942,5.113,-12.157,-13.962,-14.466,-14.914,-30.207,0.949,-26.245,-3.222,-31.703,-26.390,-7.800,0.156,3.569,-1.861,-24.750,-29.767
1965,-32.327,-36.245,-16.803,-14.129,-6.890,3.375,6.836,3.406,-0.502,-21.564,-21.696,-29.581,-13.843,-35.818,-12.607,4.539,-14.587,-14.618,-14.936,-13.961,-29.953,1.245,-24.822,-4.210,-28.458,-22.392,-5.881,1.107,3.247,-6.220,-24.280,-32.238
1966,-39.466,-31.081,-27.957,-17.784,-5.795,3.851,5.050,3.200,-0.376,-15.074,-24.716,-31.579,-15.144,-33.376,-17.179,4.034,-13.388,-14.977,-14.726,-15.266,-29.956,1.186,-27.018,-3.847,-32.835,-25.607,-6.576,1.036,2.625,-4.083,-23.789,-30.248
1967,-33.031,-31.752,-26.316,-12.379,-5.977,2.770,5.259,3.494,-1.213,-14.928,-23.840,-26.322,-13.686,-32.120,-14.891,3.841,-13.327,-14.124,-14.197,-14.209,-29.479,0.867,-24.978,-3.282,-30.366,-23.482,-5.195,0.684,2.513,-4.216,-21.697,-29.775
1968,-31.112,-29.965,-22.966,-16.956,-6.347,3.042,6.160,5.292,-5.261,-17.838,-25.743,-32.214,-14.492,-29.133,-15.423,4.831,-16.281,-14.001,-13.843,-13.600,-26.841,0.577,-23.727,-4.558,-28.014,-23.296,-6.754,0.952,2.064,-5.936,-25.265,-27.091
1969,-35.467,-30.656,-25.552,-11.237,-5.004,3.291,4.290,-1.353,-1.225,-10.310,-27.929,-20.712,-13.489,-32.779,-13.931,2.076,-13.155,-14.447,-14.265,-14.892,-29.926,-0.000,-25.530,-3.078,-30.559,-22.482,-4.317,0.859,0.571,-4.296,-19.651,-31.141
1970,-34.108,-27.388,-22.833,-14.825,-4.411,2.607,7.639,5.067,-8.761,-18.652,-23.996,-31.072,-14.228,-27.403,-14.023,5.104,-17.136,-13.364,-13.692,-12.997,-26.594,0.428,-22.587,-4.477,-28.110,-21.682,-5.543,1.945,1.315,-7.449,-24.573,-27.583
1971,-40.227,-34.452,-31.925,-17.612,-3.699,4.025,5.363,3.439,-2.415,-16.146,-25.765,-30.046,-15.788,-35.250,-17.745,4.276,-14.775,-15.874,-15.726,-15.935,-32.334,1.343,-28.277,-3.863,-35.535,-27.996,-5.762,1.897,2.129,-5.041,-23.986,-31.765
1972,-35.794,-35.662,-31.636,-20.399,-4.338,4.182,6.923,6.733,-4.707,-11.232,-23.609,-27.278,-14.735,-33.834,-18.791,5.946,-13.183,-14.965,-15.145,-15.555,-31.781,1.759,-27.921,-3.262,-34.364,-29.232,-6.851,2.256,2.983,-3.069,-20.706,-30.535
1973,-34.124,-33.042,-27.887,-14.141,-2.267,3.651,6.174,4.210,-0.582,-15.592,-27.443,-28.450,-14.124,-31.481,-14.765,4.678,-14.539,-14.027,-13.707,-13.344,-29.188,2.237,-24.473,-2.650,-31.684,-25.023,-4.252,2.519,3.267,-3.988,-23.829,-28.337
1974,-33.324,-39.896,-28.335,-15.418,-4.652,2.777,5.256,6.307,0.621,-18.806,-27.918,-34.013,-15.617,-33.890,-16.135,4.780,-15.367,-15.153,-15.114,-14.846,-31.490,2.062,-26.923,-3.416,-33.852,-27.883,-5.764,1.127,4.061,-3.959,-26.912,-29.739
1975,-34.120,-29.390,-24.025,-17.457,-4.098,5.044,6.894,4.940,-3.673,-15.470,-30.261,-33.923,-14.628,-32.507,-15.193,5.626,-16.468,-14.636,-14.440,-14.718,-29.893,1.821,-26.533,-3.403,-29.178,-23.624,-5.504,2.613,2.720,-4.734,-26.551,-32.017
1976,-32.341,-34.697,-25.746,-13.128,-2.468,3.898,6.693,6.756,0.616,-14.604,-18.057,-31.468,-12.879,-33.654,-13.781,5.782,-10.681,-13.083,-14.100,-14.173,-31.394,3.099,-26.509,-1.748,-30.928,-24.524,-3.899,2.708,4.688,-2.410,-21.376,-32.175
1977,-23.469,-23.211,-30.727,-18.157,-3.774,5.087,5.501,7.716,-0.371,-14.018,-29.141,-30.533,-12.925,-26.049,-17.553,6.101,-14.510,-13.003,-12.079,-12.128,-25.387,2.832,-22.813,-2.574,-25.803,-24.032,-5.615,2.271,4.282,-2.224,-24.564,-24.331
1978,-23.720,-27.173,-25.711,-14.184,-5.162,3.410,7.894,4.586,0.722,-18.637,-20.325,-27.680,-12.165,-27.142,-15.019,5.297,-12.747,-12.403,-13.137,-12.753,-27.256,2.290,-23.497,-3.053,-25.535,-22.356,-5.312,2.047,4.401,-4.443,-22.214,-27.798
1979,-28.208,-38.138,-25.274,-15.575,-2.075,2.906,6.619,7.020,-2.330,-10.085,-15.278,-32.275,-12.724,-31.342,-14.308,5.515,-9.231,-12.342,-12.762,-13.475,-27.925,2.428,-24.834,-1.931,-30.540,-26.329,-4.914,2.483,3.769,-1.799,-19.213,-25.404
1980,-33.196,-26.018,-24.229,-13.659,-3.478,4.347,7.544,3.495,-7.654,-12.712,-23.385,-36.581,-13.794,-30.496,-13.789,5.129,-14.584,-13.435,-12.759,-12.540,-26.199,0.851,-22.106,-3.160,-27.814,-21.302,-4.263,2.804,1.128,-5.624,-24.226,-26.916
1981,-18.636,-28.688,-19.697,-15.409,-2.327,2.135,5.296,3.114,-4.310,-12.261,-23.499,-28.655,-11.911,-27.968,-12.477,3.515,-13.357,-12.572,-12.562,-12.600,-25.397,0.782,-22.158,-3.395,-22.340,-21.265,-5.200,1.701,1.367,-4.486,-21.472,-26.201
1982,-37.341,-30.131,-24.032,-17.458,-6.678,4.688,7.459,4.448,-0.456,-20.475,-25.902,-27.194,-14.423,-32.042,-16.056,5.531,-15.611,-14.545,-14.344,-13.660,-28.732,1.892,-24.768,-4.068,-30.501,-23.874,-6.483,1.823,3.817,-5.494,-24.524,-29.832
1983,-35.768,-28.780,-26.653,-11.834,-8.100,3.573,7.780,3.930,-6.755,-17.749,-22.542,-28.887,-14.315,-30.580,-15.529,5.094,-15.682,-14.174,-14.454,-14.681,-28.859,0.086,-25.229,-4.165,-30.400,-22.422,-5.454,1.084,1.652,-6.858,-23.059,-29.621
1984,-32.703,-37.397,-22.836,-16.262,-5.133,5.142,6.136,2.550,-2.068,-13.846,-31.356,-30.201,-14.831,-32.996,-14.744,4.609,-15.757,-14.722,-13.987,-14.312,-28.873,1.325,-25.482,-3.354,-30.979,-25.498,-5.417,2.049,2.206,-4.455,-25.135,-28.044
1985,-19.812,-32.951,-23.912,-20.999,-5.017,3.725,6.447,4.408,-2.791,-17.467,-27.142,-20.699,-13.017,-27.655,-16.643,4.860,-15.800,-13.809,-14.160,-13.859,-27.646,1.354,-24.725,-4.528,-25.558,-25.954,-7.431,1.718,2.688,-5.283,-21.769,-27.123
1986,-30.673,-26.169,-30.237,-21.380,-6.281,4.838,7.353,2.971,-1.760,-16.878,-27.777,-22.234,-14.019,-25.847,-19.299,5.054,-15.472,-13.891,-13.838,-13.887,-26.984,1.424,-24.824,-4.448,-29.026,-25.929,-7.608,1.970,2.855,-5.222,-22.296,-26.171
1987,-27.106,-29.944,-26.591,-15.040,-3.326,4.427,6.897,4.742,-4.367,-10.640,-23.865,-24.925,-12.478,-26.428,-14.986,5.355,-12.957,-12.254,-12.580,-13.100,-26.730,1.675,-23.653,-2.472,-27.880,-23.858,-4.646,2.666,2.424,-3.422,-19.810,-25.706
1988,-28.075,-29.141,-23.389,-12.713,-2.194,4.942,5.930,5.492,-1.755,-22.018,-30.267,-22.658,-12.987,-27.380,-12.765,5.455,-18.013,-13.176,-12.642,-11.694,-25.879,2.483,-21.821,-3.188,-26.868,-21.747,-3.322,2.893,3.222,-6.094,-24.981,-25.622
1989,-36.878,-21.169,-29.309,-10.427,-3.686,5.016,6.805,7.084,-0.703,-16.175,-30.583,-25.011,-12.920,-26.902,-14.474,6.302,-15.820,-12.724,-12.697,-13.184,-28.056,2.903,-24.675,-1.726,-29.119,-20.302,-3.032,2.712,4.396,-3.264,-23.923,-29.935
1990,-34.230,-38.347,-20.627,-10.977,-0.759,4.774,7.274,6.213,-4.170,-15.139,-30.887,-32.802,-14.140,-32.529,-10.788,6.087,-16.732,-13.491,-13.465,-13.552,-29.760,2.666,-25.136,-1.826,-31.068,-23.317,-2.321,3.763,3.106,-4.366,-26.276,-29.941
1991,-26.705,-30.994,-24.327,-12.329,0.071,5.565,4.949,2.288,-1.350,-14.166,-29.505,-29.327,-12.986,-30.167,-12.195,4.267,-15.007,-13.275,-13.391,-13.472,-29.143,2.305,-24.740,-2.139,-27.342,-22.550,-2.231,3.528,1.962,-4.409,-24.333,-30.131
1992,-29.708,-30.753,-20.193,-17.523,-8.148,5.360,6.700,5.056,-11.012,-17.290,-24.150,-30.684,-14.362,-29.929,-15.288,5.706,-17.484,-14.249,-14.695,-14.435,-27.897,-0.409,-24.454,-5.265,-26.885,-22.823,-6.770,1.304,0.248,-7.749,-24.042,-29.513
1993,-27.568,-26.955,-21.408,-10.557,-2.449,5.245,9.061,4.172,-4.497,-10.981,-24.005,-25.370,-11.276,-28.403,-11.471,6.159,-13.161,-11.719,-11.731,-12.257,-26.153,2.306,-22.659,-1.429,-25.310,-19.640,-2.587,3.952,2.912,-3.769,-20.118,-27.468
1994,-29.505,-29.873,-25.304,-13.611,-1.751,2.447,8.238,5.941,-4.100,-13.534,-29.247,-28.464,-13.230,-28.249,-13.556,5.542,-15.627,-12.972,-12.535,-12.323,-26.811,2.155,-22.664,-2.338,-28.227,-22.929,-4.305,2.978,3.360,-3.897,-23.748,-26.293
1995,-29.917,-28.085,-26.593,-7.674,-1.488,5.040,7.681,4.367,1.111,-12.517,-26.593,-31.745,-12.201,-28.822,-11.918,5.696,-12.666,-11.928,-12.149,-12.234,-28.461,3.342,-23.359,-0.497,-28.199,-20.784,-1.374,3.744,4.386,-2.346,-23.618,-29.209
1996,-31.506,-28.912,-23.944,-15.733,-3.547,3.937,7.150,0.528,-5.231,-20.961,-26.070,-26.018,-14.192,-30.721,-14.408,3.872,-17.421,-14.669,-14.713,-14.009,-28.540,0.568,-24.421,-4.837,-28.121,-22.863,-5.114,2.513,0.816,-8.555,-24.350,-29.948
1997,-31.531,-22.623,-28.930,-12.593,-3.543,4.994,6.848,5.802,1.623,-19.305,-21.196,-26.251,-12.225,-26.724,-15.022,5.881,-12.959,-12.206,-12.612,-12.750,-27.034,3.145,-24.104,-2.311,-27.695,-21.382,-3.714,2.766,4.758,-3.960,-22.251,-27.873
1998,-30.645,-24.815,-18.443,-8.802,-2.230,5.597,9.711,4.285,-1.720,-15.290,-22.571,-25.915,-10.903,-27.237,-9.825,6.531,-13.194,-10.931,-10.817,-11.151,-24.270,3.129,-21.351,-1.207,-24.635,-17.353,-1.811,4.360,4.092,-4.242,-21.259,-26.031
1999,-33.133,-32.976,-24.060,-12.342,-3.818,5.860,5.802,5.531,-1.621,-17.046,-27.802,-31.440,-13.921,-30.675,-13.407,5.731,-15.490,-13.460,-13.024,-12.878,-27.731,2.351,-23.755,-2.519,-30.057,-23.126,-3.433,2.615,3.237,-4.379,-25.429,-27.207
2000,-28.986,-22.681,-23.722,-16.720,-7.194,5.409,5.794,1.988,-4.431,-16.090,-21.064,-26.640,-12.861,-27.702,-15.879,4.397,-13.861,-13.261,-13.823,-13.903,-26.926,0.313,-24.057,-4.463,-25.130,-21.041,-6.168,1.336,1.117,-6.177,-21.264,-29.409
2001,-22.038,-24.069,-26.219,-14.631,-8.110,3.937,5.975,4.233,-0.078,-14.710,-23.914,-27.996,-12.302,-24.249,-16.320,4.715,-12.901,-12.189,-11.951,-12.066,-24.006,1.191,-21.536,-3.341,-24.109,-21.639,-6.268,0.600,3.377,-3.518,-22.207,-23.247
2002,-24.363,-28.924,-24.016,-15.941,-5.288,2.892,5.644,1.451,0.352,-12.002,-16.359,-21.467,-11.502,-27.094,-15.082,3.329,-9.336,-12.046,-12.675,-12.901,-25.843,1.010,-22.838,-3.270,-25.768,-22.960,-6.112,1.083,2.482,-3.400,-16.609,-25.424
2003,-30.619,-22.591,-24.427,-13.058,-5.262,3.883,5.339,4.226,-6.446,-9.225,-23.410,-29.362,-12.579,-24.892,-14.249,4.483,-13.027,-11.921,-11.334,-11.565,-23.093,0.348,-20.075,-2.935,-25.879,-20.025,-4.812,1.320,1.040,-3.815,-20.666,-22.815
2004,-33.717,-27.774,-27.937,-12.791,-1.891,6.800,8.694,5.770,-5.890,-10.554,-24.362,-27.561,-12.601,-30.284,-14.206,7.088,-13.602,-12.751,-12.672,-12.561,-28.440,2.697,-23.459,-1.409,-29.810,-22.834,-2.627,4.534,2.858,-3.558,-20.826,-28.830
2005,-29.631,-27.061,-20.018,-14.379,0.674,4.517,5.770,5.052,0.209,-12.469,-29.826,-22.066,-11.602,-28.084,-11.241,5.113,-14.029,-12.060,-11.605,-11.445,-25.727,3.244,-21.938,-1.518,-25.570,-20.486,-3.063,3.654,3.677,-2.403,-21.454,-27.185
2006,-33.668,-23.139,-28.247,-16.621,-3.755,3.920,6.491,4.277,1.619,-8.415,-27.630,-24.358,-12.460,-26.291,-16.208,4.896,-11.475,-12.269,-12.452,-12.790,-27.389,2.511,-23.719,-1.783,-28.351,-22.669,-5.485,2.219,4.129,-0.839,-20.134,-28.520
