=======================================================================================
ECMWF ERA5 (0.5x0.5 deg)
2m Temperature (deg C)
Values averaged across Specify Point (67.32N; 209.85E)
---------------------------------------------------------------------------------------
This file was generated using Climate Reanalyzer (https://ClimateReanalyzer.org)
Climate Change Institute; University of Maine; USA (https://climatechange.umaine.edu)
=======================================================================================
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Ann,DJF,MAM,JJA,SON,Ann_D-N,Ann_NO,Ann_OS,NDJFM,MJJAS,ONDJFMA,AMJJASO,JFM,FMA,AMJ,MJJ,JAS,ASO,OND,NDJ
1940,-25.275,-24.066,-18.809,-2.828,5.192,11.405,13.763,8.905,1.788,-9.053,-21.846,-24.265,-7.091,-999,-5.482,11.358,-9.704,-999,-999,-999,-999,8.211,-999,4.167,-22.717,-15.234,4.590,10.120,8.152,0.546,-18.388,-999
1941,-28.866,-21.492,-20.591,-7.426,0.965,9.438,9.166,7.307,0.200,-15.119,-26.383,-25.021,-9.818,-24.874,-9.017,8.637,-13.767,-9.755,-9.377,-8.872,-23.412,5.415,-19.077,0.647,-23.650,-16.503,0.992,6.523,5.558,-2.537,-22.174,-24.992
1942,-24.407,-22.139,-21.758,-8.924,-0.085,9.056,8.604,6.508,1.131,-10.840,-26.523,-33.176,-10.213,-23.856,-10.256,8.056,-12.077,-9.533,-9.521,-9.878,-23.941,5.043,-20.536,0.779,-22.768,-17.607,0.015,5.858,5.414,-1.067,-23.513,-25.270
1943,-34.591,-21.346,-20.789,-8.485,1.836,10.605,11.128,6.288,0.100,-10.641,-17.693,-24.594,-9.015,-29.704,-9.146,9.340,-9.412,-9.730,-10.466,-10.483,-27.285,5.991,-22.250,1.547,-25.576,-16.874,1.319,7.856,5.839,-1.418,-17.643,-31.430
1944,-23.972,-20.227,-19.755,-9.800,1.433,10.025,11.355,6.463,-2.630,-9.856,-23.228,-23.618,-8.651,-22.931,-9.374,9.281,-11.905,-8.732,-8.271,-8.336,-21.248,5.329,-18.098,0.999,-21.318,-16.594,0.553,7.604,5.063,-2.008,-18.901,-22.087
1945,-21.924,-21.224,-19.302,-10.487,-2.099,6.812,11.276,5.743,-0.439,-10.697,-26.742,-23.892,-9.415,-22.255,-10.630,7.943,-12.626,-9.392,-9.099,-9.029,-21.859,4.258,-18.520,0.015,-20.817,-17.004,-1.925,5.329,5.526,-1.798,-20.443,-22.923
1946,-23.959,-24.963,-22.148,-12.424,1.070,11.306,13.147,6.435,-0.548,-9.734,-23.749,-33.505,-9.923,-24.271,-11.167,10.296,-11.343,-9.122,-9.371,-9.451,-24.341,6.282,-20.689,1.322,-23.690,-19.845,-0.016,8.508,6.345,-1.282,-22.329,-24.864
1947,-33.236,-24.037,-14.911,-11.835,2.454,9.612,12.251,5.447,-2.264,-12.537,-19.348,-20.264,-9.056,-30.259,-8.097,9.104,-11.383,-10.159,-10.526,-10.292,-25.888,5.500,-21.572,0.447,-24.061,-16.928,0.077,8.106,5.145,-3.118,-17.383,-30.163
1948,-23.856,-25.550,-21.874,-13.149,-0.971,9.876,9.965,5.261,-3.014,-12.858,-25.007,-30.851,-11.002,-23.223,-11.998,8.367,-13.626,-10.120,-9.649,-9.622,-22.178,4.223,-19.511,-0.699,-23.760,-20.191,-1.415,6.290,4.071,-3.537,-22.905,-21.156
1949,-27.317,-28.856,-14.519,-14.536,-1.834,5.855,12.371,9.559,4.057,-9.931,-13.924,-27.658,-8.894,-29.008,-10.296,9.261,-6.599,-9.161,-10.084,-10.328,-25.310,6.002,-21.992,0.792,-23.564,-19.304,-3.505,5.464,8.662,1.228,-17.171,-27.725
