=======================================================================================
ECMWF ERA5 (0.5x0.5 deg)
2m Dewpoint Temperature (deg C)
Values averaged across Specify Point (65.5N; 211.31E)
---------------------------------------------------------------------------------------
This file was generated using Climate Reanalyzer (https://ClimateReanalyzer.org)
Climate Change Institute; University of Maine; USA (https://climatechange.umaine.edu)
=======================================================================================
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Ann,DJF,MAM,JJA,SON,Ann_D-N,Ann_NO,Ann_OS,NDJFM,MJJAS,ONDJFMA,AMJJASO,JFM,FMA,AMJ,MJJ,JAS,ASO,OND,NDJ
1940,-22.780,-23.938,-19.749,-4.061,0.670,8.733,9.326,5.236,1.776,-6.844,-20.589,-25.076,-8.108,-999,-7.713,7.765,-8.552,-999,-999,-999,-999,5.148,-999,2.119,-22.156,-15.916,1.781,6.243,5.446,0.056,-17.503,-999
1941,-29.241,-19.265,-20.531,-6.415,-0.483,5.475,8.453,6.421,-2.833,-11.800,-25.502,-27.671,-10.283,-24.527,-9.143,6.783,-13.378,-10.066,-9.657,-9.244,-22.940,3.407,-18.280,-0.169,-23.013,-15.404,-0.474,4.482,4.014,-2.737,-21.657,-24.968
1942,-23.485,-19.125,-19.740,-7.064,0.436,7.181,7.171,6.874,2.532,-7.714,-27.132,-35.896,-9.663,-23.427,-8.789,7.075,-10.771,-8.978,-8.842,-9.183,-23.104,4.839,-19.198,1.345,-20.783,-15.309,0.184,4.929,5.526,0.564,-23.581,-25.552
1943,-36.202,-20.751,-18.581,-8.139,0.443,8.027,9.079,5.935,0.738,-6.226,-16.431,-24.586,-8.891,-30.949,-8.759,7.681,-7.306,-9.833,-10.725,-10.849,-27.712,4.845,-22.059,1.408,-25.178,-15.823,0.111,5.850,5.251,0.149,-15.748,-33.076
1944,-25.368,-19.003,-16.921,-9.398,1.133,8.151,10.464,6.867,0.400,-6.403,-21.196,-21.995,-7.772,-22.986,-8.395,8.494,-9.066,-7.988,-7.591,-7.576,-20.462,5.403,-16.847,1.602,-20.430,-15.107,-0.038,6.583,5.910,0.288,-16.531,-22.128
1945,-22.312,-20.970,-18.869,-10.540,-2.035,6.302,10.082,7.068,1.895,-6.955,-24.798,-24.941,-8.839,-21.759,-10.482,7.817,-9.953,-8.594,-8.294,-8.248,-21.068,4.662,-17.469,0.831,-20.717,-16.793,-2.091,4.783,6.348,0.669,-18.898,-21.835
1946,-26.420,-25.507,-21.508,-10.564,1.566,9.206,10.293,5.729,-0.237,-5.324,-24.510,-34.206,-10.123,-25.622,-10.168,8.409,-10.024,-9.351,-9.375,-9.511,-24.635,5.311,-20.099,1.524,-24.478,-19.193,0.070,7.022,5.262,0.056,-21.346,-25.386
1947,-33.282,-25.137,-13.135,-9.843,0.478,7.006,9.797,4.354,-0.085,-9.786,-17.934,-20.669,-9.020,-30.875,-7.500,7.052,-9.268,-10.148,-10.696,-10.324,-26.054,4.310,-20.777,0.274,-23.852,-16.039,-0.786,5.760,4.689,-1.839,-16.130,-30.666
1948,-24.338,-25.437,-20.295,-10.131,0.043,8.776,8.997,4.773,-1.445,-9.579,-22.975,-31.898,-10.292,-23.481,-10.128,7.515,-11.333,-9.357,-8.937,-8.954,-21.735,4.229,-18.370,0.205,-23.356,-18.621,-0.438,5.939,4.108,-2.084,-21.484,-20.980
1949,-27.615,-27.607,-12.136,-11.667,-1.230,5.013,10.920,7.535,4.211,-7.000,-14.583,-29.136,-8.608,-29.040,-8.344,7.823,-5.791,-8.838,-9.537,-9.752,-24.446,5.290,-20.497,1.112,-22.453,-17.137,-2.628,4.901,7.555,1.582,-16.906,-27.496
