=======================================================================================
ECMWF ERA5 (0.5x0.5 deg)
2m Temperature (deg C)
Values averaged across Specify Point (65.5N; 211.31E)
---------------------------------------------------------------------------------------
This file was generated using Climate Reanalyzer (https://ClimateReanalyzer.org)
Climate Change Institute; University of Maine; USA (https://climatechange.umaine.edu)
=======================================================================================
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Ann,DJF,MAM,JJA,SON,Ann_D-N,Ann_NO,Ann_OS,NDJFM,MJJAS,ONDJFMA,AMJJASO,JFM,FMA,AMJ,MJJ,JAS,ASO,OND,NDJ
1940,-19.628,-20.421,-15.782,2.344,8.561,13.857,16.648,13.085,6.346,-3.651,-16.768,-22.245,-3.138,-999,-1.626,14.530,-4.691,-999,-999,-999,-999,11.699,-999,8.170,-18.610,-11.286,8.254,13.022,12.026,5.260,-14.221,-999
1941,-25.792,-16.026,-16.466,-2.574,6.608,13.801,13.057,11.488,3.829,-7.835,-22.629,-24.370,-5.576,-21.354,-4.144,12.782,-8.878,-5.399,-4.910,-4.561,-19.459,9.757,-14.789,5.482,-19.428,-11.688,5.945,11.155,9.458,2.494,-18.278,-21.602
1942,-20.429,-16.231,-15.998,-3.118,6.553,12.454,12.497,10.441,5.176,-5.095,-23.975,-32.142,-5.822,-20.343,-4.187,11.797,-7.965,-5.174,-5.062,-5.291,-19.931,9.424,-15.801,5.558,-17.552,-11.782,5.297,10.501,9.371,3.507,-20.404,-22.476
1943,-32.086,-17.428,-14.770,-2.804,7.490,13.810,14.232,9.612,3.828,-4.153,-13.549,-21.491,-4.776,-27.219,-3.361,12.551,-4.624,-5.663,-6.532,-6.611,-24.080,9.794,-18.329,6.002,-21.428,-11.667,6.166,11.844,9.224,3.096,-13.064,-29.401
1944,-22.388,-15.762,-13.503,-4.214,6.822,13.329,14.738,10.074,3.554,-3.965,-18.341,-19.114,-4.064,-19.880,-3.632,12.714,-6.251,-4.262,-3.863,-3.879,-17.339,9.703,-13.580,5.763,-17.218,-11.160,5.312,11.630,9.455,3.221,-13.807,-19.143
1945,-18.857,-17.745,-15.164,-5.810,3.626,10.484,13.565,10.094,4.557,-3.711,-21.695,-21.511,-5.181,-18.572,-5.783,11.381,-6.950,-4.981,-4.701,-4.723,-17.844,8.465,-14.142,4.686,-17.255,-12.906,2.767,9.225,9.405,3.647,-15.639,-18.771
1946,-23.057,-21.490,-17.850,-5.916,7.004,15.232,16.057,10.954,3.948,-1.917,-20.686,-30.847,-5.714,-22.019,-5.587,14.081,-6.218,-4.936,-5.020,-5.169,-21.120,10.639,-16.461,6.480,-20.799,-15.085,5.440,12.764,10.320,4.328,-17.817,-22.088
1947,-30.140,-21.185,-9.902,-5.251,6.715,12.069,15.396,9.518,4.155,-6.892,-15.334,-17.973,-4.902,-27.391,-2.812,12.328,-6.024,-5.975,-6.421,-6.006,-22.552,9.571,-17.133,5.102,-20.409,-12.112,4.511,11.394,9.690,2.260,-13.400,-27.224
1948,-21.209,-21.427,-16.332,-5.751,4.642,13.460,13.612,9.171,2.845,-7.431,-20.290,-28.390,-6.425,-20.203,-5.814,12.081,-8.292,-5.557,-5.144,-5.099,-18.455,8.746,-14.988,4.364,-19.656,-14.503,4.117,10.571,8.543,1.529,-18.704,-18.172
1949,-24.286,-23.776,-8.749,-7.214,4.573,9.947,14.728,12.496,8.161,-2.852,-12.480,-26.004,-4.621,-25.484,-3.797,12.390,-2.391,-4.820,-5.471,-5.853,-21.098,9.981,-17.162,5.691,-18.937,-13.247,2.435,9.749,11.795,5.935,-13.779,-24.322
1950,-19.863,-29.974,-11.008,-4.152,7.406,13.932,16.863,14.154,6.538,-4.781,-21.115,-20.290,-4.358,-25.280,-2.585,14.983,-6.453,-4.834,-4.114,-3.953,-19.866,11.778,-15.190,7.137,-20.282,-15.045,5.729,12.733,12.518,5.304,-15.395,-19.449
1951,-29.933,-23.140,-21.183,-2.922,7.960,12.658,14.992,13.568,6.152,-7.339,-12.111,-23.148,-5.371,-24.454,-5.382,13.739,-4.433,-5.132,-5.883,-5.670,-23.132,11.066,-17.623,6.438,-24.752,-15.749,5.898,11.870,11.570,4.127,-14.199,-23.779
1952,-27.615,-22.992,-16.360,-5.334,2.559,13.379,14.971,10.855,3.282,-2.587,-11.295,-21.175,-5.193,-24.585,-6.378,13.068,-3.533,-5.357,-5.425,-5.821,-20.445,9.009,-16.414,5.303,-22.322,-14.895,3.535,10.303,9.703,3.850,-11.686,-20.958
1953,-29.273,-19.717,-16.063,-0.759,8.410,15.458,15.893,12.380,6.064,-6.146,-19.778,-22.017,-4.629,-23.388,-2.804,14.577,-6.620,-4.559,-3.852,-3.555,-19.504,11.641,-14.410,7.328,-21.684,-12.180,7.703,13.254,11.445,4.099,-15.980,-20.581
1954,-26.213,-28.103,-12.446,-6.071,8.396,13.172,13.910,12.864,4.617,-3.627,-13.075,-29.621,-5.516,-25.444,-3.374,13.315,-4.028,-4.883,-5.441,-5.651,-21.711,10.592,-17.253,6.180,-22.254,-15.540,5.166,11.826,10.463,4.618,-15.441,-22.670
1955,-21.817,-27.441,-15.440,-8.265,5.673,11.971,15.800,10.686,5.407,-6.398,-24.915,-24.752,-6.624,-26.293,-6.011,12.819,-8.635,-7.030,-6.043,-5.812,-21.479,9.907,-17.041,4.982,-21.566,-17.048,3.126,11.148,10.631,3.231,-18.688,-21.504
