=======================================================================================
ECMWF ERA5 (0.5x0.5 deg)
2m Dewpoint Temperature (deg C)
Values averaged across Specify Point (65.212N; 221.673E)
---------------------------------------------------------------------------------------
This file was generated using Climate Reanalyzer (https://ClimateReanalyzer.org)
Climate Change Institute; University of Maine; USA (https://climatechange.umaine.edu)
=======================================================================================
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Ann,DJF,MAM,JJA,SON,Ann_D-N,Ann_NO,Ann_OS,NDJFM,MJJAS,ONDJFMA,AMJJASO,JFM,FMA,AMJ,MJJ,JAS,ASO,OND,NDJ
1940,-24.546,-23.928,-20.614,-7.572,-2.175,4.541,7.371,3.269,0.325,-8.891,-23.790,-22.349,-9.863,-999,-10.121,5.060,-10.785,-999,-999,-999,-999,2.666,-999,-0.447,-23.029,-17.372,-1.735,3.246,3.655,-1.766,-18.343,-999
1941,-27.419,-21.130,-18.729,-7.528,-2.768,4.307,5.960,3.904,-6.400,-14.775,-24.939,-26.964,-11.373,-23.633,-9.675,4.724,-15.371,-10.989,-10.893,-10.403,-22.683,1.001,-18.548,-2.471,-22.426,-15.796,-1.996,2.500,1.155,-5.757,-22.226,-24.519
1942,-20.848,-18.560,-19.619,-11.265,-0.264,4.855,5.862,4.335,-0.427,-7.500,-29.946,-36.384,-10.813,-22.124,-10.382,5.017,-12.624,-10.028,-9.611,-10.217,-22.186,2.872,-19.567,-0.629,-19.676,-16.481,-2.225,3.484,3.257,-1.197,-24.610,-24.250
1943,-31.989,-21.407,-24.354,-10.098,-1.977,4.088,5.419,3.584,-1.311,-9.703,-15.007,-20.344,-10.258,-29.927,-12.143,4.364,-8.674,-11.595,-12.840,-12.656,-28.816,1.961,-23.097,-1.428,-25.917,-18.620,-2.662,2.510,2.564,-2.477,-15.018,-32.773
1944,-20.846,-20.634,-20.176,-13.513,-2.252,4.550,6.727,3.517,-2.986,-10.090,-23.192,-22.072,-10.081,-20.608,-11.980,4.931,-12.090,-9.937,-9.255,-9.222,-19.401,1.911,-17.175,-2.007,-20.552,-18.108,-3.738,3.008,2.419,-3.186,-18.451,-18.732
1945,-23.105,-21.513,-21.070,-15.290,-3.873,2.531,5.434,4.075,-2.295,-10.072,-28.990,-27.675,-11.820,-22.230,-13.411,4.013,-13.785,-11.353,-10.870,-10.872,-22.190,1.174,-19.476,-2.784,-21.896,-19.291,-5.544,1.364,2.405,-2.764,-22.246,-22.790
1946,-28.389,-28.770,-22.004,-12.402,-1.121,6.534,6.461,2.495,-3.538,-10.115,-25.379,-33.333,-12.463,-28.278,-11.842,5.163,-13.011,-11.992,-12.293,-12.289,-27.166,2.166,-22.615,-1.669,-26.388,-21.059,-2.329,3.958,1.806,-3.719,-22.942,-28.351
1947,-33.445,-26.731,-14.016,-12.609,-2.272,1.804,6.664,0.202,-3.185,-11.495,-17.151,-21.667,-11.158,-31.170,-9.632,2.890,-10.610,-12.130,-12.816,-12.701,-26.581,0.643,-22.232,-2.984,-24.731,-17.785,-4.359,2.066,1.227,-4.826,-16.771,-30.719
1948,-25.295,-31.132,-24.180,-15.893,-3.307,3.903,6.345,1.368,-4.293,-10.931,-26.753,-33.831,-13.667,-26.031,-14.460,3.872,-13.992,-12.653,-11.853,-11.900,-23.885,0.803,-20.973,-3.258,-26.869,-23.735,-5.099,2.314,1.140,-4.618,-23.838,-21.371
1949,-26.855,-32.140,-15.837,-11.976,-5.593,0.921,6.092,5.400,1.332,-10.832,-15.587,-29.613,-11.224,-30.942,-11.135,4.138,-8.362,-11.576,-12.506,-12.514,-27.083,1.630,-22.618,-2.094,-24.944,-19.984,-5.549,0.473,4.275,-1.367,-18.677,-29.146
1950,-25.245,-37.081,-18.234,-13.515,-2.809,5.150,6.137,3.398,0.484,-12.643,-27.392,-25.165,-12.243,-30.646,-11.519,4.895,-13.184,-12.614,-11.630,-11.479,-25.152,2.472,-21.444,-1.971,-26.854,-22.943,-3.724,2.826,3.340,-2.920,-21.733,-23.482
1951,-32.775,-27.566,-28.140,-10.405,-2.296,1.763,6.056,5.451,0.061,-16.226,-19.391,-27.832,-12.608,-28.502,-13.613,4.423,-11.852,-12.386,-13.053,-12.754,-28.207,2.207,-23.441,-2.228,-29.493,-22.037,-3.646,1.841,3.856,-3.571,-21.149,-28.444
1952,-36.733,-25.998,-22.016,-13.197,-6.189,3.458,6.415,2.950,-3.856,-8.996,-14.654,-24.201,-11.918,-30.188,-13.801,4.274,-9.169,-12.221,-12.615,-13.218,-26.394,0.556,-23.056,-2.774,-28.249,-20.404,-5.309,1.228,1.836,-3.301,-15.950,-27.985
1953,-35.447,-20.999,-21.838,-9.713,-1.412,5.383,6.507,4.455,-1.366,-13.724,-23.236,-25.141,-11.378,-26.882,-10.988,5.448,-12.775,-11.299,-10.584,-10.190,-23.428,2.713,-19.407,-1.410,-26.095,-17.517,-1.914,3.493,3.198,-3.545,-20.700,-24.767
1954,-31.225,-31.133,-18.392,-18.586,-2.857,3.437,6.222,5.099,-2.172,-10.580,-17.758,-31.807,-12.479,-29.166,-13.278,4.919,-10.170,-11.924,-12.380,-12.642,-25.825,1.946,-23.062,-2.777,-26.916,-22.704,-6.002,2.267,3.050,-2.551,-20.049,-26.534
1955,-23.964,-29.325,-24.128,-14.564,-4.555,2.951,7.146,2.099,-2.638,-13.401,-30.378,-31.552,-13.526,-28.366,-14.416,4.065,-15.472,-13.547,-12.495,-12.260,-25.397,1.001,-21.733,-3.280,-25.806,-22.673,-5.389,1.847,2.202,-4.647,-25.110,-24.510
1956,-33.753,-31.013,-25.039,-13.547,-2.846,3.222,6.030,4.592,-3.463,-18.056,-21.259,-32.938,-14.006,-32.106,-13.810,4.615,-14.259,-13.890,-14.650,-14.262,-30.347,1.507,-25.526,-3.438,-29.935,-23.199,-4.390,2.135,2.386,-5.642,-24.084,-31.894
1957,-23.913,-27.872,-19.221,-11.291,-3.376,3.991,5.275,5.753,-1.027,-10.694,-18.199,-31.728,-11.025,-28.241,-11.296,5.006,-9.973,-11.126,-11.381,-11.994,-25.040,2.123,-22.078,-1.624,-23.669,-19.461,-3.559,1.963,3.334,-1.989,-20.207,-26.037
1958,-23.227,-30.714,-20.472,-7.952,-2.269,5.280,6.944,4.032,-2.980,-16.332,-21.610,-28.513,-11.484,-28.556,-10.231,5.419,-13.641,-11.752,-11.468,-10.998,-24.868,2.201,-20.427,-1.897,-24.804,-19.713,-1.647,3.318,2.665,-5.094,-22.152,-24.385
1959,-36.871,-20.249,-26.903,-14.953,-4.636,3.175,3.990,1.532,-3.238,-14.749,-21.704,-25.234,-13.320,-28.544,-15.497,2.899,-13.230,-13.593,-13.585,-13.717,-26.829,0.165,-23.633,-4.126,-28.007,-20.702,-5.471,0.843,0.761,-5.485,-20.562,-28.998
