=======================================================================================
ECMWF ERA5 (0.5x0.5 deg)
Total Precipitation (m)
Values averaged across Specify Point (65.212N; 221.673E)
---------------------------------------------------------------------------------------
This file was generated using Climate Reanalyzer (https://ClimateReanalyzer.org)
Climate Change Institute; University of Maine; USA (https://climatechange.umaine.edu)
=======================================================================================
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Ann,DJF,MAM,JJA,SON,Ann_D-N,Ann_NO,Ann_OS,NDJFM,MJJAS,ONDJFMA,AMJJASO,JFM,FMA,AMJ,MJJ,JAS,ASO,OND,NDJ
1940,0.0111,0.0030,0.0077,0.0092,0.0644,0.1194,0.1433,0.0527,0.0517,0.0208,0.0156,0.0187,0.5177,-999,0.0814,0.3155,0.0880,-999,-999,-999,-999,0.4315,-999,0.4615,0.0218,0.0199,0.1931,0.3271,0.2477,0.1252,0.0551,-999
1941,0.0085,0.0109,0.0219,0.0379,0.0237,0.1166,0.1274,0.0685,0.0260,0.0393,0.0405,0.0053,0.5265,0.0382,0.0835,0.3125,0.1058,0.5399,0.5149,0.4964,0.0756,0.3621,0.1343,0.4393,0.0413,0.0707,0.1782,0.2676,0.2219,0.1338,0.0851,0.0428
1942,0.0241,0.0219,0.0147,0.0165,0.0641,0.0939,0.1656,0.1211,0.0690,0.0420,0.0144,0.0060,0.6532,0.0513,0.0954,0.3806,0.1253,0.6525,0.6787,0.6760,0.1066,0.5136,0.1624,0.5721,0.0607,0.0532,0.1745,0.3236,0.3556,0.2320,0.0623,0.0700
1943,0.0145,0.0100,0.0233,0.0169,0.0781,0.0876,0.1165,0.1174,0.1220,0.0377,0.0296,0.0557,0.7093,0.0305,0.1183,0.3215,0.1893,0.6596,0.6443,0.6486,0.0681,0.5216,0.1270,0.5762,0.0478,0.0502,0.1826,0.2822,0.3559,0.2771,0.1230,0.0348
1944,0.0229,0.0244,0.0253,0.0073,0.0307,0.1253,0.0795,0.1084,0.0706,0.0423,0.0176,0.0108,0.5652,0.1031,0.0633,0.3132,0.1305,0.6101,0.6221,0.6175,0.1580,0.4146,0.2030,0.4641,0.0727,0.0570,0.1633,0.2356,0.2585,0.2213,0.0706,0.1082
1945,0.0056,0.0221,0.0170,0.0182,0.0553,0.0854,0.1115,0.1038,0.0789,0.0461,0.0397,0.0234,0.6070,0.0385,0.0905,0.3007,0.1647,0.5945,0.5724,0.5685,0.0731,0.4349,0.1336,0.4992,0.0448,0.0573,0.1589,0.2522,0.2942,0.2289,0.1091,0.0340
1946,0.0094,0.0106,0.0189,0.0183,0.0484,0.0967,0.1284,0.0572,0.0619,0.0320,0.0235,0.0203,0.5255,0.0434,0.0855,0.2823,0.1174,0.5286,0.5447,0.5588,0.1019,0.3925,0.1663,0.4428,0.0389,0.0478,0.1634,0.2735,0.2475,0.1510,0.0758,0.0724
1947,0.0243,0.0075,0.0245,0.0290,0.0210,0.0587,0.0902,0.0645,0.0655,0.0170,0.0221,0.0206,0.4449,0.0520,0.0745,0.2134,0.1045,0.4445,0.4460,0.4610,0.1001,0.2999,0.1611,0.3459,0.0563,0.0610,0.1087,0.1699,0.2202,0.1469,0.0597,0.0681
1948,0.0167,0.0107,0.0134,0.0589,0.0336,0.1132,0.1232,0.1087,0.0438,0.0339,0.0248,0.0140,0.5950,0.0480,0.1059,0.3452,0.1025,0.6016,0.5989,0.5820,0.0835,0.4226,0.1593,0.5154,0.0408,0.0830,0.2058,0.2701,0.2757,0.1864,0.0727,0.0594
1949,0.0341,0.0142,0.0097,0.0291,0.0487,0.1135,0.1180,0.1178,0.0317,0.0231,0.0089,0.0181,0.5667,0.0623,0.0875,0.3492,0.0636,0.5626,0.5786,0.5894,0.0968,0.4296,0.1598,0.4818,0.0580,0.0530,0.1913,0.2801,0.2674,0.1725,0.0500,0.0729
