=======================================================================================
ECMWF ERA5 (0.5x0.5 deg)
2m Temperature (deg C)
Values averaged across Specify Point (65.212N; 221.673E)
---------------------------------------------------------------------------------------
This file was generated using Climate Reanalyzer (https://ClimateReanalyzer.org)
Climate Change Institute; University of Maine; USA (https://climatechange.umaine.edu)
=======================================================================================
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Ann,DJF,MAM,JJA,SON,Ann_D-N,Ann_NO,Ann_OS,NDJFM,MJJAS,ONDJFMA,AMJJASO,JFM,FMA,AMJ,MJJ,JAS,ASO,OND,NDJ
1940,-20.722,-20.843,-18.028,-4.654,1.735,8.331,12.029,7.711,3.909,-7.053,-19.950,-20.003,-6.462,-999,-6.982,9.357,-7.698,-999,-999,-999,-999,6.743,-999,3.144,-19.864,-14.508,1.804,7.365,7.883,1.522,-15.669,-999
1941,-24.397,-17.818,-15.903,-5.264,1.131,8.647,10.611,7.625,-2.575,-12.919,-22.299,-23.702,-8.072,-20.740,-6.679,8.961,-12.598,-7.764,-7.568,-7.079,-19.614,5.088,-15.770,1.037,-19.373,-12.995,1.505,6.796,5.220,-2.623,-19.640,-21.450
1942,-17.798,-16.090,-16.768,-8.387,3.126,10.019,10.206,8.012,2.086,-5.484,-27.170,-33.789,-7.670,-19.197,-7.343,9.412,-10.189,-6.829,-6.423,-7.043,-19.331,6.690,-16.852,2.797,-16.885,-13.748,1.586,7.783,6.768,1.538,-22.148,-21.266
1943,-28.588,-18.237,-21.032,-7.102,1.551,9.562,10.605,7.225,1.016,-7.862,-12.615,-17.838,-6.943,-26.871,-8.861,9.131,-6.487,-8.272,-9.485,-9.287,-25.763,5.992,-20.200,2.142,-22.619,-15.457,1.337,7.239,6.282,0.126,-12.772,-29.849
1944,-17.917,-17.395,-16.979,-9.880,1.706,10.085,11.342,7.412,0.151,-8.139,-20.851,-19.257,-6.644,-17.717,-8.384,9.613,-9.613,-6.525,-5.839,-5.816,-16.549,6.139,-14.355,1.811,-17.431,-14.751,0.637,7.711,6.302,-0.192,-16.082,-16.124
1945,-20.293,-18.423,-18.275,-11.759,-0.183,7.595,9.598,7.981,-0.209,-8.150,-26.642,-25.114,-8.656,-19.324,-10.072,8.391,-11.667,-8.168,-7.685,-7.685,-19.420,4.956,-16.714,0.696,-18.997,-16.152,-1.449,5.670,5.790,-0.126,-19.969,-20.133
1946,-25.491,-25.834,-19.279,-8.937,3.004,12.056,11.037,7.989,-0.329,-7.950,-21.327,-30.628,-8.807,-25.480,-8.404,10.361,-9.869,-8.348,-8.791,-8.808,-24.472,6.752,-19.921,2.410,-23.535,-18.017,2.041,8.699,6.233,-0.097,-19.969,-25.749
1947,-30.580,-23.615,-11.634,-10.045,1.653,7.444,11.724,5.305,-0.253,-9.820,-15.025,-19.413,-7.855,-28.274,-6.675,8.158,-8.366,-8.790,-9.315,-9.159,-23.557,5.175,-19.397,0.858,-21.943,-15.098,-0.316,6.940,5.592,-1.589,-14.753,-27.512
1948,-22.678,-27.240,-20.653,-12.075,-1.131,7.882,10.671,5.183,-1.577,-8.970,-24.067,-30.492,-10.429,-23.110,-11.286,7.912,-11.538,-9.506,-8.752,-8.823,-21.002,4.205,-18.129,-0.003,-23.523,-19.989,-1.775,5.807,4.759,-1.788,-21.176,-19.039
1949,-23.550,-28.958,-12.116,-9.437,-2.484,4.935,9.920,9.406,4.997,-8.132,-13.668,-26.920,-8.001,-27.667,-8.012,8.087,-5.601,-8.298,-9.165,-9.235,-23.837,5.355,-19.656,1.315,-21.541,-16.837,-2.329,4.124,8.108,2.090,-16.240,-26.036
1950,-22.177,-33.589,-15.137,-9.488,1.351,11.309,11.476,8.254,3.957,-9.900,-23.358,-22.556,-8.321,-27.562,-7.758,10.346,-9.767,-8.685,-7.878,-7.730,-22.298,7.269,-18.444,2.423,-23.634,-19.405,1.057,8.045,7.896,0.770,-18.604,-20.922
1951,-29.276,-24.312,-25.075,-7.139,0.825,6.629,11.505,10.587,3.710,-12.481,-16.781,-24.595,-8.867,-25.381,-10.463,9.574,-8.517,-8.697,-9.245,-9.030,-24.915,6.651,-20.231,1.948,-26.221,-18.842,0.105,6.320,8.601,0.605,-17.952,-25.063
1952,-33.449,-23.644,-19.298,-9.365,-2.820,8.336,10.918,6.634,-1.785,-7.119,-12.373,-21.944,-8.826,-27.229,-10.494,8.629,-7.092,-9.047,-9.414,-9.861,-23.553,4.257,-19.945,0.686,-25.464,-17.436,-1.283,5.478,5.256,-0.756,-13.812,-24.941
1953,-32.318,-17.859,-18.399,-5.651,1.982,10.816,11.389,8.956,1.888,-11.822,-20.657,-22.482,-7.846,-24.041,-7.356,10.387,-10.197,-7.802,-7.111,-6.719,-20.579,7.006,-16.523,2.508,-22.859,-13.970,2.382,8.062,7.411,-0.326,-18.320,-22.212
1954,-27.534,-27.488,-14.834,-14.893,1.306,8.225,10.810,9.971,2.252,-7.621,-15.513,-28.935,-8.688,-25.834,-9.474,9.669,-6.961,-8.150,-8.579,-8.929,-22.599,6.513,-19.958,1.436,-23.285,-19.072,-1.788,6.780,7.678,1.534,-17.356,-23.558
1955,-21.012,-25.140,-19.952,-11.165,-0.280,8.225,12.093,6.074,1.001,-11.269,-26.476,-28.135,-9.670,-25.029,-10.466,8.797,-12.248,-9.736,-8.823,-8.519,-22.110,5.423,-18.477,0.668,-22.035,-18.752,-1.073,6.679,6.389,-1.398,-21.960,-21.820
1956,-30.389,-28.201,-21.285,-9.565,1.802,7.181,11.239,8.234,0.149,-15.847,-18.588,-30.453,-10.477,-28.908,-9.683,8.885,-11.428,-10.284,-10.941,-10.560,-26.897,5.721,-22.189,0.456,-26.625,-19.684,-0.194,6.741,6.541,-2.488,-21.629,-28.333
1957,-19.849,-24.097,-15.600,-8.269,-0.981,9.081,10.646,12.094,3.203,-7.280,-15.506,-28.845,-7.117,-24.800,-8.283,10.607,-6.528,-7.251,-7.508,-8.222,-21.717,6.809,-18.958,2.642,-19.849,-15.989,-0.056,6.249,8.648,2.672,-17.210,-22.963
1958,-20.476,-26.988,-16.902,-4.948,1.471,10.684,11.593,8.674,0.708,-13.660,-19.147,-25.151,-7.845,-25.436,-6.793,10.317,-10.700,-8.153,-7.849,-7.318,-21.743,6.626,-17.278,2.075,-21.455,-16.279,2.403,7.916,6.992,-1.426,-19.319,-21.609
1959,-33.649,-17.413,-24.257,-10.765,-1.537,8.722,8.899,5.034,-1.441,-12.179,-19.063,-22.702,-10.029,-25.404,-12.186,7.551,-10.894,-10.233,-10.240,-10.364,-23.923,3.935,-20.577,-0.467,-25.106,-17.478,-1.193,5.361,4.164,-2.862,-17.981,-25.982
1960,-22.199,-19.019,-23.557,-10.685,-0.571,7.515,9.997,6.841,-0.126,-11.512,-22.565,-17.984,-8.655,-21.306,-11.604,8.118,-11.401,-9.049,-8.757,-8.812,-21.308,4.731,-18.486,0.209,-21.592,-17.754,-1.247,5.647,5.571,-1.599,-17.354,-21.321
1961,-22.097,-27.288,-22.262,-12.385,-0.132,9.263,10.967,7.850,0.782,-13.343,-22.136,-32.723,-10.292,-22.456,-11.593,9.360,-11.566,-9.064,-9.099,-8.947,-22.439,5.746,-19.442,0.429,-23.882,-20.645,-1.085,6.699,6.533,-1.570,-22.734,-20.882
1962,-22.833,-17.844,-22.406,-10.889,-1.608,7.724,11.100,9.515,-0.014,-6.759,-20.313,-22.311,-8.053,-24.467,-11.634,9.446,-9.029,-8.921,-9.073,-9.621,-23.588,5.343,-20.311,1.296,-21.028,-17.046,-1.591,5.739,6.867,0.914,-16.461,-25.897
1963,-21.081,-20.490,-18.653,-9.169,0.436,5.922,10.348,10.006,0.615,-9.035,-27.596,-18.677,-8.115,-21.294,-9.129,8.758,-12.005,-8.417,-7.810,-7.621,-20.569,5.465,-16.968,1.303,-20.075,-16.104,-0.937,5.568,6.990,0.529,-18.436,-21.235
1964,-26.439,-19.635,-26.231,-12.603,-5.639,7.748,10.017,7.674,1.498,-6.531,-19.908,-31.166,-10.101,-21.584,-14.824,8.479,-8.314,-9.061,-9.701,-9.910,-23.716,4.259,-20.031,0.309,-24.102,-19.490,-3.498,4.042,6.396,0.880,-19.202,-24.237
1965,-29.083,-31.801,-9.528,-9.178,-2.322,6.161,10.619,7.303,3.122,-13.286,-19.081,-24.465,-9.295,-30.683,-7.009,8.028,-9.748,-9.853,-9.922,-9.359,-24.297,4.977,-19.599,0.346,-23.470,-16.835,-1.779,4.819,7.015,-0.954,-18.944,-26.719
1966,-32.446,-20.847,-21.751,-10.788,-0.404,9.469,11.073,7.742,1.918,-11.785,-21.650,-24.633,-9.509,-25.919,-10.981,9.428,-10.506,-9.495,-9.281,-9.406,-23.718,5.959,-20.381,1.032,-25.015,-17.796,-0.575,6.712,6.911,-0.709,-19.356,-25.331
1967,-26.539,-26.187,-19.315,-8.220,-0.970,9.324,10.500,9.518,1.613,-10.390,-16.914,-19.936,-8.126,-25.786,-9.502,9.781,-8.564,-8.518,-8.912,-9.029,-23.665,5.997,-19.761,1.625,-24.014,-17.908,0.045,6.285,7.210,0.247,-15.747,-24.274
