=======================================================================================
ECMWF ERA5 (0.5x0.5 deg)
2m Dewpoint Temperature (deg C)
Values averaged across Specify Point (66.444N; 223.325E)
---------------------------------------------------------------------------------------
This file was generated using Climate Reanalyzer (https://ClimateReanalyzer.org)
Climate Change Institute; University of Maine; USA (https://climatechange.umaine.edu)
=======================================================================================
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Ann,DJF,MAM,JJA,SON,Ann_D-N,Ann_NO,Ann_OS,NDJFM,MJJAS,ONDJFMA,AMJJASO,JFM,FMA,AMJ,MJJ,JAS,ASO,OND,NDJ
1940,-25.343,-27.393,-22.480,-7.828,-2.140,3.760,8.668,5.034,2.188,-9.594,-23.589,-26.980,-10.475,-999,-10.816,5.821,-10.331,-999,-999,-999,-999,3.502,-999,0.013,-25.072,-19.234,-2.069,3.429,5.297,-0.790,-20.054,-999
1941,-31.278,-21.636,-25.160,-11.724,-1.966,3.634,7.031,4.566,-5.990,-15.896,-26.906,-30.438,-12.980,-26.631,-12.950,5.077,-16.264,-12.692,-12.416,-11.890,-25.729,1.455,-21.423,-2.906,-26.025,-19.507,-3.352,2.900,1.869,-5.773,-24.413,-27.282
1942,-24.047,-23.476,-23.572,-12.283,-1.074,6.607,8.358,5.706,-0.970,-9.709,-29.688,-39.097,-11.937,-25.987,-12.310,6.890,-13.456,-11.216,-10.984,-11.499,-25.688,3.725,-22.374,-0.481,-23.698,-19.777,-2.250,4.630,4.365,-1.658,-26.165,-27.131
1943,-35.555,-21.940,-22.979,-9.580,0.068,4.594,8.326,5.533,0.294,-7.529,-16.763,-25.906,-10.120,-32.197,-10.830,6.151,-7.999,-11.219,-12.296,-12.478,-29.852,3.763,-24.078,0.244,-26.825,-18.166,-1.639,4.329,4.718,-0.567,-16.733,-34.780
1944,-24.831,-23.577,-21.352,-11.211,-0.857,5.966,8.458,4.671,-2.135,-8.315,-24.853,-22.986,-10.085,-24.771,-11.140,6.365,-11.767,-10.328,-9.654,-9.589,-22.486,3.221,-18.738,-0.489,-23.253,-18.713,-2.034,4.522,3.665,-1.926,-18.718,-22.500
1945,-27.003,-24.753,-24.029,-13.697,-3.000,5.216,7.557,6.060,-1.939,-8.863,-28.620,-30.372,-11.954,-24.914,-13.575,6.278,-13.141,-11.338,-11.024,-10.978,-24.725,2.779,-20.805,-1.238,-25.262,-20.826,-3.827,3.258,3.892,-1.581,-22.619,-24.947
1946,-31.684,-32.175,-22.990,-12.736,-0.369,7.390,7.623,4.212,-3.671,-9.101,-25.754,-35.022,-12.856,-31.410,-12.032,6.408,-12.842,-12.469,-12.708,-12.688,-29.168,3.037,-23.920,-0.950,-28.950,-22.634,-1.905,4.881,2.721,-2.853,-23.292,-30.225
1947,-33.577,-31.378,-16.934,-14.142,-1.656,3.388,7.743,2.005,-1.818,-11.858,-21.410,-24.505,-12.012,-33.326,-10.911,4.379,-11.696,-12.888,-13.250,-13.021,-28.533,1.932,-23.701,-2.334,-27.296,-20.818,-4.137,3.158,2.643,-3.891,-19.258,-31.451
1948,-28.066,-29.790,-24.727,-14.411,-3.035,4.386,8.833,3.568,-3.860,-11.815,-25.497,-36.062,-13.373,-27.454,-14.058,5.595,-13.724,-12.410,-12.069,-12.073,-25.700,1.978,-22.110,-2.334,-27.528,-22.976,-4.354,3.394,2.847,-4.036,-24.458,-24.661
1949,-29.759,-33.955,-16.310,-14.609,-5.413,2.482,7.010,7.965,3.168,-10.131,-16.124,-31.232,-11.409,-33.259,-12.111,5.819,-7.696,-11.812,-12.593,-12.733,-28.316,3.042,-24.001,-1.361,-26.675,-21.624,-5.847,1.359,6.047,0.334,-19.162,-30.439
1950,-26.576,-37.622,-19.601,-13.591,-2.399,6.818,7.114,4.674,1.019,-12.384,-25.464,-27.499,-12.126,-31.810,-11.864,6.202,-12.276,-12.437,-11.659,-11.471,-26.231,3.445,-22.125,-1.250,-27.933,-23.605,-3.057,3.844,4.269,-2.230,-21.782,-24.644
1951,-37.310,-30.081,-29.931,-13.291,-3.382,1.818,7.900,7.529,0.315,-14.092,-19.527,-29.861,-13.326,-31.630,-15.535,5.749,-11.101,-13.129,-13.624,-13.482,-30.057,2.836,-25.137,-1.886,-32.441,-24.434,-4.952,2.112,5.248,-2.082,-21.160,-30.091
1952,-38.114,-31.783,-23.922,-13.683,-5.295,3.120,7.900,4.555,-3.411,-9.355,-15.646,-28.170,-12.817,-33.253,-14.300,5.192,-9.471,-12.958,-13.281,-13.676,-28.642,1.374,-24.426,-2.310,-31.273,-23.130,-5.286,1.908,3.015,-2.737,-17.724,-29.167
1953,-37.261,-24.471,-23.497,-8.842,-2.343,6.303,7.911,5.795,1.100,-11.924,-24.042,-29.459,-11.728,-29.968,-11.561,6.670,-11.622,-11.620,-10.920,-10.706,-25.809,3.753,-21.035,-0.286,-28.410,-18.937,-1.627,3.957,4.935,-1.676,-21.808,-27.026
1954,-34.248,-32.750,-18.056,-18.680,-4.495,4.185,7.753,7.740,-1.055,-10.731,-20.190,-33.680,-12.851,-32.152,-13.744,6.559,-10.658,-12.499,-12.820,-12.919,-27.711,2.826,-24.166,-2.183,-28.351,-23.162,-6.330,2.481,4.813,-1.349,-21.534,-29.250
1955,-28.084,-34.349,-25.890,-14.666,-3.553,5.641,9.493,3.073,-0.859,-11.453,-30.817,-33.229,-13.724,-32.038,-14.703,6.069,-14.377,-13.762,-12.876,-12.816,-28.438,2.759,-23.941,-1.761,-29.441,-24.968,-4.193,3.860,3.903,-3.080,-25.167,-27.318
1956,-36.107,-33.438,-22.644,-13.506,-2.760,4.032,8.124,5.303,-1.696,-17.218,-22.067,-35.028,-13.917,-34.258,-12.970,5.820,-13.660,-13.767,-14.496,-14.016,-31.247,2.601,-25.885,-2.531,-30.730,-23.196,-4.078,3.132,3.910,-4.537,-24.771,-33.385
1957,-24.298,-31.335,-19.971,-10.803,-3.932,3.606,7.503,9.092,0.995,-9.541,-22.191,-34.701,-11.298,-30.220,-11.569,6.734,-10.246,-11.325,-11.315,-11.955,-26.540,3.453,-22.960,-0.440,-25.201,-20.703,-3.710,2.392,5.863,0.182,-22.144,-27.131
1958,-27.295,-33.568,-20.706,-11.952,-1.824,6.387,8.456,6.540,-0.207,-14.281,-23.341,-30.519,-11.859,-31.855,-11.494,7.128,-12.610,-12.208,-12.112,-11.717,-27.692,3.870,-22.851,-0.983,-27.190,-22.075,-2.463,4.340,4.930,-2.650,-22.714,-28.062
1959,-37.433,-20.478,-29.537,-14.957,-5.052,2.229,5.345,3.028,-2.847,-13.315,-25.038,-29.392,-13.954,-29.476,-16.515,3.534,-13.734,-14.048,-13.906,-13.987,-28.261,0.541,-24.364,-3.653,-29.149,-21.657,-5.926,0.841,1.842,-4.378,-22.582,-30.431
1960,-30.585,-25.436,-27.283,-17.020,-3.882,5.435,7.006,3.848,-1.260,-13.008,-28.837,-23.088,-12.842,-28.471,-16.061,5.430,-14.368,-13.368,-13.051,-13.077,-27.547,2.230,-24.010,-2.697,-27.768,-23.246,-5.155,2.853,3.198,-3.473,-21.644,-28.339
1961,-28.870,-34.047,-30.050,-19.530,-3.682,6.105,7.797,5.040,-0.152,-16.024,-26.401,-37.558,-14.781,-28.668,-17.754,6.314,-14.192,-13.575,-13.778,-13.527,-28.978,3.022,-25.347,-2.921,-30.989,-27.876,-5.702,3.407,4.228,-3.712,-26.661,-26.932
1962,-26.820,-22.623,-25.148,-15.184,-5.388,3.948,8.475,8.230,-2.077,-7.669,-23.979,-27.003,-11.270,-29.000,-15.240,6.884,-11.242,-12.149,-12.351,-13.047,-27.710,2.638,-24.251,-1.381,-24.863,-20.985,-5.542,2.345,4.876,-0.505,-19.551,-30.259
1963,-28.897,-29.027,-23.268,-10.830,-3.321,3.340,6.432,6.238,-2.685,-12.463,-31.608,-23.220,-12.443,-28.309,-12.473,5.337,-15.585,-12.758,-12.122,-11.723,-26.435,2.001,-21.525,-1.899,-27.064,-21.042,-3.604,2.150,3.328,-2.970,-22.430,-26.627
1964,-34.007,-24.139,-31.076,-18.410,-7.883,3.461,6.705,5.772,-1.228,-9.403,-23.587,-38.422,-14.352,-27.122,-19.123,5.312,-11.406,-13.085,-13.753,-14.008,-28.810,1.365,-24.989,-2.998,-29.740,-24.542,-7.611,0.761,3.749,-1.620,-23.804,-29.611
1965,-35.024,-39.200,-14.764,-10.843,-4.571,3.086,8.455,5.191,-1.589,-15.996,-21.370,-29.355,-12.998,-37.549,-10.059,5.577,-12.985,-13.754,-13.939,-13.389,-30.199,2.114,-24.463,-2.324,-29.663,-21.602,-4.109,2.323,4.019,-4.131,-22.240,-32.345
1966,-40.437,-28.534,-27.004,-17.424,-3.955,4.740,6.339,3.632,-0.251,-11.574,-25.718,-29.616,-14.150,-32.775,-16.128,4.904,-12.514,-14.128,-13.766,-14.134,-29.340,2.101,-25.731,-2.642,-31.992,-24.321,-5.546,2.375,3.240,-2.731,-22.302,-30.387
1967,-31.098,-32.884,-21.916,-11.998,-5.291,3.565,6.661,5.705,-0.969,-13.512,-19.736,-24.316,-12.149,-31.199,-13.068,5.310,-11.406,-12.591,-13.089,-12.928,-28.246,1.934,-23.543,-2.263,-28.633,-22.266,-4.575,1.645,3.799,-2.925,-19.188,-28.810
1968,-28.244,-27.246,-18.950,-13.829,-4.275,4.864,6.937,5.710,-2.126,-11.836,-23.897,-31.239,-12.011,-26.602,-12.351,5.837,-12.620,-11.434,-11.087,-11.227,-23.699,2.222,-20.833,-2.079,-24.814,-20.008,-4.413,2.509,3.507,-2.751,-22.324,-24.099
1969,-37.379,-30.172,-24.267,-10.043,-4.599,4.933,7.169,1.891,-0.203,-6.803,-26.179,-20.501,-12.179,-32.930,-12.970,4.664,-11.061,-13.074,-12.884,-13.304,-29.391,1.838,-24.119,-1.094,-30.606,-21.494,-3.237,2.501,2.952,-1.705,-17.828,-30.838
1970,-34.778,-26.064,-22.435,-13.549,-3.745,3.380,7.698,6.036,-4.054,-14.336,-19.185,-30.299,-12.611,-27.114,-13.243,5.705,-12.525,-11.794,-12.377,-11.749,-25.991,1.863,-21.473,-2.653,-27.759,-20.683,-4.638,2.444,3.227,-4.118,-21.273,-27.153
1971,-39.410,-30.835,-28.214,-17.895,-3.646,3.461,6.568,5.084,-0.925,-11.951,-24.836,-29.667,-14.355,-33.515,-16.585,5.038,-12.570,-14.408,-13.937,-14.136,-29.589,2.108,-25.739,-2.758,-32.820,-25.648,-6.027,2.128,3.576,-2.597,-22.151,-29.631
1972,-34.312,-35.074,-26.743,-18.000,-5.305,5.167,7.825,7.705,-3.506,-9.579,-22.043,-26.647,-13.376,-33.018,-16.683,6.899,-11.709,-13.628,-13.860,-14.058,-30.126,2.377,-25.798,-2.242,-32.043,-26.606,-6.046,2.562,4.008,-1.793,-19.423,-29.605
1973,-32.196,-27.172,-26.455,-12.735,-1.554,5.721,8.703,6.080,1.379,-12.235,-26.812,-26.970,-12.021,-28.672,-13.581,6.835,-12.556,-11.994,-11.596,-11.375,-26.903,4.066,-22.404,-0.663,-28.608,-22.121,-2.856,4.290,5.387,-1.592,-22.006,-26.962
1974,-31.928,-35.843,-27.399,-17.908,-5.951,2.545,7.227,6.246,-0.527,-18.853,-25.242,-33.536,-15.097,-31.580,-17.086,5.339,-14.874,-14.550,-14.681,-14.130,-29.790,1.908,-25.585,-3.889,-31.723,-27.050,-7.105,1.274,4.315,-4.378,-25.877,-28.570
