=======================================================================================
ECMWF ERA5 (0.5x0.5 deg)
2m Temperature (deg C)
Values averaged across Specify Point (66.444N; 223.325E)
---------------------------------------------------------------------------------------
This file was generated using Climate Reanalyzer (https://ClimateReanalyzer.org)
Climate Change Institute; University of Maine; USA (https://climatechange.umaine.edu)
=======================================================================================
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Ann,DJF,MAM,JJA,SON,Ann_D-N,Ann_NO,Ann_OS,NDJFM,MJJAS,ONDJFMA,AMJJASO,JFM,FMA,AMJ,MJJ,JAS,ASO,OND,NDJ
1940,-22.095,-24.308,-18.891,-4.188,1.825,8.669,14.498,8.836,6.000,-7.399,-20.289,-24.146,-6.791,-999,-7.085,10.668,-7.229,-999,-999,-999,-999,7.966,-999,4.035,-21.765,-15.796,2.102,8.331,9.778,2.479,-17.278,-999
1941,-28.188,-18.586,-21.179,-8.426,2.098,9.098,11.758,8.434,-2.808,-13.421,-23.988,-27.011,-9.352,-23.640,-9.169,9.763,-13.406,-9.113,-8.805,-8.303,-22.478,5.716,-18.316,0.962,-22.651,-16.063,0.923,7.651,5.795,-2.598,-21.474,-24.208
1942,-21.360,-20.590,-19.985,-8.532,2.602,11.419,12.510,8.793,1.897,-7.810,-26.801,-36.115,-8.664,-22.987,-8.638,10.907,-10.905,-7.906,-7.671,-8.139,-22.587,7.444,-19.270,2.983,-20.645,-16.369,1.830,8.844,7.733,0.960,-23.575,-24.120
1943,-32.170,-19.028,-19.368,-5.511,3.977,12.166,13.325,9.694,2.270,-5.387,-13.938,-23.039,-6.417,-29.104,-6.967,11.728,-5.685,-7.507,-8.579,-8.781,-26.696,8.286,-20.972,4.362,-23.522,-14.635,3.544,9.823,8.430,2.192,-14.121,-31.695
1944,-21.648,-20.329,-17.528,-6.804,3.535,10.937,12.932,8.474,1.235,-5.875,-22.185,-20.231,-6.457,-21.672,-6.932,10.781,-8.942,-6.691,-6.004,-5.963,-19.296,7.422,-15.525,3.490,-19.835,-14.887,2.556,9.134,7.547,1.278,-16.097,-19.542
1945,-23.994,-21.382,-20.337,-9.398,1.589,10.269,11.897,9.618,0.071,-6.761,-25.676,-27.315,-8.452,-21.869,-9.382,10.594,-10.789,-7.861,-7.571,-7.497,-21.626,6.688,-17.629,2.469,-21.904,-17.039,0.820,7.918,7.195,0.976,-19.917,-22.137
1946,-28.366,-28.545,-19.361,-8.574,4.465,13.864,12.959,10.112,-1.026,-7.097,-22.302,-31.960,-8.819,-28.075,-7.823,12.312,-10.142,-8.432,-8.713,-8.685,-25.853,8.075,-20.657,3.529,-25.424,-18.827,3.252,10.429,7.348,0.663,-20.453,-27.119
1947,-30.318,-27.974,-13.558,-10.430,2.239,8.741,12.956,6.830,2.155,-9.791,-18.898,-21.868,-8.326,-30.084,-7.250,9.509,-8.845,-9.167,-9.451,-9.226,-25.222,6.584,-20.520,1.814,-23.950,-17.321,0.183,7.979,7.314,-0.268,-16.852,-28.193
1948,-25.043,-25.966,-20.545,-10.024,-0.065,9.026,12.465,7.207,-1.081,-9.612,-22.897,-32.668,-9.934,-24.292,-10.212,9.566,-11.197,-9.034,-8.700,-8.715,-22.464,5.510,-18.877,1.131,-23.852,-18.845,-0.354,7.142,6.197,-1.162,-21.726,-21.936
1949,-26.401,-30.437,-12.855,-10.880,-1.302,6.605,11.269,11.971,5.911,-7.177,-14.074,-28.221,-7.966,-29.835,-8.346,9.948,-5.113,-8.336,-9.072,-9.275,-25.051,6.891,-20.821,2.342,-23.231,-18.057,-1.859,5.524,9.717,3.568,-16.490,-27.322
1950,-23.810,-34.111,-16.072,-9.371,2.373,12.291,13.706,9.101,3.899,-9.912,-22.004,-24.620,-8.211,-28.714,-7.690,11.700,-9.339,-8.511,-7.850,-7.622,-23.258,8.274,-18.976,3.155,-24.664,-19.851,1.764,9.457,8.902,1.029,-18.845,-22.035
1951,-33.731,-26.642,-26.054,-9.385,0.680,7.127,13.468,13.261,3.179,-11.421,-16.833,-26.494,-9.404,-28.331,-11.586,11.285,-8.358,-9.248,-9.679,-9.553,-26.610,7.543,-21.764,2.416,-28.809,-20.694,-0.526,7.092,9.969,1.673,-18.249,-26.785
1952,-34.603,-28.613,-20.450,-9.298,-1.041,9.451,12.690,8.343,-0.724,-7.007,-13.285,-25.349,-9.157,-29.903,-10.263,10.161,-7.005,-9.253,-9.548,-9.916,-25.399,5.744,-21.102,1.773,-27.889,-19.454,-0.296,7.033,6.770,0.204,-15.214,-25.977
1953,-34.021,-21.326,-19.774,-4.640,0.935,10.794,12.375,10.159,3.542,-9.890,-21.325,-26.400,-8.298,-26.899,-7.826,11.109,-9.224,-8.210,-7.540,-7.300,-22.751,7.561,-17.915,3.325,-25.040,-15.247,2.363,8.035,8.692,1.270,-19.205,-24.218
1954,-30.813,-28.935,-14.241,-13.907,0.345,8.221,12.644,12.992,3.172,-8.117,-17.585,-30.415,-8.887,-28.716,-9.268,11.286,-7.510,-8.552,-8.864,-9.011,-24.343,7.475,-20.787,2.193,-24.663,-19.027,-1.780,7.070,9.603,2.682,-18.706,-26.179
1955,-24.940,-30.417,-21.708,-10.624,1.149,10.151,14.101,7.148,2.641,-9.201,-27.181,-29.918,-9.900,-28.591,-10.394,10.467,-11.247,-9.941,-9.142,-9.051,-25.013,7.038,-20.544,2.195,-25.688,-20.916,0.225,8.467,7.964,0.196,-22.100,-24.314
1956,-32.618,-30.049,-18.723,-8.778,1.856,8.443,13.542,8.167,1.909,-14.478,-19.379,-32.039,-10.179,-30.862,-8.548,10.051,-10.649,-10.002,-10.652,-10.212,-27.698,6.783,-22.352,1.523,-27.130,-19.183,0.507,7.947,7.873,-1.467,-21.965,-29.905
1957,-20.683,-27.694,-16.372,-6.880,-0.280,8.362,12.316,14.065,4.898,-6.825,-19.338,-31.341,-7.481,-26.806,-7.844,11.581,-7.088,-7.539,-7.543,-8.180,-23.233,7.872,-19.646,3.665,-21.583,-16.982,0.401,6.800,10.427,4.046,-19.168,-24.034
1958,-24.208,-29.831,-17.031,-8.063,2.208,11.847,13.095,11.421,3.104,-11.715,-20.678,-27.221,-8.089,-28.460,-7.629,12.121,-9.763,-8.433,-8.321,-7.914,-24.350,8.335,-19.520,3.128,-23.690,-18.308,1.997,9.050,9.207,0.937,-19.871,-24.962
1959,-34.229,-17.811,-25.843,-10.068,-1.201,9.093,11.214,6.602,-0.523,-11.029,-22.280,-26.362,-10.203,-26.420,-12.370,8.969,-11.277,-10.275,-10.141,-10.198,-25.156,5.037,-21.081,0.584,-25.961,-17.907,-0.725,6.368,5.764,-1.650,-19.890,-27.376
1960,-27.224,-22.162,-23.176,-12.525,0.152,9.785,10.788,7.794,1.491,-10.658,-25.776,-19.931,-9.287,-25.249,-11.850,9.456,-11.648,-9.823,-9.531,-9.562,-24.241,6.002,-20.680,0.975,-24.187,-19.288,-0.863,6.908,6.691,-0.458,-18.789,-25.289
1961,-25.347,-30.329,-25.965,-14.742,1.096,11.396,13.615,9.283,3.116,-13.546,-22.913,-33.959,-10.691,-25.202,-13.204,11.432,-11.114,-9.522,-9.761,-9.520,-25.470,7.701,-21.821,1.460,-27.214,-23.679,-0.750,8.703,8.672,-0.382,-23.473,-23.685
1962,-23.294,-19.524,-21.003,-11.057,-1.049,9.394,13.244,11.894,1.931,-5.714,-21.246,-23.993,-7.535,-25.593,-11.036,11.511,-8.343,-8.365,-8.504,-9.157,-24.139,7.083,-20.757,2.663,-21.274,-17.195,-0.904,7.196,9.023,2.704,-16.984,-26.722
1963,-25.697,-25.724,-18.729,-6.720,2.627,8.855,11.971,11.701,0.582,-10.023,-28.438,-20.082,-8.306,-25.138,-7.607,10.842,-12.626,-8.632,-8.033,-7.674,-23.078,7.147,-18.260,2.713,-23.383,-17.058,1.587,7.818,8.085,0.753,-19.514,-23.645
1964,-30.486,-20.535,-26.395,-14.003,-2.695,8.367,11.392,9.642,1.848,-6.801,-20.691,-34.996,-10.446,-23.701,-14.365,9.800,-8.548,-9.203,-9.849,-10.117,-25.187,5.711,-21.423,1.107,-25.806,-20.311,-2.777,5.688,7.627,1.563,-20.829,-26.335
1965,-31.866,-35.643,-10.545,-6.656,0.270,7.558,12.583,9.586,1.485,-13.113,-18.386,-26.506,-9.269,-34.168,-5.644,9.909,-10.004,-9.977,-10.169,-9.643,-26.748,6.297,-21.028,1.673,-26.018,-17.615,0.391,6.804,7.885,-0.680,-19.335,-29.184
1966,-36.219,-25.445,-23.097,-12.489,1.068,11.035,13.133,9.781,3.479,-9.150,-22.660,-26.578,-9.762,-29.390,-11.506,11.316,-9.444,-9.756,-9.400,-9.730,-25.931,7.699,-22.179,2.408,-28.254,-20.344,-0.129,8.412,8.797,1.370,-19.463,-27.037
1967,-28.117,-29.296,-18.122,-7.166,-0.895,9.855,12.303,9.125,1.650,-10.877,-16.687,-21.286,-8.293,-27.997,-8.728,10.428,-8.638,-8.734,-9.231,-9.088,-24.955,6.408,-20.156,1.999,-25.178,-18.195,0.598,7.088,7.693,-0.034,-16.283,-25.785
1968,-25.443,-23.827,-15.357,-9.496,0.022,10.608,13.163,10.433,1.112,-9.703,-21.157,-27.876,-8.127,-23.519,-8.277,11.401,-9.916,-7.577,-7.205,-7.303,-20.520,7.068,-17.568,2.306,-21.542,-16.227,0.378,7.931,8.236,0.614,-19.579,-21.138
1969,-34.298,-26.556,-20.037,-6.202,1.150,12.120,11.904,5.335,2.866,-2.569,-23.330,-17.501,-8.093,-29.577,-8.363,9.786,-7.677,-8.958,-8.777,-9.371,-25.985,6.675,-20.833,3.515,-26.964,-17.598,2.356,8.391,6.702,1.878,-14.467,-27.777
1970,-31.522,-22.721,-18.556,-9.017,0.492,8.734,13.163,9.663,-0.554,-11.709,-16.519,-27.149,-8.808,-23.915,-9.027,10.520,-9.594,-8.004,-8.572,-7.810,-22.726,6.300,-17.888,1.539,-24.266,-16.765,0.070,7.463,7.424,-0.867,-18.459,-24.118
1971,-36.040,-27.471,-23.838,-13.278,1.589,11.345,13.431,7.975,1.850,-9.604,-22.205,-26.751,-10.250,-30.220,-11.842,10.917,-9.986,-10.283,-9.809,-9.985,-26.204,7.238,-22.286,1.901,-29.116,-21.529,-0.115,8.788,7.752,0.074,-19.520,-26.570
1972,-31.022,-31.379,-22.749,-13.398,-0.402,10.570,13.032,11.490,-1.191,-7.219,-19.518,-23.913,-9.642,-29.717,-12.183,11.697,-9.309,-9.878,-10.102,-10.301,-26.821,6.700,-22.444,1.840,-28.383,-22.508,-1.077,7.733,7.777,1.027,-16.883,-26.659
1973,-28.617,-23.718,-22.742,-8.718,2.857,10.116,13.379,9.357,4.769,-10.189,-23.696,-24.204,-8.450,-25.416,-9.534,10.951,-9.705,-8.426,-8.078,-7.831,-23.702,8.096,-19.206,3.082,-25.025,-18.392,1.418,8.784,9.168,1.312,-19.363,-24.016
1974,-28.531,-32.386,-23.854,-13.400,-0.446,8.177,11.835,9.213,2.493,-16.230,-22.255,-30.219,-11.300,-28.374,-12.566,9.742,-11.997,-10.799,-10.919,-10.416,-26.534,6.254,-22.323,0.235,-28.257,-23.213,-1.890,6.522,7.847,-1.508,-22.901,-25.477
1975,-30.730,-24.764,-16.549,-9.212,1.402,10.506,14.048,9.423,3.079,-10.581,-26.953,-29.661,-9.166,-28.571,-8.120,11.325,-11.485,-9.213,-8.821,-9.292,-24.903,7.691,-21.423,2.666,-24.014,-16.842,0.898,8.652,8.850,0.640,-22.398,-27.735
1976,-29.449,-28.989,-19.787,-5.123,0.953,9.276,13.069,10.896,5.323,-9.805,-11.893,-26.366,-7.658,-29.366,-7.986,11.080,-5.458,-7.933,-9.187,-9.252,-26.968,7.903,-21.506,3.513,-26.075,-17.966,1.702,7.766,9.762,2.138,-16.021,-28.687
1977,-20.586,-19.553,-21.746,-9.098,2.220,10.222,11.184,12.250,4.218,-8.003,-24.480,-28.096,-7.622,-22.168,-9.541,11.219,-9.422,-7.478,-6.429,-6.579,-20.029,8.019,-17.007,3.285,-20.628,-16.799,1.114,7.875,9.217,2.822,-20.193,-19.615
1978,-21.205,-19.462,-17.976,-9.305,-3.137,8.142,13.815,9.214,4.757,-13.336,-17.494,-22.000,-7.332,-22.921,-10.139,10.390,-8.691,-7.840,-8.422,-7.978,-22.244,6.558,-18.361,1.450,-19.548,-15.581,-1.433,6.273,9.262,0.212,-17.610,-24.594
1979,-23.585,-35.675,-24.492,-10.648,2.242,9.886,14.514,12.686,3.486,-5.782,-9.065,-25.839,-7.689,-27.087,-10.966,12.362,-3.787,-7.370,-8.072,-8.701,-24.649,8.563,-21.033,3.769,-27.917,-23.605,0.493,8.880,10.228,3.463,-13.562,-21.026
1980,-28.377,-19.352,-19.501,-11.728,0.853,12.016,11.892,9.399,-2.466,-5.466,-18.314,-33.803,-8.737,-24.522,-10.125,11.102,-8.748,-8.074,-7.303,-7.329,-20.427,6.339,-17.092,2.071,-22.410,-16.860,0.381,8.254,6.275,0.489,-19.194,-21.094
1981,-10.650,-23.219,-14.892,-8.951,4.461,7.886,11.536,9.239,0.635,-8.019,-20.435,-21.947,-6.196,-22.557,-6.460,9.554,-9.273,-7.184,-7.008,-6.795,-20.176,6.752,-16.471,2.398,-16.254,-15.687,1.132,7.961,7.137,0.618,-16.800,-20.922
1982,-37.165,-26.239,-20.025,-10.142,-1.079,10.287,14.032,9.000,4.760,-12.979,-24.652,-24.331,-9.878,-28.450,-10.416,11.106,-10.957,-9.679,-9.328,-8.914,-25.162,7.400,-20.568,1.983,-27.810,-18.802,-0.311,7.747,9.264,0.260,-20.654,-26.516
1983,-32.343,-28.274,-25.178,-8.730,-4.159,10.608,13.750,10.014,-0.214,-11.694,-16.166,-27.465,-9.988,-28.316,-12.689,11.458,-9.358,-9.726,-10.434,-10.541,-26.956,6.000,-22.355,1.368,-28.599,-20.728,-0.760,6.733,7.850,-0.631,-18.442,-27.109
1984,-27.061,-29.464,-21.294,-7.802,3.160,11.707,11.893,8.285,1.780,-11.844,-25.621,-28.904,-9.597,-27.997,-8.645,10.628,-11.895,-9.477,-8.689,-8.677,-24.290,7.365,-20.135,2.454,-25.939,-19.520,2.355,8.920,7.319,-0.593,-22.123,-23.564
1985,-16.418,-29.382,-15.747,-16.219,1.884,10.149,11.716,8.654,3.114,-12.693,-22.616,-17.411,-7.914,-24.901,-10.027,10.173,-10.731,-8.872,-9.122,-9.052,-23.214,7.103,-20.591,0.944,-20.516,-20.450,-1.395,7.916,7.828,-0.308,-17.573,-23.648
1986,-28.546,-21.777,-23.395,-15.606,-1.769,11.041,13.759,9.103,3.729,-9.156,-26.446,-18.834,-8.991,-22.578,-13.590,11.301,-10.625,-8.873,-8.554,-8.848,-22.749,7.172,-20.292,1.586,-24.573,-20.259,-2.111,7.677,8.863,1.225,-18.146,-22.858
1987,-20.746,-23.767,-20.139,-10.505,0.251,11.338,12.711,9.240,2.742,-6.202,-21.475,-20.238,-7.233,-21.116,-10.131,11.096,-8.312,-7.116,-7.530,-7.776,-21.986,7.256,-18.513,2.796,-21.551,-18.137,0.361,8.100,8.231,1.927,-15.972,-22.009
1988,-25.189,-22.972,-16.804,-7.912,0.051,12.029,13.105,10.756,2.569,-12.753,-27.580,-18.196,-7.741,-22.800,-8.222,11.963,-12.588,-7.911,-7.403,-6.857,-21.335,7.702,-17.256,2.549,-21.655,-15.896,1.389,8.395,8.810,0.191,-19.510,-22.301
1989,-30.879,-14.064,-23.371,-4.712,1.768,11.089,15.496,13.878,4.094,-9.028,-26.837,-21.589,-7.013,-21.047,-8.772,13.488,-10.590,-6.730,-6.792,-7.103,-22.818,9.265,-18.794,4.655,-22.772,-14.049,2.715,9.451,11.156,2.981,-19.151,-25.552
1990,-30.839,-33.328,-13.821,-4.783,2.882,10.579,14.563,9.363,2.886,-9.740,-26.815,-28.171,-8.935,-28.585,-5.240,11.502,-11.223,-8.387,-8.389,-8.329,-25.283,8.055,-20.032,3.679,-25.996,-17.311,2.893,9.342,8.938,0.836,-21.575,-26.422
1991,-23.584,-26.380,-18.375,-4.525,6.325,10.133,11.228,7.636,3.324,-9.494,-25.789,-26.358,-7.988,-26.045,-5.525,9.665,-10.653,-8.139,-8.225,-8.245,-24.665,7.729,-19.656,3.518,-22.780,-16.427,3.978,9.228,7.396,0.489,-20.547,-26.190
1992,-26.809,-27.132,-13.150,-12.478,-0.476,11.057,12.553,10.603,-4.611,-11.588,-16.550,-26.781,-8.780,-26.766,-8.701,11.404,-10.917,-8.745,-9.515,-9.340,-23.847,5.825,-20.173,0.723,-22.363,-17.587,-0.632,7.711,6.182,-1.866,-18.307,-26.319
1993,-21.497,-21.651,-13.627,-6.438,1.276,10.946,13.749,10.547,3.594,-4.714,-17.045,-21.596,-5.538,-23.310,-6.263,11.747,-6.055,-5.970,-5.929,-6.502,-20.021,8.022,-16.876,4.137,-18.925,-13.905,1.928,8.657,9.297,3.142,-14.452,-21.609
1994,-29.220,-28.073,-18.405,-8.828,4.318,10.087,15.348,12.896,-0.249,-7.704,-22.948,-24.554,-8.111,-26.297,-7.638,12.777,-10.300,-7.865,-7.373,-7.123,-22.868,8.480,-18.269,3.695,-25.233,-18.436,1.859,9.918,9.332,1.648,-18.402,-22.621
1995,-23.079,-23.443,-19.860,-4.204,5.114,12.174,12.517,9.104,5.968,-9.043,-23.413,-29.517,-7.307,-23.692,-6.317,11.265,-8.829,-6.893,-6.855,-6.743,-22.777,8.975,-17.970,4.518,-22.127,-15.836,4.361,9.935,9.196,2.010,-20.658,-23.527
1996,-28.874,-21.463,-15.698,-11.531,1.230,11.432,13.521,6.246,-0.668,-16.251,-20.492,-26.185,-9.061,-26.618,-8.667,10.399,-12.470,-9.339,-9.582,-8.982,-23.793,6.352,-19.934,0.568,-22.011,-16.231,0.377,8.727,6.366,-3.558,-20.976,-27.268
1997,-29.212,-18.334,-24.612,-7.481,1.122,10.256,13.113,11.150,5.275,-12.156,-14.505,-22.301,-7.307,-24.577,-10.324,11.507,-7.129,-7.631,-8.130,-8.471,-23.767,8.183,-20.367,3.040,-24.053,-16.809,1.299,8.164,9.846,1.423,-16.321,-25.296
1998,-31.391,-22.963,-14.005,-1.619,5.632,11.877,15.055,10.581,3.700,-8.299,-20.468,-21.921,-6.152,-25.552,-3.331,12.504,-8.356,-6.183,-5.687,-6.008,-21.033,9.369,-16.991,5.275,-22.786,-12.863,5.297,10.855,9.779,1.994,-16.896,-22.732
1999,-28.541,-26.794,-19.624,-8.094,0.612,11.886,12.397,11.315,3.274,-11.441,-21.229,-25.934,-8.514,-25.752,-9.035,11.866,-9.799,-8.180,-8.117,-7.855,-23.470,7.897,-19.106,2.850,-24.987,-18.171,1.468,8.298,8.996,1.050,-19.534,-23.644
2000,-23.910,-18.020,-18.640,-10.199,-0.396,12.254,12.242,6.628,1.234,-10.273,-16.780,-25.063,-7.577,-22.621,-9.745,10.375,-8.606,-7.649,-8.020,-8.118,-21.546,6.392,-18.482,1.641,-20.190,-15.620,0.553,8.033,6.701,-0.804,-17.372,-23.691
2001,-17.358,-18.536,-22.409,-7.793,-0.951,10.362,12.131,10.226,4.829,-7.864,-19.936,-22.142,-6.620,-20.319,-10.384,10.906,-7.657,-6.863,-6.600,-6.801,-20.029,7.319,-16.887,2.992,-19.434,-16.246,0.539,7.181,9.062,2.397,-16.647,-19.733
2002,-21.325,-24.508,-18.907,-9.690,1.101,10.913,12.869,7.419,4.815,-5.311,-12.900,-16.047,-5.964,-22.659,-9.165,10.401,-4.465,-6.472,-7.058,-7.271,-21.364,7.424,-17.768,3.160,-21.580,-17.702,0.775,8.295,8.368,2.308,-11.419,-21.134
2003,-26.053,-20.681,-20.861,-7.315,0.467,10.464,13.750,10.341,0.882,-3.672,-17.803,-24.087,-7.047,-20.927,-9.236,11.519,-6.864,-6.377,-5.969,-6.105,-19.308,7.181,-15.595,3.560,-22.532,-16.286,1.206,8.227,8.325,2.517,-15.187,-18.333
2004,-30.830,-23.945,-23.035,-7.250,1.828,15.011,14.351,10.964,0.438,-7.929,-19.353,-26.265,-8.001,-26.287,-9.486,13.442,-8.948,-7.820,-7.690,-7.336,-23.940,8.519,-18.660,3.916,-25.936,-18.077,3.196,10.397,8.585,1.158,-17.849,-24.240
2005,-24.355,-22.409,-16.636,-7.410,4.985,10.824,10.889,10.138,3.576,-6.547,-22.884,-16.962,-6.399,-24.343,-6.354,10.617,-8.619,-7.174,-6.880,-6.995,-21.804,8.082,-17.765,3.779,-21.133,-15.485,2.800,8.899,8.201,2.389,-15.464,-23.324
2006,-27.837,-15.280,-22.647,-9.604,3.235,12.600,13.154,10.044,6.429,-3.586,-24.221,-18.662,-6.365,-20.026,-9.672,11.932,-7.126,-6.223,-6.112,-6.358,-21.122,9.092,-17.394,4.610,-21.922,-15.844,2.077,9.663,9.876,4.296,-15.490,-22.561
2007,-22.423,-28.905,-26.546,-6.424,1.982,12.472,14.370,10.023,2.886,-10.120,-17.428,-23.372,-7.790,-23.330,-10.329,12.288,-8.221,-7.398,-7.964,-7.420,-24.152,8.347,-18.681,3.598,-25.958,-20.625,2.677,9.608,9.093,0.929,-16.973,-21.769
2008,-26.534,-25.338,-22.135,-5.284,3.303,12.979,11.996,6.114,1.673,-10.392,-18.124,-25.920,-8.138,-25.081,-8.039,10.363,-8.948,-7.926,-7.868,-7.846,-22.961,7.213,-18.602,2.913,-24.669,-17.586,3.666,9.426,6.594,-0.868,-18.145,-22.445
2009,-27.551,-21.963,-25.052,-7.324,3.048,10.619,13.196,9.580,3.538,-6.196,-20.829,-19.966,-7.408,-25.145,-9.776,11.132,-7.829,-7.905,-7.679,-8.029,-23.722,7.996,-19.475,3.780,-24.856,-18.113,2.114,8.954,8.771,2.307,-15.664,-23.865
2010,-27.121,-19.947,-15.871,-1.571,4.938,11.334,13.673,11.376,3.037,-7.105,-13.382,-29.766,-5.867,-22.345,-4.168,12.128,-5.817,-5.050,-5.671,-5.595,-20.747,8.872,-15.929,5.098,-20.980,-12.463,4.901,9.982,9.362,2.436,-16.751,-22.639
2011,-24.247,-20.869,-18.920,-10.804,3.845,9.971,13.488,9.704,4.841,-5.433,-24.825,-18.739,-6.832,-24.961,-8.627,11.055,-8.472,-7.751,-6.798,-6.937,-21.437,8.370,-17.871,3.659,-21.345,-16.865,1.004,9.101,9.345,3.037,-16.332,-22.465
2012,-28.755,-16.381,-25.002,-5.977,2.755,13.318,14.132,11.304,5.581,-7.109,-24.085,-27.844,-7.339,-21.292,-9.408,12.918,-8.538,-6.580,-6.642,-6.502,-22.741,9.418,-17.873,4.858,-23.379,-15.787,3.365,10.068,10.339,3.259,-19.679,-24.107
2013,-24.598,-23.549,-19.524,-13.814,0.479,13.061,14.358,11.841,3.345,-0.599,-16.606,-26.484,-6.841,-25.330,-10.953,13.087,-4.620,-6.954,-7.577,-8.120,-23.920,8.617,-20.075,4.096,-22.557,-18.962,-0.091,9.299,9.848,4.862,-14.563,-25.509
2014,-20.273,-25.167,-16.642,-7.307,5.588,11.713,12.557,9.481,2.875,-8.245,-18.934,-19.080,-6.120,-23.975,-6.120,11.250,-8.102,-6.737,-6.543,-5.905,-21.034,8.443,-16.154,3.809,-20.694,-16.372,3.331,9.952,8.304,1.370,-15.420,-21.121
2015,-25.225,-21.835,-14.523,-4.964,7.318,11.020,11.542,8.516,1.175,-6.690,-15.243,-22.538,-5.954,-22.047,-4.057,10.359,-6.919,-5.666,-5.973,-6.103,-19.919,7.914,-16.115,3.988,-20.528,-13.774,4.458,9.960,7.078,1.000,-14.824,-21.080
2016,-18.573,-19.268,-14.536,-7.710,5.945,11.121,13.256,11.402,3.035,-8.730,-18.289,-23.206,-5.463,-20.126,-5.434,11.926,-7.995,-5.407,-5.153,-4.983,-18.032,8.952,-14.937,4.045,-17.459,-13.838,3.118,10.107,9.231,1.902,-16.742,-18.785
2017,-19.528,-19.876,-21.894,-9.388,5.378,10.699,15.639,11.927,4.834,-3.991,-18.985,-14.684,-4.989,-20.870,-8.635,12.755,-6.047,-5.699,-5.641,-6.036,-20.559,9.695,-17.273,5.014,-20.432,-17.053,2.229,10.572,10.800,4.257,-12.553,-20.341
2018,-21.922,-19.935,-14.345,-9.998,3.600,10.256,14.639,7.918,0.942,-5.124,-17.419,-18.396,-5.815,-18.847,-6.914,10.937,-7.200,-5.506,-5.636,-5.542,-17.974,7.471,-14.837,3.176,-18.734,-14.759,1.286,9.498,7.833,1.245,-13.646,-18.530
