=======================================================================================
ECMWF ERA5 (0.5x0.5 deg)
2m Dewpoint Temperature (deg C)
Values averaged across Specify Point (67.5N; 172.1E)
---------------------------------------------------------------------------------------
This file was generated using Climate Reanalyzer (https://ClimateReanalyzer.org)
Climate Change Institute; University of Maine; USA (https://climatechange.umaine.edu)
=======================================================================================
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Ann,DJF,MAM,JJA,SON,Ann_D-N,Ann_NO,Ann_OS,NDJFM,MJJAS,ONDJFMA,AMJJASO,JFM,FMA,AMJ,MJJ,JAS,ASO,OND,NDJ
1940,-30.063,-30.659,-26.894,-11.801,-3.574,2.774,4.713,3.198,-8.439,-17.103,-21.421,-31.964,-14.269,-999,-14.089,3.562,-15.654,-999,-999,-999,-999,-0.266,-999,-4.319,-29.205,-23.118,-4.200,1.304,-0.176,-7.448,-23.496,-999
1941,-33.077,-32.533,-27.621,-19.850,-6.450,3.114,4.751,6.447,-2.714,-12.228,-28.906,-35.739,-15.401,-32.525,-17.974,4.771,-14.616,-15.086,-14.462,-14.869,-29.323,1.030,-26.224,-3.847,-31.077,-26.668,-7.729,0.472,2.828,-2.832,-25.624,-28.821
1942,-24.842,-31.248,-28.898,-19.039,-5.260,0.640,5.294,1.235,-1.962,-15.880,-27.243,-30.806,-14.834,-30.610,-17.732,2.390,-15.029,-15.245,-15.384,-15.079,-29.927,-0.011,-25.843,-4.996,-28.329,-26.395,-7.886,0.225,1.522,-5.536,-24.643,-29.829
1943,-27.212,-33.995,-24.134,-15.625,-2.731,3.777,4.552,3.029,-5.485,-15.682,-26.181,-33.332,-14.418,-30.671,-14.163,3.786,-15.782,-14.208,-14.296,-14.313,-28.678,0.629,-24.985,-4.023,-28.447,-24.584,-4.860,1.866,0.699,-6.046,-25.065,-28.420
1944,-35.663,-33.054,-26.708,-18.880,-3.093,3.521,5.659,4.291,-1.691,-13.266,-23.491,-29.425,-14.317,-34.016,-16.227,4.490,-12.816,-14.642,-14.867,-15.068,-30.987,1.737,-27.071,-3.352,-31.808,-26.214,-6.151,2.029,2.753,-3.556,-22.061,-31.725
1945,-35.109,-35.081,-31.310,-10.327,-5.332,1.611,4.281,2.976,-3.058,-18.324,-23.749,-32.319,-15.479,-33.205,-15.657,2.956,-15.044,-15.237,-15.216,-14.794,-30.883,0.096,-25.430,-4.025,-33.833,-25.573,-4.683,0.187,1.400,-6.136,-24.798,-29.342
1946,-33.590,-37.677,-32.504,-18.556,-5.926,1.197,5.232,0.983,-5.011,-16.640,-22.697,-32.567,-16.480,-34.529,-18.995,2.471,-14.783,-16.459,-16.547,-16.687,-31.968,-0.705,-28.103,-5.532,-34.590,-29.579,-7.762,0.168,0.401,-6.889,-23.968,-29.886
1947,-34.210,-28.546,-28.184,-13.488,-5.785,2.728,3.821,1.716,-4.449,-17.341,-29.053,-34.599,-15.616,-31.774,-15.819,2.755,-16.948,-15.447,-14.917,-14.858,-29.241,-0.394,-25.190,-4.685,-30.313,-23.406,-5.515,0.255,0.363,-6.691,-26.998,-29.825
1948,-34.896,-29.333,-26.826,-13.122,-3.950,2.290,3.393,3.538,-5.557,-20.907,-28.688,-33.433,-15.624,-32.943,-14.632,3.074,-18.384,-15.721,-15.752,-15.455,-30.942,-0.057,-26.453,-4.902,-30.352,-23.094,-4.927,0.578,0.458,-7.642,-27.676,-32.849
1949,-32.660,-33.177,-27.329,-18.343,-8.992,-0.456,4.473,1.086,-4.691,-16.363,-30.643,-27.751,-16.237,-33.090,-18.221,1.701,-17.233,-16.711,-16.548,-16.926,-31.057,-1.716,-27.791,-6.184,-31.055,-26.283,-9.263,-1.658,0.289,-6.656,-24.919,-31.594
1950,-16.708,-28.107,-31.574,-22.599,-12.491,-0.453,4.938,3.340,-7.248,-14.747,-22.435,-34.372,-15.205,-24.189,-22.221,2.608,-14.810,-14.653,-15.337,-15.472,-26.957,-2.383,-24.821,-7.037,-25.463,-27.426,-11.848,-2.669,0.343,-6.218,-23.851,-25.034
1951,-31.687,-35.032,-26.692,-19.364,-5.464,3.466,5.554,2.139,-2.507,-11.801,-27.004,-30.031,-14.869,-33.697,-17.173,3.720,-13.770,-15.230,-14.850,-15.095,-30.044,0.638,-26.333,-3.997,-31.137,-27.029,-7.121,1.185,1.729,-4.056,-22.945,-29.498
1952,-30.711,-37.824,-27.725,-19.785,-8.031,1.335,7.405,5.536,0.177,-13.033,-26.299,-33.342,-15.191,-32.856,-18.514,4.759,-13.051,-14.915,-14.974,-14.872,-30.659,1.284,-26.412,-3.771,-32.087,-28.445,-8.827,0.236,4.373,-2.440,-24.224,-29.249
1953,-31.213,-35.089,-28.733,-18.174,-6.115,4.780,6.720,4.502,-1.882,-12.383,-24.460,-34.367,-14.701,-33.214,-17.674,5.334,-12.908,-14.616,-14.769,-14.823,-30.935,1.601,-26.555,-3.222,-31.678,-27.332,-6.503,1.795,3.113,-3.254,-23.737,-30.284
1954,-26.684,-31.576,-28.615,-10.108,-3.851,2.085,5.503,1.087,-4.747,-16.133,-26.254,-35.462,-14.563,-30.876,-14.191,2.892,-15.711,-14.471,-14.322,-14.009,-29.140,0.016,-24.027,-3.737,-28.958,-23.433,-3.958,1.246,0.615,-6.597,-25.950,-28.504
1955,-34.490,-32.694,-30.237,-20.566,-9.196,1.059,5.771,4.066,-3.236,-20.621,-26.142,-25.306,-15.966,-34.215,-20.000,3.632,-16.666,-16.812,-16.822,-16.448,-31.827,-0.307,-27.977,-6.103,-32.474,-27.833,-9.568,-0.789,2.200,-6.597,-24.023,-32.069
1956,-26.730,-33.466,-31.054,-19.879,-6.866,2.999,7.114,1.577,-3.738,-16.029,-30.677,-29.660,-15.534,-28.500,-19.266,3.896,-16.815,-15.171,-14.793,-15.176,-28.539,0.217,-26.171,-4.975,-30.417,-28.133,-7.915,1.082,1.651,-6.063,-25.455,-26.059
