=======================================================================================
ECMWF ERA5 (0.5x0.5 deg)
Total Precipitation (m)
Values averaged across Specify Point (67.5N; 172.1E)
---------------------------------------------------------------------------------------
This file was generated using Climate Reanalyzer (https://ClimateReanalyzer.org)
Climate Change Institute; University of Maine; USA (https://climatechange.umaine.edu)
=======================================================================================
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Ann,DJF,MAM,JJA,SON,Ann_D-N,Ann_NO,Ann_OS,NDJFM,MJJAS,ONDJFMA,AMJJASO,JFM,FMA,AMJ,MJJ,JAS,ASO,OND,NDJ
1940,0.0140,0.0088,0.0049,0.0099,0.0264,0.0386,0.0736,0.0697,0.0469,0.0205,0.0477,0.0237,0.3846,-999,0.0411,0.1819,0.1151,-999,-999,-999,-999,0.2551,-999,0.2855,0.0277,0.0236,0.0749,0.1386,0.1901,0.1370,0.0919,-999
1941,0.0066,0.0172,0.0093,0.0108,0.0166,0.0096,0.0499,0.0524,0.0552,0.0824,0.0300,0.0086,0.3487,0.0475,0.0367,0.1120,0.1676,0.3637,0.3814,0.3195,0.1045,0.1837,0.1358,0.2769,0.0332,0.0373,0.0369,0.0761,0.1575,0.1900,0.1211,0.0780
1942,0.0169,0.0148,0.0203,0.0118,0.0192,0.0216,0.0735,0.0324,0.0414,0.0375,0.0088,0.0027,0.3008,0.0404,0.0512,0.1275,0.0876,0.3068,0.3280,0.3730,0.0907,0.1881,0.1849,0.2373,0.0520,0.0469,0.0526,0.1143,0.1473,0.1113,0.0490,0.0556
1943,0.0235,0.0103,0.0092,0.0149,0.0182,0.0502,0.0594,0.0294,0.0362,0.0212,0.0167,0.0124,0.3013,0.0365,0.0423,0.1389,0.0740,0.2916,0.2838,0.3001,0.0545,0.1932,0.1068,0.2293,0.0430,0.0344,0.0832,0.1277,0.1249,0.0867,0.0502,0.0349
1944,0.0059,0.0065,0.0115,0.0109,0.0199,0.0627,0.1172,0.0523,0.0508,0.0314,0.0223,0.0307,0.4219,0.0247,0.0423,0.2321,0.1044,0.4036,0.3980,0.3878,0.0529,0.3028,0.0850,0.3451,0.0239,0.0289,0.0935,0.1998,0.2202,0.1344,0.0843,0.0349
1945,0.0099,0.0052,0.0057,0.0256,0.0177,0.0486,0.0649,0.0329,0.0520,0.0242,0.0257,0.0103,0.3226,0.0457,0.0490,0.1464,0.1019,0.3430,0.3395,0.3467,0.0737,0.2161,0.1307,0.2658,0.0208,0.0365,0.0919,0.1312,0.1498,0.1090,0.0602,0.0628
1946,0.0102,0.0030,0.0073,0.0045,0.0079,0.0665,0.0552,0.1267,0.0512,0.0552,0.0536,0.0201,0.4615,0.0234,0.0197,0.2484,0.1601,0.4517,0.4238,0.3927,0.0565,0.3075,0.0852,0.3672,0.0205,0.0148,0.0789,0.1296,0.2331,0.2331,0.1290,0.0462
1947,0.0061,0.0402,0.0137,0.0134,0.0244,0.0137,0.0601,0.0491,0.0149,0.0491,0.0215,0.0117,0.3180,0.0664,0.0515,0.1230,0.0855,0.3264,0.3586,0.3648,0.1338,0.1624,0.2024,0.2248,0.0600,0.0673,0.0515,0.0983,0.1242,0.1131,0.0822,0.0798
1948,0.0092,0.0040,0.0069,0.0257,0.0230,0.1007,0.1076,0.0533,0.0537,0.0244,0.0189,0.0108,0.4382,0.0249,0.0556,0.2615,0.0970,0.4391,0.4416,0.4664,0.0533,0.3383,0.1281,0.3883,0.0201,0.0366,0.1494,0.2313,0.2146,0.1314,0.0541,0.0424
1949,0.0346,0.0135,0.0424,0.0077,0.0138,0.0540,0.0778,0.1447,0.0347,0.0658,0.0213,0.0475,0.5578,0.0589,0.0639,0.2766,0.1218,0.5211,0.5187,0.4773,0.1202,0.3251,0.1522,0.3986,0.0905,0.0635,0.0755,0.1457,0.2572,0.2452,0.1346,0.0643
