=======================================================================================
ECMWF ERA5 (0.5x0.5 deg)
2m Temperature (deg C)
Values averaged across Specify Point (67.5N; 172.1E)
---------------------------------------------------------------------------------------
This file was generated using Climate Reanalyzer (https://ClimateReanalyzer.org)
Climate Change Institute; University of Maine; USA (https://climatechange.umaine.edu)
=======================================================================================
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Ann,DJF,MAM,JJA,SON,Ann_D-N,Ann_NO,Ann_OS,NDJFM,MJJAS,ONDJFMA,AMJJASO,JFM,FMA,AMJ,MJJ,JAS,ASO,OND,NDJ
1940,-27.052,-27.364,-23.083,-9.557,-0.878,8.431,7.867,4.924,-6.996,-15.077,-19.280,-29.277,-11.445,-999,-11.173,7.074,-13.784,-999,-999,-999,-999,2.670,-999,-1.612,-25.833,-20.001,-0.668,5.140,1.932,-5.716,-21.211,-999
1941,-28.456,-28.627,-24.528,-16.937,-4.222,7.953,8.613,9.301,-0.481,-10.533,-26.277,-32.927,-12.260,-28.786,-15.229,8.623,-12.430,-11.956,-11.373,-11.751,-26.033,4.233,-23.169,-0.901,-27.204,-23.364,-4.402,4.115,5.811,-0.571,-23.246,-25.671
1942,-22.413,-27.787,-25.457,-16.559,-3.040,4.532,7.727,3.744,0.442,-14.039,-24.279,-27.820,-12.079,-27.709,-15.019,5.335,-12.625,-12.505,-12.671,-12.379,-26.972,2.681,-23.136,-2.456,-25.219,-23.268,-5.022,3.073,3.971,-3.284,-22.046,-27.206
1943,-24.636,-30.797,-20.702,-13.145,-0.201,7.269,8.255,5.895,-3.578,-13.811,-23.563,-30.543,-11.630,-27.751,-11.349,7.140,-13.651,-11.403,-11.463,-11.482,-25.647,3.528,-22.203,-1.331,-25.378,-21.548,-2.026,5.108,3.524,-3.831,-22.639,-25.579
1944,-32.798,-29.327,-23.380,-15.878,-0.481,6.124,7.816,7.133,0.839,-10.977,-20.804,-26.764,-11.541,-30.889,-13.246,7.024,-10.314,-11.856,-12.086,-12.322,-27.922,4.286,-24.186,-0.775,-28.502,-22.861,-3.412,4.486,5.263,-1.002,-19.515,-28.968
1945,-31.998,-32.140,-27.824,-8.134,-2.935,5.023,7.760,6.137,-1.351,-16.252,-21.027,-29.091,-12.653,-30.301,-12.964,6.307,-12.877,-12.459,-12.440,-12.001,-27.906,2.927,-22.663,-1.393,-30.654,-22.699,-2.015,3.283,4.182,-3.822,-22.123,-26.522
1946,-30.569,-33.318,-29.184,-14.863,-2.307,4.722,7.905,3.769,-3.856,-14.841,-20.409,-29.745,-13.558,-30.993,-15.451,5.465,-13.035,-13.504,-13.555,-13.673,-28.638,2.046,-24.900,-2.782,-31.023,-25.788,-4.149,3.440,2.606,-4.976,-21.665,-26.896
1947,-30.744,-25.373,-25.021,-11.200,-3.669,7.468,7.425,5.430,-1.716,-15.283,-26.377,-31.653,-12.559,-28.621,-13.297,6.774,-14.459,-12.400,-11.903,-11.866,-26.258,2.988,-22.476,-1.649,-27.046,-20.531,-2.467,3.741,3.713,-3.856,-24.438,-26.966
1948,-31.904,-24.300,-23.381,-10.710,-1.620,5.649,6.264,6.355,-3.413,-18.829,-26.071,-30.386,-12.696,-29.286,-11.904,6.089,-16.104,-12.801,-12.827,-12.531,-27.523,2.647,-23.373,-2.329,-26.529,-19.464,-2.227,3.431,3.069,-5.296,-25.095,-29.978
1949,-29.618,-29.773,-23.745,-15.300,-6.513,1.631,7.486,2.617,-3.644,-14.444,-27.963,-25.162,-13.702,-29.926,-15.186,3.911,-15.350,-14.138,-13.980,-14.345,-27.919,0.315,-24.817,-4.024,-27.712,-22.939,-6.728,0.868,2.153,-5.157,-22.523,-28.692
