=======================================================================================
ECMWF ERA5 (0.5x0.5 deg)
2m Dewpoint Temperature (deg C)
Values averaged across Specify Point (64.86N; 212.28E)
---------------------------------------------------------------------------------------
This file was generated using Climate Reanalyzer (https://ClimateReanalyzer.org)
Climate Change Institute; University of Maine; USA (https://climatechange.umaine.edu)
=======================================================================================
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Ann,DJF,MAM,JJA,SON,Ann_D-N,Ann_NO,Ann_OS,NDJFM,MJJAS,ONDJFMA,AMJJASO,JFM,FMA,AMJ,MJJ,JAS,ASO,OND,NDJ
1940,-18.108,-18.842,-16.710,-3.359,0.729,9.432,9.959,5.482,1.999,-5.232,-18.149,-21.494,-6.191,-999,-6.447,8.291,-7.128,-999,-999,-999,-999,5.520,-999,2.715,-17.887,-12.971,2.267,6.707,5.813,0.749,-14.958,-999
1941,-26.089,-15.464,-15.688,-4.040,0.181,6.907,8.859,7.312,-1.400,-10.790,-23.959,-23.847,-8.168,-21.016,-6.516,7.693,-12.050,-7.972,-7.488,-7.025,-19.377,4.372,-15.165,1.004,-19.080,-11.731,1.016,5.316,4.924,-1.626,-19.532,-21.911
1942,-20.084,-14.476,-16.597,-5.543,1.391,7.441,7.804,7.411,3.909,-5.539,-26.046,-32.821,-7.763,-19.469,-6.916,7.552,-9.225,-7.015,-6.841,-7.278,-19.793,5.591,-16.471,2.411,-17.053,-12.205,1.096,5.545,6.374,1.927,-21.469,-22.630
1943,-31.876,-17.493,-17.384,-7.137,1.003,8.332,9.281,6.289,1.265,-5.664,-13.276,-20.629,-7.274,-27.397,-7.839,7.967,-5.892,-8.290,-9.354,-9.344,-25.124,5.234,-19.756,1.910,-22.251,-14.004,0.733,6.205,5.612,0.630,-13.190,-30.248
1944,-22.323,-14.865,-14.827,-8.847,1.145,8.314,10.503,7.390,1.055,-5.746,-17.821,-19.173,-6.266,-19.272,-7.510,8.735,-7.504,-6.388,-6.009,-6.002,-17.184,5.681,-14.347,1.973,-17.338,-12.846,0.204,6.654,6.316,0.899,-14.247,-18.743
1945,-16.757,-17.019,-16.582,-9.755,-1.438,6.556,10.100,7.577,2.268,-5.885,-23.050,-22.062,-7.170,-17.650,-9.258,8.078,-8.889,-6.930,-6.494,-6.483,-17.470,5.013,-14.693,1.346,-16.786,-14.452,-1.545,5.073,6.648,1.320,-16.999,-17.917
1946,-21.932,-21.417,-19.471,-9.052,1.498,9.677,10.631,6.122,0.468,-4.603,-21.754,-30.786,-8.385,-21.803,-9.008,8.810,-8.630,-7.658,-7.766,-7.873,-21.586,5.679,-17.553,2.106,-20.940,-16.647,0.708,7.268,5.740,0.662,-19.048,-22.348
1947,-32.611,-19.489,-11.237,-8.158,1.271,7.181,10.379,4.835,0.209,-8.097,-13.750,-16.753,-7.185,-27.628,-6.041,7.465,-7.212,-8.354,-9.021,-8.730,-23.175,4.775,-18.377,1.089,-21.112,-12.961,0.098,6.277,5.141,-1.017,-12.867,-28.383
1948,-20.842,-23.685,-18.209,-9.709,0.502,8.981,9.608,5.005,-0.654,-6.966,-21.003,-27.722,-8.724,-20.427,-9.139,7.865,-9.541,-7.810,-7.206,-7.300,-18.648,4.688,-15.864,0.967,-20.912,-17.201,-0.076,6.364,4.653,-0.872,-18.563,-17.115
1949,-23.925,-24.554,-9.917,-9.792,-0.587,5.673,11.246,7.676,4.455,-6.139,-12.796,-26.138,-7.067,-25.400,-6.766,8.198,-4.826,-7.199,-7.882,-7.951,-21.424,5.693,-17.697,1.790,-19.466,-14.755,-1.569,5.444,7.792,1.997,-15.024,-24.217
1950,-20.788,-32.077,-11.470,-7.892,0.861,7.469,10.182,8.285,2.635,-7.624,-22.843,-20.636,-7.825,-26.335,-6.167,8.645,-9.277,-8.283,-7.446,-7.322,-20.654,5.886,-16.757,1.988,-21.445,-17.146,0.146,6.171,7.034,1.099,-17.034,-19.907
1951,-29.457,-22.935,-23.130,-4.571,1.149,5.197,9.042,8.123,2.403,-10.722,-12.896,-23.701,-8.458,-24.342,-8.850,7.454,-7.072,-8.203,-9.032,-8.773,-23.800,5.183,-18.742,1.517,-25.174,-16.878,0.592,5.129,6.523,-0.065,-15.773,-24.312
1952,-28.751,-21.291,-17.200,-8.291,-2.535,8.126,9.482,6.417,0.228,-4.744,-10.517,-19.473,-7.379,-24.581,-9.342,8.008,-5.011,-7.731,-7.930,-8.428,-20.768,4.343,-17.550,1.240,-22.414,-15.594,-0.900,5.024,5.375,0.634,-11.578,-21.783
1953,-29.779,-18.593,-17.260,-6.096,2.020,9.586,10.728,7.447,2.684,-8.953,-18.812,-21.184,-7.351,-22.615,-7.112,9.254,-8.360,-7.208,-6.517,-6.166,-19.124,6.493,-15.209,2.488,-21.877,-13.983,1.837,7.445,6.953,0.393,-16.316,-19.923
