=======================================================================================
ECMWF ERA5 (0.5x0.5 deg)
2m Temperature (deg C)
Values averaged across Specify Point (64.86N; 212.28E)
---------------------------------------------------------------------------------------
This file was generated using Climate Reanalyzer (https://ClimateReanalyzer.org)
Climate Change Institute; University of Maine; USA (https://climatechange.umaine.edu)
=======================================================================================
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Ann,DJF,MAM,JJA,SON,Ann_D-N,Ann_NO,Ann_OS,NDJFM,MJJAS,ONDJFMA,AMJJASO,JFM,FMA,AMJ,MJJ,JAS,ASO,OND,NDJ
1940,-14.611,-15.038,-12.028,4.262,9.149,13.595,16.892,13.502,7.338,-0.790,-12.926,-18.474,-0.761,-999,0.461,14.663,-2.126,-999,-999,-999,-999,12.095,-999,9.136,-13.892,-7.602,9.002,13.212,12.578,6.684,-10.730,-999
1941,-22.397,-11.393,-11.392,1.342,7.881,14.221,13.340,12.496,5.067,-6.329,-21.094,-20.609,-3.239,-17.421,-0.723,13.352,-7.452,-3.061,-2.380,-1.919,-15.316,10.601,-10.861,6.860,-15.060,-7.147,7.815,11.814,10.301,3.745,-16.011,-17.932
1942,-17.009,-11.463,-12.571,-0.950,7.796,12.810,12.985,11.129,6.987,-1.656,-22.353,-29.053,-3.612,-16.360,-1.908,12.308,-5.674,-2.909,-2.804,-3.193,-16.549,10.341,-12.861,7.014,-13.681,-8.328,6.552,11.197,10.367,5.487,-17.687,-19.570
1943,-27.726,-13.891,-13.036,-1.518,7.758,13.820,14.009,9.946,4.674,-2.374,-9.457,-17.149,-2.912,-23.557,-2.265,12.592,-2.386,-3.904,-4.979,-4.919,-21.212,10.041,-15.605,6.616,-18.218,-9.482,6.687,11.862,9.543,4.082,-9.660,-26.377
1944,-19.212,-11.614,-11.208,-3.136,7.271,13.716,15.072,10.535,4.772,-2.551,-14.673,-15.807,-2.236,-15.992,-2.358,13.108,-4.151,-2.348,-1.913,-1.899,-13.728,10.273,-10.593,6.526,-14.011,-8.652,5.950,12.020,10.127,4.252,-11.011,-15.273
1945,-12.613,-13.390,-12.318,-4.728,4.508,10.503,13.393,10.625,5.705,-2.162,-19.596,-18.436,-3.209,-13.937,-4.179,11.507,-5.351,-2.990,-2.580,-2.612,-13.760,8.947,-10.869,5.407,-12.774,-10.145,3.428,9.468,9.908,4.723,-13.398,-14.365
1946,-18.383,-16.814,-15.480,-3.879,7.887,15.460,15.973,11.526,5.433,-0.269,-17.878,-27.558,-3.665,-17.878,-3.824,14.320,-4.238,-2.905,-3.048,-3.206,-17.742,11.256,-13.536,7.447,-16.893,-12.058,6.489,13.107,10.977,5.563,-15.235,-18.805
1947,-29.247,-15.275,-7.456,-3.196,7.669,12.274,15.554,9.805,4.845,-3.306,-10.727,-13.768,-2.736,-24.027,-0.994,12.544,-3.063,-3.885,-4.481,-4.228,-19.483,10.029,-14.411,6.235,-17.326,-8.642,5.582,11.832,10.068,3.781,-9.267,-24.894
1948,-17.547,-19.482,-13.864,-5.512,5.464,13.467,13.960,9.589,4.181,-3.841,-18.032,-24.367,-4.665,-16.932,-4.637,12.339,-5.897,-3.782,-3.173,-3.129,-15.077,9.332,-12.029,5.330,-16.964,-12.953,4.473,10.964,9.243,3.310,-15.413,-14.014
1949,-20.577,-20.257,-5.931,-4.829,5.768,10.008,14.340,12.730,9.274,-1.845,-10.117,-22.973,-2.867,-21.734,-1.664,12.359,-0.896,-2.984,-3.643,-3.810,-17.833,10.424,-13.976,6.492,-15.588,-10.339,3.649,10.038,12.115,6.720,-11.645,-20.992
1950,-17.962,-27.316,-7.197,-2.341,8.078,14.406,16.581,14.345,7.778,-3.318,-19.430,-17.686,-2.839,-22.750,-0.487,15.111,-4.990,-3.279,-2.503,-2.380,-17.113,12.238,-12.822,7.933,-17.492,-12.285,6.714,13.022,12.901,6.268,-13.478,-17.017
1951,-25.819,-18.920,-17.857,0.402,9.184,13.484,15.488,14.206,7.931,-5.417,-10.066,-20.306,-3.141,-20.808,-2.757,14.393,-2.517,-2.922,-3.703,-3.528,-19.942,12.059,-14.661,7.897,-20.865,-12.125,7.690,12.719,12.542,5.573,-11.930,-20.979
1952,-23.896,-17.470,-12.804,-2.919,3.779,13.678,15.129,11.376,4.850,-0.400,-7.015,-15.595,-2.607,-20.557,-3.981,13.394,-0.855,-3.000,-3.254,-3.672,-16.908,9.763,-13.268,6.499,-18.057,-11.065,4.846,10.862,10.452,5.275,-7.670,-18.089
1953,-24.732,-14.621,-13.046,1.579,9.476,15.634,16.029,12.692,6.943,-3.914,-14.377,-17.519,-2.155,-18.316,-0.663,14.785,-3.783,-1.994,-1.381,-1.088,-15.002,12.155,-10.547,8.349,-17.466,-8.696,8.896,13.713,11.888,5.240,-11.937,-15.781
1954,-23.250,-25.189,-9.940,-4.544,9.735,13.928,14.419,13.188,5.424,-0.476,-9.042,-26.951,-3.558,-21.986,-1.583,13.845,-1.365,-2.772,-3.217,-3.503,-18.055,11.339,-14.105,7.382,-19.460,-13.224,6.373,12.694,11.010,6.045,-12.156,-18.382
