=======================================================================================
ECMWF ERA5 (0.5x0.5 deg)
2m Dewpoint Temperature (deg C)
Values averaged across Specify Point (66.36N; 209.54E)
---------------------------------------------------------------------------------------
This file was generated using Climate Reanalyzer (https://ClimateReanalyzer.org)
Climate Change Institute; University of Maine; USA (https://climatechange.umaine.edu)
=======================================================================================
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Ann,DJF,MAM,JJA,SON,Ann_D-N,Ann_NO,Ann_OS,NDJFM,MJJAS,ONDJFMA,AMJJASO,JFM,FMA,AMJ,MJJ,JAS,ASO,OND,NDJ
1940,-23.309,-22.633,-20.028,-5.299,-0.004,7.428,9.041,5.675,0.590,-7.849,-20.079,-24.083,-8.379,-999,-8.444,7.381,-9.113,-999,-999,-999,-999,4.546,-999,1.369,-21.990,-15.987,0.709,5.489,5.102,-0.528,-17.337,-999
1941,-28.153,-19.015,-22.225,-8.718,-1.989,3.903,7.115,4.880,-4.195,-13.380,-26.242,-25.397,-11.118,-23.751,-10.977,5.299,-14.606,-11.008,-10.495,-10.034,-22.711,1.943,-18.589,-1.769,-23.131,-16.652,-2.268,3.010,2.600,-4.232,-21.673,-24.105
1942,-21.993,-19.599,-22.339,-9.656,-1.726,6.597,5.661,5.120,0.544,-9.818,-26.094,-32.900,-10.517,-22.330,-11.241,5.793,-11.790,-9.892,-9.904,-10.201,-23.114,3.239,-19.801,-0.468,-21.310,-17.198,-1.595,3.510,3.775,-1.385,-22.937,-24.544
1943,-34.915,-20.860,-20.261,-9.748,-0.442,7.160,8.513,4.937,-0.989,-8.451,-16.317,-24.531,-9.659,-29.558,-10.150,6.870,-8.586,-10.356,-11.171,-11.285,-27.006,3.836,-22.085,0.140,-25.345,-16.956,-1.010,5.077,4.154,-1.501,-16.433,-31.303
1944,-24.030,-19.347,-19.307,-11.515,-0.064,6.796,9.333,5.263,-1.356,-7.848,-21.185,-21.847,-8.759,-22.636,-10.296,7.131,-10.129,-8.983,-8.577,-8.627,-20.707,3.994,-17.643,0.087,-20.895,-16.723,-1.594,5.355,4.413,-1.313,-16.960,-21.626
1945,-20.107,-21.413,-20.416,-12.861,-4.643,5.291,8.723,5.075,0.129,-9.428,-25.078,-22.493,-9.768,-21.122,-12.640,6.363,-11.459,-9.714,-9.390,-9.258,-20.993,2.915,-17.954,-1.102,-20.645,-18.230,-4.071,3.124,4.642,-1.408,-19.000,-21.046
1946,-24.049,-25.056,-23.264,-12.788,0.463,8.183,8.798,4.659,-1.419,-7.349,-22.746,-33.247,-10.651,-23.866,-11.863,7.213,-10.505,-9.755,-9.949,-10.123,-23.988,4.137,-20.308,0.078,-24.123,-20.369,-1.381,5.815,4.013,-1.370,-21.114,-23.873
1947,-32.503,-23.747,-16.010,-13.078,-0.471,6.197,8.633,2.933,-1.882,-10.751,-16.918,-18.642,-9.687,-29.832,-9.853,5.921,-9.851,-10.904,-11.389,-11.106,-25.651,3.082,-21.240,-1.203,-24.087,-17.612,-2.451,4.786,3.228,-3.234,-15.437,-29.499
1948,-23.307,-25.042,-22.162,-12.036,-2.487,6.614,7.725,3.527,-3.065,-11.009,-24.184,-30.319,-11.312,-22.330,-12.228,5.955,-12.753,-10.339,-9.733,-9.712,-21.214,2.463,-18.408,-1.533,-23.504,-19.747,-2.636,3.951,2.729,-3.516,-21.838,-19.622
1949,-25.763,-27.674,-13.821,-15.495,-3.376,3.052,9.660,6.650,3.037,-8.557,-13.094,-27.400,-9.398,-27.919,-10.898,6.454,-6.205,-9.642,-10.566,-10.770,-24.352,3.805,-21.181,-0.718,-22.419,-18.997,-5.273,3.112,6.449,0.377,-16.350,-26.756
