=======================================================================================
ECMWF ERA5 (0.5x0.5 deg)
Total Precipitation (m)
Values averaged across Specify Point (66.36N; 209.54E)
---------------------------------------------------------------------------------------
This file was generated using Climate Reanalyzer (https://ClimateReanalyzer.org)
Climate Change Institute; University of Maine; USA (https://climatechange.umaine.edu)
=======================================================================================
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Ann,DJF,MAM,JJA,SON,Ann_D-N,Ann_NO,Ann_OS,NDJFM,MJJAS,ONDJFMA,AMJJASO,JFM,FMA,AMJ,MJJ,JAS,ASO,OND,NDJ
1940,0.0104,0.0061,0.0037,0.0109,0.0571,0.1079,0.0661,0.0441,0.0756,0.0354,0.0241,0.0202,0.4616,-999,0.0717,0.2181,0.1352,-999,-999,-999,-999,0.3508,-999,0.3971,0.0202,0.0207,0.1758,0.2310,0.1859,0.1552,0.0797,-999
1941,0.0100,0.0228,0.0111,0.0155,0.0458,0.0347,0.1491,0.0536,0.0278,0.0330,0.0257,0.0199,0.4490,0.0530,0.0724,0.2374,0.0866,0.4493,0.4477,0.4501,0.0882,0.3109,0.1391,0.3594,0.0439,0.0494,0.0959,0.2296,0.2305,0.1144,0.0786,0.0543
1942,0.0182,0.0193,0.0171,0.0175,0.0571,0.1389,0.1024,0.1272,0.0787,0.0436,0.0189,0.0030,0.6417,0.0573,0.0917,0.3685,0.1412,0.6586,0.6654,0.6548,0.1001,0.5043,0.1506,0.5653,0.0545,0.0538,0.2134,0.2984,0.3083,0.2494,0.0655,0.0638
1943,0.0043,0.0446,0.0576,0.0213,0.0616,0.1134,0.1126,0.1557,0.0483,0.0404,0.0180,0.0276,0.7054,0.0519,0.1405,0.3817,0.1068,0.6808,0.6818,0.6849,0.1285,0.4916,0.1933,0.5533,0.1066,0.1235,0.1963,0.2876,0.3166,0.2444,0.0860,0.0262
1944,0.0243,0.0757,0.0333,0.0038,0.0827,0.0593,0.0950,0.1538,0.1079,0.0449,0.0134,0.0392,0.7332,0.1275,0.1198,0.3081,0.1662,0.7216,0.7262,0.7218,0.1788,0.4987,0.2231,0.5474,0.1332,0.1128,0.1459,0.2370,0.3567,0.3066,0.0974,0.0699
1945,0.0122,0.0334,0.0183,0.0221,0.0469,0.1561,0.1374,0.1727,0.0534,0.0688,0.0225,0.0106,0.7545,0.0848,0.0874,0.4662,0.1447,0.7831,0.7740,0.7501,0.1165,0.5666,0.1835,0.6575,0.0639,0.0738,0.2252,0.3405,0.3635,0.2949,0.1019,0.0648
1946,0.0181,0.0105,0.0250,0.0176,0.1092,0.0996,0.0542,0.0958,0.0524,0.0799,0.0203,0.0197,0.6024,0.0392,0.1518,0.2496,0.1526,0.5933,0.5954,0.5843,0.0867,0.4112,0.1731,0.5088,0.0536,0.0531,0.2264,0.2630,0.2024,0.2281,0.1200,0.0512
1947,0.0297,0.0122,0.0294,0.0065,0.0235,0.1677,0.0945,0.1088,0.0544,0.0192,0.0208,0.0222,0.5889,0.0616,0.0593,0.3710,0.0944,0.5864,0.5859,0.6467,0.1114,0.4489,0.1978,0.4745,0.0713,0.0481,0.1977,0.2857,0.2577,0.1824,0.0622,0.0698
1948,0.0373,0.0240,0.0338,0.1080,0.0413,0.0909,0.1236,0.0992,0.0557,0.0449,0.0185,0.0271,0.7044,0.0834,0.1832,0.3137,0.1192,0.6995,0.7018,0.6760,0.1381,0.4107,0.2653,0.5637,0.0950,0.1658,0.2403,0.2558,0.2785,0.1998,0.0906,0.0803
1949,0.0294,0.0161,0.0253,0.0124,0.0422,0.1085,0.1236,0.0570,0.0469,0.0335,0.0184,0.0106,0.5240,0.0726,0.0800,0.2892,0.0988,0.5406,0.5407,0.5522,0.1165,0.3783,0.1738,0.4242,0.0708,0.0538,0.1632,0.2744,0.2276,0.1374,0.0625,0.0751
