=======================================================================================
ECMWF ERA5 (0.5x0.5 deg)
2m Temperature (deg C)
Values averaged across Specify Point (66.36N; 209.54E)
---------------------------------------------------------------------------------------
This file was generated using Climate Reanalyzer (https://ClimateReanalyzer.org)
Climate Change Institute; University of Maine; USA (https://climatechange.umaine.edu)
=======================================================================================
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Ann,DJF,MAM,JJA,SON,Ann_D-N,Ann_NO,Ann_OS,NDJFM,MJJAS,ONDJFMA,AMJJASO,JFM,FMA,AMJ,MJJ,JAS,ASO,OND,NDJ
1940,-19.822,-19.487,-16.048,0.080,6.698,12.179,14.091,10.725,3.567,-5.459,-16.502,-21.460,-4.287,-999,-3.090,12.332,-6.132,-999,-999,-999,-999,9.452,-999,5.983,-18.452,-11.818,6.319,10.989,9.461,2.944,-14.474,-999
1941,-24.713,-15.598,-18.038,-5.049,3.252,10.891,10.563,8.358,1.735,-10.703,-23.764,-22.271,-7.111,-20.591,-6.611,9.937,-10.910,-7.044,-6.439,-6.002,-19.262,6.960,-15.260,2.721,-19.450,-12.895,3.032,8.235,6.885,-0.203,-18.912,-20.892
1942,-19.143,-16.570,-18.740,-5.885,2.737,9.923,9.251,7.529,2.463,-7.574,-22.941,-29.766,-7.393,-19.328,-7.296,8.901,-9.351,-6.769,-6.837,-7.098,-20.098,6.381,-16.725,2.635,-18.151,-13.732,2.258,7.304,6.414,0.806,-20.094,-21.726
1943,-31.230,-18.164,-16.418,-5.511,3.969,11.541,11.970,7.108,1.508,-6.553,-13.377,-21.313,-6.373,-26.387,-5.987,10.206,-6.141,-7.077,-7.874,-7.959,-23.704,7.219,-18.801,3.433,-21.938,-13.364,3.333,9.160,6.862,0.688,-13.748,-27.979
1944,-21.093,-16.319,-16.321,-6.825,3.802,10.921,12.365,7.793,0.716,-5.832,-18.003,-18.954,-5.646,-19.575,-6.448,10.360,-7.707,-5.843,-5.457,-5.517,-17.685,7.119,-14.543,3.277,-17.911,-13.155,2.633,9.029,6.958,0.892,-14.263,-18.594
1945,-15.912,-18.116,-16.447,-8.556,-0.333,8.316,11.762,7.188,2.248,-7.236,-21.787,-18.425,-6.441,-17.661,-8.445,9.089,-8.925,-6.486,-6.170,-6.053,-17.486,5.836,-14.546,1.913,-16.825,-14.373,-0.191,6.581,7.066,0.733,-15.816,-17.623
1946,-20.457,-20.670,-19.885,-8.640,3.572,12.314,13.867,7.962,1.907,-4.816,-18.700,-30.300,-6.987,-19.851,-8.318,11.381,-7.203,-5.998,-6.255,-6.456,-20.245,7.925,-16.729,3.738,-20.337,-16.398,2.415,9.918,7.912,1.685,-17.939,-20.223
1947,-30.080,-19.652,-13.116,-8.143,4.397,10.423,12.673,6.984,1.644,-8.146,-14.293,-15.790,-6.092,-26.677,-5.621,10.027,-6.932,-7.301,-7.668,-7.390,-22.370,7.224,-17.830,2.833,-20.949,-13.637,2.226,9.164,7.100,0.161,-12.743,-26.360
1948,-20.172,-21.163,-18.291,-8.803,1.290,11.352,11.253,6.898,0.368,-8.931,-21.839,-27.345,-7.949,-19.042,-8.602,9.834,-10.134,-6.986,-6.357,-6.291,-17.942,6.232,-15.237,1.918,-19.876,-16.086,1.280,7.965,6.173,-0.555,-19.372,-16.752
1949,-22.905,-23.790,-10.427,-11.083,0.813,7.599,13.097,10.475,6.042,-5.862,-10.970,-24.643,-5.971,-24.680,-6.899,10.390,-3.597,-6.196,-7.102,-7.358,-21.261,7.605,-18.046,3.011,-19.041,-15.100,-0.890,7.170,9.871,3.551,-13.825,-24.030
1950,-19.882,-29.533,-11.672,-6.865,4.359,10.412,15.158,11.533,4.291,-6.011,-19.680,-19.270,-5.597,-24.686,-4.726,12.367,-7.133,-6.044,-5.319,-5.306,-19.340,9.151,-15.632,4.697,-20.362,-16.023,2.635,9.976,10.327,3.271,-14.987,-18.498
1951,-29.019,-24.537,-21.888,-5.467,4.934,10.328,12.287,11.025,3.966,-8.450,-12.154,-23.353,-6.861,-24.275,-7.474,11.213,-5.546,-6.520,-7.148,-6.944,-22.879,8.508,-17.982,4.089,-25.148,-17.297,3.265,9.183,9.092,2.180,-14.652,-22.656
1952,-25.366,-21.996,-17.948,-8.449,-1.008,11.151,12.789,8.810,1.510,-5.613,-10.933,-18.323,-6.281,-23.572,-9.135,10.917,-5.012,-6.701,-6.802,-7.039,-20.163,6.650,-16.817,2.742,-21.770,-16.131,0.565,7.644,7.703,1.569,-11.623,-20.291
1953,-28.957,-19.959,-17.995,-4.417,5.552,12.716,13.049,9.735,3.312,-8.492,-17.233,-20.519,-6.101,-22.413,-5.620,11.833,-7.471,-5.918,-5.393,-5.153,-19.233,8.873,-15.171,4.494,-22.303,-14.124,4.617,10.439,8.699,1.518,-15.415,-19.404
1954,-25.375,-28.990,-14.393,-8.321,5.105,10.362,11.464,10.489,2.404,-5.355,-12.824,-29.013,-7.037,-24.961,-5.870,10.771,-5.258,-6.329,-6.697,-6.958,-21.302,7.965,-17.618,3.735,-22.919,-17.234,2.382,8.977,8.119,2.513,-15.731,-21.043
1955,-20.030,-28.634,-17.544,-11.261,2.977,9.368,13.640,8.303,2.573,-8.031,-24.493,-24.457,-8.132,-25.892,-8.609,10.437,-9.984,-8.512,-7.540,-7.317,-21.609,7.372,-17.809,2.510,-22.069,-19.146,0.362,8.662,8.172,0.948,-18.994,-20.622
1956,-28.481,-27.477,-17.695,-6.465,4.050,10.808,12.883,8.697,2.038,-12.048,-23.248,-29.660,-8.883,-26.805,-6.704,10.796,-11.086,-8.450,-8.553,-8.219,-24.521,7.695,-19.586,2.852,-24.551,-17.213,2.798,9.247,7.873,-0.438,-21.652,-25.810
