=======================================================================================
ECMWF ERA5 (0.5x0.5 deg)
2m Dewpoint Temperature (deg C)
Values averaged across Specify Point (69.77N; 211.29E)
---------------------------------------------------------------------------------------
This file was generated using Climate Reanalyzer (https://ClimateReanalyzer.org)
Climate Change Institute; University of Maine; USA (https://climatechange.umaine.edu)
=======================================================================================
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Ann,DJF,MAM,JJA,SON,Ann_D-N,Ann_NO,Ann_OS,NDJFM,MJJAS,ONDJFMA,AMJJASO,JFM,FMA,AMJ,MJJ,JAS,ASO,OND,NDJ
1940,-30.479,-33.401,-27.429,-11.980,-4.320,0.449,6.063,1.040,-1.263,-9.141,-21.618,-31.482,-13.630,-999,-14.576,2.517,-10.674,-999,-999,-999,-999,0.394,-999,-2.736,-30.436,-24.270,-5.284,0.731,1.947,-3.121,-20.747,-999
1941,-35.425,-30.935,-33.188,-17.311,-4.911,1.823,3.232,3.404,-4.523,-14.851,-28.150,-27.849,-15.724,-32.614,-18.470,2.820,-15.841,-16.026,-15.482,-15.006,-30.529,-0.195,-25.586,-4.734,-33.182,-27.145,-6.800,0.048,0.704,-5.323,-23.616,-29.508
1942,-29.147,-30.222,-29.986,-15.658,-5.434,1.519,5.192,1.680,-1.939,-13.861,-27.495,-37.710,-15.255,-29.073,-17.026,2.797,-14.431,-14.433,-14.488,-14.570,-29.071,0.204,-25.123,-4.071,-29.785,-25.289,-6.524,0.426,1.645,-4.706,-26.355,-28.382
1943,-39.813,-26.647,-25.981,-15.414,-1.551,4.539,5.583,2.941,-3.581,-10.553,-20.198,-30.861,-13.461,-34.723,-14.316,4.355,-11.444,-14.032,-14.640,-14.916,-31.529,1.586,-26.703,-2.576,-30.814,-22.681,-4.142,2.857,1.648,-3.731,-20.537,-35.006
1944,-33.372,-28.255,-25.841,-14.712,-4.789,3.710,5.895,2.709,-3.166,-10.127,-29.192,-28.677,-13.818,-30.829,-15.114,4.105,-14.162,-14.000,-13.251,-13.286,-27.705,0.872,-23.399,-2.926,-29.156,-22.936,-5.264,1.605,1.813,-3.528,-22.666,-28.144
1945,-29.992,-31.109,-30.232,-13.093,-5.439,2.425,5.459,1.499,-4.140,-12.092,-28.611,-32.423,-14.812,-29.926,-16.255,3.128,-14.948,-14.500,-14.549,-14.385,-29.840,-0.039,-24.632,-3.626,-30.444,-24.811,-5.369,0.815,0.939,-4.911,-24.375,-29.287
1946,-30.238,-33.370,-28.795,-21.380,-3.654,4.642,4.761,3.522,-5.893,-11.291,-22.478,-35.636,-14.984,-32.010,-17.943,4.308,-13.221,-14.717,-15.228,-15.294,-30.687,0.676,-26.701,-4.185,-30.801,-27.848,-6.798,1.916,0.797,-4.554,-23.135,-30.424
1947,-34.175,-33.710,-28.407,-16.595,-5.240,1.289,5.000,2.134,-3.761,-14.839,-24.447,-28.275,-15.086,-34.507,-16.748,2.808,-14.349,-15.699,-15.535,-15.239,-30.881,-0.116,-26.042,-4.573,-32.097,-26.237,-6.849,0.350,1.124,-5.489,-22.520,-30.763
1948,-32.111,-27.384,-28.115,-16.053,-6.465,0.979,5.813,1.644,-5.652,-13.663,-26.202,-37.052,-15.355,-29.257,-16.878,2.812,-15.173,-14.624,-14.478,-14.576,-28.067,-0.736,-24.461,-4.771,-29.203,-23.851,-7.180,0.109,0.602,-5.891,-25.639,-28.278
1949,-30.521,-32.537,-20.941,-24.421,-7.952,0.468,4.176,6.496,-0.176,-9.619,-19.510,-30.310,-13.737,-33.370,-17.771,3.713,-9.768,-14.299,-14.857,-15.194,-29.450,0.602,-26.477,-4.433,-27.999,-25.966,-10.635,-1.103,3.499,-1.100,-19.813,-31.258
1950,-23.224,-38.105,-26.109,-17.091,-5.153,3.387,6.042,4.652,-1.174,-10.915,-17.802,-28.198,-12.807,-30.546,-16.118,4.694,-9.964,-12.983,-13.126,-13.018,-27.452,1.551,-23.424,-2.893,-29.146,-27.101,-6.286,1.425,3.173,-2.479,-18.972,-24.348
1951,-42.226,-36.476,-32.003,-16.401,-6.470,2.150,7.331,6.684,-1.003,-11.656,-16.430,-28.955,-14.621,-35.633,-18.291,5.388,-9.696,-14.558,-14.673,-14.611,-31.341,1.738,-26.289,-2.766,-36.902,-28.293,-6.907,1.004,4.337,-1.992,-19.013,-29.409
1952,-33.415,-37.668,-29.916,-20.357,-9.215,1.433,6.177,4.510,-4.395,-11.414,-16.978,-30.612,-15.154,-33.346,-19.829,4.040,-10.929,-15.016,-14.970,-14.991,-29.277,-0.298,-25.485,-4.752,-33.666,-29.314,-9.380,-0.535,2.097,-3.766,-19.668,-26.266
1953,-36.394,-34.149,-29.881,-15.823,-5.527,3.866,4.439,2.785,-1.700,-12.453,-24.107,-34.020,-15.247,-33.718,-17.077,3.696,-12.753,-14.963,-14.369,-14.282,-29.603,0.772,-25.036,-3.488,-33.475,-26.618,-5.828,0.926,1.841,-3.789,-23.526,-27.995
1954,-32.949,-35.494,-24.734,-18.163,-7.741,1.413,6.632,8.767,-1.344,-10.795,-21.834,-34.132,-14.198,-34.154,-16.879,5.604,-11.324,-14.188,-14.378,-14.516,-30.261,1.545,-25.988,-3.033,-31.059,-26.130,-8.163,0.101,4.685,-1.124,-22.254,-30.359
1955,-29.750,-38.747,-32.116,-20.514,-7.018,2.090,6.872,1.568,-3.007,-13.914,-27.730,-33.718,-16.332,-34.209,-19.883,3.510,-14.884,-16.366,-15.875,-15.615,-31.316,0.101,-26.841,-4.846,-33.538,-30.459,-8.481,0.648,1.811,-5.118,-25.121,-28.572
1956,-33.829,-38.601,-26.158,-17.054,-4.780,1.161,6.543,1.299,-1.600,-16.622,-30.126,-31.539,-15.942,-35.383,-15.997,3.001,-16.116,-16.124,-15.924,-15.698,-32.007,0.525,-27.286,-4.436,-32.863,-27.271,-6.891,0.975,2.081,-5.641,-26.096,-31.759
1957,-24.249,-34.954,-28.619,-12.980,-6.122,1.655,4.976,7.071,-3.478,-9.559,-25.152,-37.474,-14.074,-30.247,-15.907,4.567,-12.730,-13.579,-13.994,-14.582,-29.898,0.820,-25.584,-2.634,-29.274,-25.518,-5.816,0.170,2.856,-1.989,-24.062,-28.638
1958,-33.846,-33.570,-25.685,-17.403,-5.652,4.493,7.427,5.352,-0.707,-15.074,-22.544,-28.734,-13.829,-34.963,-16.247,5.757,-12.775,-14.557,-14.774,-14.315,-31.145,2.183,-26.098,-3.081,-31.034,-25.552,-6.187,2.089,4.024,-3.476,-22.117,-32.158
1959,-34.392,-25.278,-37.246,-20.537,-6.479,1.317,3.556,2.872,-2.595,-11.847,-27.796,-36.773,-16.267,-29.468,-21.421,2.582,-14.079,-15.597,-15.159,-15.428,-29.639,-0.266,-26.258,-4.816,-32.306,-27.687,-8.566,-0.535,1.278,-3.857,-25.472,-28.556
1960,-39.005,-28.516,-28.160,-21.940,-4.645,2.257,3.975,2.989,-3.516,-12.621,-28.521,-25.863,-15.297,-34.765,-18.248,3.074,-14.886,-16.206,-16.146,-16.081,-32.050,0.212,-27.720,-4.786,-31.894,-26.205,-8.109,0.529,1.149,-4.383,-22.335,-34.525
1961,-28.653,-37.791,-34.033,-23.817,-4.971,2.355,5.238,3.501,0.260,-14.108,-25.791,-35.181,-16.083,-30.769,-20.940,3.698,-13.213,-15.306,-15.534,-15.410,-30.972,1.277,-27.328,-4.506,-33.492,-31.880,-8.811,0.874,3.000,-3.449,-25.027,-27.679
1962,-24.796,-24.195,-29.423,-19.903,-8.763,2.870,5.805,6.952,-3.049,-11.646,-24.253,-27.947,-13.196,-28.057,-19.363,5.209,-12.982,-13.798,-13.927,-14.132,-27.877,0.763,-24.771,-3.962,-26.138,-24.507,-8.599,-0.029,3.236,-2.581,-21.282,-28.589
1963,-27.894,-31.627,-31.770,-16.285,-3.966,2.147,5.405,3.593,-3.000,-14.162,-28.176,-24.821,-14.213,-29.156,-17.340,3.715,-15.113,-14.474,-14.147,-13.937,-28.698,0.836,-24.489,-3.753,-30.430,-26.561,-6.035,1.195,1.999,-4.523,-22.387,-26.698
1964,-35.147,-37.560,-35.140,-23.875,-6.866,0.437,2.724,1.854,-2.662,-11.147,-22.716,-38.071,-17.347,-32.510,-21.960,1.672,-12.175,-16.243,-16.698,-16.950,-32.169,-0.902,-28.412,-5.648,-35.949,-32.192,-10.101,-1.235,0.639,-3.985,-23.978,-29.382
1965,-36.930,-41.700,-23.768,-16.755,-7.265,0.036,3.673,3.730,-1.547,-17.109,-16.698,-31.138,-15.456,-38.900,-15.929,2.480,-11.784,-16.034,-16.535,-16.038,-32.637,-0.274,-27.298,-5.034,-34.133,-27.408,-7.995,-1.185,1.952,-4.975,-21.648,-32.572
1966,-33.906,-37.042,-36.189,-22.838,-8.102,2.529,6.308,2.452,-0.282,-10.302,-20.468,-31.227,-15.756,-34.028,-22.376,3.763,-10.351,-15.748,-15.434,-16.001,-30.994,0.581,-27.846,-4.319,-35.712,-32.023,-9.470,0.245,2.826,-2.711,-20.666,-27.247
1967,-29.143,-34.662,-27.740,-17.391,-6.375,2.426,5.061,2.133,-3.549,-14.975,-22.846,-28.316,-14.615,-31.677,-17.169,3.207,-13.790,-14.857,-14.659,-14.270,-28.648,-0.061,-24.419,-4.667,-30.515,-26.597,-7.113,0.371,1.215,-5.464,-22.046,-26.946
1968,-27.483,-39.557,-28.805,-21.294,-6.052,1.503,6.590,3.970,-2.491,-14.627,-24.413,-30.835,-15.291,-31.785,-18.717,4.021,-13.844,-15.081,-14.951,-14.980,-29.401,0.704,-26.182,-4.629,-31.948,-29.885,-8.614,0.680,2.689,-4.383,-23.292,-26.215
1969,-32.635,-38.193,-28.507,-14.743,-5.459,1.677,2.651,-0.273,-1.103,-9.576,-28.751,-26.314,-15.102,-33.888,-16.236,1.352,-13.144,-15.479,-15.117,-15.538,-30.917,-0.501,-26.279,-3.832,-33.112,-27.148,-6.175,-0.377,0.425,-3.651,-21.547,-29.294
1970,-33.563,-32.712,-32.126,-19.506,-6.233,1.714,4.805,4.954,-5.400,-22.014,-23.474,-31.203,-16.230,-30.863,-19.289,3.824,-16.962,-15.822,-16.262,-15.226,-30.693,-0.032,-26.078,-5.954,-32.801,-28.115,-8.008,0.095,1.453,-7.487,-25.564,-29.543
1971,-37.596,-42.261,-33.890,-23.967,-7.722,3.179,6.473,1.008,-1.356,-15.240,-24.115,-31.523,-17.251,-37.020,-21.860,3.553,-13.570,-17.224,-17.171,-17.735,-33.685,0.316,-30.629,-5.375,-37.916,-33.373,-9.503,0.643,2.041,-5.196,-23.626,-30.758
1972,-32.790,-36.037,-36.025,-23.451,-7.383,2.253,7.014,5.848,-2.775,-9.763,-21.490,-25.237,-14.986,-33.450,-22.286,5.038,-11.343,-15.510,-15.729,-16.185,-32.098,0.991,-28.454,-4.037,-34.951,-31.838,-9.527,0.628,3.362,-2.230,-18.830,-29.476
1973,-31.233,-32.868,-36.635,-20.317,-6.181,1.868,4.715,5.537,0.957,-11.641,-21.625,-27.384,-14.567,-29.779,-21.044,4.040,-10.770,-14.388,-14.377,-14.221,-29.493,1.379,-25.363,-3.580,-33.579,-29.940,-8.210,0.134,3.736,-1.716,-20.217,-25.987
1974,-31.117,-42.306,-32.364,-22.168,-7.209,-0.519,4.340,4.907,-0.193,-17.341,-29.189,-41.099,-17.855,-33.602,-20.580,2.909,-15.574,-16.712,-16.082,-15.607,-30.959,0.265,-26.944,-5.455,-35.262,-32.279,-9.965,-1.129,3.018,-4.209,-29.210,-26.709
1975,-38.448,-32.458,-25.941,-21.766,-7.037,2.786,5.511,3.637,-4.405,-15.197,-30.851,-36.989,-16.763,-37.335,-18.248,3.978,-16.818,-17.106,-16.967,-17.146,-33.427,0.098,-29.463,-5.210,-32.282,-26.721,-8.672,0.420,1.581,-5.322,-27.679,-36.245
1976,-35.156,-36.029,-31.701,-17.923,-7.542,1.048,5.207,5.766,0.640,-14.600,-19.514,-35.613,-15.451,-36.058,-19.056,4.007,-11.158,-15.566,-16.511,-16.561,-34.145,1.024,-29.121,-3.915,-34.295,-28.551,-8.139,-0.429,3.871,-2.731,-23.242,-34.332
1977,-26.745,-32.383,-36.432,-20.968,-6.079,3.473,3.745,7.074,0.010,-9.276,-26.555,-26.895,-14.253,-31.580,-21.160,4.764,-11.940,-14.979,-14.392,-14.836,-30.137,1.644,-26.608,-3.146,-31.853,-29.928,-7.858,0.380,3.609,-0.731,-20.909,-27.290
1978,-24.019,-30.898,-27.889,-17.973,-8.836,0.931,5.958,2.571,1.444,-16.078,-17.423,-29.098,-13.442,-27.270,-18.232,3.153,-10.685,-13.259,-14.020,-13.453,-27.251,0.414,-23.358,-4.569,-27.602,-25.587,-8.626,-0.649,3.324,-4.021,-20.866,-25.823
1979,-23.446,-36.031,-31.401,-19.004,-5.231,1.799,7.351,8.217,-0.309,-9.288,-15.985,-32.680,-13.001,-29.525,-18.545,5.789,-8.527,-12.702,-12.822,-13.388,-27.480,2.365,-24.640,-2.352,-30.293,-28.812,-7.479,1.306,5.086,-0.460,-19.318,-23.322
1980,-33.587,-28.635,-28.623,-21.142,-8.023,3.582,3.475,2.472,-5.119,-10.929,-22.428,-33.011,-15.164,-31.634,-19.263,3.176,-12.825,-15.136,-14.599,-14.463,-27.902,-0.723,-24.277,-5.098,-30.282,-26.133,-8.528,-0.322,0.276,-4.525,-22.123,-27.417
1981,-20.276,-32.583,-26.368,-17.684,-3.923,1.354,5.279,2.831,-3.076,-10.519,-21.766,-29.716,-13.037,-28.623,-15.992,3.154,-11.787,-13.312,-13.367,-13.401,-26.933,0.493,-23.326,-3.677,-26.409,-25.545,-6.751,0.903,1.678,-3.588,-20.667,-25.238
1982,-32.169,-27.084,-28.810,-20.169,-8.118,2.645,5.910,4.190,-0.936,-17.354,-29.096,-29.827,-15.068,-29.656,-19.032,4.248,-15.795,-15.059,-14.448,-13.879,-27.909,0.738,-24.319,-4.833,-29.354,-25.354,-8.547,0.146,3.054,-4.700,-25.426,-27.884
1983,-36.273,-31.946,-31.253,-19.314,-10.959,1.662,4.089,3.854,-5.122,-18.692,-22.370,-23.376,-15.808,-32.682,-20.509,3.202,-15.395,-16.346,-16.906,-16.795,-31.679,-1.295,-27.866,-6.355,-33.157,-27.504,-9.537,-1.736,0.940,-6.653,-21.479,-31.732
1984,-31.762,-44.881,-31.079,-24.985,-8.207,2.914,5.069,3.235,-0.402,-11.710,-30.669,-33.740,-17.185,-33.340,-21.423,3.740,-14.260,-16.321,-15.629,-16.211,-30.694,0.522,-28.164,-4.869,-35.907,-33.648,-10.092,-0.075,2.634,-2.959,-25.373,-25.836
1985,-25.267,-34.854,-28.209,-26.206,-5.189,1.480,3.803,3.304,-2.041,-15.694,-21.568,-24.324,-14.564,-31.287,-19.868,2.862,-13.101,-15.348,-16.107,-15.775,-30.548,0.272,-27.236,-5.792,-29.443,-29.756,-9.972,0.031,1.689,-4.810,-20.528,-29.892
1986,-32.786,-27.364,-34.022,-24.017,-8.262,2.434,5.777,3.561,0.764,-13.333,-24.805,-27.107,-14.930,-28.158,-22.100,3.924,-12.458,-14.698,-14.428,-14.625,-28.013,0.855,-25.682,-4.725,-31.391,-28.468,-9.948,-0.017,3.367,-3.003,-21.748,-26.226
1987,-31.204,-34.745,-28.925,-23.222,-6.521,2.085,6.001,4.658,-2.426,-9.067,-24.342,-28.628,-14.695,-31.018,-19.556,4.248,-11.945,-14.568,-14.606,-14.962,-29.357,0.759,-26.191,-4.070,-31.625,-28.964,-9.219,0.522,2.744,-2.279,-20.679,-27.705
1988,-28.046,-29.625,-27.187,-17.713,-7.077,2.419,5.991,3.720,-1.944,-16.977,-32.777,-26.235,-14.621,-28.766,-17.326,4.043,-17.233,-14.820,-14.117,-13.458,-27.566,0.622,-23.515,-4.512,-28.286,-24.842,-7.457,0.444,2.589,-5.067,-25.329,-27.005
1989,-35.806,-14.708,-25.171,-14.251,-7.463,3.070,7.290,7.500,0.501,-11.525,-31.952,-28.090,-12.550,-25.583,-15.628,5.954,-14.326,-12.396,-12.465,-12.919,-26.939,2.180,-23.703,-2.125,-25.228,-18.043,-6.215,0.966,5.097,-1.175,-23.856,-31.606
1990,-37.733,-37.327,-24.424,-11.249,-2.696,3.760,6.553,2.389,-2.342,-12.973,-28.336,-32.326,-14.725,-34.383,-12.790,4.234,-14.551,-14.372,-14.674,-14.553,-31.905,1.533,-26.043,-2.365,-33.161,-24.333,-3.395,2.539,2.200,-4.309,-24.545,-32.592
1991,-28.084,-34.242,-30.385,-16.026,-1.490,2.213,3.381,0.778,-0.768,-10.144,-27.535,-33.303,-14.634,-31.550,-15.967,2.124,-12.816,-14.552,-14.619,-14.855,-30.675,0.823,-26.053,-3.151,-30.904,-26.884,-5.101,1.368,1.130,-3.378,-23.661,-29.582
1992,-31.665,-35.288,-23.300,-17.679,-6.972,2.918,4.870,3.709,-6.861,-14.183,-22.804,-28.723,-14.665,-33.419,-15.984,3.832,-14.616,-15.047,-15.441,-15.104,-30.218,-0.467,-25.559,-4.885,-30.085,-25.422,-7.244,0.272,0.573,-5.778,-21.903,-30.834
1993,-27.330,-25.695,-25.134,-14.332,-4.582,3.342,7.731,3.662,-2.001,-8.036,-20.399,-27.610,-11.699,-27.250,-14.683,4.912,-10.145,-11.791,-11.992,-12.504,-25.937,1.630,-22.600,-2.031,-26.053,-21.720,-5.190,2.164,3.131,-2.125,-18.682,-26.286
1994,-29.431,-28.021,-30.732,-18.058,-5.546,1.582,6.783,6.529,-3.457,-13.897,-27.804,-31.118,-14.431,-28.354,-18.112,4.965,-15.053,-14.138,-13.521,-13.033,-27.239,1.178,-23.184,-3.723,-29.394,-25.604,-7.341,0.940,3.285,-3.608,-24.273,-25.813
1995,-29.362,-30.214,-29.603,-11.545,-2.126,3.284,6.954,2.836,1.318,-11.790,-20.630,-28.358,-12.436,-30.232,-14.425,4.358,-10.367,-12.666,-13.264,-13.440,-29.620,2.453,-24.792,-1.581,-29.727,-23.787,-3.462,2.704,3.703,-2.545,-20.260,-29.428
1996,-28.299,-30.416,-22.575,-18.526,-3.883,3.752,6.064,0.759,-5.239,-19.375,-23.539,-28.295,-14.131,-29.025,-14.995,3.525,-16.051,-14.136,-13.894,-13.262,-26.056,0.291,-22.942,-5.207,-27.097,-23.839,-6.219,1.978,0.528,-7.952,-23.736,-25.763
1997,-32.638,-29.748,-29.612,-16.032,-4.979,3.798,4.616,5.884,1.291,-13.276,-17.643,-30.236,-13.215,-30.227,-16.874,4.766,-9.876,-13.053,-13.544,-14.052,-28.766,2.122,-25.606,-2.671,-30.666,-25.131,-5.738,1.145,3.930,-2.034,-20.385,-28.157
1998,-33.892,-31.039,-19.873,-7.778,-1.982,4.822,7.400,5.494,0.805,-11.184,-17.489,-22.679,-10.616,-31.722,-9.878,5.905,-9.289,-11.246,-11.259,-11.433,-26.537,3.308,-21.962,-0.346,-28.268,-19.564,-1.646,3.414,4.567,-1.628,-17.117,-27.257
1999,-33.733,-33.382,-29.935,-19.201,-4.338,2.669,4.171,5.660,-1.002,-13.376,-25.626,-33.958,-15.171,-29.931,-17.825,4.167,-13.335,-14.231,-13.553,-13.370,-27.444,1.432,-23.943,-3.631,-32.350,-27.506,-6.957,0.834,2.943,-2.906,-24.320,-24.634
2000,-29.640,-26.907,-27.297,-17.296,-8.782,4.251,5.019,2.397,-1.966,-12.623,-21.730,-25.099,-13.306,-30.168,-17.792,3.889,-12.106,-14.044,-14.369,-14.432,-28.686,0.184,-24.871,-4.143,-27.948,-23.833,-7.276,0.162,1.817,-4.064,-19.817,-29.741
2001,-26.071,-23.833,-29.225,-16.865,-9.784,2.671,5.547,3.470,0.198,-14.950,-24.309,-28.061,-13.434,-25.001,-18.625,3.896,-13.020,-13.188,-12.973,-12.779,-25.191,0.420,-22.206,-4.245,-26.376,-23.307,-7.993,-0.522,3.071,-3.761,-22.440,-24.300
2002,-32.228,-32.455,-20.993,-16.418,-4.534,1.208,4.415,2.729,1.405,-8.803,-16.779,-21.807,-12.022,-30.915,-13.981,2.784,-8.059,-12.543,-13.170,-13.683,-27.609,1.045,-24.202,-2.857,-28.559,-23.288,-6.581,0.363,2.850,-1.556,-15.796,-28.199
2003,-28.168,-29.897,-27.205,-13.451,-5.379,2.350,5.712,2.497,-3.548,-6.764,-21.679,-26.407,-12.661,-26.624,-15.345,3.520,-10.664,-12.278,-11.870,-12.040,-24.771,0.327,-20.873,-2.655,-28.423,-23.517,-5.493,0.894,1.554,-2.605,-18.283,-22.251
2004,-28.537,-33.708,-30.080,-19.096,-4.807,4.858,7.455,6.169,-2.646,-9.685,-21.576,-28.634,-13.357,-29.551,-17.994,6.161,-11.302,-13.172,-13.180,-12.937,-28.082,2.206,-23.753,-2.536,-30.775,-27.628,-6.348,2.502,3.660,-2.054,-19.965,-25.541
2005,-27.113,-29.377,-24.598,-18.033,-4.822,0.849,2.403,4.968,-0.096,-9.845,-28.115,-25.670,-13.288,-28.375,-15.818,2.740,-12.686,-13.535,-12.990,-12.976,-26.260,0.660,-22.717,-3.511,-27.030,-24.003,-7.335,-0.523,2.425,-1.658,-21.210,-25.774
2006,-31.955,-24.647,-30.833,-21.556,-4.290,3.672,5.891,3.023,2.277,-6.907,-23.259,-24.520,-12.758,-27.424,-18.893,4.196,-9.296,-12.854,-13.259,-13.504,-28.244,2.115,-24.660,-2.556,-29.145,-25.679,-7.391,1.758,3.731,-0.535,-18.228,-28.580
2007,-30.943,-29.282,-32.859,-13.594,-8.884,1.976,4.165,4.232,-0.027,-9.854,-15.781,-25.872,-13.060,-28.248,-18.446,3.458,-8.554,-12.948,-13.571,-13.325,-28.172,0.292,-23.052,-3.141,-31.028,-25.245,-6.834,-0.914,2.790,-1.883,-17.169,-26.240
2008,-31.724,-30.584,-29.866,-13.203,-4.607,3.300,5.876,1.926,-1.670,-11.884,-19.843,-24.066,-13.029,-29.393,-15.892,3.701,-11.133,-13.179,-12.841,-12.672,-26.765,0.965,-22.412,-2.895,-30.725,-24.551,-4.837,1.523,2.044,-3.876,-18.598,-24.459
2009,-30.760,-29.669,-31.014,-16.814,-4.640,2.065,4.350,2.796,-0.305,-7.225,-24.488,-22.400,-13.175,-28.165,-17.489,3.070,-10.673,-13.314,-12.927,-13.315,-27.071,0.853,-23.436,-2.825,-30.481,-25.832,-6.463,0.592,2.280,-1.578,-18.038,-24.890
2010,-32.663,-27.884,-28.702,-12.280,-6.099,1.938,5.930,6.285,0.510,-9.062,-12.665,-30.116,-12.067,-27.649,-15.694,4.718,-7.072,-11.424,-12.410,-12.256,-27.227,1.713,-22.235,-1.825,-29.750,-22.955,-5.480,0.590,4.242,-0.756,-17.281,-26.517
2011,-29.152,-25.056,-25.508,-20.435,-5.558,0.813,5.046,4.540,1.012,-7.076,-24.877,-29.384,-12.970,-28.108,-17.167,3.466,-10.314,-13.031,-12.013,-12.179,-24.500,1.170,-21.714,-3.094,-26.572,-23.666,-8.394,0.100,3.533,-0.508,-20.446,-23.978
2012,-35.612,-27.633,-33.650,-15.299,-5.529,3.607,7.653,6.503,1.065,-6.604,-22.117,-31.596,-13.268,-30.876,-18.159,5.921,-9.218,-13.083,-13.313,-13.353,-30.231,2.660,-24.790,-1.229,-32.298,-25.527,-5.740,1.910,5.074,0.321,-20.105,-29.958
2013,-29.228,-33.390,-26.041,-20.877,-8.772,4.684,6.910,5.645,-1.275,-6.450,-19.161,-24.114,-12.672,-31.405,-18.563,5.746,-8.962,-13.296,-13.542,-13.555,-28.474,1.438,-24.265,-2.876,-29.553,-26.769,-8.322,0.941,3.760,-0.693,-16.575,-27.647
2014,-26.395,-27.895,-25.496,-16.395,-3.014,2.421,5.052,3.989,-0.850,-7.784,-17.450,-25.832,-11.637,-26.134,-14.969,3.821,-8.695,-11.494,-11.637,-11.526,-24.612,1.520,-20.844,-2.369,-26.595,-23.262,-5.663,1.486,2.730,-1.548,-17.022,-23.223
2015,-27.183,-24.365,-26.793,-14.279,-1.189,4.282,3.990,3.420,-2.792,-9.090,-19.876,-30.607,-12.040,-25.793,-14.087,3.897,-10.586,-11.642,-11.440,-11.331,-24.325,1.542,-20.527,-2.237,-26.114,-21.812,-3.729,2.361,1.539,-2.821,-19.858,-23.488
2016,-23.152,-23.341,-23.349,-12.318,-1.667,2.106,5.290,4.505,-1.102,-7.181,-16.782,-26.272,-10.272,-25.700,-12.445,3.967,-8.355,-10.633,-10.891,-11.050,-24.065,1.827,-20.248,-1.481,-23.281,-19.669,-3.960,1.910,2.898,-1.259,-16.745,-24.545
2017,-24.596,-27.586,-26.175,-16.445,-3.410,1.614,7.547,5.237,0.696,-8.661,-14.261,-17.209,-10.271,-26.152,-15.343,4.799,-7.409,-11.026,-11.236,-11.113,-24.282,2.337,-20.720,-1.917,-26.119,-23.402,-6.080,1.917,4.493,-0.909,-13.377,-22.550
2018,-26.559,-19.061,-21.840,-17.369,-5.715,-0.104,7.092,2.241,-0.186,-7.050,-17.292,-26.038,-10.990,-20.943,-14.975,3.076,-8.176,-10.254,-10.002,-10.136,-19.786,0.665,-17.851,-3.013,-22.487,-19.423,-7.729,0.424,3.049,-1.665,-16.793,-19.343
2019,-27.587,-20.444,-15.415,-14.753,-2.362,1.846,8.806,3.838,2.193,-6.825,-16.751,-26.657,-9.509,-24.689,-10.843,4.830,-7.128,-9.458,-9.503,-9.521,-21.355,2.864,-18.368,-1.037,-21.149,-16.870,-5.090,2.763,4.946,-0.265,-16.744,-23.639
2020,-33.406,-36.897,-24.343,-15.001,-5.334,2.443,3.391,5.683,0.296,-7.835,-15.909,-24.767,-12.640,-32.320,-14.893,3.839,-7.816,-12.797,-12.868,-12.783,-27.611,1.296,-22.840,-2.337,-31.549,-25.414,-5.964,0.167,3.123,-0.619,-16.170,-25.605
2021,-28.451,-37.018,-28.712,-17.642,-5.239,3.090,7.984,3.151,-0.660,-8.739,-21.013,-28.806,-13.505,-30.079,-17.198,4.741,-10.137,-13.168,-12.743,-12.667,-26.971,1.665,-22.905,-2.579,-31.394,-27.791,-6.597,1.945,3.491,-2.083,-19.519,-23.042
2022,-32.876,-34.667,-24.746,-18.620,-4.341,2.832,5.383,4.463,0.998,-9.066,-16.439,-22.051,-12.427,-32.116,-15.902,4.226,-8.169,-12.990,-13.372,-13.344,-28.422,1.867,-24.210,-2.621,-30.763,-26.011,-6.710,1.291,3.615,-1.201,-15.852,-27.565
2023,-23.692,-33.205,-24.357,-23.536,-3.710,3.171,10.749,6.714,0.914,-7.455,-13.120,-23.415,-10.912,-26.316,-17.201,6.878,-6.554,-10.798,-11.075,-11.209,-23.949,3.567,-21.764,-1.879,-27.085,-27.033,-8.025,3.403,6.125,0.057,-14.664,-20.727
