=======================================================================================
ECMWF ERA5 (0.5x0.5 deg)
2m Temperature (deg C)
Values averaged across Specify Point (69.77N; 211.29E)
---------------------------------------------------------------------------------------
This file was generated using Climate Reanalyzer (https://ClimateReanalyzer.org)
Climate Change Institute; University of Maine; USA (https://climatechange.umaine.edu)
=======================================================================================
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Ann,DJF,MAM,JJA,SON,Ann_D-N,Ann_NO,Ann_OS,NDJFM,MJJAS,ONDJFMA,AMJJASO,JFM,FMA,AMJ,MJJ,JAS,ASO,OND,NDJ
1940,-27.396,-30.404,-24.770,-10.258,-2.665,3.618,12.017,4.174,1.715,-7.258,-18.301,-28.560,-10.674,-999,-12.564,6.603,-7.948,-999,-999,-999,-999,3.772,-999,0.192,-27.523,-21.811,-3.102,4.323,5.969,-0.456,-18.040,-999
1941,-32.292,-28.117,-30.032,-14.920,-2.996,6.135,7.057,6.078,-2.591,-12.785,-25.346,-24.671,-12.873,-29.656,-15.983,6.423,-13.574,-13.197,-12.610,-12.150,-27.460,2.737,-22.783,-2.003,-30.147,-24.356,-3.927,3.399,3.515,-3.099,-20.934,-26.384
1942,-26.356,-27.225,-26.813,-13.381,-3.493,3.572,8.825,4.025,0.106,-11.826,-24.785,-34.432,-12.649,-26.084,-14.562,5.474,-12.168,-11.835,-11.882,-11.962,-26.082,2.607,-22.368,-1.739,-26.798,-22.473,-4.434,2.968,4.319,-2.565,-23.681,-25.458
1943,-36.463,-23.557,-22.840,-13.124,-0.215,7.416,8.306,4.727,-2.101,-8.942,-17.395,-27.844,-11.003,-31.484,-12.060,6.816,-9.479,-11.552,-12.167,-12.408,-28.415,3.627,-23.861,-0.562,-27.620,-19.840,-1.974,5.169,3.644,-2.105,-18.060,-31.893
1944,-30.345,-24.962,-22.766,-12.519,-3.131,6.835,8.520,5.590,-1.091,-8.252,-26.521,-25.210,-11.154,-27.717,-12.805,6.981,-11.955,-11.374,-10.613,-10.671,-24.662,3.344,-20.682,-0.578,-26.024,-20.082,-2.938,4.074,4.339,-1.251,-19.994,-25.195
1945,-26.705,-28.011,-27.404,-10.257,-3.683,5.001,8.840,4.231,-2.453,-9.838,-25.566,-29.585,-12.119,-26.642,-13.781,6.024,-12.619,-11.754,-11.834,-11.702,-26.770,2.387,-21.766,-1.165,-27.373,-21.891,-2.980,3.386,3.539,-2.686,-21.663,-26.145
1946,-27.307,-29.889,-25.779,-18.732,-1.994,7.513,9.172,7.755,-3.126,-9.376,-19.380,-32.417,-11.963,-28.927,-15.502,8.147,-10.627,-11.727,-12.243,-12.281,-27.625,3.864,-23.814,-1.255,-27.658,-24.800,-4.405,4.897,4.600,-1.582,-20.391,-27.486
1947,-30.683,-30.490,-25.548,-13.969,-3.347,3.817,8.423,5.006,-1.932,-12.873,-21.916,-25.723,-12.436,-31.197,-14.288,5.749,-12.240,-12.994,-12.783,-12.491,-27.704,2.393,-23.123,-2.125,-28.907,-23.336,-4.500,2.965,3.832,-3.266,-20.171,-27.493
1948,-28.953,-24.191,-24.801,-12.860,-4.971,3.864,11.108,5.554,-3.188,-11.626,-23.411,-33.830,-12.275,-26.289,-14.211,6.842,-12.742,-11.600,-11.475,-11.579,-25.117,2.473,-21.617,-1.731,-25.982,-20.617,-4.656,3.334,4.491,-3.087,-22.956,-25.531
1949,-26.991,-29.521,-18.171,-21.513,-5.986,3.164,7.593,10.387,1.794,-6.546,-17.101,-27.201,-10.841,-30.114,-15.223,7.048,-7.284,-11.393,-11.919,-12.343,-26.385,3.390,-23.580,-1.587,-24.894,-23.068,-8.112,1.590,6.591,1.878,-16.949,-28.077
1950,-20.586,-34.687,-23.297,-14.382,-3.236,7.084,10.138,8.519,1.971,-8.377,-14.451,-25.343,-9.721,-27.491,-13.639,8.580,-6.952,-9.875,-10.096,-9.944,-24.574,4.895,-20.543,0.245,-26.190,-24.122,-3.512,4.662,6.876,0.705,-16.057,-21.629
1951,-38.573,-32.992,-28.739,-13.739,-4.451,6.215,12.824,12.318,0.939,-9.386,-14.124,-25.474,-11.265,-32.303,-15.643,10.452,-7.524,-11.254,-11.282,-11.197,-28.020,5.569,-23.173,0.674,-33.435,-25.157,-3.992,4.863,8.693,1.290,-16.328,-26.122
1952,-30.138,-34.593,-26.925,-17.753,-6.994,3.436,11.129,7.644,-2.535,-9.439,-14.847,-27.735,-12.396,-30.069,-17.224,7.403,-8.940,-12.208,-12.147,-12.143,-26.251,2.536,-22.628,-2.073,-30.552,-26.424,-7.104,2.524,5.413,-1.443,-17.341,-23.246
1953,-33.001,-31.090,-26.948,-13.706,-4.170,7.197,8.235,5.419,0.355,-10.710,-21.407,-31.062,-12.574,-30.609,-14.941,6.950,-10.587,-12.297,-11.750,-11.644,-26.724,3.407,-22.395,-1.055,-30.346,-23.915,-3.560,3.754,4.669,-1.646,-21.060,-25.195
1954,-29.717,-32.165,-21.600,-15.792,-5.841,4.047,10.693,12.791,1.787,-9.064,-19.079,-30.812,-11.229,-30.982,-14.411,9.177,-8.785,-11.250,-11.444,-11.581,-27.190,4.696,-23.208,-0.197,-27.827,-23.186,-5.862,2.966,8.424,1.838,-19.652,-27.395
1955,-26.885,-35.245,-29.165,-18.042,-5.462,4.569,9.306,4.324,-0.704,-11.996,-24.817,-30.617,-13.728,-30.981,-17.556,6.066,-12.506,-13.744,-13.266,-13.022,-28.237,2.407,-24.042,-2.572,-30.432,-27.484,-6.312,2.804,4.309,-2.792,-22.477,-25.592
1956,-30.223,-35.530,-23.139,-14.710,-3.157,4.033,11.563,3.661,1.134,-13.860,-27.244,-28.533,-13.000,-32.123,-13.669,6.419,-13.324,-13.174,-12.972,-12.816,-28.865,3.447,-24.433,-1.619,-29.630,-24.459,-4.611,4.146,5.453,-3.022,-23.212,-28.553
1957,-20.906,-31.704,-25.649,-10.576,-4.405,5.469,8.227,9.831,-1.901,-7.390,-22.541,-34.076,-11.302,-27.048,-13.543,7.842,-10.610,-10.840,-11.232,-11.771,-26.807,3.444,-22.639,-0.106,-26.086,-22.643,-3.170,3.097,5.386,0.180,-21.335,-25.561
1958,-30.589,-30.161,-22.799,-14.614,-3.888,7.655,11.187,9.372,2.251,-12.158,-19.811,-25.387,-10.745,-31.609,-13.767,9.405,-9.906,-11.469,-11.697,-11.299,-28.033,5.315,-23.167,-0.028,-27.850,-22.525,-3.616,4.985,7.603,-0.179,-19.119,-29.069
1959,-30.602,-22.151,-33.858,-17.491,-4.463,5.059,7.640,4.907,-0.304,-9.640,-25.010,-33.352,-13.272,-26.047,-18.604,5.869,-11.652,-12.608,-12.175,-12.385,-26.362,2.568,-23.066,-2.042,-28.870,-24.500,-5.632,2.745,4.081,-1.679,-22.668,-25.267
1960,-35.570,-24.646,-24.747,-18.796,-2.723,5.851,7.362,5.236,-2.095,-10.463,-25.272,-22.316,-12.348,-31.189,-15.422,6.150,-12.610,-13.268,-13.246,-13.178,-28.665,2.726,-24.537,-2.233,-28.321,-22.730,-5.223,3.497,3.501,-2.441,-19.350,-31.311
1961,-24.996,-34.192,-30.288,-20.473,-3.007,6.117,9.528,6.289,2.401,-10.903,-22.261,-31.660,-12.787,-27.168,-17.923,7.311,-10.254,-12.008,-12.259,-12.223,-27.413,4.266,-24.000,-1.436,-29.825,-28.317,-5.788,4.212,6.073,-0.738,-21.608,-24.195
1962,-21.271,-20.942,-26.036,-16.701,-6.492,6.812,9.834,10.105,-0.831,-9.874,-21.025,-24.366,-10.066,-24.624,-16.410,8.917,-10.577,-10.674,-10.777,-10.862,-24.434,3.885,-21.396,-1.021,-22.750,-21.227,-5.461,3.385,6.369,-0.200,-18.422,-25.064
1963,-24.341,-28.246,-28.342,-13.736,-1.920,4.904,8.508,7.347,0.069,-11.658,-24.848,-21.250,-11.126,-25.651,-14.666,6.920,-12.146,-11.386,-11.067,-10.918,-25.264,3.782,-21.419,-0.926,-26.976,-23.441,-3.584,3.831,5.308,-1.414,-19.252,-23.244
1964,-31.574,-34.026,-31.681,-20.864,-3.924,4.677,8.851,5.650,0.621,-8.805,-19.930,-34.402,-13.784,-28.950,-18.823,6.393,-9.371,-12.688,-13.098,-13.335,-28.675,3.175,-25.128,-1.971,-32.427,-28.857,-6.704,3.201,5.041,-0.845,-21.046,-25.890
1965,-33.555,-38.152,-20.963,-13.894,-5.099,3.511,8.701,7.711,1.230,-14.646,-13.956,-27.990,-12.259,-35.370,-13.319,6.641,-9.124,-12.793,-13.291,-12.804,-29.401,3.211,-24.243,-1.784,-30.890,-24.337,-5.161,2.371,5.880,-1.902,-18.864,-29.296
1966,-30.003,-33.810,-32.839,-19.827,-6.297,5.984,10.324,5.111,1.643,-7.811,-17.041,-27.965,-12.711,-30.601,-19.654,7.140,-7.736,-12.713,-12.456,-13.025,-27.720,3.353,-24.724,-1.553,-32.217,-28.825,-6.713,3.337,5.693,-0.352,-17.605,-23.983
1967,-26.010,-30.937,-24.483,-14.193,-3.339,6.031,9.760,5.678,-1.668,-12.004,-19.685,-24.829,-11.307,-28.304,-14.005,7.156,-11.119,-11.568,-11.348,-10.998,-25.287,3.292,-21.206,-1.391,-27.143,-23.204,-3.834,4.151,4.590,-2.665,-18.839,-23.672
1968,-24.183,-36.060,-25.654,-18.736,-3.862,4.352,13.011,8.834,0.552,-12.445,-21.719,-27.056,-11.914,-28.357,-16.084,8.732,-11.204,-11.728,-11.559,-11.522,-26.082,4.577,-23.022,-1.185,-28.632,-26.817,-6.082,4.500,7.465,-1.020,-20.407,-22.899
1969,-29.479,-34.802,-25.195,-12.655,-3.706,5.567,7.929,1.646,0.929,-7.602,-25.662,-23.486,-12.210,-30.446,-13.852,5.047,-10.778,-12.507,-12.179,-12.582,-27.650,2.473,-23.336,-1.127,-29.826,-24.218,-3.598,3.264,3.501,-1.676,-18.917,-26.085
1970,-29.876,-29.145,-28.607,-17.166,-4.695,5.425,9.028,7.894,-2.605,-19.283,-20.387,-27.944,-13.113,-27.502,-16.823,7.449,-14.092,-12.742,-13.181,-12.208,-27.355,3.009,-23.078,-3.057,-29.209,-24.972,-5.479,3.253,4.772,-4.665,-22.538,-26.341
1971,-33.851,-38.453,-30.301,-21.194,-6.234,8.226,11.331,4.471,0.535,-12.797,-21.439,-27.986,-13.974,-33.416,-19.243,8.010,-11.234,-13.971,-13.883,-14.424,-30.187,3.666,-27.345,-2.237,-34.202,-29.983,-6.400,4.441,5.446,-2.597,-20.741,-27.394
1972,-29.141,-32.512,-32.415,-20.609,-5.593,4.738,10.190,8.113,-0.933,-7.727,-19.093,-22.364,-12.279,-29.879,-19.539,7.680,-9.251,-12.747,-12.943,-13.365,-28.698,3.303,-25.271,-1.689,-31.356,-28.512,-7.155,3.112,5.790,-0.182,-16.394,-26.189
1973,-27.576,-29.216,-33.242,-17.702,-4.885,4.082,9.434,9.083,3.558,-9.872,-18.871,-24.454,-11.638,-26.385,-18.610,7.533,-8.395,-11.464,-11.483,-11.304,-26.298,4.255,-22.417,-0.900,-30.011,-26.720,-6.168,2.877,7.358,0.923,-17.733,-23.011
