=======================================================================================
ECMWF ERA5 (0.5x0.5 deg)
2m Dewpoint Temperature (deg C)
Values averaged across Specify Point (69.24N; 211.23E)
---------------------------------------------------------------------------------------
This file was generated using Climate Reanalyzer (https://ClimateReanalyzer.org)
Climate Change Institute; University of Maine; USA (https://climatechange.umaine.edu)
=======================================================================================
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Ann,DJF,MAM,JJA,SON,Ann_D-N,Ann_NO,Ann_OS,NDJFM,MJJAS,ONDJFMA,AMJJASO,JFM,FMA,AMJ,MJJ,JAS,ASO,OND,NDJ
1940,-29.530,-31.708,-25.157,-8.312,-2.445,3.414,8.539,3.343,-1.710,-12.891,-21.954,-29.829,-12.353,-999,-11.972,5.099,-12.185,-999,-999,-999,-999,2.228,-999,-1.437,-28.798,-21.726,-2.448,3.170,3.391,-3.753,-21.558,-999
1941,-34.851,-30.529,-34.231,-17.028,-5.251,1.628,4.748,4.466,-6.099,-18.017,-28.183,-27.040,-15.866,-31.736,-18.837,3.614,-17.433,-16.098,-15.579,-15.152,-30.279,-0.102,-25.902,-5.079,-33.203,-27.262,-6.884,0.375,1.038,-6.550,-24.413,-28.878
1942,-29.190,-28.113,-30.974,-15.837,-6.100,1.999,5.685,2.796,-2.474,-16.697,-29.550,-37.521,-15.498,-28.114,-17.637,3.493,-16.240,-14.625,-14.511,-14.621,-28.700,0.381,-25.336,-4.375,-29.426,-24.975,-6.646,0.528,2.002,-5.458,-27.922,-28.138
1943,-37.479,-24.819,-26.315,-15.244,-1.893,5.750,8.087,3.506,-3.915,-14.941,-20.298,-31.844,-13.284,-33.273,-14.484,5.781,-13.051,-13.757,-14.528,-14.674,-31.137,2.307,-26.804,-2.664,-29.538,-22.126,-3.796,3.981,2.559,-5.117,-22.361,-34.850
1944,-30.889,-24.917,-26.649,-13.474,-3.939,6.401,8.907,2.595,-4.356,-13.114,-31.431,-28.363,-13.269,-29.217,-14.688,5.968,-16.300,-13.559,-12.631,-12.784,-26.919,1.922,-23.288,-2.426,-27.485,-21.680,-3.671,3.790,2.382,-4.958,-24.302,-27.677
1945,-29.380,-29.474,-30.629,-14.607,-6.441,2.822,7.422,2.501,-4.568,-14.467,-29.130,-31.761,-14.809,-29.072,-17.226,4.248,-16.055,-14.526,-14.718,-14.605,-29.855,0.347,-25.285,-3.905,-29.828,-24.903,-6.075,1.267,1.785,-5.511,-25.119,-29.725
1946,-30.359,-31.204,-29.198,-22.052,-3.799,6.269,6.773,2.839,-6.974,-14.459,-25.185,-36.188,-15.295,-31.108,-18.349,5.293,-15.539,-14.926,-15.255,-15.255,-30.330,1.022,-26.882,-4.486,-30.254,-27.485,-6.527,3.081,0.879,-6.198,-25.277,-30.417
1947,-35.013,-31.444,-26.460,-17.515,-2.756,3.185,8.205,1.587,-4.595,-18.692,-27.131,-28.033,-14.888,-34.215,-15.577,4.326,-16.806,-15.568,-15.406,-15.053,-30.858,1.125,-26.609,-4.369,-30.972,-25.140,-5.695,2.878,1.732,-7.234,-24.619,-32.129
1948,-30.508,-26.796,-26.526,-16.309,-5.709,3.673,6.011,1.722,-8.086,-18.019,-27.171,-35.361,-15.257,-28.445,-16.181,3.802,-17.758,-14.646,-14.643,-14.699,-27.799,-0.478,-24.856,-5.245,-27.943,-23.210,-6.115,1.325,-0.118,-8.128,-26.850,-28.557
1949,-29.187,-31.744,-20.247,-23.880,-7.413,1.316,6.730,7.836,0.731,-12.893,-20.852,-29.853,-13.288,-32.097,-17.180,5.294,-11.005,-13.747,-14.274,-14.701,-28.742,1.840,-26.515,-3.939,-27.059,-25.290,-9.993,0.211,5.099,-1.442,-21.199,-30.573
1950,-21.144,-36.608,-22.545,-16.790,-4.606,4.857,9.309,6.406,-1.217,-13.378,-19.822,-30.106,-12.137,-29.202,-14.647,6.858,-11.472,-12.116,-12.202,-12.161,-26.200,2.950,-22.955,-2.203,-26.766,-25.314,-5.513,3.187,4.833,-2.729,-21.102,-23.950
1951,-39.963,-33.695,-33.112,-15.086,-4.306,3.257,7.943,7.211,-0.919,-14.428,-18.342,-28.144,-14.132,-34.588,-17.501,6.137,-11.229,-14.295,-14.419,-14.331,-31.339,2.637,-26.452,-2.333,-35.590,-27.298,-5.378,2.298,4.745,-2.712,-20.304,-29.964
1952,-32.075,-36.719,-29.764,-21.677,-9.900,3.220,7.964,5.040,-7.727,-13.951,-19.002,-33.305,-15.658,-32.313,-20.447,5.408,-13.560,-15.228,-15.173,-15.213,-29.009,-0.281,-25.878,-5.290,-32.853,-29.387,-9.453,0.428,1.759,-5.546,-22.086,-26.187
1953,-35.869,-34.262,-30.126,-14.641,-5.310,5.885,5.864,3.391,-3.380,-18.951,-25.550,-34.405,-15.613,-34.479,-16.692,5.047,-15.960,-15.521,-14.975,-14.559,-30.513,1.290,-25.879,-3.877,-33.419,-26.343,-4.689,2.146,1.958,-6.314,-26.302,-29.392
