=======================================================================================
ECMWF ERA5 (0.5x0.5 deg)
Total Precipitation (m)
Values averaged across Specify Point (69.24N; 211.23E)
---------------------------------------------------------------------------------------
This file was generated using Climate Reanalyzer (https://ClimateReanalyzer.org)
Climate Change Institute; University of Maine; USA (https://climatechange.umaine.edu)
=======================================================================================
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Ann,DJF,MAM,JJA,SON,Ann_D-N,Ann_NO,Ann_OS,NDJFM,MJJAS,ONDJFMA,AMJJASO,JFM,FMA,AMJ,MJJ,JAS,ASO,OND,NDJ
1940,0.0129,0.0046,0.0038,0.0052,0.0241,0.0363,0.0344,0.0361,0.0632,0.0273,0.0165,0.0142,0.2786,-999,0.0331,0.1068,0.1070,-999,-999,-999,-999,0.1941,-999,0.2266,0.0214,0.0136,0.0656,0.0948,0.1337,0.1266,0.0579,-999
1941,0.0102,0.0140,0.0092,0.0108,0.0299,0.0435,0.1036,0.1074,0.0522,0.0266,0.0137,0.0130,0.4342,0.0384,0.0500,0.2545,0.0925,0.4354,0.4382,0.4388,0.0641,0.3366,0.1022,0.3740,0.0334,0.0341,0.0842,0.1770,0.2632,0.1862,0.0533,0.0408
1942,0.0103,0.0123,0.0184,0.0140,0.0549,0.0593,0.1355,0.0780,0.0628,0.0299,0.0218,0.0087,0.5058,0.0356,0.0873,0.2728,0.1145,0.5102,0.5021,0.4989,0.0678,0.3905,0.1084,0.4344,0.0410,0.0447,0.1282,0.2497,0.2763,0.1707,0.0603,0.0371
1943,0.0127,0.0191,0.0368,0.0132,0.0392,0.0814,0.0926,0.1168,0.0762,0.0196,0.0129,0.0192,0.5396,0.0405,0.0892,0.2907,0.1087,0.5291,0.5380,0.5483,0.0991,0.4062,0.1422,0.4389,0.0687,0.0691,0.1337,0.2132,0.2856,0.2126,0.0517,0.0432
1944,0.0219,0.0259,0.0367,0.0093,0.0260,0.0541,0.1291,0.1401,0.0992,0.0265,0.0112,0.0203,0.6003,0.0670,0.0720,0.3233,0.1369,0.5992,0.6008,0.5939,0.1165,0.4485,0.1454,0.4843,0.0845,0.0719,0.0894,0.2091,0.3684,0.2658,0.0580,0.0540
1945,0.0082,0.0233,0.0070,0.0255,0.0464,0.1202,0.0833,0.1145,0.0395,0.0361,0.0290,0.0020,0.5350,0.0518,0.0789,0.3180,0.1046,0.5533,0.5356,0.5260,0.0700,0.4040,0.1220,0.4655,0.0385,0.0558,0.1922,0.2499,0.2373,0.1901,0.0670,0.0398
1946,0.0128,0.0033,0.0173,0.0271,0.0355,0.0483,0.0471,0.0886,0.0802,0.0244,0.0122,0.0142,0.4109,0.0181,0.0799,0.1839,0.1168,0.3987,0.4155,0.4272,0.0643,0.2996,0.1275,0.3511,0.0334,0.0477,0.1109,0.1308,0.2159,0.1932,0.0507,0.0438
1947,0.0216,0.0185,0.0150,0.0114,0.0203,0.0518,0.0797,0.1122,0.0377,0.0216,0.0077,0.0090,0.4067,0.0543,0.0468,0.2437,0.0670,0.4118,0.4163,0.4191,0.0815,0.3018,0.1173,0.3348,0.0551,0.0449,0.0836,0.1518,0.2296,0.1716,0.0384,0.0480
1948,0.0270,0.0235,0.0154,0.1124,0.0142,0.0826,0.0454,0.0928,0.0371,0.0223,0.0180,0.0099,0.5007,0.0595,0.1421,0.2208,0.0774,0.4998,0.4895,0.4888,0.0826,0.2721,0.2167,0.4068,0.0659,0.1513,0.2093,0.1422,0.1753,0.1522,0.0502,0.0437
1949,0.0187,0.0171,0.0139,0.0141,0.0429,0.0740,0.0478,0.0585,0.0187,0.0134,0.0189,0.0125,0.3505,0.0458,0.0709,0.1802,0.0510,0.3479,0.3470,0.3559,0.0777,0.2418,0.1141,0.2693,0.0498,0.0451,0.1310,0.1647,0.1249,0.0906,0.0448,0.0467
1950,0.0798,0.0105,0.0049,0.0124,0.0188,0.1027,0.0291,0.0607,0.0318,0.0102,0.0478,0.0139,0.4225,0.1027,0.0360,0.1924,0.0899,0.4211,0.3922,0.3954,0.1266,0.2430,0.1523,0.2656,0.0951,0.0277,0.1338,0.1505,0.1216,0.1027,0.0720,0.1112
1951,0.0069,0.0105,0.0066,0.0124,0.0091,0.0842,0.0811,0.0972,0.0332,0.0224,0.0157,0.0309,0.4102,0.0313,0.0281,0.2625,0.0712,0.3932,0.4253,0.4132,0.0858,0.3048,0.1084,0.3396,0.0240,0.0296,0.1058,0.1744,0.2115,0.1527,0.0690,0.0686
1952,0.0265,0.0013,0.0137,0.0154,0.0232,0.0587,0.0831,0.0622,0.0337,0.0414,0.0279,0.0086,0.3958,0.0587,0.0523,0.2040,0.1030,0.4181,0.4059,0.3868,0.0881,0.2609,0.1259,0.3178,0.0415,0.0304,0.0973,0.1650,0.1790,0.1374,0.0780,0.0731
1953,0.0070,0.0172,0.0088,0.0140,0.0216,0.0946,0.0630,0.0783,0.0646,0.0216,0.0093,0.0092,0.4092,0.0328,0.0444,0.2360,0.0955,0.4087,0.4273,0.4471,0.0695,0.3222,0.1249,0.3578,0.0330,0.0399,0.1302,0.1793,0.2059,0.1645,0.0401,0.0435
1954,0.0325,0.0200,0.0137,0.0158,0.0140,0.0535,0.0980,0.0759,0.0725,0.0274,0.0108,0.0203,0.4543,0.0618,0.0434,0.2274,0.1107,0.4433,0.4417,0.4360,0.0847,0.3138,0.1221,0.3570,0.0662,0.0495,0.0832,0.1654,0.2464,0.1758,0.0584,0.0510
1955,0.0054,0.0195,0.0111,0.0105,0.0307,0.0897,0.0934,0.1001,0.0533,0.0148,0.0248,0.0500,0.5033,0.0452,0.0523,0.2832,0.0929,0.4736,0.4596,0.4722,0.0670,0.3672,0.1050,0.3926,0.0360,0.0411,0.1309,0.2138,0.2468,0.1682,0.0896,0.0364
1956,0.0193,0.0118,0.0095,0.0035,0.0443,0.0466,0.1245,0.1264,0.0350,0.0191,0.0212,0.0219,0.4832,0.0811,0.0573,0.2976,0.0753,0.5113,0.5149,0.5107,0.1154,0.3769,0.1338,0.3995,0.0406,0.0248,0.0945,0.2154,0.2860,0.1805,0.0621,0.0941
1957,0.0359,0.0295,0.0090,0.0079,0.0293,0.0704,0.0959,0.0905,0.1022,0.0435,0.0094,0.0090,0.5326,0.0873,0.0463,0.2568,0.1550,0.5454,0.5572,0.5328,0.1176,0.3883,0.1445,0.4396,0.0745,0.0464,0.1076,0.1956,0.2886,0.2361,0.0619,0.0790
1958,0.0157,0.0056,0.0180,0.0290,0.0237,0.1059,0.0634,0.0234,0.0449,0.0347,0.0180,0.0048,0.3872,0.0304,0.0708,0.1926,0.0977,0.3914,0.3827,0.3915,0.0578,0.2612,0.1303,0.3249,0.0394,0.0527,0.1586,0.1930,0.1317,0.1030,0.0576,0.0342
1959,0.0031,0.0195,0.0067,0.0128,0.0382,0.0339,0.1807,0.1058,0.0268,0.0380,0.0094,0.0132,0.4883,0.0275,0.0578,0.3204,0.0742,0.4799,0.4885,0.4852,0.0523,0.3854,0.0998,0.4362,0.0294,0.0391,0.0849,0.2528,0.3133,0.1706,0.0606,0.0260
1960,0.0173,0.0098,0.0103,0.0212,0.0195,0.0545,0.0765,0.0601,0.0703,0.0135,0.0054,0.0109,0.3693,0.0404,0.0509,0.1911,0.0892,0.3716,0.3756,0.4001,0.0601,0.2809,0.1192,0.3155,0.0374,0.0413,0.0951,0.1504,0.2070,0.1439,0.0298,0.0400
1961,0.0083,0.0114,0.0080,0.0163,0.0276,0.0271,0.1563,0.0959,0.0558,0.0297,0.0087,0.0108,0.4560,0.0307,0.0518,0.2794,0.0942,0.4561,0.4528,0.4366,0.0442,0.3627,0.0739,0.4086,0.0278,0.0357,0.0709,0.2110,0.3080,0.1814,0.0492,0.0247
1962,0.0396,0.0151,0.0124,0.0295,0.0332,0.0399,0.1310,0.0702,0.0716,0.0176,0.0057,0.0228,0.4888,0.0656,0.0751,0.2412,0.0949,0.4768,0.4797,0.4918,0.0867,0.3460,0.1458,0.3931,0.0672,0.0570,0.1026,0.2042,0.2728,0.1594,0.0462,0.0591
1963,0.0642,0.0096,0.0309,0.0406,0.0103,0.0648,0.1342,0.1296,0.0090,0.0534,0.0121,0.0159,0.5746,0.0966,0.0818,0.3286,0.0744,0.5815,0.5751,0.5394,0.1332,0.3479,0.1914,0.4419,0.1047,0.0811,0.1157,0.2093,0.2728,0.1920,0.0814,0.0928
