=======================================================================================
ECMWF ERA5 (0.5x0.5 deg)
2m Temperature (deg C)
Values averaged across Specify Point (69.24N; 211.23E)
---------------------------------------------------------------------------------------
This file was generated using Climate Reanalyzer (https://ClimateReanalyzer.org)
Climate Change Institute; University of Maine; USA (https://climatechange.umaine.edu)
=======================================================================================
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Ann,DJF,MAM,JJA,SON,Ann_D-N,Ann_NO,Ann_OS,NDJFM,MJJAS,ONDJFMA,AMJJASO,JFM,FMA,AMJ,MJJ,JAS,ASO,OND,NDJ
1940,-25.730,-28.261,-21.559,-5.332,1.301,6.880,15.076,7.143,0.823,-10.631,-17.340,-26.208,-8.653,-999,-8.530,9.700,-9.050,-999,-999,-999,-999,6.245,-999,2.180,-25.183,-18.384,0.950,7.752,7.681,-0.889,-18.060,-999
1941,-31.428,-27.065,-30.235,-14.467,-2.861,5.854,7.449,6.733,-3.452,-15.402,-24.959,-22.978,-12.734,-28.234,-15.854,6.679,-14.604,-13.003,-12.369,-11.971,-26.455,2.745,-22.482,-2.307,-29.576,-23.922,-3.825,3.481,3.577,-4.040,-21.113,-24.992
1942,-26.120,-24.746,-27.078,-12.672,-3.591,3.663,8.446,5.209,-0.351,-14.248,-26.227,-34.260,-12.665,-24.615,-14.447,5.773,-13.608,-11.724,-11.619,-11.715,-25.176,2.675,-21.994,-1.935,-25.981,-21.499,-4.200,2.839,4.435,-3.130,-24.911,-24.686
1943,-33.422,-21.227,-22.475,-11.677,0.662,9.142,11.232,5.438,-2.470,-12.706,-16.699,-28.278,-10.207,-29.636,-11.163,8.604,-10.625,-10.705,-11.499,-11.628,-27.522,4.801,-23.362,-0.054,-25.708,-18.460,-0.624,7.012,4.733,-3.246,-19.228,-31.303
1944,-27.376,-20.991,-23.018,-9.396,-1.096,9.691,11.225,4.937,-2.253,-10.534,-28.488,-23.776,-10.090,-25.548,-11.170,8.617,-13.758,-10.465,-9.482,-9.663,-23.273,4.501,-19.781,0.368,-23.795,-17.802,-0.267,6.606,4.636,-2.616,-20.933,-24.118
1945,-24.127,-26.023,-26.929,-11.069,-3.628,4.843,10.641,5.200,-2.777,-11.853,-25.299,-27.724,-11.562,-24.642,-13.876,6.895,-13.310,-11.233,-11.499,-11.389,-25.868,2.856,-21.564,-1.235,-25.693,-21.340,-3.285,3.952,4.355,-3.143,-21.625,-25.464
1946,-27.012,-27.000,-25.498,-18.857,-1.418,9.261,11.328,6.673,-5.020,-11.488,-21.233,-32.659,-11.910,-27.245,-15.258,9.087,-12.580,-11.499,-11.838,-11.868,-26.506,4.165,-23.320,-1.360,-26.503,-23.785,-3.671,6.390,4.327,-3.278,-21.793,-26.678
1947,-31.478,-27.970,-23.279,-13.627,-0.392,5.612,11.238,4.215,-2.407,-16.199,-23.826,-24.932,-11.920,-30.703,-12.433,7.022,-14.144,-12.564,-12.348,-11.956,-27.324,3.653,-23.105,-1.652,-27.576,-21.625,-2.802,5.486,4.349,-4.797,-21.652,-28.457
1948,-26.539,-22.706,-22.211,-12.528,-3.592,6.049,10.405,4.332,-6.085,-15.536,-23.868,-31.607,-11.991,-24.726,-12.777,6.929,-15.163,-11.434,-11.431,-11.486,-24.043,2.222,-21.278,-2.422,-23.819,-19.149,-3.357,4.287,2.884,-5.763,-23.670,-25.099
1949,-25.007,-27.860,-16.548,-20.353,-5.285,4.396,9.892,11.887,2.626,-10.116,-18.002,-26.258,-10.052,-28.158,-14.062,8.725,-8.497,-10.498,-10.987,-11.439,-24.978,4.703,-22.968,-0.993,-23.138,-21.587,-7.081,3.001,8.135,1.465,-18.125,-26.827
1950,-17.793,-32.451,-18.471,-13.386,-1.762,8.465,14.595,11.127,1.746,-10.211,-15.805,-26.563,-8.376,-25.500,-11.206,11.395,-8.090,-8.350,-8.533,-8.525,-22.595,6.834,-19.497,1.511,-22.905,-21.436,-2.228,7.099,9.156,0.888,-17.526,-20.684
1951,-35.821,-29.279,-29.025,-11.930,-1.851,7.338,12.611,11.435,1.470,-10.815,-15.288,-24.125,-10.440,-30.555,-14.269,10.461,-8.211,-10.643,-10.686,-10.636,-27.299,6.201,-22.662,1.180,-31.375,-23.411,-2.148,6.033,8.505,0.696,-16.743,-26.063
1952,-27.378,-32.228,-26.280,-18.390,-6.988,5.330,12.420,8.257,-6.037,-11.394,-16.244,-29.895,-12.402,-27.910,-17.220,8.669,-11.225,-11.921,-11.842,-11.794,-25.060,2.597,-22.072,-2.400,-28.629,-25.633,-6.683,3.587,4.880,-3.058,-19.178,-22.264
1953,-31.503,-30.662,-26.440,-11.444,-3.756,8.837,9.266,5.999,-1.753,-16.902,-22.225,-30.922,-12.625,-30.687,-13.880,8.034,-13.627,-12.540,-12.042,-11.583,-26.949,3.719,-22.512,-1.393,-29.535,-22.849,-2.121,4.782,4.504,-4.219,-23.350,-25.881
1954,-27.145,-30.906,-19.930,-14.340,-3.940,5.567,10.583,12.323,-0.203,-13.539,-21.171,-31.583,-11.190,-29.657,-12.737,9.491,-11.638,-11.135,-11.223,-11.503,-26.225,4.866,-23.196,-0.507,-25.993,-21.725,-4.238,4.070,7.568,-0.473,-22.098,-26.764
1955,-23.919,-33.880,-26.171,-18.065,-3.724,5.483,12.325,5.854,-0.372,-14.564,-25.097,-27.910,-12.503,-29.794,-15.987,7.887,-13.344,-12.809,-12.482,-12.397,-27.345,3.913,-24.047,-1.866,-27.990,-26.039,-5.435,4.695,5.936,-3.028,-22.524,-25.558
1956,-29.493,-33.055,-20.725,-12.278,-0.272,6.564,11.001,4.767,-0.333,-17.087,-27.361,-28.916,-12.266,-30.153,-11.092,7.444,-14.927,-12.182,-11.993,-11.783,-27.256,4.345,-23.303,-1.091,-27.757,-22.019,-1.995,5.764,5.145,-4.218,-24.455,-27.500
1957,-19.799,-29.790,-24.579,-9.832,-2.432,7.540,10.459,10.926,-2.873,-9.202,-23.883,-33.607,-10.589,-26.168,-12.281,9.642,-11.986,-10.198,-10.488,-11.145,-26.089,4.724,-22.480,0.655,-24.723,-21.400,-1.575,5.189,6.171,-0.383,-22.231,-25.359
1958,-30.322,-30.427,-21.105,-14.459,-3.288,12.259,13.474,10.530,0.505,-16.510,-20.449,-25.477,-10.439,-31.452,-12.951,12.088,-12.151,-11.117,-11.403,-10.794,-27.869,6.696,-23.286,0.359,-27.285,-21.997,-1.830,7.481,8.170,-1.825,-20.812,-29.270
1959,-27.881,-19.356,-32.349,-14.898,-2.797,8.936,7.952,6.231,-1.265,-14.222,-27.305,-33.454,-12.534,-24.238,-16.681,7.706,-14.264,-11.869,-11.298,-11.488,-25.102,3.812,-22.417,-1.437,-26.529,-22.201,-2.919,4.697,4.306,-3.085,-24.994,-24.603
1960,-33.433,-22.054,-23.594,-19.074,-0.044,6.851,8.350,6.034,-4.280,-14.207,-27.308,-18.456,-11.768,-29.647,-14.237,7.079,-15.265,-13.018,-13.017,-13.019,-27.968,3.382,-24.734,-2.338,-26.361,-21.574,-4.089,5.053,3.368,-4.151,-19.990,-31.397
1961,-25.199,-33.725,-30.706,-17.814,0.397,8.142,10.416,7.254,2.965,-15.460,-23.044,-30.940,-12.309,-25.793,-16.041,8.604,-11.846,-11.269,-11.624,-11.520,-27.079,5.835,-23.916,-0.586,-29.876,-27.415,-3.092,6.319,6.879,-1.747,-23.148,-23.654
1962,-20.345,-18.014,-24.374,-16.619,-4.924,7.146,11.446,10.718,-3.450,-14.155,-19.982,-23.538,-9.674,-23.100,-15.306,9.770,-12.529,-10.291,-10.546,-10.655,-23.344,4.187,-21.257,-1.406,-20.911,-19.669,-4.799,4.556,6.238,-2.296,-19.225,-24.776
1963,-20.251,-26.267,-26.098,-14.511,-0.609,6.875,9.920,8.203,1.328,-17.132,-26.690,-17.654,-10.241,-23.352,-13.739,8.333,-14.165,-10.731,-10.172,-9.924,-23.227,5.143,-20.686,-0.847,-24.205,-22.292,-2.749,5.395,6.484,-2.534,-20.492,-21.257
1964,-30.638,-33.629,-28.841,-18.519,-4.738,5.894,9.817,7.775,0.902,-11.498,-21.336,-32.611,-13.118,-27.307,-17.366,7.829,-10.644,-11.872,-12.318,-12.788,-27.490,3.930,-24.729,-1.481,-31.036,-26.996,-5.788,3.658,6.165,-0.940,-21.815,-24.994
1965,-31.682,-35.809,-16.582,-14.015,-5.377,5.720,10.175,7.262,0.817,-17.242,-14.700,-26.992,-11.535,-33.367,-11.991,7.719,-10.375,-12.004,-12.557,-12.078,-27.604,3.720,-23.362,-1.808,-28.024,-22.135,-4.557,3.506,6.085,-3.054,-19.645,-28.543
1966,-26.286,-28.425,-33.134,-16.769,-5.568,7.590,10.901,7.599,1.098,-11.266,-18.246,-27.771,-11.690,-27.234,-18.490,8.696,-9.471,-11.625,-11.329,-11.827,-25.907,4.324,-23.364,-0.917,-29.282,-26.109,-4.916,4.307,6.532,-0.856,-19.094,-22.659
1967,-24.512,-28.548,-21.249,-11.468,-3.767,6.324,9.612,6.732,-0.504,-15.705,-20.209,-23.229,-10.544,-26.944,-12.161,7.556,-12.139,-10.922,-10.758,-10.389,-24.065,3.679,-20.437,-1.254,-24.770,-20.422,-2.970,4.056,5.280,-3.159,-19.714,-23.510
