=======================================================================================
ECMWF ERA5 (0.5x0.5 deg)
2m Dewpoint Temperature (deg C)
Values averaged across Specify Point (69.7411N; 19.1258E)
---------------------------------------------------------------------------------------
This file was generated using Climate Reanalyzer (https://ClimateReanalyzer.org)
Climate Change Institute; University of Maine; USA (https://climatechange.umaine.edu)
=======================================================================================
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Ann,DJF,MAM,JJA,SON,Ann_D-N,Ann_NO,Ann_OS,NDJFM,MJJAS,ONDJFMA,AMJJASO,JFM,FMA,AMJ,MJJ,JAS,ASO,OND,NDJ
1940,-13.009,-17.749,-17.454,-6.553,-0.568,3.686,5.504,7.234,4.176,-1.504,-12.973,-11.441,-5.054,-999,-8.192,5.474,-3.434,-999,-999,-999,-999,4.006,-999,1.711,-16.070,-13.918,-1.145,2.874,5.638,3.302,-8.639,-999
1941,-14.648,-17.536,-12.303,-6.300,-1.011,3.585,11.078,7.138,2.911,-3.968,-9.009,-14.432,-4.541,-14.542,-6.538,7.267,-3.356,-4.292,-4.622,-4.417,-13.780,4.740,-10.958,1.919,-14.829,-12.046,-1.242,4.551,7.042,2.027,-9.137,-13.021
1942,-18.213,-13.609,-15.626,-6.902,-3.293,2.304,8.767,7.120,2.624,-6.224,-11.210,-13.179,-5.620,-15.418,-8.607,6.063,-4.937,-5.725,-5.541,-5.353,-14.178,3.504,-11.680,0.628,-15.816,-12.046,-2.630,2.593,6.170,1.173,-10.204,-13.885
1943,-20.641,-10.008,-7.442,-5.824,-1.668,2.160,7.519,7.264,3.574,-2.930,-8.386,-7.818,-3.683,-14.610,-4.978,5.648,-2.581,-4.130,-4.366,-4.640,-12.496,3.770,-10.647,1.442,-12.697,-7.758,-1.777,2.670,6.119,2.636,-6.378,-15.010
1944,-12.948,-9.997,-11.094,-8.406,-2.681,1.886,6.602,6.703,3.377,-0.629,-9.911,-9.691,-3.899,-10.254,-7.394,5.064,-2.388,-3.743,-3.616,-3.808,-10.049,3.177,-8.797,0.979,-11.347,-9.833,-3.067,1.936,5.561,3.150,-6.744,-9.717
1945,-19.861,-13.483,-10.404,-4.304,-2.229,1.953,9.934,7.802,2.221,-6.396,-5.665,-16.548,-4.748,-14.345,-5.646,6.563,-3.280,-4.177,-4.531,-4.050,-12.670,3.936,-9.755,1.283,-14.583,-9.397,-1.527,3.219,6.652,1.209,-9.537,-13.154
1946,-11.545,-22.597,-14.307,-6.294,-2.436,3.163,8.836,8.729,5.417,-2.091,-11.640,-9.817,-4.549,-16.896,-7.679,6.909,-2.772,-5.109,-4.611,-4.970,-14.132,4.742,-11.907,2.189,-16.149,-14.399,-1.856,3.188,7.661,4.018,-7.850,-11.253
1947,-13.804,-23.210,-19.561,-7.115,-1.580,6.008,9.827,7.753,4.362,-2.327,-13.754,-14.257,-5.638,-15.610,-9.419,7.862,-3.906,-5.268,-5.092,-5.073,-15.607,5.274,-12.463,2.418,-18.858,-16.629,-0.896,4.751,7.314,3.262,-10.113,-11.754
1948,-21.660,-10.378,-9.555,-3.752,-0.959,2.585,8.387,5.499,3.390,-2.366,-6.110,-6.466,-3.449,-15.432,-4.756,5.491,-1.695,-4.098,-4.735,-4.732,-13.921,3.781,-10.812,1.826,-13.864,-7.895,-0.709,3.338,5.759,2.174,-4.981,-16.557
1949,-11.642,-8.537,-12.419,-6.611,-0.673,1.782,4.482,5.754,4.889,-3.766,-7.862,-13.025,-3.969,-8.882,-6.568,4.006,-2.246,-3.422,-3.276,-3.160,-9.035,3.247,-7.736,0.837,-10.866,-9.189,-1.834,1.864,5.042,2.292,-8.218,-8.073
1950,-16.765,-16.698,-10.332,-4.786,-2.678,3.654,7.358,8.934,4.088,0.040,-9.322,-13.308,-4.151,-15.496,-5.932,6.649,-1.731,-4.128,-4.006,-4.323,-12.936,4.271,-10.462,2.373,-14.598,-10.605,-1.270,2.778,6.793,4.354,-7.530,-12.551
1951,-16.902,-13.941,-10.270,-3.207,-2.034,2.202,6.864,10.133,4.671,2.875,-12.475,-10.068,-3.513,-14.717,-5.171,6.400,-1.643,-3.783,-3.520,-3.756,-12.748,4.367,-9.559,3.072,-13.704,-9.139,-1.013,2.344,7.223,5.893,-6.556,-13.177
1952,-12.749,-11.844,-11.293,-2.953,-0.199,6.483,8.267,4.604,2.863,-4.072,-10.170,-15.828,-3.908,-11.553,-4.815,6.451,-3.793,-3.428,-3.620,-3.041,-11.686,4.404,-8.358,2.142,-11.962,-8.697,1.110,4.850,5.245,1.132,-10.023,-11.764
1953,-10.176,-17.247,-6.239,-3.825,0.584,7.034,7.440,8.193,2.819,1.129,-4.472,-4.406,-1.597,-14.417,-3.160,7.556,-0.175,-2.549,-3.024,-3.457,-11.932,5.214,-9.651,3.339,-11.220,-9.103,1.264,5.020,6.151,4.047,-2.583,-12.058
1954,-9.768,-15.033,-9.310,-4.868,1.850,4.410,10.048,7.533,4.261,-3.492,-11.971,-8.538,-2.906,-9.736,-4.109,7.330,-3.734,-2.562,-1.937,-1.552,-8.598,5.620,-6.675,2.820,-11.370,-9.737,0.464,5.436,7.281,2.767,-8.000,-6.215
1955,-14.906,-18.034,-11.153,-7.412,-1.461,2.012,7.605,7.726,4.930,-3.108,-12.089,-21.817,-5.642,-13.826,-6.676,5.781,-3.422,-4.536,-4.526,-4.558,-12.920,4.162,-10.787,1.470,-14.698,-12.200,-2.287,2.718,6.754,3.183,-12.338,-11.805
1956,-19.038,-17.151,-8.441,-10.176,0.185,4.632,8.745,5.483,1.445,-4.544,-12.933,-15.332,-5.594,-19.336,-6.144,6.286,-5.344,-6.134,-6.064,-5.944,-15.707,4.098,-13.117,0.824,-14.877,-11.923,-1.786,4.521,5.224,0.795,-10.936,-17.648
1957,-9.409,-15.766,-9.037,-3.322,-0.614,2.878,9.896,7.106,3.073,-1.932,-5.105,-13.425,-2.972,-13.503,-4.324,6.627,-1.322,-3.131,-3.783,-4.000,-12.496,4.468,-10.049,2.441,-11.404,-9.375,-0.353,4.053,6.692,2.749,-6.821,-12.558
1958,-16.493,-16.597,-12.810,-5.552,-0.482,4.290,6.876,9.344,3.553,0.174,-3.288,-15.001,-3.832,-15.505,-6.281,6.837,0.146,-3.701,-3.852,-4.028,-12.886,4.716,-10.273,2.600,-15.300,-11.653,-0.581,3.561,6.591,4.357,-6.038,-11.674
1959,-15.937,-3.429,-3.758,-5.607,0.107,3.524,7.308,7.886,2.885,-1.253,-8.261,-13.644,-2.515,-11.456,-3.086,6.239,-2.210,-2.628,-2.214,-2.095,-8.283,4.342,-6.692,2.121,-7.708,-4.265,-0.659,3.646,6.026,3.173,-7.719,-11.409
1960,-15.716,-17.788,-5.011,-2.291,1.519,5.453,10.682,9.209,4.984,-5.301,-12.081,-12.279,-3.218,-15.716,-1.928,8.448,-4.133,-3.332,-3.014,-2.676,-12.084,6.369,-9.138,3.465,-12.838,-8.363,1.560,5.884,8.292,2.964,-9.887,-12.540
1961,-13.397,-12.725,-9.318,-9.023,-1.155,3.836,9.434,7.287,3.561,1.705,-6.475,-19.273,-3.795,-12.800,-6.498,6.852,-0.403,-3.213,-3.680,-4.263,-11.960,4.592,-10.589,2.235,-11.813,-10.355,-2.114,4.038,6.760,4.184,-8.014,-12.586
1962,-18.613,-13.127,-19.648,-4.948,-1.914,1.467,4.981,5.087,2.687,-1.952,-7.278,-17.707,-5.914,-17.004,-8.836,3.845,-2.181,-6.044,-5.977,-5.672,-15.427,2.462,-11.483,0.773,-17.129,-12.574,-1.798,1.512,4.252,1.941,-8.979,-14.787
1963,-15.042,-16.572,-14.352,-5.600,1.560,2.235,5.602,7.931,4.877,-0.978,-12.719,-10.550,-4.467,-16.440,-6.131,5.256,-2.940,-5.064,-4.610,-4.692,-14.190,4.441,-11.215,2.232,-15.322,-12.175,-0.602,3.132,6.137,3.943,-8.083,-13.342
1964,-6.688,-14.432,-8.828,-6.395,-0.340,0.937,6.916,6.497,1.576,0.358,-9.452,-12.264,-3.510,-10.557,-5.188,4.783,-2.506,-3.367,-3.639,-3.750,-10.643,3.117,-8.656,1.364,-9.983,-9.885,-1.933,2.504,4.996,2.810,-7.119,-9.986
1965,-15.079,-12.487,-13.980,-5.826,-3.765,1.850,4.800,6.392,4.748,-2.384,-13.419,-20.669,-5.818,-13.277,-7.857,4.348,-3.685,-5.118,-4.787,-4.559,-12.653,2.805,-9.819,0.831,-13.849,-10.765,-2.580,0.962,5.314,2.919,-12.157,-12.265
1966,-19.380,-24.698,-17.596,-9.952,-2.783,3.953,8.208,5.818,-0.915,-6.019,-6.659,-15.264,-7.107,-21.582,-10.110,5.993,-4.531,-7.558,-8.121,-7.818,-19.152,2.856,-15.443,-0.241,-20.558,-17.415,-2.927,3.126,4.370,-0.372,-9.314,-17.823
