=======================================================================================
ECMWF ERA5 (0.5x0.5 deg)
Total Precipitation (m)
Values averaged across Specify Point (69.7411N; 19.1258E)
---------------------------------------------------------------------------------------
This file was generated using Climate Reanalyzer (https://ClimateReanalyzer.org)
Climate Change Institute; University of Maine; USA (https://climatechange.umaine.edu)
=======================================================================================
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Ann,DJF,MAM,JJA,SON,Ann_D-N,Ann_NO,Ann_OS,NDJFM,MJJAS,ONDJFMA,AMJJASO,JFM,FMA,AMJ,MJJ,JAS,ASO,OND,NDJ
1940,0.2302,0.0876,0.0477,0.1423,0.0653,0.1473,0.0552,0.1761,0.0620,0.1138,0.0478,0.1274,1.3027,-999,0.2553,0.3786,0.2236,-999,-999,-999,-999,0.5058,-999,0.7620,0.3655,0.2776,0.3550,0.2678,0.2932,0.3519,0.2890,-999
1941,0.2315,0.0184,0.1206,0.0663,0.1193,0.0823,0.0623,0.0886,0.1705,0.2066,0.1246,0.1064,1.3974,0.3773,0.3063,0.2332,0.5017,1.4184,1.3416,1.2488,0.5457,0.5230,0.7258,0.7959,0.3705,0.2053,0.2679,0.2639,0.3214,0.4657,0.4376,0.4067
1942,0.0701,0.1103,0.1284,0.1041,0.0733,0.0553,0.0894,0.1575,0.1431,0.0675,0.1374,0.1294,1.2658,0.2868,0.3058,0.3021,0.3480,1.2428,1.2299,1.3690,0.5398,0.5185,0.8505,0.6901,0.3088,0.3428,0.2327,0.2180,0.3899,0.3680,0.3343,0.3011
1943,0.0490,0.1575,0.2115,0.1622,0.1050,0.0800,0.1044,0.1452,0.0999,0.0973,0.1024,0.1973,1.5119,0.3359,0.4788,0.3296,0.2997,1.4440,1.4789,1.4491,0.6849,0.5345,0.9146,0.7941,0.4180,0.5313,0.3472,0.2894,0.3495,0.3424,0.3971,0.3158
1944,0.1287,0.0746,0.1026,0.1020,0.0756,0.1073,0.0537,0.1711,0.0787,0.0993,0.0344,0.1276,1.1557,0.4006,0.2802,0.3320,0.2125,1.2254,1.2934,1.2914,0.6057,0.4864,0.8050,0.6878,0.3059,0.2792,0.2849,0.2366,0.3035,0.3491,0.2614,0.4285
1945,0.0934,0.0560,0.1570,0.1151,0.0803,0.0325,0.0604,0.0618,0.0629,0.1774,0.2321,0.0539,1.1829,0.2770,0.3524,0.1548,0.4724,1.2566,1.0590,0.9809,0.4684,0.2980,0.6829,0.5905,0.3064,0.3281,0.2279,0.1732,0.1852,0.3022,0.4635,0.2555
1946,0.1766,0.0435,0.0987,0.1218,0.0864,0.0344,0.0671,0.0678,0.0873,0.1878,0.1102,0.1209,1.2025,0.2740,0.3069,0.1692,0.3854,1.1355,1.2574,1.2470,0.6048,0.3430,0.9040,0.6526,0.3188,0.2639,0.2426,0.1879,0.2221,0.3429,0.4190,0.4626
1947,0.0671,0.0384,0.0389,0.0813,0.0966,0.0974,0.0809,0.1845,0.1612,0.2074,0.0321,0.1115,1.1974,0.2264,0.2168,0.3629,0.4007,1.2068,1.2849,1.2654,0.3755,0.6207,0.6447,0.9094,0.1444,0.1586,0.2754,0.2750,0.4266,0.5531,0.3510,0.2982
1948,0.0532,0.1612,0.1968,0.0879,0.0977,0.1174,0.0887,0.0903,0.2229,0.1501,0.2426,0.2825,1.7912,0.3259,0.3824,0.2963,0.6156,1.6202,1.4097,1.4671,0.5548,0.6169,0.8502,0.8548,0.4112,0.4459,0.3029,0.3037,0.4019,0.4632,0.6751,0.1968
1949,0.1797,0.1593,0.1058,0.1126,0.1222,0.0322,0.1546,0.1119,0.2121,0.2000,0.0339,0.0517,1.4758,0.6215,0.3405,0.2987,0.4459,1.7066,1.9153,1.8654,0.9699,0.6329,1.2325,0.9454,0.4448,0.3777,0.2669,0.3090,0.4785,0.5239,0.2856,0.7048
1950,0.0917,0.0436,0.1207,0.0962,0.1240,0.1134,0.0102,0.0538,0.0410,0.0978,0.0347,0.0503,0.8775,0.1870,0.3410,0.1774,0.1735,0.8789,0.8781,0.9803,0.3416,0.3424,0.6378,0.5364,0.2561,0.2606,0.3336,0.2476,0.1050,0.1926,0.1828,0.1773
1951,0.0496,0.0421,0.1061,0.1332,0.0817,0.0793,0.1308,0.1117,0.1632,0.2372,0.0568,0.1361,1.3278,0.1421,0.3211,0.3218,0.4571,1.2421,1.2200,1.0806,0.2829,0.5668,0.5139,0.9371,0.1979,0.2815,0.2942,0.2919,0.4057,0.5120,0.4300,0.1346
1952,0.1415,0.0726,0.0526,0.0993,0.0667,0.0827,0.1595,0.0797,0.1370,0.0116,0.0866,0.0376,1.0275,0.3502,0.2186,0.3220,0.2352,1.1260,1.0962,1.3217,0.4596,0.5257,0.7960,0.6366,0.2668,0.2245,0.2487,0.3090,0.3762,0.2283,0.1358,0.3343
1953,0.1600,0.0958,0.2919,0.1142,0.0806,0.0114,0.0353,0.0325,0.1309,0.1641,0.1297,0.1274,1.3738,0.2934,0.4867,0.0792,0.4248,1.2841,1.2409,1.0884,0.6718,0.2907,0.7977,0.5691,0.5477,0.5019,0.2062,0.1273,0.1987,0.3276,0.4212,0.2841
1954,0.1276,0.0512,0.1511,0.0739,0.0513,0.0884,0.0365,0.1004,0.1344,0.0695,0.0228,0.0836,0.9907,0.3062,0.2763,0.2253,0.2267,1.0345,1.1414,1.2361,0.5871,0.4110,0.8251,0.5543,0.3300,0.2762,0.2135,0.1762,0.2713,0.3043,0.1759,0.3847
1955,0.0897,0.0551,0.1131,0.1204,0.0697,0.0926,0.1055,0.1780,0.0664,0.1731,0.1247,0.0283,1.2167,0.2285,0.3032,0.3761,0.3642,1.2720,1.1702,1.0665,0.3644,0.5122,0.5543,0.8058,0.2579,0.2886,0.2828,0.2678,0.3499,0.4175,0.3261,0.1962
1956,0.1170,0.0824,0.1338,0.0516,0.1359,0.1155,0.0278,0.0827,0.1671,0.1085,0.0563,0.0598,1.1383,0.2277,0.3214,0.2260,0.3319,1.1069,1.1752,1.2399,0.4861,0.5290,0.7109,0.6891,0.3332,0.2678,0.3031,0.2793,0.2775,0.3582,0.2246,0.2700
1957,0.1611,0.0257,0.1309,0.1267,0.0822,0.1132,0.0245,0.1230,0.0545,0.1268,0.1768,0.1127,1.2581,0.2466,0.3398,0.2606,0.3581,1.2052,1.0847,1.0664,0.4338,0.3974,0.6690,0.6509,0.3177,0.2833,0.3221,0.2199,0.2020,0.3043,0.4162,0.2772
1958,0.1065,0.0508,0.1116,0.0582,0.0463,0.0617,0.1643,0.0508,0.1653,0.1534,0.2217,0.0655,1.2560,0.2700,0.2161,0.2768,0.5403,1.3032,1.2583,1.2317,0.5584,0.4883,0.7434,0.6999,0.2690,0.2207,0.1662,0.2723,0.3803,0.3694,0.4405,0.3959
1959,0.1113,0.2418,0.2463,0.0375,0.1550,0.0912,0.1663,0.1913,0.2094,0.1063,0.0427,0.0469,1.6461,0.4186,0.4388,0.4488,0.3584,1.6647,1.8436,1.8907,0.8866,0.8132,1.0775,0.9570,0.5995,0.5256,0.2837,0.4125,0.5670,0.5070,0.1959,0.3985
1960,0.0919,0.0854,0.0957,0.0949,0.0767,0.0973,0.0695,0.0826,0.0570,0.1158,0.0125,0.0857,0.9651,0.2241,0.2673,0.2495,0.1854,0.9263,0.9564,0.9470,0.3625,0.3833,0.5637,0.5939,0.2729,0.2759,0.2690,0.2436,0.2092,0.2554,0.2140,0.1815
