=======================================================================================
ECMWF ERA5 (0.5x0.5 deg)
2m Temperature (deg C)
Values averaged across Specify Point (69.7411N; 19.1258E)
---------------------------------------------------------------------------------------
This file was generated using Climate Reanalyzer (https://ClimateReanalyzer.org)
Climate Change Institute; University of Maine; USA (https://climatechange.umaine.edu)
=======================================================================================
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Ann,DJF,MAM,JJA,SON,Ann_D-N,Ann_NO,Ann_OS,NDJFM,MJJAS,ONDJFMA,AMJJASO,JFM,FMA,AMJ,MJJ,JAS,ASO,OND,NDJ
1940,-10.228,-14.491,-14.087,-3.975,2.801,5.439,8.832,9.866,6.573,-0.041,-10.737,-9.003,-2.421,-999,-5.087,8.045,-1.402,-999,-999,-999,-999,6.702,-999,4.213,-12.935,-10.851,1.422,5.691,8.423,5.466,-6.594,-999
1941,-11.749,-14.584,-9.237,-3.533,1.151,5.492,15.107,11.221,5.036,-2.417,-6.291,-11.572,-1.781,-11.779,-3.873,10.607,-1.224,-1.567,-1.938,-1.740,-11.062,7.602,-8.412,4.580,-11.857,-9.118,1.037,7.250,10.455,4.613,-6.760,-10.496
1942,-15.229,-10.996,-12.649,-4.243,-0.126,5.284,11.540,9.918,5.047,-4.295,-8.982,-10.760,-2.958,-12.599,-5.673,8.914,-2.743,-3.025,-2.801,-2.644,-11.347,6.333,-9.057,3.304,-12.958,-9.296,0.305,5.566,8.835,3.557,-8.012,-11.031
1943,-17.734,-7.805,-5.207,-3.288,1.174,4.029,9.708,9.198,5.737,-1.323,-6.621,-5.918,-1.504,-12.100,-2.441,7.645,-0.736,-1.908,-2.104,-2.352,-10.098,5.969,-8.296,3.605,-10.249,-5.433,0.638,4.970,8.214,4.537,-4.621,-12.492
1944,-10.521,-7.723,-8.442,-5.329,0.703,4.841,9.719,9.095,5.743,0.925,-7.806,-7.012,-1.317,-8.054,-4.356,7.885,-0.379,-1.226,-1.127,-1.315,-7.845,6.020,-6.554,3.671,-8.895,-7.165,0.071,5.087,8.186,5.255,-4.631,-7.687
1945,-16.801,-10.552,-7.904,-1.612,0.551,4.562,13.477,11.344,5.014,-4.593,-3.945,-13.675,-2.011,-11.455,-2.988,9.794,-1.175,-1.456,-1.778,-1.318,-10.015,6.990,-7.252,4.106,-11.752,-6.689,1.167,6.197,9.945,3.922,-7.404,-10.540
1946,-9.172,-19.062,-11.144,-3.353,0.752,5.745,12.084,12.509,8.034,-0.349,-9.472,-7.993,-1.785,-13.970,-4.582,10.113,-0.595,-2.259,-1.798,-2.152,-11.400,7.825,-9.278,5.060,-13.126,-11.187,1.048,6.194,10.876,6.731,-5.938,-8.931
1947,-11.308,-19.777,-16.372,-4.098,1.104,8.257,12.984,9.912,6.302,-0.697,-11.609,-11.835,-3.095,-13.026,-6.455,10.384,-2.002,-2.775,-2.597,-2.568,-12.984,7.712,-9.910,4.823,-15.819,-13.416,1.754,7.448,9.733,5.172,-8.047,-9.591
1948,-18.496,-8.158,-6.854,-1.149,1.628,4.725,12.151,8.472,5.474,-0.985,-4.344,-4.326,-0.989,-12.829,-2.125,8.449,0.048,-1.614,-2.220,-2.196,-11.390,6.490,-8.400,4.331,-11.169,-5.387,1.735,6.168,8.699,4.320,-3.219,-13.980
1949,-8.950,-6.290,-9.263,-3.613,1.633,3.763,6.238,8.111,6.800,-2.188,-5.994,-10.592,-1.695,-6.522,-3.747,6.038,-0.461,-1.173,-1.036,-0.935,-6.635,5.309,-5.396,2.963,-8.168,-6.388,0.595,3.878,7.050,4.241,-6.258,-5.873
1950,-13.587,-13.790,-7.807,-1.857,-0.039,5.668,11.892,13.453,7.274,1.717,-7.354,-11.149,-1.298,-12.657,-3.234,10.338,0.546,-1.252,-1.139,-1.464,-10.354,7.649,-7.974,5.444,-11.728,-7.818,1.257,5.840,10.873,7.481,-5.595,-10.058
1951,-13.938,-10.795,-7.472,-0.948,0.909,4.135,9.175,12.794,6.531,4.655,-10.171,-7.646,-1.064,-11.961,-2.504,8.701,0.338,-1.356,-1.121,-1.366,-10.142,6.709,-7.134,5.322,-10.735,-6.405,1.365,4.740,9.500,7.993,-4.387,-10.814
1952,-10.351,-9.484,-8.253,-0.246,2.461,9.053,10.893,7.915,4.739,-1.791,-7.689,-13.120,-1.323,-9.160,-2.013,9.287,-1.580,-0.867,-1.073,-0.536,-9.181,7.012,-5.928,4.718,-9.363,-5.994,3.756,7.469,7.849,3.621,-7.533,-9.389
1953,-7.642,-14.045,-3.704,-0.948,2.599,9.013,12.721,12.171,5.269,2.751,-2.559,-2.422,1.100,-11.602,-0.684,11.302,1.820,0.209,-0.219,-0.597,-9.240,8.354,-6.991,6.225,-8.464,-6.232,3.555,8.111,10.053,6.730,-0.743,-9.484
1954,-7.475,-11.824,-6.494,-1.628,3.907,6.682,14.777,11.203,6.703,-1.836,-9.753,-6.361,-0.175,-7.240,-1.405,10.887,-1.629,0.153,0.753,1.135,-6.155,8.654,-4.236,5.687,-8.598,-6.649,2.987,8.455,10.894,5.357,-5.983,-4.152
1955,-12.159,-15.116,-8.370,-4.157,1.397,3.796,9.919,10.191,7.438,-1.467,-9.743,-18.387,-3.055,-11.212,-3.710,7.969,-1.257,-2.053,-2.053,-2.084,-10.352,6.548,-8.250,3.874,-11.882,-9.215,0.345,5.037,9.183,5.388,-9.866,-9.424
1956,-15.932,-14.024,-5.875,-6.501,2.196,6.543,12.893,9.150,3.405,-2.845,-10.209,-12.009,-2.767,-16.114,-3.393,9.528,-3.216,-3.299,-3.260,-3.145,-12.792,6.837,-10.275,3.549,-11.944,-8.800,0.746,7.211,8.483,3.237,-8.354,-14.687
1957,-6.664,-13.163,-6.145,-0.673,1.916,4.985,13.270,9.751,6.162,0.296,-2.934,-11.046,-0.354,-10.612,-1.634,9.335,1.175,-0.434,-1.040,-1.302,-9.638,7.217,-7.387,5.101,-8.657,-6.661,2.076,6.723,9.727,5.403,-4.561,-9.627
1958,-13.714,-13.804,-10.109,-1.809,2.387,6.669,9.816,11.934,5.624,1.703,-1.699,-12.145,-1.262,-12.855,-3.177,9.473,1.876,-1.171,-1.274,-1.391,-10.321,7.286,-7.589,5.189,-12.542,-8.574,2.416,6.291,9.125,6.420,-4.047,-9.231
1959,-13.496,-0.750,-0.936,-1.566,2.709,6.360,9.735,10.362,4.376,0.768,-5.770,-10.913,0.073,-8.797,0.069,8.819,-0.209,-0.030,0.310,0.388,-5.806,6.708,-4.127,4.678,-5.061,-1.084,2.501,6.268,8.158,5.168,-5.305,-9.114
1960,-13.300,-14.865,-2.338,0.977,3.951,8.089,15.186,12.648,7.456,-3.656,-10.216,-10.189,-0.521,-13.026,0.863,11.974,-2.139,-0.582,-0.211,0.157,-9.437,9.466,-6.492,6.379,-10.168,-5.409,4.339,9.075,11.763,5.482,-8.020,-9.994
1961,-11.033,-10.493,-6.797,-5.537,1.559,5.945,12.545,10.735,5.766,3.007,-4.786,-16.149,-1.270,-10.571,-3.592,9.742,1.329,-0.773,-1.226,-1.781,-9.745,7.310,-8.274,4.860,-9.441,-7.609,0.656,6.683,9.682,6.503,-5.976,-10.479
1962,-15.824,-10.374,-15.841,-2.478,0.759,3.396,8.022,8.839,5.017,-0.366,-5.381,-14.752,-3.249,-14.115,-5.853,6.752,-0.243,-3.365,-3.315,-3.034,-12.595,5.207,-8.921,3.313,-14.013,-9.564,0.559,4.059,7.293,4.497,-6.833,-12.253
1963,-12.212,-13.470,-11.215,-2.765,3.809,5.127,8.764,11.527,7.260,0.649,-10.369,-8.275,-1.764,-13.478,-3.391,8.473,-0.820,-2.304,-1.888,-1.973,-11.406,7.297,-8.595,4.910,-12.299,-9.150,2.057,5.900,9.184,6.479,-5.999,-10.782
1964,-4.716,-11.627,-6.296,-3.798,1.940,3.115,9.696,9.232,3.738,1.777,-7.209,-9.785,-1.161,-8.206,-2.718,7.348,-0.564,-1.035,-1.299,-1.393,-8.257,5.544,-6.348,3.671,-7.546,-7.240,0.419,4.917,7.556,4.916,-5.072,-7.787
1965,-12.545,-9.959,-10.914,-2.713,-0.359,3.757,6.710,8.766,6.964,-0.833,-11.089,-17.713,-3.327,-10.763,-4.662,6.411,-1.653,-2.667,-2.343,-2.126,-10.083,5.168,-7.335,3.185,-11.140,-7.862,0.228,3.369,7.480,4.966,-9.878,-9.847
1966,-16.024,-21.287,-14.503,-6.626,-0.055,7.086,11.754,8.802,0.901,-4.486,-4.678,-11.961,-4.256,-18.341,-7.061,9.214,-2.754,-4.736,-5.270,-4.966,-16.123,5.698,-12.582,2.482,-17.271,-14.139,0.135,6.262,7.152,1.739,-7.042,-14.942
1967,-13.709,-9.818,-3.505,-1.513,3.009,5.994,10.367,11.219,8.387,-0.994,-1.355,-15.477,-0.616,-11.829,-0.670,9.193,2.013,-0.323,-0.600,-0.891,-8.734,7.795,-7.096,5.210,-9.011,-4.945,2.496,6.457,9.991,6.204,-5.942,-10.116
1968,-18.700,-9.993,-6.455,-1.654,0.737,5.421,8.068,8.226,4.737,-5.697,-2.797,-3.837,-1.829,-14.724,-2.457,7.238,-1.252,-2.799,-2.679,-2.287,-10.396,5.438,-7.804,2.834,-11.716,-6.034,1.501,4.742,7.010,2.422,-4.111,-11.844
1969,-12.967,-13.970,-6.152,-2.563,2.082,8.100,12.285,12.739,6.038,1.736,-7.373,-9.843,-0.824,-10.258,-2.211,11.042,0.134,-0.324,0.058,-0.562,-7.945,8.249,-6.855,5.774,-11.030,-7.562,2.540,7.489,10.354,6.838,-5.160,-6.534
1970,-9.841,-17.622,-6.714,-3.597,3.353,9.361,13.212,11.505,6.307,1.672,-9.379,-6.120,-0.655,-12.435,-2.319,11.359,-0.467,-0.965,-0.798,-0.793,-10.278,8.748,-7.608,5.973,-11.392,-9.311,3.039,8.642,10.341,6.495,-4.609,-9.019
1971,-9.415,-11.807,-10.596,-2.323,2.382,7.191,9.829,10.801,5.219,-0.760,-10.314,-5.364,-1.263,-9.114,-3.512,9.274,-1.952,-1.326,-1.248,-1.045,-9.463,7.084,-6.852,4.620,-10.606,-8.242,2.417,6.467,8.616,5.087,-5.479,-8.305
1972,-6.575,-9.185,-5.627,-1.839,3.198,11.183,14.423,11.488,5.629,0.211,-7.024,-2.974,1.076,-7.042,-1.423,12.365,-0.395,0.876,0.602,0.521,-7.413,9.184,-5.666,6.328,-7.129,-5.551,4.181,9.601,10.513,5.776,-3.262,-7.418
1973,-6.015,-9.763,-5.451,-1.862,3.066,6.725,13.217,9.085,4.003,-3.364,-8.784,-12.593,-0.978,-6.250,-1.416,9.676,-2.715,-0.176,-0.030,0.268,-6.245,7.219,-4.697,4.410,-7.076,-5.692,2.643,7.669,8.769,3.241,-8.247,-5.338
1974,-7.957,-8.858,-2.622,-0.066,3.277,9.278,13.518,10.983,7.766,-0.901,-8.283,-8.526,0.634,-9.803,0.197,11.260,-0.473,0.295,0.254,0.048,-8.163,8.965,-6.320,6.265,-6.479,-3.848,4.163,8.691,10.756,5.949,-5.903,-9.778
1975,-11.080,-3.942,-2.362,-1.339,3.224,4.826,8.327,8.442,5.819,0.891,-4.038,-9.266,-0.041,-7.849,-0.159,7.198,0.891,0.020,-0.333,-0.483,-6.838,6.128,-5.205,4.313,-5.794,-2.548,2.237,5.459,7.530,5.051,-4.138,-9.296
