=======================================================================================
ECMWF ERA5 (0.5x0.5 deg)
2m Dewpoint Temperature (deg C)
Values averaged across Specify Point (68.315N; 226.447E)
---------------------------------------------------------------------------------------
This file was generated using Climate Reanalyzer (https://ClimateReanalyzer.org)
Climate Change Institute; University of Maine; USA (https://climatechange.umaine.edu)
=======================================================================================
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Ann,DJF,MAM,JJA,SON,Ann_D-N,Ann_NO,Ann_OS,NDJFM,MJJAS,ONDJFMA,AMJJASO,JFM,FMA,AMJ,MJJ,JAS,ASO,OND,NDJ
1940,-28.550,-30.147,-24.087,-9.635,-3.015,1.653,7.643,4.491,3.413,-7.783,-22.057,-29.097,-11.431,-999,-12.246,4.596,-8.809,-999,-999,-999,-999,2.837,-999,-0.462,-27.595,-21.290,-3.666,2.093,5.182,0.040,-19.646,-999
1941,-30.812,-26.679,-28.479,-14.087,-2.097,2.305,6.822,3.501,-4.865,-14.408,-26.181,-31.704,-13.890,-28.863,-14.887,4.210,-15.151,-13.673,-13.329,-12.777,-27.425,1.133,-22.713,-3.261,-28.656,-23.081,-4.626,2.344,1.819,-5.257,-24.098,-27.322
1942,-27.758,-30.177,-26.337,-13.574,-2.090,6.003,7.821,4.551,-1.638,-8.209,-28.073,-35.726,-12.934,-29.880,-14.000,6.125,-12.640,-12.599,-12.441,-12.958,-28.432,2.930,-24.306,-1.019,-28.091,-23.363,-3.220,3.912,3.578,-1.765,-24.002,-28.548
1943,-35.659,-24.977,-24.585,-10.213,0.044,4.945,8.243,7.711,0.021,-6.139,-17.456,-29.121,-10.599,-32.121,-11.584,6.967,-7.858,-11.149,-12.034,-12.206,-29.804,4.193,-23.920,0.659,-28.407,-19.925,-1.741,4.411,5.325,0.531,-17.572,-33.153
1944,-27.428,-28.126,-24.309,-10.611,-2.650,5.372,7.868,4.580,-1.699,-7.535,-24.483,-27.402,-11.369,-28.225,-12.523,5.940,-11.239,-11.512,-10.926,-10.810,-25.288,2.694,-20.456,-0.668,-26.621,-21.015,-2.630,3.530,3.583,-1.552,-19.807,-24.668
1945,-30.929,-28.431,-25.613,-13.294,-4.029,6.564,8.275,5.128,-2.035,-7.596,-27.634,-31.732,-12.610,-28.921,-14.312,6.656,-12.422,-12.250,-11.987,-11.982,-27.372,2.781,-22.527,-0.998,-28.324,-22.446,-3.586,3.603,3.790,-1.501,-22.320,-27.605
1946,-34.394,-35.577,-23.358,-13.845,-1.248,5.966,5.828,5.153,-3.126,-9.074,-22.916,-35.546,-13.511,-33.901,-12.817,5.649,-11.705,-13.194,-13.587,-13.464,-30.539,2.515,-24.877,-1.478,-31.110,-24.260,-3.042,3.515,2.618,-2.349,-22.512,-31.253
1947,-31.154,-35.930,-20.255,-14.554,-3.051,3.642,6.836,2.630,-1.291,-9.054,-21.387,-27.265,-12.569,-34.210,-12.620,4.369,-10.577,-13.259,-13.387,-13.388,-29.160,1.753,-24.204,-2.120,-29.113,-23.580,-4.654,2.476,2.725,-2.571,-19.235,-29.872
1948,-30.160,-28.464,-25.834,-15.967,-2.926,4.079,9.788,4.150,-2.522,-12.649,-25.429,-37.261,-13.600,-28.630,-14.909,6.005,-13.533,-12.767,-12.430,-12.130,-26.622,2.514,-22.590,-2.293,-28.153,-23.422,-4.938,3.647,3.805,-3.674,-25.113,-26.271
1949,-31.130,-34.066,-19.062,-16.017,-5.242,1.941,7.193,8.681,3.678,-8.924,-15.981,-29.056,-11.499,-34.152,-13.440,5.938,-7.076,-12.182,-12.970,-13.280,-29.389,3.250,-25.088,-1.241,-28.086,-23.048,-6.439,1.297,6.518,1.145,-17.987,-31.273
1950,-27.855,-35.567,-22.699,-13.643,-2.215,6.162,6.495,4.584,1.367,-10.257,-20.978,-28.964,-11.964,-30.826,-12.853,5.747,-9.956,-11.972,-11.556,-11.444,-26.232,3.278,-21.961,-1.073,-28.707,-23.970,-3.232,3.480,4.149,-1.435,-20.066,-24.297
1951,-37.234,-32.769,-30.864,-15.030,-3.282,2.312,8.327,9.219,1.751,-11.457,-19.351,-30.423,-13.233,-32.989,-16.392,6.619,-9.686,-13.112,-13.247,-13.147,-30.162,3.665,-25.156,-1.166,-33.622,-26.221,-5.333,2.452,6.432,-0.162,-20.411,-29.059
1952,-37.323,-36.690,-25.745,-14.863,-4.986,3.411,7.905,5.315,-2.739,-7.705,-14.822,-28.809,-13.087,-34.812,-15.198,5.544,-8.422,-13.222,-13.599,-13.912,-29.906,1.781,-25.122,-1.952,-33.252,-25.766,-5.479,2.110,3.494,-1.709,-17.112,-29.033
1953,-36.336,-31.378,-24.225,-10.706,-2.269,5.653,7.769,6.791,2.425,-8.810,-23.230,-32.194,-12.209,-32.174,-12.400,6.737,-9.872,-11.927,-11.226,-11.134,-27.114,4.074,-21.997,0.122,-30.646,-22.103,-2.441,3.717,5.661,0.135,-21.411,-26.655
1954,-35.961,-32.750,-22.050,-19.961,-5.480,3.995,8.828,10.162,1.062,-9.785,-20.602,-33.483,-13.002,-33.635,-15.830,7.662,-9.775,-12.895,-13.114,-13.032,-29.237,3.713,-24.994,-1.597,-30.254,-24.920,-7.149,2.448,6.684,0.479,-21.290,-30.461
1955,-31.029,-38.169,-29.874,-13.711,-3.580,7.156,10.355,3.603,0.321,-7.729,-28.132,-32.470,-13.605,-34.227,-15.722,7.038,-11.847,-13.689,-13.062,-13.233,-30.631,3.571,-25.236,-0.512,-33.024,-27.251,-3.378,4.644,4.760,-1.268,-22.777,-28.371
1956,-32.773,-37.005,-23.203,-14.957,-3.682,4.122,8.836,4.727,-0.324,-14.874,-24.462,-32.360,-13.829,-34.082,-13.947,5.895,-13.220,-13.839,-14.144,-13.549,-30.716,2.736,-25.181,-2.307,-30.993,-25.055,-4.839,3.092,4.413,-3.491,-23.899,-31.125
1957,-24.763,-33.210,-23.258,-11.025,-4.715,2.274,8.009,10.768,0.696,-7.942,-26.998,-34.896,-12.088,-30.111,-13.000,7.017,-11.415,-11.877,-11.666,-12.243,-27.610,3.406,-23.422,-0.276,-27.077,-22.498,-4.489,1.856,6.491,1.174,-23.279,-27.195
