=======================================================================================,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECMWF ERA5 (0.5x0.5 deg),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2m Temperature (deg C),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Values averaged across Specify Point (68.315N, 226.447E),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
---------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
This file was generated using Climate Reanalyzer (https://ClimateReanalyzer.org),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Climate Change Institute, University of Maine, USA (https://climatechange.umaine.edu),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
=======================================================================================,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Ann,DJF,MAM,JJA,SON,Ann_D-N,Ann_NO,Ann_OS,NDJFM,MJJAS,ONDJFMA,AMJJASO,JFM,FMA,AMJ,MJJ,JAS,ASO,OND,NDJ
1940,-25.513,-27.228,-20.88,-6.402,0.458,8.927,17.185,7.797,6.688,-4.557,-18.86,-26.003,-7.366,-999,-8.941,11.303,-5.576,-999,-999,-999,-999,8.211,-999,4.299,-24.54,-18.17,0.994,8.857,10.557,3.309,-16.473,-999
1941,-27.561,-23.75,-24.714,-10.762,2.881,9.496,13.246,7.803,-2.212,-12.261,-23.225,-28.335,-9.949,-25.772,-10.865,10.182,-12.566,-9.755,-9.391,-8.749,-24.178,6.243,-19.458,1.17,-25.342,-19.742,0.539,8.541,6.279,-2.223,-21.274,-24.141
1942,-24.889,-26.902,-22.676,-9.911,2.112,11.085,12.858,7.75,1.534,-6.525,-25.203,-32.551,-9.443,-26.709,-10.158,10.564,-10.065,-9.092,-8.927,-9.405,-25.206,7.068,-21.171,2.7,-24.823,-19.83,1.096,8.685,7.381,0.919,-21.426,-25.483
1943,-32.205,-21.91,-21.098,-7.003,5.121,12.801,14.763,11.286,2.446,-4.102,-15.043,-26.038,-6.749,-28.889,-7.66,12.95,-5.567,-7.291,-8.138,-8.34,-26.593,9.283,-20.928,5.044,-25.071,-16.67,3.64,10.895,9.498,3.21,-15.061,-29.986
1944,-24.513,-24.6,-20.704,-7.007,1.369,11.876,12.662,7.929,1.11,-5.428,-21.943,-24.462,-7.809,-25.05,-8.781,10.823,-8.754,-7.941,-7.366,-7.255,-22.18,6.989,-17.43,3.216,-23.272,-17.437,2.079,8.636,7.234,1.204,-17.278,-21.865
1945,-27.855,-24.823,-22.183,-9.663,-0.16,10.904,13.145,8.37,0.301,-5.562,-24.816,-28.679,-9.252,-25.713,-10.669,10.806,-10.026,-8.9,-8.661,-8.65,-24.253,6.512,-19.48,2.476,-24.954,-18.89,0.36,7.963,7.272,1.036,-19.686,-24.753
1946,-31.043,-31.937,-20.142,-10.57,4.084,11.378,13.01,11.214,-0.706,-7.189,-20.165,-32.169,-9.52,-30.553,-8.876,11.867,-9.353,-9.229,-9.616,-9.481,-27.324,7.796,-21.821,3.032,-27.708,-20.883,1.631,9.491,7.839,1.106,-19.841,-28.179
1947,-27.996,-32.199,-17.105,-11.045,0.792,9.694,13.372,6.436,2.448,-7.42,-19.107,-24.479,-8.884,-30.788,-9.119,9.834,-8.026,-9.525,-9.613,-9.594,-25.927,6.548,-21.124,2.04,-25.766,-20.116,-0.186,7.953,7.419,0.488,-17.002,-26.777
1948,-27.246,-25.136,-22.168,-11.966,0.177,9.044,14.682,8.023,-0.555,-10.665,-22.938,-33.996,-10.229,-25.62,-11.319,10.583,-11.386,-9.436,-9.116,-8.846,-23.627,6.274,-19.646,1.249,-24.85,-19.757,-0.915,7.968,7.383,-1.066,-22.533,-23.611
1949,-27.759,-30.792,-15.97,-12.734,-1.992,6.447,10.863,11.352,5.444,-5.938,-13.984,-26.123,-8.432,-30.849,-10.232,9.554,-4.826,-9.088,-9.834,-10.228,-26.291,6.423,-22.122,1.92,-24.84,-19.832,-2.76,5.106,9.22,3.619,-15.348,-28.231
