=======================================================================================
ECMWF ERA5 (0.5x0.5 deg)
2m Dewpoint Temperature (deg C)
Values averaged across Specify Point (67.0167N; 309.3E)
---------------------------------------------------------------------------------------
This file was generated using Climate Reanalyzer (https://ClimateReanalyzer.org)
Climate Change Institute; University of Maine; USA (https://climatechange.umaine.edu)
=======================================================================================
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Ann,DJF,MAM,JJA,SON,Ann_D-N,Ann_NO,Ann_OS,NDJFM,MJJAS,ONDJFMA,AMJJASO,JFM,FMA,AMJ,MJJ,JAS,ASO,OND,NDJ
1940,-27.444,-21.622,-23.823,-11.687,-5.795,-1.359,1.434,2.003,-2.324,-13.504,-22.360,-22.068,-12.379,-999,-13.768,0.693,-12.729,-999,-999,-999,-999,-1.208,-999,-4.462,-24.296,-19.044,-6.280,-1.907,0.371,-4.608,-19.311,-999
1941,-24.630,-23.831,-19.727,-13.337,-3.907,-0.257,1.988,1.242,-6.585,-10.177,-22.830,-25.710,-12.313,-23.510,-12.324,0.991,-13.197,-12.010,-11.971,-12.248,-22.523,-1.504,-19.922,-4.433,-22.729,-18.965,-5.834,-0.725,-1.119,-5.174,-19.572,-23.019
1942,-26.987,-23.414,-23.117,-17.849,-2.889,0.995,2.655,1.682,-4.109,-17.443,-20.110,-24.290,-12.906,-25.370,-14.618,1.778,-13.887,-13.024,-13.251,-12.646,-24.411,-0.333,-21.440,-5.280,-24.506,-21.460,-6.581,0.254,0.076,-6.623,-20.614,-25.175
1943,-23.819,-32.997,-27.177,-18.428,-9.131,-0.637,1.402,-3.377,-4.842,-16.879,-20.763,-22.930,-14.965,-27.035,-18.245,-0.871,-14.161,-15.078,-15.024,-15.071,-25.679,-3.317,-23.466,-7.413,-27.997,-26.200,-9.399,-2.789,-2.273,-8.366,-20.190,-22.740
1944,-31.088,-23.327,-22.243,-13.138,-7.357,-0.360,2.378,0.087,-5.781,-15.172,-22.146,-28.439,-13.882,-25.782,-14.246,0.702,-14.366,-13.423,-13.308,-13.450,-24.070,-2.207,-21.481,-5.621,-25.553,-19.570,-6.952,-1.780,-1.105,-6.955,-21.919,-24.927
1945,-23.462,-35.222,-21.730,-16.949,-6.014,-0.500,1.682,0.515,-6.640,-9.275,-20.935,-21.298,-13.319,-29.041,-14.898,0.565,-12.284,-13.914,-14.015,-14.506,-26.200,-2.192,-23.303,-5.312,-26.805,-24.634,-7.821,-1.611,-1.481,-5.134,-17.169,-24.682
1946,-29.482,-25.433,-19.994,-17.109,-4.498,-1.493,1.545,0.876,-4.104,-10.607,-17.629,-23.661,-12.632,-25.404,-13.867,0.309,-10.780,-12.436,-12.711,-12.600,-23.428,-1.535,-20.504,-5.056,-24.970,-20.845,-7.700,-1.482,-0.561,-4.612,-17.299,-23.905
1947,-25.650,-22.165,-19.522,-15.744,-4.617,-0.801,0.342,-0.284,-5.865,-15.944,-18.682,-23.912,-12.737,-23.825,-13.294,-0.248,-13.497,-12.716,-12.628,-12.184,-21.725,-2.245,-19.282,-6.130,-22.446,-19.144,-7.054,-1.692,-1.936,-7.364,-19.513,-22.313
1948,-28.435,-27.493,-28.770,-17.047,-8.436,-0.042,2.503,0.833,-5.406,-14.173,-22.938,-32.698,-15.175,-26.613,-18.084,1.098,-14.173,-14.443,-14.088,-14.236,-25.458,-2.110,-22.898,-5.967,-28.233,-24.437,-8.508,-1.992,-0.690,-6.249,-23.270,-23.676
1949,-30.165,-33.945,-21.757,-19.802,-6.980,-0.032,2.721,-1.401,-5.894,-14.270,-21.735,-24.880,-14.845,-32.270,-16.180,0.429,-13.966,-15.497,-15.597,-15.589,-28.301,-2.317,-25.068,-6.523,-28.622,-25.168,-8.938,-1.430,-1.525,-7.188,-20.295,-28.601
1950,-30.179,-29.333,-19.580,-14.411,-2.995,0.537,1.227,0.344,-5.766,-15.663,-18.273,-18.448,-12.712,-28.131,-12.328,0.703,-13.234,-13.248,-13.536,-13.420,-25.141,-1.331,-22.055,-5.247,-26.364,-21.108,-5.623,-0.410,-1.398,-7.028,-17.461,-25.598
1951,-28.320,-30.058,-19.768,-14.579,-2.972,1.142,3.909,1.859,-1.044,-14.832,-16.488,-28.880,-12.503,-25.609,-12.440,2.304,-10.788,-11.633,-11.782,-11.851,-22.973,0.579,-20.730,-3.788,-26.049,-21.468,-5.470,0.693,1.575,-4.672,-20.067,-21.680
1952,-27.586,-25.721,-23.551,-13.935,-1.559,2.308,2.667,-0.036,-1.147,-12.060,-14.736,-17.715,-11.089,-27.396,-13.015,1.646,-9.314,-12.020,-12.166,-12.397,-24.445,0.447,-21.571,-3.395,-25.620,-21.069,-4.395,1.139,0.495,-4.415,-14.837,-24.318
1953,-23.761,-26.255,-24.655,-7.280,-3.892,1.418,3.190,0.611,-4.390,-15.720,-21.835,-33.567,-13.011,-22.577,-11.942,1.740,-13.982,-11.690,-11.099,-10.794,-21.424,-0.612,-18.066,-3.723,-24.890,-19.396,-3.251,0.239,-0.196,-6.500,-23.707,-18.737
1954,-19.842,-26.463,-18.732,-12.522,-2.505,0.298,2.290,0.042,-6.672,-14.397,-21.795,-28.825,-12.427,-26.624,-11.253,0.877,-14.288,-12.822,-12.825,-12.936,-24.088,-1.309,-21.240,-4.781,-21.679,-19.239,-4.910,0.028,-1.446,-7.009,-21.672,-25.081
1955,-30.879,-21.034,-18.524,-19.971,-4.002,0.687,0.036,-0.116,-6.449,-11.401,-19.468,-25.151,-13.023,-26.913,-14.166,0.203,-12.439,-13.329,-13.523,-13.772,-24.211,-1.969,-22.204,-5.888,-23.479,-19.843,-7.762,-1.093,-2.176,-5.988,-18.673,-27.166
1956,-28.234,-23.673,-20.580,-10.095,-7.414,-1.298,1.784,0.518,-7.461,-13.173,-23.306,-32.334,-13.772,-25.686,-12.696,0.335,-14.647,-13.174,-12.854,-12.706,-23.421,-2.774,-19.800,-5.306,-24.162,-18.116,-6.269,-2.310,-1.720,-6.705,-22.938,-24.284
1957,-33.720,-30.258,-21.873,-15.764,-8.147,-0.159,-0.546,-0.984,-2.535,-13.614,-19.033,-26.300,-14.411,-32.104,-15.261,-0.563,-11.727,-14.914,-15.270,-15.233,-28.298,-2.474,-24.347,-5.964,-28.617,-22.632,-8.023,-2.951,-1.355,-5.711,-19.649,-29.787
1958,-28.626,-21.029,-21.901,-15.934,-4.191,-0.343,2.894,-3.650,-4.107,-14.264,-25.581,-23.913,-13.387,-25.318,-14.009,-0.366,-14.651,-13.586,-13.040,-12.986,-23.378,-1.880,-20.920,-5.657,-23.852,-19.622,-6.823,-0.547,-1.621,-7.340,-21.253,-24.653
1959,-24.009,-29.999,-30.229,-14.693,-4.909,-2.282,1.638,-1.729,-7.117,-11.814,-20.120,-28.863,-14.511,-25.974,-16.610,-0.791,-13.017,-14.098,-14.553,-14.757,-26.746,-2.880,-23.241,-5.844,-28.079,-24.974,-7.295,-1.851,-2.403,-6.887,-20.266,-24.501
1960,-25.640,-23.983,-26.765,-20.426,-6.712,0.896,1.043,1.590,-9.974,-7.920,-19.896,-24.676,-13.539,-26.162,-17.968,1.176,-12.597,-13.887,-13.906,-14.231,-25.074,-2.631,-22.516,-5.929,-25.463,-23.725,-8.747,-1.591,-2.447,-5.435,-17.497,-24.874
1961,-26.720,-34.471,-29.443,-16.335,-5.178,-3.205,-1.197,-1.913,-4.713,-14.003,-23.955,-25.783,-15.576,-28.622,-16.985,-2.105,-14.224,-15.484,-15.146,-14.639,-27.041,-3.241,-22.780,-6.649,-30.211,-26.750,-8.240,-3.194,-2.608,-6.876,-21.247,-23.764
1962,-27.462,-27.035,-17.724,-14.204,-5.203,-3.045,1.073,-1.716,-4.588,-15.970,-17.680,-22.953,-13.042,-26.760,-12.377,-1.229,-12.746,-13.278,-13.801,-13.637,-24.392,-2.696,-21.452,-6.236,-24.074,-19.654,-7.484,-2.391,-1.744,-7.425,-18.868,-25.733
1963,-19.556,-20.410,-21.766,-14.041,-8.936,-0.269,-0.017,-1.807,-5.715,-17.393,-23.196,-20.005,-12.759,-20.973,-14.915,-0.698,-15.434,-13.005,-12.545,-12.427,-20.473,-3.349,-18.911,-6.883,-20.577,-18.739,-7.749,-3.074,-2.513,-8.305,-20.198,-20.063
1964,-22.747,-20.078,-28.550,-14.856,-7.422,-0.825,0.400,-0.404,-7.699,-14.946,-24.255,-22.846,-13.686,-20.943,-16.943,-0.276,-15.634,-13.449,-13.361,-13.565,-22.915,-3.190,-20.975,-6.536,-23.792,-21.161,-7.701,-2.616,-2.568,-7.683,-20.683,-21.983
1965,-26.694,-17.030,-20.332,-15.287,-5.542,-0.626,2.461,-1.053,-7.039,-13.980,-18.594,-27.564,-12.607,-22.190,-13.720,0.260,-13.204,-12.214,-12.685,-12.766,-22.232,-2.360,-20.199,-5.867,-21.352,-17.550,-7.152,-1.236,-1.877,-7.357,-20.046,-24.598
1966,-30.589,-24.743,-24.299,-15.569,-9.908,-2.067,3.056,-3.911,-6.087,-9.316,-16.932,-25.366,-13.811,-27.632,-16.592,-0.974,-10.778,-13.994,-14.132,-14.521,-25.158,-3.783,-22.191,-6.257,-26.544,-21.537,-9.181,-2.973,-2.314,-6.438,-17.205,-25.582
1967,-16.127,-22.666,-24.711,-17.629,-2.061,-0.017,1.476,0.576,-2.395,-11.989,-18.215,-21.164,-11.243,-21.386,-14.800,0.678,-10.866,-11.594,-11.487,-11.264,-21.160,-0.484,-18.964,-4.577,-21.168,-21.668,-6.569,-0.201,-0.114,-4.602,-17.122,-19.475
1968,-26.571,-18.750,-22.964,-10.447,-1.689,-1.730,2.646,-0.212,-2.026,-9.362,-18.565,-19.022,-10.724,-22.161,-11.700,0.235,-9.984,-10.903,-10.873,-11.092,-21.533,-0.602,-18.585,-3.260,-22.761,-17.387,-4.622,-0.257,0.136,-3.867,-15.650,-21.983
1969,-18.143,-14.963,-18.165,-13.420,-3.396,0.298,0.442,-0.466,-4.809,-13.857,-12.378,-21.665,-10.044,-17.376,-11.661,0.092,-10.348,-9.823,-10.339,-9.964,-17.772,-1.586,-15.949,-5.030,-17.090,-15.516,-5.506,-0.885,-1.611,-6.377,-15.967,-18.577
1970,-22.520,-20.458,-19.367,-13.129,-7.481,-1.823,2.747,1.454,-3.814,-8.457,-16.890,-22.354,-11.008,-21.548,-13.326,0.793,-9.720,-10.950,-10.574,-11.024,-19.278,-1.783,-17.625,-4.358,-20.782,-17.651,-7.478,-2.186,0.129,-3.606,-15.900,-18.855
