=======================================================================================
ECMWF ERA5 (0.5x0.5 deg)
Total Precipitation (m)
Values averaged across Specify Point (67.0167N; 309.3E)
---------------------------------------------------------------------------------------
This file was generated using Climate Reanalyzer (https://ClimateReanalyzer.org)
Climate Change Institute; University of Maine; USA (https://climatechange.umaine.edu)
=======================================================================================
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Ann,DJF,MAM,JJA,SON,Ann_D-N,Ann_NO,Ann_OS,NDJFM,MJJAS,ONDJFMA,AMJJASO,JFM,FMA,AMJ,MJJ,JAS,ASO,OND,NDJ
1940,0.0107,0.0035,0.0130,0.0114,0.0125,0.0300,0.0339,0.0799,0.0306,0.0089,0.0045,0.0146,0.2536,-999,0.0370,0.1438,0.0441,-999,-999,-999,-999,0.1870,-999,0.2073,0.0272,0.0279,0.0539,0.0764,0.1444,0.1195,0.0281,-999
1941,0.0167,0.0073,0.0061,0.0202,0.0225,0.0428,0.0414,0.0260,0.0157,0.0134,0.0184,0.0168,0.2472,0.0386,0.0488,0.1102,0.0474,0.2450,0.2312,0.2267,0.0493,0.1484,0.0784,0.1819,0.0301,0.0337,0.0855,0.1067,0.0831,0.0551,0.0485,0.0358
1942,0.0127,0.0158,0.0066,0.0058,0.0121,0.0370,0.0488,0.0446,0.0465,0.0150,0.0249,0.0088,0.2786,0.0452,0.0245,0.1304,0.0864,0.2866,0.2801,0.2784,0.0702,0.1890,0.0894,0.2099,0.0350,0.0282,0.0549,0.0979,0.1399,0.1062,0.0487,0.0478
1943,0.0033,0.0038,0.0080,0.0158,0.0140,0.0143,0.0365,0.0053,0.0344,0.0250,0.0204,0.0228,0.2035,0.0158,0.0378,0.0561,0.0798,0.1895,0.1941,0.1841,0.0487,0.1046,0.0795,0.1454,0.0150,0.0276,0.0441,0.0649,0.0763,0.0647,0.0681,0.0369
1944,0.0102,0.0355,0.0208,0.0047,0.0158,0.0129,0.0386,0.0147,0.0285,0.0322,0.0274,0.0121,0.2533,0.0684,0.0413,0.0661,0.0881,0.2640,0.2570,0.2498,0.1096,0.1104,0.1393,0.1474,0.0664,0.0610,0.0334,0.0672,0.0818,0.0754,0.0717,0.0533
1945,0.0101,0.0024,0.0085,0.0180,0.0290,0.0198,0.0623,0.0380,0.0121,0.0332,0.0137,0.0121,0.2593,0.0246,0.0556,0.1200,0.0590,0.2593,0.2730,0.2720,0.0606,0.1612,0.1108,0.2124,0.0211,0.0289,0.0669,0.1111,0.1124,0.0833,0.0590,0.0496
1946,0.0163,0.0113,0.0079,0.0312,0.0153,0.0395,0.0558,0.0462,0.0356,0.0381,0.0169,0.0110,0.3251,0.0396,0.0544,0.1415,0.0906,0.3262,0.3230,0.3181,0.0612,0.1924,0.1257,0.2618,0.0355,0.0504,0.0860,0.1106,0.1376,0.1200,0.0660,0.0421
1947,0.0079,0.0003,0.0060,0.0097,0.0119,0.0146,0.0280,0.0275,0.0298,0.0111,0.0136,0.0112,0.1714,0.0191,0.0276,0.0701,0.0544,0.1712,0.1745,0.2016,0.0420,0.1118,0.0898,0.1325,0.0141,0.0160,0.0363,0.0545,0.0852,0.0683,0.0359,0.0357
1948,0.0113,0.0110,0.0079,0.0177,0.0263,0.0112,0.0480,0.0705,0.0134,0.0172,0.0138,0.0089,0.2573,0.0335,0.0519,0.1297,0.0445,0.2596,0.2593,0.2532,0.0549,0.1695,0.0837,0.2044,0.0301,0.0366,0.0553,0.0855,0.1319,0.1011,0.0400,0.0361
1949,0.0200,0.0061,0.0114,0.0095,0.0044,0.0144,0.0090,0.0257,0.0355,0.0197,0.0156,0.0115,0.1829,0.0351,0.0253,0.0491,0.0708,0.1804,0.1786,0.1761,0.0603,0.0890,0.0870,0.1183,0.0375,0.0270,0.0284,0.0279,0.0702,0.0809,0.0468,0.0428
1950,0.0174,0.0087,0.0125,0.0132,0.0357,0.0211,0.0077,0.0187,0.0164,0.0174,0.0400,0.0219,0.2308,0.0376,0.0614,0.0475,0.0739,0.2204,0.1960,0.1983,0.0657,0.0996,0.0987,0.1303,0.0386,0.0344,0.0700,0.0645,0.0429,0.0526,0.0793,0.0445
1951,0.0026,0.0116,0.0075,0.0094,0.0101,0.0465,0.0514,0.0358,0.0217,0.0153,0.0200,0.0105,0.2424,0.0361,0.0270,0.1337,0.0570,0.2538,0.2738,0.2760,0.0836,0.1655,0.1104,0.1902,0.0217,0.0285,0.0660,0.1080,0.1090,0.0729,0.0457,0.0644
1952,0.0077,0.0074,0.0033,0.0118,0.0401,0.0463,0.0599,0.0156,0.0597,0.0287,0.0207,0.0252,0.3265,0.0255,0.0552,0.1219,0.1091,0.3117,0.3110,0.2976,0.0488,0.2216,0.0759,0.2622,0.0184,0.0225,0.0983,0.1463,0.1352,0.1040,0.0747,0.0381
1953,0.0239,0.0075,0.0057,0.0326,0.0079,0.0712,0.0490,0.0185,0.0356,0.0121,0.0266,0.0082,0.2988,0.0566,0.0463,0.1387,0.0743,0.3158,0.3100,0.3266,0.0831,0.1822,0.1444,0.2269,0.0371,0.0459,0.1118,0.1281,0.1031,0.0662,0.0468,0.0698
1954,0.0432,0.0204,0.0108,0.0065,0.0151,0.0459,0.0576,0.0083,0.0195,0.0377,0.0229,0.0204,0.3084,0.0718,0.0324,0.1119,0.0801,0.2961,0.2998,0.2742,0.1092,0.1465,0.1277,0.1906,0.0744,0.0377,0.0676,0.1187,0.0854,0.0654,0.0810,0.0780
1955,0.0064,0.0171,0.0210,0.0073,0.0100,0.0405,0.0689,0.0514,0.0318,0.0131,0.0194,0.0098,0.2967,0.0440,0.0383,0.1608,0.0642,0.3073,0.3109,0.3355,0.0880,0.2026,0.1329,0.2229,0.0446,0.0454,0.0577,0.1194,0.1521,0.0963,0.0422,0.0498
1956,0.0119,0.0093,0.0093,0.0095,0.0381,0.0300,0.0263,0.0313,0.0279,0.0429,0.0217,0.0158,0.2740,0.0310,0.0568,0.0876,0.0925,0.2679,0.2656,0.2358,0.0597,0.1536,0.0822,0.2060,0.0305,0.0280,0.0775,0.0943,0.0855,0.1022,0.0804,0.0411
1957,0.0065,0.0009,0.0051,0.0184,0.0051,0.0078,0.0080,0.0197,0.0300,0.0504,0.0264,0.0168,0.1952,0.0233,0.0286,0.0356,0.1067,0.1943,0.1896,0.1821,0.0501,0.0707,0.1114,0.1394,0.0126,0.0244,0.0313,0.0210,0.0578,0.1001,0.0935,0.0440
1958,0.0110,0.0124,0.0051,0.0129,0.0193,0.0539,0.0219,0.0093,0.0454,0.0237,0.0130,0.0056,0.2337,0.0402,0.0374,0.0851,0.0821,0.2448,0.2582,0.2849,0.0718,0.1498,0.1351,0.1865,0.0286,0.0305,0.0862,0.0951,0.0766,0.0784,0.0423,0.0542
1959,0.0040,0.0178,0.0049,0.0071,0.0211,0.0143,0.0393,0.0305,0.0306,0.0508,0.0176,0.0056,0.2435,0.0274,0.0331,0.0841,0.0990,0.2436,0.2390,0.2119,0.0453,0.1358,0.0761,0.1937,0.0267,0.0298,0.0425,0.0747,0.1004,0.1119,0.0740,0.0226
1960,0.0265,0.0069,0.0068,0.0106,0.0190,0.0543,0.0091,0.0131,0.0081,0.0210,0.0125,0.0153,0.2032,0.0389,0.0364,0.0765,0.0416,0.1935,0.1986,0.2284,0.0633,0.1037,0.1247,0.1353,0.0401,0.0242,0.0839,0.0824,0.0304,0.0422,0.0488,0.0497
1961,0.0101,0.0099,0.0105,0.0039,0.0388,0.0092,0.0233,0.0222,0.0569,0.0403,0.0199,0.0082,0.2532,0.0353,0.0532,0.0546,0.1172,0.2603,0.2529,0.2336,0.0583,0.1503,0.0832,0.1946,0.0305,0.0243,0.0519,0.0712,0.1024,0.1194,0.0685,0.0379
