=======================================================================================
ECMWF ERA5 (0.5x0.5 deg)
2m Dewpoint Temperature (deg C)
Values averaged across Specify Point (60.965N; 221.941E)
---------------------------------------------------------------------------------------
This file was generated using Climate Reanalyzer (https://ClimateReanalyzer.org)
Climate Change Institute; University of Maine; USA (https://climatechange.umaine.edu)
=======================================================================================
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Ann,DJF,MAM,JJA,SON,Ann_D-N,Ann_NO,Ann_OS,NDJFM,MJJAS,ONDJFMA,AMJJASO,JFM,FMA,AMJ,MJJ,JAS,ASO,OND,NDJ
1940,-25.417,-24.587,-18.780,-9.934,-3.730,-0.146,2.752,0.999,0.161,-6.279,-19.780,-19.439,-10.348,-999,-10.815,1.202,-8.633,-999,-999,-999,-999,0.007,-999,-2.311,-22.928,-17.767,-4.603,-0.375,1.304,-1.706,-15.166,-999
1941,-24.452,-20.615,-13.797,-6.823,-4.145,1.333,2.816,3.255,-3.259,-9.687,-19.300,-25.604,-10.023,-21.502,-8.255,2.468,-10.749,-9.509,-9.549,-9.265,-19.617,-0.000,-15.884,-2.359,-19.621,-13.745,-3.212,0.001,0.937,-3.230,-18.197,-21.224
1942,-19.235,-16.341,-15.849,-8.923,-1.930,0.900,2.642,3.147,0.692,-6.691,-24.380,-31.782,-9.813,-20.394,-8.901,2.229,-10.126,-9.298,-8.874,-9.124,-19.266,1.090,-16.420,-1.452,-17.142,-13.705,-3.318,0.537,2.160,-0.951,-20.951,-21.380
1943,-30.247,-21.602,-18.356,-8.822,-3.305,2.391,2.345,1.809,-0.500,-8.291,-11.327,-15.646,-9.296,-27.877,-10.161,2.181,-6.706,-10.641,-11.728,-11.595,-25.273,0.548,-20.269,-2.054,-23.402,-16.260,-3.246,0.477,1.218,-2.328,-11.755,-28.803
1944,-18.479,-19.966,-15.788,-10.878,-2.857,1.077,1.946,1.695,-0.869,-5.875,-15.964,-18.870,-8.736,-18.030,-9.841,1.573,-7.569,-8.467,-8.081,-8.282,-16.241,0.198,-14.339,-2.252,-18.078,-15.544,-4.219,0.055,0.924,-1.683,-13.570,-15.151
1945,-19.201,-18.708,-14.678,-12.378,-3.676,-0.489,2.162,1.048,-2.125,-8.639,-23.234,-23.361,-10.273,-18.926,-10.244,0.907,-11.332,-9.899,-9.293,-9.063,-17.484,-0.616,-15.096,-3.442,-17.529,-15.255,-5.514,-0.667,0.362,-3.238,-18.411,-18.012
1946,-24.408,-20.003,-16.684,-10.445,-2.065,3.999,3.550,1.012,-2.159,-9.234,-21.474,-31.061,-10.748,-22.591,-9.731,2.854,-10.956,-10.106,-10.252,-10.203,-21.538,0.868,-18.110,-2.191,-20.365,-15.710,-2.837,1.828,0.801,-3.460,-20.590,-23.667
1947,-29.308,-24.065,-10.563,-8.904,-2.815,0.707,4.045,1.542,-1.189,-7.269,-13.637,-20.624,-9.340,-28.145,-7.427,2.098,-7.365,-10.210,-10.863,-11.027,-23.294,0.458,-19.230,-1.983,-21.312,-14.511,-3.671,0.646,1.466,-2.305,-13.843,-27.281
1948,-22.592,-28.962,-22.877,-15.418,-4.670,0.604,2.009,0.905,-3.270,-10.556,-22.304,-32.605,-13.311,-24.059,-14.322,1.173,-12.043,-12.313,-11.591,-11.317,-21.738,-0.884,-18.768,-4.342,-24.810,-22.419,-6.495,-0.686,-0.119,-4.307,-21.821,-18.951
1949,-24.443,-30.254,-15.652,-10.378,-6.001,-1.548,2.463,2.474,-0.142,-9.914,-15.141,-30.050,-11.549,-29.100,-10.677,1.130,-8.399,-11.762,-12.359,-12.412,-25.051,-0.551,-20.884,-3.292,-23.449,-18.761,-5.976,-1.695,1.598,-2.527,-18.369,-26.450
1950,-27.488,-28.048,-17.472,-13.005,-3.963,2.695,2.417,1.189,-1.250,-11.630,-25.888,-22.079,-12.043,-28.529,-11.480,2.100,-12.923,-12.708,-11.812,-11.669,-23.640,0.218,-20.160,-3.364,-24.336,-19.508,-4.758,0.383,0.785,-3.897,-19.866,-24.226
1951,-29.906,-25.737,-22.487,-7.694,-2.831,1.406,5.915,1.531,0.634,-12.793,-18.838,-27.589,-11.532,-25.908,-11.004,2.951,-10.332,-11.073,-11.661,-11.564,-25.220,1.331,-20.774,-1.976,-26.044,-18.639,-3.040,1.497,2.693,-3.543,-19.740,-25.958
