=======================================================================================
ECMWF ERA5 (0.5x0.5 deg)
Total Precipitation (m)
Values averaged across Specify Point (60.965N; 221.941E)
---------------------------------------------------------------------------------------
This file was generated using Climate Reanalyzer (https://ClimateReanalyzer.org)
Climate Change Institute; University of Maine; USA (https://climatechange.umaine.edu)
=======================================================================================
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Ann,DJF,MAM,JJA,SON,Ann_D-N,Ann_NO,Ann_OS,NDJFM,MJJAS,ONDJFMA,AMJJASO,JFM,FMA,AMJ,MJJ,JAS,ASO,OND,NDJ
1940,0.0148,0.0071,0.0232,0.0071,0.0655,0.0391,0.0523,0.0131,0.0418,0.0468,0.0803,0.0393,0.4306,-999,0.0958,0.1046,0.1689,-999,-999,-999,-999,0.2119,-999,0.2659,0.0451,0.0374,0.1118,0.1570,0.1073,0.1018,0.1664,-999
1941,0.0938,0.0331,0.0300,0.0181,0.0192,0.0596,0.0434,0.0322,0.0514,0.0581,0.0583,0.0245,0.5215,0.1662,0.0673,0.1352,0.1677,0.5364,0.5584,0.5472,0.2765,0.2057,0.3414,0.2819,0.1569,0.0812,0.0969,0.1222,0.1269,0.1416,0.1408,0.2134
1942,0.0666,0.0270,0.0390,0.0187,0.0035,0.0399,0.0691,0.0451,0.0286,0.0584,0.0345,0.0219,0.4522,0.1180,0.0612,0.1541,0.1215,0.4548,0.4785,0.4782,0.2152,0.1862,0.2920,0.2633,0.1325,0.0846,0.0621,0.1125,0.1428,0.1320,0.1147,0.1493
1943,0.0899,0.0334,0.0247,0.0256,0.0217,0.0530,0.0335,0.0379,0.0865,0.0680,0.1088,0.1393,0.7223,0.1452,0.0720,0.1244,0.2633,0.6049,0.5306,0.5209,0.2043,0.2326,0.2883,0.3263,0.1479,0.0837,0.1003,0.1082,0.1579,0.1924,0.3161,0.1463
1944,0.0927,0.0248,0.0278,0.0132,0.0235,0.0226,0.0166,0.0344,0.0499,0.1307,0.0601,0.0787,0.5750,0.2567,0.0645,0.0736,0.2407,0.6356,0.6843,0.6216,0.3934,0.1470,0.4746,0.2908,0.1453,0.0658,0.0592,0.0627,0.1009,0.2150,0.2695,0.3408
1945,0.0617,0.0386,0.0445,0.0351,0.0211,0.0299,0.0465,0.0187,0.0744,0.1070,0.0671,0.0345,0.5790,0.1790,0.1007,0.0951,0.2485,0.6232,0.6163,0.6400,0.2836,0.1906,0.4494,0.3327,0.1447,0.1182,0.0861,0.0975,0.1397,0.2001,0.2085,0.2006
1946,0.0319,0.0216,0.0302,0.0184,0.0076,0.0379,0.0629,0.0283,0.0528,0.0672,0.0786,0.0446,0.4819,0.0880,0.0561,0.1291,0.1986,0.4718,0.4602,0.5000,0.1852,0.1894,0.3105,0.2750,0.0837,0.0702,0.0638,0.1083,0.1440,0.1483,0.1904,0.1334
1947,0.0863,0.0114,0.0510,0.0301,0.0312,0.0386,0.0511,0.0575,0.0541,0.0380,0.0354,0.0562,0.5410,0.1423,0.1123,0.1472,0.1275,0.5294,0.5726,0.6017,0.2719,0.2325,0.3692,0.3007,0.1487,0.0924,0.0999,0.1210,0.1627,0.1496,0.1297,0.2096
1948,0.0558,0.0235,0.0291,0.0302,0.0200,0.0449,0.0647,0.0810,0.0796,0.1566,0.0668,0.0299,0.6820,0.1354,0.0793,0.1906,0.3031,0.7084,0.6770,0.5584,0.2000,0.2902,0.2682,0.4770,0.1083,0.0827,0.0951,0.1297,0.2253,0.3172,0.2533,0.1474
1949,0.1052,0.0148,0.0107,0.0216,0.0316,0.0423,0.0528,0.0702,0.0617,0.1086,0.0414,0.0327,0.5938,0.1500,0.0639,0.1653,0.2117,0.5909,0.6163,0.6644,0.2275,0.2586,0.4058,0.3888,0.1308,0.0472,0.0955,0.1267,0.1847,0.2405,0.1827,0.2019
