=======================================================================================
ECMWF ERA5 (0.5x0.5 deg)
2m Temperature (deg C)
Values averaged across Specify Point (60.965N; 221.941E)
---------------------------------------------------------------------------------------
This file was generated using Climate Reanalyzer (https://ClimateReanalyzer.org)
Climate Change Institute; University of Maine; USA (https://climatechange.umaine.edu)
=======================================================================================
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Ann,DJF,MAM,JJA,SON,Ann_D-N,Ann_NO,Ann_OS,NDJFM,MJJAS,ONDJFMA,AMJJASO,JFM,FMA,AMJ,MJJ,JAS,ASO,OND,NDJ
1940,-21.738,-20.195,-15.069,-4.904,-0.146,4.136,7.922,5.366,2.913,-4.624,-16.485,-17.277,-6.675,-999,-6.706,5.808,-6.065,-999,-999,-999,-999,4.038,-999,1.523,-19.000,-13.389,-0.305,3.971,5.400,1.218,-12.795,-999
1941,-21.756,-17.104,-10.982,-3.746,-0.062,5.936,7.746,8.791,0.933,-7.273,-17.020,-22.577,-6.426,-18.712,-4.930,7.491,-7.787,-5.984,-5.940,-5.719,-16.721,4.669,-13.139,1.761,-16.614,-10.610,0.709,4.540,5.823,0.817,-15.623,-18.506
1942,-16.173,-13.699,-12.533,-4.754,2.376,6.515,8.530,7.314,4.446,-4.638,-20.873,-28.592,-6.007,-17.483,-4.971,7.453,-7.022,-5.506,-5.185,-5.404,-16.400,5.836,-13.433,2.827,-14.135,-10.329,1.379,5.807,6.763,2.374,-18.034,-18.590
1943,-26.150,-18.350,-13.746,-4.973,0.291,7.099,8.134,6.999,1.793,-6.372,-9.639,-13.405,-5.693,-24.364,-6.143,7.411,-4.739,-6.959,-7.895,-7.751,-21.542,4.863,-16.760,1.853,-19.415,-12.357,0.806,5.175,5.642,0.807,-9.805,-25.205
1944,-15.828,-15.723,-11.639,-6.454,1.234,6.202,7.947,6.051,2.577,-4.038,-13.787,-16.268,-4.977,-14.985,-5.620,6.733,-5.082,-4.739,-4.393,-4.587,-13.247,4.802,-11.294,1.931,-14.397,-11.272,0.327,5.128,5.525,1.530,-11.364,-12.957
1945,-16.974,-15.612,-11.392,-7.360,0.839,3.976,7.615,7.495,1.164,-6.523,-20.435,-20.788,-6.500,-16.285,-5.971,6.362,-8.598,-6.123,-5.569,-5.362,-14.807,4.218,-12.205,1.029,-14.660,-11.455,-0.849,4.143,5.425,0.712,-15.915,-15.676
1946,-21.516,-17.465,-13.168,-6.402,2.289,9.708,8.789,6.702,2.150,-6.630,-17.239,-27.968,-6.729,-19.923,-5.760,8.400,-7.240,-6.131,-6.397,-6.388,-18.674,5.928,-15.185,2.372,-17.383,-12.345,1.865,6.929,5.880,0.741,-17.279,-20.913
1947,-26.029,-20.529,-7.409,-4.920,1.585,5.187,10.158,5.992,1.659,-5.115,-11.557,-18.469,-5.787,-24.842,-3.582,7.112,-5.004,-6.579,-7.052,-7.179,-19.835,4.916,-15.818,2.078,-17.989,-10.953,0.617,5.643,5.936,0.845,-11.714,-23.745
1948,-20.112,-23.542,-18.081,-9.764,-0.042,7.141,8.870,5.597,-0.626,-8.563,-19.555,-28.734,-8.951,-20.708,-9.296,7.203,-9.582,-8.096,-7.429,-7.142,-18.352,4.188,-15.234,0.373,-20.578,-17.129,-0.888,5.323,4.614,-1.197,-18.951,-16.713
1949,-21.196,-25.314,-11.048,-7.005,-1.021,2.412,6.853,6.928,2.770,-7.794,-13.119,-26.492,-7.835,-25.081,-6.358,5.398,-6.047,-8.022,-8.559,-8.623,-21.169,3.588,-17.345,0.449,-19.186,-14.456,-1.872,2.748,5.517,0.635,-15.802,-23.162
