=======================================================================================
ECMWF ERA5 (0.5x0.5 deg)
2m Dewpoint Temperature (deg C)
Values averaged across Specify Point (66.98N; 309.07E)
---------------------------------------------------------------------------------------
This file was generated using Climate Reanalyzer (https://ClimateReanalyzer.org)
Climate Change Institute; University of Maine; USA (https://climatechange.umaine.edu)
=======================================================================================
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Ann,DJF,MAM,JJA,SON,Ann_D-N,Ann_NO,Ann_OS,NDJFM,MJJAS,ONDJFMA,AMJJASO,JFM,FMA,AMJ,MJJ,JAS,ASO,OND,NDJ
1940,-28.372,-22.731,-24.401,-11.658,-5.541,-0.785,2.164,2.780,-1.638,-12.900,-22.721,-22.939,-12.395,-999,-13.867,1.387,-12.420,-999,-999,-999,-999,-0.604,-999,-3.940,-25.168,-19.597,-5.995,-1.387,1.102,-3.919,-19.520,-999
1941,-25.558,-24.570,-20.053,-13.718,-3.765,0.266,3.041,2.363,-5.390,-9.843,-22.806,-26.491,-12.210,-24.355,-12.512,1.890,-12.680,-11.914,-11.907,-12.162,-23.168,-0.697,-20.351,-3.864,-23.393,-19.447,-5.739,-0.153,0.004,-4.290,-19.713,-23.739
1942,-27.768,-24.918,-22.873,-17.214,-2.391,1.370,3.483,2.288,-3.415,-16.986,-20.731,-25.015,-12.847,-26.392,-14.159,2.380,-13.711,-12.970,-13.143,-12.548,-24.971,0.267,-21.702,-4.695,-25.186,-21.668,-6.078,0.821,0.785,-6.038,-20.911,-25.688
1943,-25.470,-33.741,-27.384,-18.180,-8.475,0.594,2.249,-1.572,-4.254,-16.346,-21.108,-23.687,-14.781,-28.075,-18.013,0.424,-13.903,-14.892,-14.860,-14.914,-26.468,-2.292,-23.929,-6.569,-28.865,-26.435,-8.687,-1.877,-1.192,-7.391,-20.380,-23.739
1944,-31.924,-24.222,-23.309,-12.853,-7.093,0.888,3.249,0.953,-5.100,-15.319,-22.558,-29.181,-13.872,-26.611,-14.419,1.696,-14.325,-13.415,-13.294,-13.380,-24.850,-1.421,-21.921,-5.039,-26.485,-20.128,-6.353,-0.986,-0.299,-6.489,-22.352,-25.573
1945,-24.513,-36.265,-21.908,-16.689,-5.715,0.412,2.562,1.380,-5.709,-9.102,-21.367,-22.032,-13.245,-29.986,-14.771,1.451,-12.059,-13.841,-13.940,-14.458,-26.885,-1.414,-23.776,-4.694,-27.562,-24.954,-7.331,-0.914,-0.589,-4.477,-17.500,-25.417
1946,-30.285,-26.509,-20.266,-17.105,-4.215,-0.571,2.486,1.940,-3.315,-10.304,-17.924,-24.198,-12.522,-26.275,-13.862,1.285,-10.514,-12.342,-12.629,-12.528,-24.092,-0.735,-20.952,-4.441,-25.687,-21.293,-7.297,-0.767,0.370,-3.893,-17.475,-24.561
1947,-26.833,-23.251,-19.491,-15.236,-3.881,0.344,1.475,0.487,-4.832,-15.651,-18.875,-24.828,-12.548,-24.761,-12.869,0.769,-13.119,-12.495,-12.416,-11.970,-22.339,-1.281,-19.605,-5.328,-23.192,-19.326,-6.258,-0.688,-0.956,-6.665,-19.785,-22.985
1948,-29.723,-28.202,-29.035,-16.670,-7.623,1.198,3.809,1.886,-3.963,-13.642,-23.421,-33.027,-14.868,-27.584,-17.776,2.298,-13.675,-14.184,-13.806,-13.973,-26.133,-0.939,-23.284,-5.001,-28.987,-24.636,-7.699,-0.872,0.577,-5.240,-23.363,-24.475
1949,-31.320,-34.777,-22.052,-19.527,-6.288,0.905,2.986,-0.936,-6.052,-14.994,-22.440,-25.792,-15.024,-33.041,-15.956,0.985,-14.496,-15.627,-15.708,-15.596,-28.919,-1.877,-25.395,-6.272,-29.383,-25.452,-8.303,-0.799,-1.334,-7.328,-21.076,-29.256
1950,-31.509,-30.153,-20.619,-14.392,-2.446,1.254,2.495,1.125,-4.979,-15.534,-19.083,-19.642,-12.790,-29.152,-12.485,1.625,-13.199,-13.303,-13.583,-13.538,-26.103,-0.510,-22.843,-4.639,-27.427,-21.721,-5.195,0.434,-0.453,-6.463,-18.086,-26.581
1951,-29.402,-30.962,-20.138,-14.481,-2.417,2.068,5.241,2.922,0.128,-14.115,-16.996,-29.171,-12.277,-26.669,-12.345,3.410,-10.328,-11.483,-11.657,-11.775,-23.845,1.588,-21.320,-2.951,-26.834,-21.860,-4.943,1.631,2.764,-3.688,-20.094,-22.709
1952,-28.499,-26.801,-23.549,-13.754,-0.916,3.409,3.765,1.610,-0.721,-12.400,-15.093,-18.807,-10.980,-28.157,-12.740,2.928,-9.405,-11.843,-12.002,-12.145,-25.003,1.429,-21.841,-2.715,-26.283,-21.368,-3.753,2.086,1.551,-3.837,-15.433,-24.889
1953,-24.871,-27.139,-24.938,-7.030,-3.365,2.059,4.630,2.074,-3.530,-15.197,-21.747,-33.674,-12.727,-23.606,-11.778,2.921,-13.492,-11.488,-10.934,-10.701,-22.170,0.374,-18.611,-2.908,-25.649,-19.702,-2.778,1.108,1.058,-5.551,-23.539,-19.590
1954,-21.240,-27.906,-19.900,-12.018,-2.114,0.808,3.122,1.345,-5.817,-14.205,-22.611,-29.436,-12.498,-27.607,-11.344,1.759,-14.211,-12.851,-12.779,-12.862,-24.893,-0.531,-21.669,-4.126,-23.015,-19.941,-4.441,0.605,-0.450,-6.226,-22.084,-25.554
1955,-31.537,-21.673,-19.099,-19.732,-3.352,1.379,0.952,0.739,-5.521,-10.809,-19.939,-25.874,-12.872,-27.549,-14.061,1.024,-12.089,-13.169,-13.392,-13.675,-24.871,-1.160,-22.613,-5.192,-24.103,-20.168,-7.235,-0.340,-1.276,-5.197,-18.874,-27.862
1956,-28.910,-24.802,-20.988,-9.539,-6.873,-0.163,3.147,1.971,-6.930,-13.380,-23.937,-32.799,-13.600,-26.528,-12.467,1.652,-14.749,-13.023,-12.690,-12.476,-24.102,-1.770,-20.123,-4.538,-24.900,-18.443,-5.525,-1.297,-0.604,-6.113,-23.372,-24.907
1957,-34.665,-30.889,-21.576,-15.609,-7.376,0.702,-0.339,-0.255,-1.802,-13.200,-19.264,-27.396,-14.306,-32.785,-14.854,0.036,-11.422,-14.756,-15.145,-15.160,-28.773,-1.814,-24.694,-5.411,-29.044,-22.692,-7.428,-2.337,-0.799,-5.086,-19.953,-30.467
1958,-29.325,-21.845,-22.315,-15.663,-3.595,0.725,4.204,-1.488,-3.771,-13.600,-25.884,-24.941,-13.125,-26.189,-13.858,1.147,-14.418,-13.329,-12.778,-12.744,-24.029,-0.785,-21.287,-4.741,-24.495,-19.941,-6.178,0.445,-0.352,-6.286,-21.475,-25.328
1959,-25.003,-30.606,-29.920,-13.193,-4.030,-0.788,2.976,-0.419,-5.621,-11.419,-20.716,-29.570,-14.026,-26.850,-15.714,0.590,-12.585,-13.640,-14.071,-14.252,-27.271,-1.576,-23.307,-4.642,-28.510,-24.573,-6.004,-0.614,-1.021,-5.820,-20.568,-25.276
1960,-26.277,-24.032,-26.060,-19.330,-5.589,2.009,3.389,3.328,-8.379,-7.334,-19.982,-25.113,-12.781,-26.626,-16.993,2.909,-11.898,-13.152,-13.213,-13.554,-25.331,-1.048,-22.486,-4.558,-25.456,-23.141,-7.637,-0.064,-0.554,-4.128,-17.476,-25.521
1961,-27.284,-34.846,-29.404,-14.843,-4.485,-2.008,-0.412,-0.965,-3.520,-13.768,-24.119,-26.277,-15.161,-29.081,-16.244,-1.128,-13.802,-15.064,-14.719,-14.183,-27.326,-2.278,-22.686,-5.714,-30.511,-26.364,-7.112,-2.302,-1.632,-6.084,-21.388,-24.126
1962,-28.316,-27.791,-17.452,-13.036,-4.290,-1.834,2.403,-0.302,-3.758,-15.581,-18.180,-23.728,-12.655,-27.461,-11.593,0.089,-12.507,-12.868,-13.363,-13.212,-24.791,-1.556,-21.537,-5.200,-24.520,-19.426,-6.387,-1.240,-0.552,-6.547,-19.163,-26.237
1963,-20.241,-21.303,-21.926,-12.651,-7.919,0.990,1.168,-0.751,-5.086,-16.559,-22.954,-21.071,-12.358,-21.757,-14.165,0.469,-14.866,-12.580,-12.182,-12.101,-21.076,-2.319,-19.087,-5.829,-21.157,-18.627,-6.526,-1.920,-1.556,-7.465,-20.195,-20.717
1964,-23.782,-21.109,-28.724,-14.553,-6.389,0.146,1.064,0.877,-5.916,-14.427,-24.597,-23.407,-13.401,-21.988,-16.555,0.696,-14.980,-13.207,-13.070,-13.247,-23.528,-2.043,-21.250,-5.600,-24.539,-21.462,-6.932,-1.726,-1.325,-6.488,-20.810,-22.602
1965,-27.463,-17.952,-20.566,-14.459,-3.999,0.047,4.087,0.621,-5.371,-13.172,-19.131,-27.487,-12.070,-22.941,-13.008,1.585,-12.558,-11.730,-12.186,-12.290,-22.797,-0.923,-20.410,-4.606,-21.994,-17.659,-6.137,0.045,-0.221,-5.974,-19.930,-25.156
1966,-31.195,-25.620,-24.000,-14.495,-8.014,-0.832,4.113,-2.112,-4.930,-8.404,-17.364,-26.061,-13.243,-28.101,-15.503,0.389,-10.233,-13.362,-13.509,-13.906,-25.487,-2.355,-22.157,-4.953,-26.938,-21.371,-7.780,-1.578,-0.977,-5.149,-17.276,-25.938
1967,-17.227,-23.914,-24.670,-16.986,-1.332,0.680,2.903,1.483,-2.209,-11.965,-19.449,-22.505,-11.266,-22.400,-14.329,1.689,-11.208,-11.562,-11.389,-11.092,-21.847,0.305,-19.232,-3.918,-21.937,-21.857,-5.879,0.750,0.726,-4.231,-17.973,-20.217
1968,-27.815,-19.953,-23.852,-9.905,-1.023,-1.161,4.170,0.680,-1.296,-8.905,-18.862,-19.688,-10.634,-23.424,-11.594,1.230,-9.687,-10.869,-10.918,-11.173,-22.715,0.274,-19.349,-2.491,-23.873,-17.904,-4.030,0.662,1.185,-3.173,-15.818,-23.257
1969,-19.102,-15.928,-18.716,-13.661,-2.680,1.056,0.885,0.067,-4.041,-13.787,-12.985,-22.765,-10.138,-18.239,-11.685,0.670,-10.271,-9.882,-10.371,-9.964,-18.459,-0.942,-16.409,-4.594,-17.915,-16.102,-5.095,-0.246,-1.029,-5.920,-16.512,-19.217
1970,-23.905,-21.448,-20.193,-12.932,-7.032,-0.880,3.919,2.475,-2.749,-8.293,-17.624,-23.227,-10.991,-22.706,-13.386,1.838,-9.556,-10.952,-10.566,-11.024,-20.259,-0.853,-18.288,-3.642,-21.849,-18.191,-6.948,-1.331,1.215,-2.856,-16.381,-19.885
1971,-28.002,-27.805,-20.911,-14.680,-6.218,2.480,2.055,0.406,-3.518,-13.947,-16.925,-35.548,-13.551,-26.345,-13.937,1.647,-11.464,-12.524,-12.583,-12.112,-23.514,-0.959,-20.078,-4.775,-25.573,-21.132,-6.139,-0.561,-0.352,-5.686,-22.140,-22.951
1972,-27.427,-26.431,-27.632,-16.502,-3.906,-1.273,3.546,0.662,-1.582,-9.447,-21.525,-27.641,-13.263,-29.802,-16.013,0.978,-10.851,-13.922,-13.539,-13.914,-26.793,-0.511,-23.488,-4.072,-27.164,-23.522,-7.227,-0.544,0.875,-3.455,-19.538,-26.634
1973,-23.823,-29.710,-24.483,-8.754,-6.269,-1.695,2.068,-0.309,-2.934,-9.538,-20.361,-20.724,-12.211,-27.058,-13.169,0.021,-10.944,-12.787,-12.884,-12.877,-25.436,-1.828,-20.769,-3.919,-26.005,-20.982,-5.573,-1.965,-0.392,-4.260,-16.874,-24.330
1974,-27.576,-24.976,-17.960,-11.660,-3.525,-0.781,1.289,-0.209,-5.754,-8.497,-18.930,-33.981,-12.713,-24.425,-11.048,0.100,-11.060,-11.608,-11.728,-11.814,-22.319,-1.796,-18.971,-4.162,-23.504,-18.199,-5.322,-1.006,-1.558,-4.820,-20.469,-22.887
1975,-29.610,-24.497,-22.646,-14.703,-4.818,0.976,2.480,-1.238,-4.093,-14.523,-18.681,-23.966,-12.943,-29.363,-14.056,0.739,-12.432,-13.778,-13.799,-13.296,-25.933,-1.339,-21.838,-5.131,-25.584,-20.615,-6.182,-0.454,-0.950,-6.618,-19.057,-27.507
1976,-29.060,-26.343,-22.054,-14.679,-6.031,0.943,3.025,0.860,0.382,-10.891,-16.873,-19.320,-11.670,-26.456,-14.255,1.609,-9.127,-12.057,-12.208,-12.511,-24.021,-0.164,-21.330,-3.770,-25.819,-21.026,-6.589,-0.688,1.422,-3.216,-15.695,-23.902
1977,-19.878,-20.799,-16.014,-10.360,-1.487,1.510,5.188,2.585,-4.664,-11.407,-11.086,-22.188,-9.050,-19.999,-9.287,3.095,-9.052,-8.811,-9.293,-9.250,-18.577,0.627,-16.305,-2.662,-18.897,-15.725,-3.446,1.737,1.037,-4.495,-14.894,-18.690
1978,-25.872,-23.523,-22.838,-12.469,-5.779,-1.930,4.487,2.596,-2.772,-9.763,-23.839,-15.188,-11.408,-23.861,-13.695,1.718,-12.125,-11.991,-10.928,-11.065,-21.101,-0.680,-18.483,-3.661,-24.078,-19.610,-6.726,-1.074,1.437,-3.313,-16.263,-19.715
1979,-19.596,-21.097,-19.186,-9.368,-3.030,0.278,3.453,2.647,-3.305,-10.479,-21.813,-24.883,-10.532,-18.627,-10.528,2.126,-11.866,-9.724,-9.893,-9.833,-19.781,0.008,-16.863,-2.829,-19.960,-16.550,-4.040,0.233,0.931,-3.713,-19.059,-19.541
1980,-17.958,-21.371,-16.663,-14.544,-2.333,1.878,3.854,1.517,-2.962,-10.531,-14.793,-21.980,-9.657,-21.404,-11.180,2.416,-9.429,-9.899,-10.484,-10.480,-20.537,0.391,-18.244,-3.303,-18.664,-17.526,-5.000,1.133,0.803,-3.992,-15.768,-21.551
1981,-25.999,-26.085,-19.134,-11.764,-5.136,1.326,4.220,2.829,-0.890,-10.052,-20.030,-19.790,-10.875,-24.688,-12.011,2.792,-10.324,-11.058,-10.622,-10.661,-21.598,0.470,-18.612,-2.781,-23.739,-18.994,-5.191,0.137,2.053,-2.705,-16.624,-20.924
1982,-22.278,-28.346,-21.839,-13.587,-4.497,1.898,3.675,2.024,-5.716,-10.713,-21.311,-25.753,-12.203,-23.471,-13.308,2.533,-12.580,-11.707,-11.600,-11.545,-22.457,-0.523,-19.418,-3.845,-24.154,-21.257,-5.395,0.359,-0.005,-4.802,-19.259,-20.700
1983,-40.127,-27.323,-28.588,-13.949,-4.688,-1.035,2.212,-0.140,-3.083,-11.349,-17.538,-21.782,-13.949,-31.067,-15.742,0.346,-10.657,-14.280,-14.594,-14.541,-28.620,-1.347,-23.966,-4.576,-32.013,-23.287,-6.557,-1.170,-0.337,-4.857,-16.890,-29.063
1984,-33.291,-38.461,-22.512,-17.610,-7.277,1.015,3.544,1.763,-3.838,-13.028,-16.991,-25.625,-14.359,-31.178,-15.800,2.107,-11.286,-14.039,-14.085,-13.945,-26.717,-0.959,-23.220,-5.061,-31.422,-26.194,-7.957,-0.906,0.490,-5.034,-18.548,-24.204
1985,-18.497,-25.535,-19.732,-11.128,-2.254,2.006,3.213,2.111,-1.970,-13.623,-13.162,-19.861,-9.869,-23.219,-11.038,2.443,-9.585,-10.350,-10.669,-10.619,-21.276,0.621,-18.648,-3.092,-21.255,-18.798,-3.792,0.988,1.118,-4.494,-15.549,-20.371
1986,-19.382,-16.034,-21.270,-11.962,-4.736,-1.490,2.142,2.590,0.047,-13.698,-24.844,-24.910,-11.129,-18.426,-12.656,1.081,-12.832,-10.708,-9.735,-9.728,-17.942,-0.290,-16.471,-3.872,-18.895,-16.422,-6.063,-1.362,1.593,-3.687,-21.150,-17.468
1987,-22.161,-28.852,-21.982,-15.917,-4.500,2.408,2.778,2.150,-1.807,-10.626,-15.992,-25.733,-11.686,-25.307,-14.133,2.445,-9.475,-11.617,-12.355,-12.611,-24.550,0.206,-21.766,-3.645,-24.332,-22.250,-6.003,0.229,1.040,-3.428,-17.450,-23.971
