=======================================================================================
ECMWF ERA5 (0.5x0.5 deg)
2m Temperature (deg C)
Values averaged across Specify Point (66.98N; 309.07E)
---------------------------------------------------------------------------------------
This file was generated using Climate Reanalyzer (https://ClimateReanalyzer.org)
Climate Change Institute; University of Maine; USA (https://climatechange.umaine.edu)
=======================================================================================
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Ann,DJF,MAM,JJA,SON,Ann_D-N,Ann_NO,Ann_OS,NDJFM,MJJAS,ONDJFMA,AMJJASO,JFM,FMA,AMJ,MJJ,JAS,ASO,OND,NDJ
1940,-24.200,-17.271,-19.680,-8.389,0.048,6.905,9.277,6.440,1.526,-8.301,-19.266,-19.488,-7.700,-999,-9.341,7.541,-8.680,-999,-999,-999,-999,4.839,-999,1.072,-20.384,-15.113,-0.479,5.410,5.748,-0.112,-15.685,-999
1941,-22.266,-20.406,-16.146,-9.691,-0.294,6.104,8.668,7.459,-0.792,-5.451,-18.422,-23.128,-7.864,-20.720,-8.710,7.410,-8.221,-7.560,-7.631,-7.868,-19.514,4.229,-16.509,0.858,-19.606,-15.414,-1.294,4.826,5.112,0.406,-15.667,-20.340
1942,-23.380,-21.178,-19.219,-13.032,3.174,8.290,10.034,6.486,0.223,-13.283,-17.617,-21.498,-8.417,-22.562,-9.692,8.270,-10.226,-8.552,-8.619,-7.967,-21.065,5.642,-17.687,0.270,-21.259,-17.809,-0.522,7.166,5.581,-2.191,-17.466,-21.643
1943,-20.246,-28.746,-23.397,-14.091,-4.410,8.189,9.384,7.393,1.088,-13.340,-18.090,-20.215,-9.707,-23.497,-13.966,8.322,-10.114,-9.814,-9.774,-9.769,-22.301,4.329,-19.840,-0.827,-24.130,-22.078,-3.437,4.388,5.955,-1.620,-17.215,-19.787
1944,-27.925,-19.766,-19.364,-8.802,-3.172,5.948,8.127,6.357,-1.052,-12.381,-19.429,-24.768,-9.686,-22.636,-10.446,6.811,-10.954,-9.306,-9.195,-9.275,-21.072,3.242,-18.215,-0.711,-22.352,-15.977,-2.009,3.634,4.477,-2.359,-18.860,-22.077
1945,-18.851,-32.081,-17.953,-13.243,-2.642,5.853,7.078,5.852,-1.136,-5.906,-18.310,-17.645,-9.082,-25.234,-11.279,6.261,-8.451,-9.676,-9.769,-10.309,-22.617,3.001,-19.815,-0.592,-22.962,-21.092,-3.344,3.430,3.931,-0.397,-13.954,-21.016
1946,-26.151,-22.297,-15.656,-13.310,-0.422,7.491,7.676,6.577,0.447,-7.894,-13.882,-19.732,-8.096,-22.031,-9.796,7.248,-7.110,-7.922,-8.291,-8.126,-20.012,4.354,-17.039,0.081,-21.368,-17.088,-2.080,4.915,4.900,-0.290,-13.836,-20.702
1947,-21.433,-16.285,-15.280,-11.491,1.811,8.413,9.517,5.463,0.196,-11.840,-15.283,-20.415,-7.219,-19.150,-8.320,7.798,-8.975,-7.162,-7.045,-6.716,-17.322,5.080,-15.142,0.296,-17.666,-14.352,-0.422,6.580,5.059,-2.060,-15.846,-18.349
1948,-25.899,-23.620,-25.047,-13.169,-3.387,9.551,12.270,6.970,0.749,-9.778,-20.262,-28.586,-10.017,-23.311,-13.868,9.597,-9.764,-9.336,-8.921,-9.093,-22.053,5.231,-19.325,0.458,-24.855,-20.612,-2.335,6.145,6.663,-0.686,-19.542,-20.532
1949,-26.571,-30.249,-17.972,-15.169,-1.082,7.429,11.584,7.031,-2.648,-11.763,-18.033,-21.748,-9.932,-28.469,-11.408,8.681,-10.814,-10.502,-10.688,-10.523,-24.728,4.463,-21.227,-0.660,-24.931,-21.130,-2.941,5.977,5.322,-2.460,-17.181,-25.140
1950,-27.652,-25.949,-16.529,-11.021,1.232,8.049,11.038,8.838,0.942,-11.285,-15.264,-15.665,-7.772,-25.116,-8.773,9.308,-8.536,-8.279,-8.510,-8.550,-21.982,6.020,-18.956,1.113,-23.377,-17.833,-0.580,6.773,6.939,-0.502,-14.071,-22.478
