=======================================================================================
ECMWF ERA5 (0.5x0.5 deg)
2m Temperature (deg C)
Values averaged across Specify Point (67.03N; 309.69E)
---------------------------------------------------------------------------------------
This file was generated using Climate Reanalyzer (https://ClimateReanalyzer.org)
Climate Change Institute; University of Maine; USA (https://climatechange.umaine.edu)
=======================================================================================
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Ann,DJF,MAM,JJA,SON,Ann_D-N,Ann_NO,Ann_OS,NDJFM,MJJAS,ONDJFMA,AMJJASO,JFM,FMA,AMJ,MJJ,JAS,ASO,OND,NDJ
1940,-22.505,-15.650,-18.753,-8.119,-0.648,5.103,7.384,5.424,0.893,-8.407,-18.262,-18.175,-7.643,-999,-9.173,5.970,-8.592,-999,-999,-999,-999,3.631,-999,0.233,-18.969,-14.174,-1.221,3.946,4.567,-0.696,-14.948,-999
1941,-20.837,-19.108,-15.329,-8.779,-0.324,5.028,7.014,5.834,-2.038,-5.124,-18.047,-21.880,-7.799,-19.373,-8.144,5.959,-8.403,-7.490,-7.508,-7.782,-18.342,3.103,-15.557,0.230,-18.424,-14.405,-1.358,3.906,3.603,-0.443,-15.017,-19.091
1942,-21.639,-19.272,-18.912,-13.311,2.778,7.615,9.034,5.910,-0.119,-13.230,-16.514,-20.199,-8.155,-20.930,-9.815,7.519,-9.954,-8.295,-8.423,-7.747,-19.950,5.044,-16.884,-0.189,-19.941,-17.165,-0.973,6.475,4.942,-2.480,-16.648,-20.522
1943,-17.822,-27.412,-22.731,-14.249,-4.891,7.519,8.468,6.286,0.655,-13.592,-17.258,-18.952,-9.498,-21.811,-13.957,7.424,-10.065,-9.602,-9.540,-9.510,-20.936,3.607,-18.880,-1.401,-22.655,-21.464,-3.873,3.699,5.136,-2.217,-16.601,-18.178
1944,-26.468,-18.303,-17.936,-8.694,-3.225,4.155,6.502,4.363,-1.903,-11.856,-18.552,-23.528,-9.621,-21.241,-9.952,5.007,-10.771,-9.239,-9.131,-9.276,-19.783,1.978,-17.315,-1.523,-20.903,-14.978,-2.588,2.477,2.987,-3.132,-17.979,-20.893
1945,-17.158,-30.318,-17.306,-13.273,-2.935,4.318,5.637,4.663,-2.060,-5.693,-17.301,-16.288,-8.976,-23.668,-11.171,4.872,-8.351,-9.579,-9.684,-10.197,-21.372,1.924,-18.856,-1.335,-21.594,-20.299,-3.963,2.340,2.746,-1.030,-13.094,-19.746
1946,-24.491,-20.519,-14.777,-13.094,-0.383,5.870,6.268,5.206,0.003,-7.595,-13.179,-18.503,-7.933,-20.433,-9.418,5.781,-6.923,-7.748,-8.092,-7.933,-18.675,3.393,-16.023,-0.532,-19.929,-16.130,-2.535,3.918,3.826,-0.795,-13.092,-19.360
1947,-19.468,-14.679,-14.700,-11.579,1.438,6.976,8.132,4.742,-0.249,-11.601,-14.580,-19.010,-7.048,-17.550,-8.280,6.617,-8.810,-7.006,-6.889,-6.555,-16.106,4.208,-14.243,-0.306,-16.283,-13.653,-1.055,5.515,4.209,-2.369,-15.064,-17.050
1948,-24.039,-22.222,-24.307,-13.073,-3.811,8.516,10.997,5.988,-0.122,-9.827,-19.471,-27.572,-9.912,-21.757,-13.730,8.500,-9.807,-9.199,-8.791,-8.939,-20.832,4.314,-18.405,-0.190,-23.523,-19.867,-2.789,5.234,5.621,-1.320,-18.957,-19.210
1949,-24.794,-28.569,-17.124,-15.193,-2.013,5.261,8.547,4.859,-2.530,-10.667,-16.670,-20.230,-9.927,-26.978,-11.443,6.222,-9.956,-10.539,-10.772,-10.702,-23.506,2.825,-20.364,-1.677,-23.496,-20.295,-3.982,3.932,3.625,-2.779,-15.856,-23.946
