=======================================================================================
ECMWF ERA5 (0.5x0.5 deg)
2m Dewpoint Temperature (deg C)
Values averaged across Specify Point (67.65N; 210.28E)
---------------------------------------------------------------------------------------
This file was generated using Climate Reanalyzer (https://ClimateReanalyzer.org)
Climate Change Institute; University of Maine; USA (https://climatechange.umaine.edu)
=======================================================================================
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Ann,DJF,MAM,JJA,SON,Ann_D-N,Ann_NO,Ann_OS,NDJFM,MJJAS,ONDJFMA,AMJJASO,JFM,FMA,AMJ,MJJ,JAS,ASO,OND,NDJ
1940,-29.270,-27.790,-22.907,-7.727,-1.472,5.348,7.236,3.775,-0.984,-11.105,-25.501,-27.339,-11.478,-999,-10.702,5.453,-12.530,-999,-999,-999,-999,2.781,-999,-0.704,-26.656,-19.474,-1.284,3.704,3.342,-2.772,-21.315,-999
1941,-31.933,-25.134,-25.514,-11.421,-3.835,2.073,5.585,3.751,-5.738,-17.810,-29.865,-28.458,-14.025,-28.135,-13.590,3.803,-17.804,-13.932,-13.568,-13.009,-27.084,0.367,-22.564,-3.913,-27.527,-20.690,-4.394,1.275,1.200,-6.599,-25.378,-28.258
1942,-27.891,-25.761,-26.052,-12.986,-4.121,4.821,4.720,3.217,-1.577,-12.941,-30.245,-36.652,-13.789,-27.370,-14.386,4.253,-14.921,-13.106,-13.075,-13.480,-27.605,1.412,-24.118,-2.695,-26.568,-21.600,-4.095,1.807,2.120,-3.767,-26.612,-28.738
1943,-38.124,-24.438,-25.694,-12.650,-2.528,5.703,6.921,3.465,-2.573,-12.279,-20.427,-27.930,-12.546,-33.071,-13.624,5.363,-11.760,-13.273,-14.091,-14.146,-31.031,2.198,-25.821,-1.992,-29.419,-20.928,-3.158,3.365,2.604,-3.796,-20.212,-35.007
1944,-27.098,-23.757,-23.366,-14.189,-2.062,5.151,7.954,3.257,-4.582,-11.973,-26.372,-26.492,-11.961,-26.262,-13.206,5.454,-14.309,-12.081,-11.585,-11.611,-24.516,1.944,-21.292,-2.349,-24.740,-20.437,-3.700,3.681,2.210,-4.433,-21.612,-25.152
1945,-26.605,-25.054,-23.545,-15.107,-6.350,3.283,6.863,3.230,-2.302,-12.810,-30.617,-28.429,-13.120,-26.050,-15.000,4.459,-15.243,-12.959,-12.605,-12.535,-25.613,0.945,-22.164,-3.313,-25.068,-21.235,-6.058,1.265,2.597,-3.961,-23.952,-26.489
1946,-28.078,-30.265,-25.664,-16.505,-1.836,6.509,6.826,3.063,-3.850,-12.070,-27.539,-37.028,-13.870,-28.924,-14.668,5.466,-14.486,-13.153,-13.410,-13.471,-28.610,2.142,-24.624,-2.552,-28.002,-24.145,-3.944,3.833,2.013,-4.286,-25.546,-29.041
1947,-36.480,-28.309,-17.778,-16.835,-1.889,4.599,7.682,1.349,-5.187,-15.046,-22.543,-23.484,-12.827,-33.939,-12.167,4.543,-14.259,-13.955,-14.372,-14.124,-29.427,1.311,-25.148,-3.618,-27.522,-20.974,-4.708,3.464,1.281,-6.295,-20.358,-33.682
1948,-27.814,-30.249,-26.656,-17.188,-4.926,4.944,5.776,1.329,-6.451,-15.081,-28.044,-34.437,-14.900,-27.182,-16.257,4.017,-16.525,-13.987,-13.529,-13.526,-26.149,0.134,-23.283,-4.514,-28.240,-24.698,-5.723,1.931,0.218,-6.734,-25.854,-24.614
1949,-30.757,-33.074,-18.300,-19.122,-5.919,1.292,7.853,5.572,1.174,-12.795,-16.354,-31.189,-12.635,-32.756,-14.447,4.906,-9.325,-12.906,-13.880,-14.070,-28.922,1.994,-25.545,-3.135,-27.377,-23.499,-7.916,1.075,4.866,-2.016,-20.113,-31.079
1950,-28.046,-37.290,-18.537,-13.354,-3.335,4.381,7.999,4.922,-1.287,-12.940,-25.564,-26.796,-12.487,-32.175,-11.742,5.767,-13.264,-12.853,-12.086,-12.074,-26.283,2.536,-22.509,-1.945,-27.958,-23.060,-4.103,3.015,3.878,-3.102,-21.767,-25.196
1951,-37.152,-33.948,-30.765,-13.014,-2.382,2.298,6.322,6.180,-1.337,-16.025,-19.103,-29.380,-14.026,-32.632,-15.387,4.933,-12.155,-13.810,-14.349,-14.092,-30.845,2.216,-25.740,-2.566,-33.955,-25.909,-4.366,2.079,3.721,-3.727,-21.503,-29.837
1952,-35.842,-32.385,-23.659,-15.863,-7.826,4.780,7.050,3.378,-5.221,-12.341,-17.267,-27.797,-13.583,-32.536,-15.783,5.069,-11.610,-13.715,-13.868,-14.175,-28.074,0.432,-24.608,-3.721,-30.629,-23.969,-6.303,1.335,1.735,-4.728,-19.135,-28.109
1953,-38.158,-27.565,-26.096,-11.834,-2.820,6.385,6.216,4.305,-1.747,-15.338,-24.935,-28.287,-13.323,-31.173,-13.584,5.635,-14.007,-13.282,-12.643,-12.393,-27.377,2.468,-23.009,-2.119,-30.606,-21.832,-2.756,3.260,2.924,-4.260,-22.853,-27.741
1954,-34.984,-35.857,-21.931,-16.684,-3.480,3.581,5.427,6.158,-3.739,-12.678,-21.379,-36.927,-14.374,-33.043,-14.032,5.055,-12.599,-13.654,-13.951,-14.172,-29.199,1.590,-25.431,-3.059,-30.924,-24.824,-5.527,1.843,2.615,-3.420,-23.661,-29.402
1955,-28.525,-36.591,-25.907,-18.012,-3.996,3.465,7.839,1.956,-2.613,-14.248,-31.519,-33.077,-15.102,-34.014,-15.972,4.420,-16.127,-15.423,-14.578,-14.447,-29.866,1.330,-25.717,-3.658,-30.341,-26.837,-6.181,2.436,2.394,-4.968,-26.281,-28.944
1956,-35.519,-33.950,-24.982,-14.799,-3.057,3.626,5.862,3.809,-4.783,-20.243,-27.931,-36.049,-15.668,-34.182,-14.279,4.432,-17.653,-15.420,-15.719,-15.220,-31.809,1.091,-26.871,-4.227,-31.484,-24.577,-4.743,2.144,1.629,-7.073,-28.074,-33.372
1957,-26.503,-31.710,-21.922,-11.647,-3.796,3.612,5.968,6.114,-2.269,-11.452,-21.988,-33.982,-12.464,-31.421,-12.455,5.231,-11.903,-12.637,-13.132,-13.865,-28.823,1.926,-25.143,-1.924,-26.712,-21.759,-3.943,1.928,3.271,-2.535,-22.474,-30.161
1958,-28.670,-31.935,-21.481,-11.161,-3.715,7.009,7.899,6.040,-2.529,-20.459,-26.116,-30.870,-12.999,-31.529,-12.119,6.982,-16.368,-13.258,-12.914,-12.164,-27.611,2.941,-22.953,-2.417,-27.362,-21.526,-2.622,3.731,3.803,-5.650,-25.815,-28.214
1959,-35.691,-24.538,-33.184,-17.955,-4.548,5.093,3.785,3.415,-3.924,-15.456,-26.222,-30.963,-15.016,-30.366,-18.562,4.098,-15.200,-15.008,-14.999,-15.416,-30.080,0.764,-26.973,-4.227,-31.138,-25.226,-5.803,1.443,1.092,-5.322,-24.213,-30.892
1960,-29.546,-25.997,-27.845,-17.123,-2.921,2.334,5.703,3.985,-4.404,-15.430,-31.126,-25.041,-13.951,-28.835,-15.963,4.007,-16.987,-14.444,-14.036,-14.038,-28.114,0.939,-24.736,-3.979,-27.796,-23.655,-5.904,1.705,1.761,-5.283,-23.866,-28.910
1961,-28.124,-33.643,-29.617,-18.972,-2.682,4.863,5.828,4.320,-0.975,-17.135,-31.637,-35.724,-15.291,-28.936,-17.090,5.004,-16.582,-14.401,-14.359,-14.216,-29.510,2.271,-25.993,-3.536,-30.461,-27.410,-5.597,2.670,3.058,-4.597,-28.165,-28.097
1962,-29.974,-24.597,-26.591,-15.542,-5.755,2.733,7.231,6.597,-4.934,-12.849,-26.091,-27.261,-13.086,-30.098,-15.963,5.520,-14.624,-13.791,-14.253,-14.611,-29.705,1.174,-25.886,-3.217,-27.054,-22.243,-6.188,1.403,2.965,-3.729,-22.067,-32.445
1963,-28.003,-27.889,-28.584,-15.668,-2.569,2.615,5.996,4.197,-3.713,-15.266,-31.760,-24.667,-13.776,-27.718,-15.607,4.269,-16.913,-13.992,-13.520,-13.318,-27.566,1.305,-23.764,-3.487,-28.159,-24.047,-5.207,2.014,2.160,-4.927,-23.898,-27.118
1964,-33.657,-29.080,-32.836,-17.502,-9.627,3.414,6.334,5.176,-1.344,-10.058,-25.960,-38.891,-15.336,-29.135,-19.988,4.974,-12.454,-14.151,-14.634,-15.068,-30.400,0.791,-26.395,-3.372,-31.858,-26.473,-7.905,0.040,3.389,-2.075,-24.970,-30.028
1965,-32.563,-36.671,-16.928,-14.359,-6.997,3.204,6.591,3.174,-0.818,-21.517,-22.108,-29.870,-14.072,-36.042,-12.761,4.323,-14.814,-14.824,-15.145,-14.190,-30.203,1.031,-25.061,-4.389,-28.721,-22.653,-6.051,0.933,2.982,-6.387,-24.499,-32.471
1966,-39.505,-31.438,-27.973,-17.907,-5.984,3.553,4.794,2.915,-0.585,-15.103,-25.161,-31.973,-15.364,-33.605,-17.288,3.754,-13.616,-15.189,-14.934,-15.469,-30.179,0.939,-27.188,-4.045,-32.972,-25.772,-6.780,0.787,2.375,-4.257,-24.079,-30.495
1967,-33.475,-32.254,-26.340,-12.647,-6.207,2.543,4.997,3.326,-1.395,-14.746,-24.188,-26.478,-13.905,-32.567,-15.064,3.622,-13.443,-14.363,-14.444,-14.474,-29.840,0.653,-25.279,-3.447,-30.689,-23.747,-5.437,0.444,2.310,-4.272,-21.804,-30.203
1968,-31.420,-30.047,-22.907,-16.933,-6.519,3.118,6.193,5.130,-5.169,-17.834,-25.710,-32.737,-14.570,-29.315,-15.453,4.814,-16.238,-14.048,-13.921,-13.664,-27.008,0.551,-23.817,-4.573,-28.125,-23.296,-6.778,0.931,2.051,-5.958,-25.427,-27.362
1969,-35.828,-31.182,-25.482,-11.332,-4.959,3.595,4.094,-1.513,-1.383,-10.426,-28.028,-20.974,-13.618,-33.249,-13.924,2.059,-13.279,-14.598,-14.405,-15.023,-30.188,-0.033,-25.729,-3.132,-30.831,-22.665,-4.232,0.910,0.400,-4.440,-19.809,-31.425
1970,-34.513,-27.655,-22.779,-14.918,-4.702,2.435,7.382,4.915,-8.802,-18.861,-24.290,-31.385,-14.431,-27.714,-14.133,4.910,-17.318,-13.564,-13.875,-13.172,-26.790,0.245,-22.756,-4.650,-28.316,-21.784,-5.728,1.705,1.165,-7.583,-24.845,-27.838
