=======================================================================================
ECMWF ERA5 (0.5x0.5 deg)
Total Precipitation (m)
Values averaged across Specify Point (67.65N; 210.28E)
---------------------------------------------------------------------------------------
This file was generated using Climate Reanalyzer (https://ClimateReanalyzer.org)
Climate Change Institute; University of Maine; USA (https://climatechange.umaine.edu)
=======================================================================================
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Ann,DJF,MAM,JJA,SON,Ann_D-N,Ann_NO,Ann_OS,NDJFM,MJJAS,ONDJFMA,AMJJASO,JFM,FMA,AMJ,MJJ,JAS,ASO,OND,NDJ
1940,0.0095,0.0055,0.0047,0.0038,0.0459,0.0817,0.0516,0.0490,0.0735,0.0383,0.0272,0.0316,0.4222,-999,0.0544,0.1822,0.1391,-999,-999,-999,-999,0.3016,-999,0.3437,0.0197,0.0140,0.1313,0.1792,0.1741,0.1608,0.0971,-999
1941,0.0188,0.0232,0.0170,0.0188,0.0325,0.0457,0.1477,0.0455,0.0236,0.0258,0.0280,0.0208,0.4474,0.0736,0.0684,0.2388,0.0774,0.4582,0.4574,0.4699,0.1178,0.2949,0.1750,0.3395,0.0590,0.0590,0.0970,0.2259,0.2167,0.0948,0.0746,0.0776
1942,0.0152,0.0211,0.0255,0.0227,0.0659,0.1186,0.0917,0.0851,0.0679,0.0493,0.0133,0.0042,0.5805,0.0571,0.1141,0.2954,0.1305,0.5971,0.6119,0.5883,0.1106,0.4292,0.1591,0.5012,0.0618,0.0693,0.2072,0.2762,0.2447,0.2023,0.0668,0.0640
1943,0.0047,0.0524,0.0306,0.0249,0.0322,0.1238,0.1001,0.1290,0.0561,0.0314,0.0252,0.0290,0.6395,0.0613,0.0878,0.3528,0.1127,0.6147,0.6027,0.6206,0.1052,0.4411,0.1795,0.4975,0.0878,0.1080,0.1809,0.2561,0.2851,0.2164,0.0857,0.0222
1944,0.0307,0.0606,0.0288,0.0058,0.0610,0.0506,0.0850,0.1259,0.0893,0.0351,0.0122,0.0484,0.6333,0.1203,0.0955,0.2615,0.1366,0.6139,0.6270,0.6233,0.1744,0.4118,0.2115,0.4526,0.1201,0.0952,0.1174,0.1966,0.3002,0.2503,0.0957,0.0850
1945,0.0160,0.0335,0.0145,0.0160,0.0443,0.1139,0.1077,0.1534,0.0525,0.0577,0.0181,0.0081,0.6356,0.0979,0.0748,0.3749,0.1283,0.6759,0.6700,0.6474,0.1246,0.4717,0.1757,0.5454,0.0640,0.0640,0.1741,0.2658,0.3136,0.2636,0.0839,0.0766
1946,0.0169,0.0079,0.0318,0.0210,0.0791,0.0748,0.0565,0.0977,0.0649,0.0662,0.0145,0.0122,0.5435,0.0329,0.1318,0.2290,0.1456,0.5394,0.5429,0.5345,0.0828,0.3730,0.1615,0.4602,0.0566,0.0607,0.1749,0.2104,0.2191,0.2287,0.0929,0.0431
1947,0.0270,0.0153,0.0335,0.0048,0.0314,0.1136,0.0801,0.0785,0.0611,0.0212,0.0194,0.0184,0.5043,0.0545,0.0697,0.2722,0.1017,0.4981,0.4932,0.5382,0.1025,0.3647,0.1735,0.3907,0.0758,0.0536,0.1498,0.2251,0.2197,0.1608,0.0590,0.0537
1948,0.0358,0.0166,0.0280,0.0711,0.0269,0.0724,0.1064,0.0934,0.0307,0.0429,0.0175,0.0206,0.5623,0.0708,0.1261,0.2722,0.0911,0.5602,0.5621,0.5404,0.1183,0.3298,0.2106,0.4438,0.0804,0.1158,0.1704,0.2057,0.2305,0.1670,0.0810,0.0736
1949,0.0252,0.0093,0.0284,0.0165,0.0357,0.0925,0.0953,0.0594,0.0538,0.0235,0.0244,0.0093,0.4734,0.0552,0.0806,0.2471,0.1017,0.4846,0.4777,0.4971,0.1011,0.3366,0.1604,0.3767,0.0630,0.0542,0.1447,0.2235,0.2084,0.1367,0.0573,0.0633
