=======================================================================================
ECMWF ERA5 (0.5x0.5 deg)
2m Temperature (deg C)
Values averaged across Specify Point (67.65N; 210.28E)
---------------------------------------------------------------------------------------
This file was generated using Climate Reanalyzer (https://ClimateReanalyzer.org)
Climate Change Institute; University of Maine; USA (https://climatechange.umaine.edu)
=======================================================================================
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Ann,DJF,MAM,JJA,SON,Ann_D-N,Ann_NO,Ann_OS,NDJFM,MJJAS,ONDJFMA,AMJJASO,JFM,FMA,AMJ,MJJ,JAS,ASO,OND,NDJ
1940,-26.019,-24.800,-19.233,-3.348,4.747,10.861,13.367,8.481,1.496,-9.274,-22.479,-24.781,-7.582,-999,-5.945,10.903,-10.085,-999,-999,-999,-999,7.790,-999,3.761,-23.351,-15.794,4.087,9.658,7.781,0.235,-18.844,-999
1941,-29.436,-22.311,-21.192,-7.871,0.559,9.076,8.895,6.908,-0.181,-15.404,-27.041,-25.599,-10.300,-25.509,-9.501,8.293,-14.208,-10.231,-9.851,-9.340,-24.040,5.052,-19.621,0.283,-24.313,-17.125,0.588,6.177,5.207,-2.892,-22.681,-25.565
1942,-25.169,-22.897,-22.160,-9.309,-0.316,8.570,8.337,6.148,0.745,-11.002,-27.209,-34.123,-10.699,-24.555,-10.595,7.685,-12.489,-9.988,-9.974,-10.341,-24.573,4.697,-21.083,0.453,-23.409,-18.122,-0.352,5.530,5.077,-1.370,-24.111,-25.936
1943,-35.019,-21.963,-21.604,-8.714,1.512,10.205,10.792,5.967,-0.301,-10.721,-18.068,-25.139,-9.421,-30.368,-9.602,8.988,-9.697,-10.170,-10.931,-10.955,-27.984,5.635,-22.805,1.249,-26.195,-17.427,1.001,7.503,5.486,-1.685,-17.976,-32.117
1944,-24.439,-21.067,-20.268,-10.017,1.093,9.692,11.064,6.185,-3.034,-10.245,-23.957,-24.122,-9.093,-23.548,-9.731,8.981,-12.412,-9.177,-8.687,-8.727,-21.796,5.000,-18.531,0.677,-21.925,-17.117,0.256,7.283,4.738,-2.365,-19.441,-22.549
1945,-22.752,-21.784,-19.773,-10.814,-2.384,6.599,10.881,5.428,-0.638,-11.068,-27.414,-24.813,-9.878,-22.886,-10.990,7.636,-13.040,-9.820,-9.532,-9.463,-22.477,3.977,-19.064,-0.285,-21.436,-17.457,-2.200,5.032,5.224,-2.093,-21.098,-23.610
1946,-24.963,-25.832,-22.400,-12.746,0.758,11.081,12.774,6.179,-1.122,-10.251,-24.036,-34.292,-10.404,-25.203,-11.463,10.011,-11.803,-9.614,-9.896,-9.964,-25.085,5.934,-21.320,0.953,-24.398,-20.326,-0.302,8.204,5.944,-1.731,-22.860,-25.730
1947,-34.109,-24.980,-15.173,-11.973,2.137,9.163,11.939,5.070,-2.585,-12.711,-19.887,-20.920,-9.502,-31.127,-8.336,8.724,-11.727,-10.617,-10.962,-10.757,-26.518,5.145,-22.116,0.149,-24.754,-17.375,-0.224,7.746,4.808,-3.408,-17.839,-30.812
1948,-24.682,-26.458,-22.344,-13.647,-1.337,9.538,9.680,4.876,-3.352,-13.058,-25.723,-31.650,-11.513,-24.020,-12.443,8.032,-14.044,-10.619,-10.133,-10.104,-22.858,3.881,-20.093,-1.043,-24.495,-20.817,-1.815,5.961,3.735,-3.844,-23.477,-21.830
1949,-28.210,-29.575,-14.954,-14.726,-2.199,5.539,11.918,9.363,3.860,-10.335,-14.341,-28.314,-9.331,-29.812,-10.626,8.940,-6.939,-9.609,-10.558,-10.785,-26.023,5.696,-22.557,0.489,-24.246,-19.752,-3.795,5.086,8.380,0.963,-17.664,-28.528
