=======================================================================================
ECMWF ERA5 (0.5x0.5 deg)
2m Dewpoint Temperature (deg C)
Values averaged across Specify Point (64.068N; 218.089E)
---------------------------------------------------------------------------------------
This file was generated using Climate Reanalyzer (https://ClimateReanalyzer.org)
Climate Change Institute; University of Maine; USA (https://climatechange.umaine.edu)
=======================================================================================
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Ann,DJF,MAM,JJA,SON,Ann_D-N,Ann_NO,Ann_OS,NDJFM,MJJAS,ONDJFMA,AMJJASO,JFM,FMA,AMJ,MJJ,JAS,ASO,OND,NDJ
1940,-26.928,-24.079,-18.200,-5.478,-0.462,5.824,8.682,4.361,1.422,-5.037,-22.553,-24.355,-8.900,-999,-8.047,6.289,-8.723,-999,-999,-999,-999,3.965,-999,1.330,-23.069,-15.919,-0.039,4.681,4.822,0.249,-17.315,-999
1941,-30.134,-19.558,-14.393,-4.054,-0.638,6.106,6.740,5.984,-2.622,-11.658,-24.498,-30.124,-9.904,-24.682,-6.361,6.277,-12.926,-9.423,-9.261,-8.709,-22.199,3.114,-17.155,-0.020,-21.361,-12.668,0.472,4.069,3.367,-2.765,-22.093,-25.681
1942,-22.465,-16.722,-15.203,-6.689,0.830,5.548,6.290,5.606,2.218,-4.914,-29.987,-39.120,-9.551,-23.104,-7.020,5.815,-10.894,-8.801,-8.344,-8.906,-21.802,4.098,-18.194,1.270,-18.130,-12.871,-0.104,4.223,4.705,0.970,-24.674,-25.696
1943,-35.151,-23.282,-19.331,-7.385,-0.469,5.967,7.011,4.777,0.802,-6.365,-15.640,-21.514,-9.215,-32.518,-9.062,5.918,-7.068,-10.682,-11.878,-11.757,-29.374,3.618,-22.739,0.620,-25.921,-16.666,-0.629,4.170,4.197,-0.262,-14.506,-34.753
1944,-25.069,-20.708,-16.637,-10.644,-1.086,5.351,7.413,4.455,-0.430,-6.971,-21.440,-25.583,-9.279,-22.430,-9.456,5.739,-9.614,-8.940,-8.457,-8.406,-19.914,3.141,-16.654,-0.273,-20.805,-15.997,-2.126,3.893,3.813,-0.982,-17.998,-20.741
1945,-25.798,-22.177,-15.447,-10.667,-2.051,2.834,7.010,5.278,-0.297,-8.105,-27.822,-27.859,-10.425,-24.519,-9.388,5.041,-12.075,-10.235,-9.704,-9.609,-22.089,2.555,-18.298,-0.857,-21.141,-16.097,-3.295,2.598,3.997,-1.041,-21.262,-24.274
1946,-28.514,-24.477,-18.313,-9.208,-0.383,7.273,8.111,3.897,-0.862,-6.839,-26.744,-36.876,-11.078,-26.950,-9.301,6.427,-11.482,-10.327,-10.416,-10.522,-25.397,3.607,-20.614,0.284,-23.768,-17.333,-0.773,5.000,3.715,-1.268,-23.486,-28.065
1947,-35.191,-27.317,-11.091,-7.884,-0.301,4.023,8.289,2.245,-1.013,-7.448,-16.465,-23.699,-9.654,-33.128,-6.425,4.853,-8.309,-10.752,-11.609,-11.558,-27.444,2.649,-21.706,-0.298,-24.533,-15.431,-1.387,4.004,3.174,-2.072,-15.871,-32.937
1948,-26.498,-29.517,-21.363,-12.377,-0.715,5.466,7.050,2.630,-1.854,-8.093,-25.235,-35.544,-12.171,-26.571,-11.485,5.048,-11.727,-11.184,-10.453,-10.399,-23.508,2.515,-19.624,-1.128,-25.793,-21.086,-2.542,3.933,2.609,-2.439,-22.957,-22.221
1949,-30.456,-32.158,-12.523,-8.052,-2.390,2.591,8.367,6.109,2.858,-8.217,-16.548,-32.177,-10.216,-32.719,-7.655,5.689,-7.302,-10.497,-11.221,-11.211,-27.183,3.507,-21.723,0.181,-25.046,-17.578,-2.617,2.856,5.778,0.250,-18.981,-30.412
1950,-27.302,-35.833,-14.933,-10.767,-1.319,5.424,7.665,5.861,1.547,-8.753,-29.191,-26.214,-11.151,-31.771,-9.006,6.317,-12.132,-11.648,-10.595,-10.550,-25.359,3.836,-20.825,-0.049,-26.023,-20.511,-2.221,3.923,5.024,-0.448,-21.386,-25.342
1951,-36.500,-28.068,-23.347,-6.682,-0.597,3.519,7.732,6.701,1.638,-13.361,-18.580,-29.603,-11.429,-30.260,-10.208,5.984,-10.101,-11.147,-12.031,-11.647,-28.664,3.798,-22.679,-0.150,-29.305,-19.365,-1.253,3.551,5.357,-1.674,-20.515,-30.635
1952,-38.379,-25.510,-17.604,-9.176,-3.779,5.495,7.745,4.165,-0.581,-4.961,-13.564,-26.262,-10.201,-31.164,-10.186,5.802,-6.368,-10.479,-10.897,-11.597,-25.935,2.609,-21.745,-0.156,-27.164,-17.430,-2.487,3.154,3.776,-0.459,-14.929,-28.854
1953,-40.070,-22.096,-18.383,-6.668,0.956,6.676,8.423,5.748,-0.097,-9.762,-24.544,-26.690,-10.542,-29.476,-8.032,6.949,-11.467,-10.507,-9.592,-9.192,-24.075,4.341,-18.858,0.754,-26.850,-15.716,0.321,5.352,4.691,-1.370,-20.332,-26.632
1954,-33.262,-31.471,-16.890,-13.926,-0.802,5.064,7.220,5.915,-0.520,-7.444,-16.268,-34.522,-11.409,-30.474,-10.539,6.066,-8.077,-10.756,-11.446,-11.639,-26.571,3.376,-22.363,-0.642,-27.207,-20.762,-3.221,3.827,4.205,-0.683,-19.411,-28.165
1955,-27.629,-28.228,-18.753,-10.734,-2.514,3.379,7.804,4.062,-0.669,-10.073,-31.179,-32.015,-12.212,-30.126,-10.667,5.082,-13.974,-12.421,-11.179,-10.960,-25.080,2.412,-20.511,-1.249,-24.870,-19.238,-3.290,2.890,3.732,-2.227,-24.422,-26.139
1956,-36.583,-29.569,-20.664,-8.209,-1.641,4.932,7.985,6.155,-1.354,-13.605,-21.901,-38.063,-12.710,-32.722,-10.171,6.357,-12.287,-12.206,-12.979,-12.684,-30.002,3.216,-24.042,-0.819,-28.939,-19.481,-1.639,3.759,4.262,-2.935,-24.523,-33.259
1957,-27.351,-25.055,-13.918,-6.697,0.099,6.759,6.771,7.231,0.510,-9.100,-16.070,-32.701,-9.127,-30.156,-6.839,6.920,-8.220,-9.574,-10.060,-10.435,-25.258,4.274,-20.941,0.796,-22.108,-15.224,0.053,4.543,4.837,-0.453,-19.290,-29.105
1958,-26.079,-26.806,-15.591,-5.333,-0.502,6.208,7.646,4.967,-1.416,-15.303,-22.600,-29.636,-10.370,-28.528,-7.142,6.273,-13.106,-10.626,-10.082,-9.565,-23.449,3.381,-18.811,-0.533,-22.825,-15.910,0.124,4.451,3.732,-3.917,-22.513,-24.950
1959,-40.435,-21.581,-23.508,-10.115,-1.725,5.991,5.752,3.952,0.112,-11.856,-20.329,-26.320,-11.672,-30.551,-11.783,5.232,-10.691,-11.948,-12.138,-12.425,-27.552,2.816,-23.311,-1.127,-28.508,-18.401,-1.950,3.339,3.272,-2.598,-19.502,-30.890
1960,-26.800,-20.702,-22.455,-9.547,-1.421,3.472,6.983,5.369,-0.307,-7.807,-22.130,-22.443,-9.816,-24.607,-11.141,5.275,-10.081,-10.139,-9.989,-10.326,-23.321,2.819,-19.716,-0.465,-23.319,-17.568,-2.499,3.011,4.015,-0.915,-17.460,-24.483
1961,-26.981,-27.467,-21.023,-10.140,-2.842,4.260,6.471,5.167,0.131,-11.901,-26.467,-38.363,-12.430,-25.630,-11.335,5.299,-12.746,-11.103,-10.742,-10.400,-24.009,2.637,-19.713,-1.265,-25.157,-19.543,-2.908,2.629,3.923,-2.201,-25.577,-23.852
1962,-29.079,-21.191,-20.101,-7.751,-2.548,4.284,8.206,7.321,-1.893,-6.192,-19.850,-27.238,-9.669,-29.544,-10.133,6.604,-9.312,-10.596,-11.148,-11.624,-27.040,3.074,-22.122,0.204,-23.457,-16.347,-2.005,3.314,4.545,-0.255,-17.760,-31.303
1963,-23.298,-22.475,-18.651,-9.276,-2.184,1.826,6.860,5.244,0.330,-6.826,-30.045,-23.241,-10.145,-24.337,-10.037,4.643,-12.180,-10.478,-9.628,-9.575,-22.302,2.415,-18.140,-0.575,-21.474,-16.800,-3.211,2.167,4.145,-0.417,-20.038,-23.462
1964,-32.786,-21.250,-24.285,-9.869,-6.383,5.771,6.414,5.208,0.684,-5.435,-22.423,-38.588,-11.912,-25.759,-13.512,5.797,-9.058,-10.633,-11.268,-11.384,-26.322,2.339,-21.186,-0.516,-26.107,-18.468,-3.494,1.934,4.102,0.152,-22.149,-28.691
1965,-34.965,-31.689,-9.766,-9.382,-5.688,2.809,7.433,4.070,1.743,-13.164,-24.745,-30.761,-12.009,-35.081,-8.279,4.771,-12.055,-12.661,-12.468,-11.823,-27.486,2.073,-21.750,-1.740,-25.473,-16.946,-4.087,1.518,4.415,-2.450,-22.890,-31.992
1966,-42.927,-24.135,-21.355,-9.995,-2.914,5.621,6.058,2.892,-0.090,-11.791,-23.636,-32.850,-12.927,-32.608,-11.421,4.857,-11.839,-12.753,-12.845,-12.960,-28.785,2.313,-23.869,-1.460,-29.473,-18.495,-2.429,2.922,2.953,-2.996,-22.759,-32.811
1967,-32.627,-27.779,-17.668,-8.619,-3.631,5.080,6.616,6.895,0.261,-8.951,-19.149,-25.681,-10.438,-31.085,-9.973,6.197,-9.280,-11.035,-11.409,-11.646,-26.912,3.044,-22.138,-0.336,-26.025,-18.022,-2.390,2.689,4.591,-0.598,-17.927,-29.704
1968,-30.080,-23.692,-12.788,-8.890,-1.847,5.933,7.689,6.585,-1.038,-9.561,-20.626,-34.911,-10.269,-26.484,-7.842,6.735,-10.408,-9.500,-9.377,-9.326,-22.278,3.464,-18.462,-0.161,-22.187,-15.123,-1.601,3.925,4.412,-1.338,-21.699,-24.970
