=======================================================================================
ECMWF ERA5 (0.5x0.5 deg)
2m Temperature (deg C)
Values averaged across Specify Point (64.068N; 218.089E)
---------------------------------------------------------------------------------------
This file was generated using Climate Reanalyzer (https://ClimateReanalyzer.org)
Climate Change Institute; University of Maine; USA (https://climatechange.umaine.edu)
=======================================================================================
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Ann,DJF,MAM,JJA,SON,Ann_D-N,Ann_NO,Ann_OS,NDJFM,MJJAS,ONDJFMA,AMJJASO,JFM,FMA,AMJ,MJJ,JAS,ASO,OND,NDJ
1940,-23.833,-20.843,-14.376,0.793,6.587,11.349,14.890,10.717,6.067,-3.098,-20.032,-21.777,-4.463,-999,-2.332,12.319,-5.688,-999,-999,-999,-999,9.922,-999,6.758,-19.684,-11.475,6.243,10.942,10.558,4.562,-14.969,-999
1941,-27.294,-16.354,-10.804,0.654,6.276,11.672,12.793,11.572,3.093,-8.392,-21.799,-27.232,-5.484,-21.808,-1.291,12.013,-9.033,-5.030,-4.883,-4.441,-19.252,9.081,-14.100,5.381,-18.150,-8.834,6.201,10.247,9.153,2.091,-19.141,-23.034
1942,-19.948,-14.266,-11.576,-1.866,7.815,11.902,12.387,10.525,5.643,-2.367,-27.053,-36.055,-5.405,-20.482,-1.876,11.605,-7.926,-4.670,-4.232,-4.734,-18.964,9.654,-15.011,6.291,-15.263,-9.236,5.950,10.701,9.519,4.600,-21.825,-22.993
1943,-31.535,-19.684,-15.157,-1.927,6.295,12.324,12.579,9.801,4.280,-3.495,-13.307,-18.889,-4.893,-29.091,-3.596,11.568,-4.174,-6.323,-7.469,-7.375,-25.897,9.056,-19.111,5.694,-22.125,-12.256,5.564,10.399,8.887,3.529,-11.897,-31.547
1944,-22.171,-17.438,-12.880,-5.286,5.933,13.046,13.996,9.722,3.974,-4.229,-19.111,-23.003,-4.787,-19.499,-4.078,12.255,-6.455,-4.444,-3.961,-3.900,-16.937,9.334,-13.352,5.308,-17.496,-11.868,4.564,10.992,9.231,3.156,-15.447,-18.122
1945,-23.078,-19.027,-11.835,-5.540,4.421,9.894,11.834,10.495,3.489,-5.894,-24.967,-25.124,-6.278,-21.702,-4.318,10.741,-9.124,-6.101,-5.613,-5.474,-19.211,8.026,-15.117,4.100,-17.980,-12.134,2.925,8.716,8.606,2.696,-18.662,-21.730
1946,-25.631,-21.252,-14.654,-3.787,7.406,14.782,13.742,10.306,4.433,-3.513,-23.409,-33.771,-6.279,-24.002,-3.678,12.944,-7.496,-5.558,-5.688,-5.887,-22.326,10.134,-17.330,6.196,-20.512,-13.231,6.134,11.977,9.494,3.742,-20.231,-25.241
1947,-32.228,-23.677,-7.724,-3.471,7.227,10.538,14.201,8.625,3.173,-4.998,-14.533,-21.460,-5.361,-29.892,-1.323,11.121,-5.453,-6.387,-7.126,-7.002,-24.162,8.753,-18.256,5.042,-21.210,-11.624,4.765,10.655,8.666,2.267,-13.664,-29.803
1948,-23.850,-25.591,-16.866,-7.012,5.103,11.786,13.700,8.763,2.237,-5.196,-22.557,-32.330,-7.651,-23.634,-6.258,11.416,-8.505,-6.745,-6.077,-6.060,-20.460,8.318,-16.330,4.197,-22.102,-16.490,3.292,10.196,8.234,1.935,-20.028,-19.948
1949,-27.376,-28.235,-8.507,-3.206,3.815,8.424,12.525,11.695,7.378,-4.624,-14.779,-29.324,-6.018,-29.314,-2.633,10.881,-4.008,-6.268,-6.917,-6.964,-23.801,8.767,-18.201,5.144,-21.373,-13.316,3.011,8.254,10.533,4.816,-16.242,-27.421
1950,-24.304,-31.609,-11.072,-4.918,6.221,13.740,13.966,12.041,5.873,-5.537,-25.910,-23.643,-6.263,-28.412,-3.256,13.249,-8.525,-6.736,-5.809,-5.732,-22.218,10.368,-17.233,5.912,-22.328,-15.866,5.014,11.309,10.627,4.126,-18.363,-22.802
1951,-33.151,-24.484,-18.790,-1.032,7.336,10.672,14.923,12.642,6.351,-10.364,-16.531,-26.525,-6.579,-27.093,-4.162,12.746,-6.848,-6.339,-7.121,-6.719,-25.196,10.385,-18.935,5.790,-25.475,-14.769,5.659,10.977,11.305,2.876,-17.807,-27.568
1952,-34.622,-22.455,-13.659,-3.697,3.256,11.491,13.352,9.730,3.133,-2.394,-11.797,-23.849,-5.959,-27.867,-4.700,11.524,-3.686,-6.182,-6.577,-7.241,-22.758,8.192,-18.265,4.981,-23.579,-13.270,3.683,9.366,8.738,3.490,-12.680,-25.893
1953,-36.560,-18.865,-14.227,-0.809,7.810,14.148,14.906,11.337,4.396,-6.531,-22.159,-24.150,-5.892,-26.425,-2.409,13.464,-8.098,-5.867,-5.003,-4.659,-21.060,10.519,-15.500,6.465,-23.217,-11.301,7.049,12.288,10.213,3.067,-17.613,-24.068
1954,-29.883,-27.624,-12.666,-8.024,7.294,12.088,13.199,12.196,4.592,-3.840,-14.220,-31.580,-6.539,-27.219,-4.465,12.494,-4.489,-5.920,-6.582,-6.806,-23.297,9.874,-18.720,5.358,-23.391,-16.105,3.786,10.860,9.995,4.316,-16.546,-25.397
1955,-24.784,-24.425,-14.218,-5.292,4.913,10.672,14.812,9.234,4.348,-7.236,-27.890,-28.858,-7.393,-26.929,-4.866,11.573,-10.259,-7.620,-6.481,-6.198,-21.845,8.796,-16.908,4.493,-21.142,-14.645,3.431,10.132,9.465,2.116,-21.328,-23.528
1956,-33.295,-25.905,-15.906,-2.286,7.009,10.974,14.118,10.880,2.825,-11.183,-19.349,-35.080,-8.100,-29.352,-3.728,11.991,-9.236,-7.581,-8.293,-7.964,-26.371,9.161,-20.196,4.620,-25.035,-14.699,5.232,10.700,9.274,0.841,-21.871,-30.014
1957,-24.090,-21.153,-9.946,-1.652,5.712,14.178,13.549,14.294,5.008,-6.728,-13.666,-29.527,-4.502,-26.774,-1.962,14.007,-5.129,-4.964,-5.438,-5.809,-21.924,10.548,-17.493,6.337,-18.396,-10.917,6.080,11.147,10.950,4.191,-16.640,-26.173
1958,-23.154,-22.937,-11.502,0.836,7.034,14.954,15.017,11.475,3.903,-12.525,-20.104,-26.735,-5.311,-25.206,-1.211,13.815,-9.575,-5.544,-5.008,-4.524,-20.157,10.477,-15.240,5.813,-19.197,-11.201,7.608,12.335,10.132,0.951,-19.788,-22.115
1959,-36.641,-18.444,-19.032,-4.585,5.354,12.833,11.499,9.428,3.827,-8.060,-17.897,-23.786,-7.125,-27.273,-6.088,11.253,-7.377,-7.371,-7.555,-7.927,-24.191,8.588,-19.724,4.328,-24.706,-14.020,4.534,9.895,8.251,1.732,-16.581,-27.826
1960,-24.054,-17.722,-17.514,-3.929,8.124,10.593,12.905,10.345,3.341,-5.594,-19.595,-19.976,-5.256,-21.854,-4.440,11.281,-7.283,-5.574,-5.432,-5.638,-20.195,9.062,-16.138,5.112,-19.764,-13.055,4.930,10.541,8.864,2.697,-15.055,-21.912
1961,-23.953,-23.584,-16.420,-4.789,6.374,11.365,13.153,10.205,4.131,-9.364,-23.237,-34.858,-7.582,-22.504,-4.945,11.574,-9.490,-6.341,-6.038,-5.724,-20.706,9.046,-16.273,4.439,-21.319,-14.931,4.317,10.297,9.163,1.657,-22.487,-21.174
1962,-25.773,-17.760,-15.575,-2.945,4.189,10.878,13.760,11.984,2.634,-3.808,-17.715,-24.606,-5.395,-26.130,-4.777,12.207,-6.296,-6.249,-6.709,-7.172,-23.441,8.689,-18.502,5.242,-19.703,-12.094,4.041,9.609,9.459,3.603,-15.376,-27.956
1963,-20.652,-19.496,-13.948,-3.493,6.477,9.254,13.287,12.679,5.260,-4.490,-27.287,-20.787,-5.266,-21.584,-3.655,11.740,-8.839,-5.585,-4.787,-4.730,-19.283,9.391,-14.817,5.568,-18.032,-12.312,4.079,9.673,10.409,4.483,-17.521,-20.991
1964,-29.638,-17.557,-19.548,-4.948,0.561,12.552,12.618,10.328,4.738,-2.980,-20.283,-35.436,-7.466,-22.661,-7.979,11.833,-6.175,-6.245,-6.829,-6.955,-22.963,8.159,-17.751,4.695,-22.248,-14.018,2.722,8.577,9.228,4.029,-19.566,-25.904
