=======================================================================================
ECMWF ERA5 (0.5x0.5 deg)
2m Dewpoint Temperature (deg C)
Values averaged across Specify Point (63.541N; 223.838E)
---------------------------------------------------------------------------------------
This file was generated using Climate Reanalyzer (https://ClimateReanalyzer.org)
Climate Change Institute; University of Maine; USA (https://climatechange.umaine.edu)
=======================================================================================
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Ann,DJF,MAM,JJA,SON,Ann_D-N,Ann_NO,Ann_OS,NDJFM,MJJAS,ONDJFMA,AMJJASO,JFM,FMA,AMJ,MJJ,JAS,ASO,OND,NDJ
1940,-27.712,-25.051,-16.392,-5.086,0.561,4.703,8.518,5.308,3.532,-3.521,-20.721,-20.458,-8.027,-999,-6.972,6.176,-6.904,-999,-999,-999,-999,4.524,-999,2.002,-23.052,-15.510,0.059,4.594,5.786,1.773,-14.900,-999
1941,-26.759,-21.683,-13.529,-3.792,-0.216,6.165,7.566,5.966,-1.945,-6.773,-19.767,-29.317,-8.674,-22.967,-5.846,6.566,-9.495,-7.935,-8.015,-7.744,-20.630,3.507,-15.781,0.996,-20.657,-13.001,0.719,4.505,3.862,-0.917,-18.619,-22.646
1942,-20.602,-16.679,-13.855,-6.501,2.176,5.583,6.872,6.727,3.116,-2.472,-23.975,-34.534,-7.845,-22.200,-6.060,6.394,-7.777,-7.411,-7.060,-7.418,-20.044,4.895,-16.214,2.214,-17.045,-12.345,0.419,4.877,5.572,2.457,-20.327,-23.229
1943,-33.911,-22.506,-19.272,-6.332,-0.006,5.213,6.271,5.676,1.937,-3.406,-10.567,-16.424,-7.777,-30.317,-8.537,5.720,-4.012,-9.287,-10.404,-10.326,-26.840,3.818,-20.429,1.336,-25.230,-16.037,-0.375,3.826,4.628,1.402,-10.132,-30.807
1944,-20.407,-19.136,-16.635,-8.927,-0.043,5.622,7.434,4.980,1.402,-2.823,-16.849,-22.896,-7.356,-18.655,-8.535,6.012,-6.090,-6.817,-6.294,-6.342,-16.634,3.879,-13.643,1.092,-18.726,-14.900,-1.116,4.338,4.606,1.187,-14.189,-15.799
1945,-23.777,-20.564,-13.865,-11.175,-0.629,3.304,5.766,5.144,0.403,-4.732,-25.027,-24.550,-9.142,-22.412,-8.556,4.738,-9.785,-9.004,-8.322,-8.163,-19.590,2.797,-15.993,-0.274,-19.402,-15.201,-2.833,2.814,3.771,0.271,-18.103,-21.174
1946,-26.096,-22.976,-15.615,-7.615,0.758,6.972,6.736,4.141,-0.017,-5.004,-23.303,-35.139,-9.763,-24.540,-7.491,5.950,-9.441,-8.881,-9.024,-9.002,-22.853,3.718,-18.087,0.853,-21.562,-15.402,0.038,4.822,3.620,-0.293,-21.149,-25.224
1947,-32.499,-28.788,-10.116,-7.017,0.652,3.084,7.016,2.026,0.778,-4.257,-11.518,-19.777,-8.368,-32.142,-5.494,4.042,-4.999,-9.648,-10.630,-10.692,-25.969,2.711,-20.267,0.326,-23.801,-15.307,-1.094,3.584,3.273,-0.484,-11.850,-30.314
1948,-24.019,-31.653,-21.793,-13.043,-0.155,5.530,7.723,3.679,0.435,-5.735,-23.202,-36.622,-11.571,-25.150,-11.664,5.644,-9.501,-10.168,-9.194,-9.071,-21.752,3.443,-18.009,-0.224,-25.822,-22.163,-2.556,4.366,3.946,-0.540,-21.853,-18.438
1949,-28.499,-33.816,-13.636,-6.386,-2.804,2.417,6.885,6.728,3.385,-7.057,-12.440,-32.888,-9.843,-32.979,-7.609,5.343,-5.371,-10.154,-11.051,-10.940,-27.155,3.322,-21.128,0.453,-25.317,-17.946,-2.258,2.166,5.666,1.019,-17.462,-29.441
1950,-32.320,-32.575,-15.853,-10.226,-0.411,6.645,7.909,5.654,3.137,-6.714,-29.089,-22.614,-10.538,-32.594,-8.830,6.736,-10.889,-11.394,-10.007,-10.035,-25.215,4.587,-20.480,0.856,-26.916,-19.551,-1.331,4.714,5.567,0.692,-19.472,-25.883
1951,-34.216,-27.130,-22.763,-6.389,0.470,3.257,6.540,5.537,2.265,-10.107,-17.154,-30.572,-10.855,-27.987,-9.561,5.111,-8.332,-10.192,-11.187,-10.904,-27.163,3.614,-21.274,0.225,-28.036,-18.761,-0.887,3.422,4.781,-0.769,-19.278,-28.640
1952,-37.553,-21.858,-18.061,-8.420,-1.834,5.200,8.079,5.296,1.460,-3.234,-11.019,-22.438,-8.698,-29.994,-9.438,6.192,-4.264,-9.376,-9.888,-10.460,-25.040,3.640,-20.532,0.935,-25.824,-16.113,-1.684,3.815,4.945,1.174,-12.230,-28.426
1953,-39.092,-19.413,-18.993,-6.776,2.104,6.489,8.306,6.541,1.339,-6.439,-19.497,-23.600,-9.086,-26.981,-7.888,7.112,-8.199,-8.989,-8.283,-8.015,-22.191,4.956,-17.281,1.652,-25.832,-15.060,0.606,5.633,5.395,0.480,-16.512,-24.183
1954,-34.100,-29.943,-15.853,-13.909,-0.368,4.253,7.568,6.421,0.574,-4.906,-12.887,-28.417,-10.131,-29.214,-10.043,6.081,-5.740,-9.729,-10.280,-10.408,-24.599,3.690,-20.477,-0.052,-26.632,-19.902,-3.341,3.818,4.854,0.696,-15.403,-25.732
1955,-24.879,-26.314,-20.507,-8.801,-2.502,2.846,6.087,4.558,0.487,-7.237,-27.751,-32.294,-11.359,-26.536,-10.603,4.497,-11.500,-11.036,-9.797,-9.603,-22.601,2.295,-18.101,-0.652,-23.900,-18.540,-2.819,2.144,3.711,-0.731,-22.427,-22.061
1956,-32.439,-28.702,-20.535,-8.152,-0.766,5.261,8.397,6.772,0.004,-10.708,-15.155,-33.889,-10.826,-31.145,-9.818,6.810,-8.620,-10.693,-11.743,-11.453,-28.344,3.933,-22.444,0.115,-27.225,-19.130,-1.219,4.297,5.058,-1.311,-19.918,-30.828
1957,-29.534,-24.766,-13.992,-6.383,0.579,5.735,7.408,7.173,2.661,-5.703,-12.660,-26.925,-8.034,-29.396,-6.599,6.772,-5.234,-8.614,-8.822,-9.239,-23.467,4.711,-19.204,1.638,-22.764,-15.047,-0.023,4.574,5.747,1.377,-15.096,-26.193
1958,-21.419,-28.371,-16.327,-4.200,0.569,7.196,7.329,5.778,-0.267,-8.744,-18.331,-25.339,-8.511,-25.571,-6.653,6.768,-9.114,-8.643,-8.170,-7.917,-21.140,4.121,-16.515,1.094,-22.039,-16.299,1.188,5.031,4.280,-1.078,-17.471,-20.335
1959,-39.335,-21.911,-18.955,-9.512,-0.923,5.761,6.302,3.948,1.080,-9.743,-18.505,-21.586,-10.282,-28.862,-9.797,5.337,-9.056,-10.594,-10.580,-10.497,-24.774,3.234,-20.304,-0.441,-26.734,-16.793,-1.558,3.713,3.777,-1.572,-16.611,-27.668
1960,-24.880,-20.391,-20.593,-7.137,-0.993,4.910,6.850,5.098,0.795,-7.029,-19.611,-20.814,-8.650,-22.286,-9.575,5.619,-8.615,-8.714,-8.622,-8.848,-21.191,3.332,-17.548,0.356,-21.955,-16.041,-1.073,3.589,4.248,-0.379,-15.818,-21.657
1961,-25.585,-26.430,-17.333,-10.249,-3.014,4.465,7.158,5.318,0.441,-9.053,-23.848,-36.435,-11.214,-24.276,-10.199,5.647,-10.820,-9.912,-9.559,-9.390,-21.955,2.874,-18.150,-0.705,-23.116,-18.004,-2.933,2.870,4.306,-1.098,-23.112,-22.003
1962,-27.976,-21.904,-20.163,-7.444,-2.667,4.409,7.339,7.892,-0.729,-4.038,-17.542,-23.923,-8.896,-28.772,-10.092,6.546,-7.436,-9.938,-10.464,-10.882,-26.065,3.249,-20.975,0.680,-23.348,-16.504,-1.901,3.027,4.834,1.042,-15.168,-29.420
1963,-25.167,-21.012,-19.352,-8.821,-2.007,2.770,7.887,6.628,1.914,-4.176,-26.963,-21.749,-9.171,-23.367,-10.060,5.762,-9.742,-9.352,-8.567,-8.555,-21.399,3.439,-17.122,0.599,-21.844,-16.395,-2.686,2.883,5.477,1.456,-17.629,-22.211
1964,-29.831,-20.264,-25.406,-9.881,-5.311,5.767,6.781,5.411,1.195,-3.720,-20.001,-37.637,-11.075,-23.948,-13.533,5.986,-7.509,-9.751,-10.331,-10.369,-24.843,2.769,-19.753,0.035,-25.167,-18.517,-3.142,2.412,4.462,0.962,-20.453,-26.181
1965,-33.163,-31.554,-13.268,-8.851,-4.159,2.565,7.629,4.318,1.715,-7.599,-23.631,-27.628,-11.136,-34.118,-8.759,4.837,-9.839,-11.970,-11.667,-11.344,-27.124,2.414,-21.170,-0.626,-25.995,-17.891,-3.482,2.011,4.554,-0.522,-19.620,-30.267
1966,-43.937,-20.659,-18.975,-10.467,-3.191,4.480,5.982,3.177,1.064,-8.578,-25.161,-29.333,-12.133,-30.741,-10.878,4.546,-10.892,-11.991,-11.864,-11.782,-26.966,2.302,-21.842,-1.076,-27.857,-16.700,-3.059,2.424,3.408,-1.446,-21.024,-31.732
1967,-33.275,-26.804,-19.933,-8.385,-1.969,5.795,7.686,6.979,2.322,-5.047,-17.305,-24.294,-9.519,-29.804,-10.096,6.820,-6.677,-9.939,-10.594,-10.888,-26.901,4.163,-21.638,1.055,-26.671,-18.374,-1.519,3.838,5.662,1.418,-15.549,-29.256
1968,-29.586,-21.795,-10.991,-8.323,-0.441,5.917,7.371,6.386,0.888,-6.143,-16.870,-33.782,-8.948,-25.225,-6.585,6.558,-7.375,-8.157,-8.193,-8.102,-20.794,4.024,-16.763,0.808,-20.791,-13.703,-0.949,4.282,4.881,0.377,-18.932,-23.729
1969,-41.594,-24.272,-14.621,-5.534,-1.711,3.855,5.680,1.768,1.234,-2.984,-18.556,-18.748,-9.623,-33.216,-7.288,3.768,-6.769,-10.876,-10.736,-10.999,-26.228,2.165,-20.402,0.330,-26.829,-14.809,-1.130,2.608,2.894,0.006,-13.429,-30.749
