=======================================================================================
ECMWF ERA5 (0.5x0.5 deg)
Total Precipitation (m)
Values averaged across Specify Point (63.541N; 223.838E)
---------------------------------------------------------------------------------------
This file was generated using Climate Reanalyzer (https://ClimateReanalyzer.org)
Climate Change Institute; University of Maine; USA (https://climatechange.umaine.edu)
=======================================================================================
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Ann,DJF,MAM,JJA,SON,Ann_D-N,Ann_NO,Ann_OS,NDJFM,MJJAS,ONDJFMA,AMJJASO,JFM,FMA,AMJ,MJJ,JAS,ASO,OND,NDJ
1940,0.0061,0.0008,0.0111,0.0128,0.0514,0.0328,0.0662,0.0514,0.0437,0.0294,0.0136,0.0222,0.3415,-999,0.0753,0.1505,0.0867,-999,-999,-999,-999,0.2456,-999,0.2878,0.0180,0.0246,0.0970,0.1505,0.1613,0.1245,0.0652,-999
1941,0.0192,0.0046,0.0140,0.0241,0.0442,0.0791,0.0672,0.0215,0.0221,0.0421,0.0429,0.0095,0.3904,0.0460,0.0823,0.1678,0.1071,0.4031,0.3738,0.3611,0.0735,0.2341,0.1270,0.3003,0.0378,0.0427,0.1474,0.1905,0.1108,0.0857,0.0945,0.0549
1942,0.0226,0.0114,0.0235,0.0221,0.0403,0.0533,0.0697,0.0751,0.0453,0.0491,0.0323,0.0183,0.4629,0.0435,0.0859,0.1981,0.1266,0.4540,0.4647,0.4577,0.1099,0.2837,0.1741,0.3548,0.0575,0.0570,0.1157,0.1633,0.1901,0.1694,0.0997,0.0750
1943,0.0250,0.0103,0.0201,0.0170,0.0607,0.0353,0.0545,0.0859,0.0648,0.0441,0.0340,0.0326,0.4843,0.0536,0.0979,0.1757,0.1429,0.4701,0.4683,0.4733,0.1060,0.3012,0.1721,0.3623,0.0554,0.0474,0.1130,0.1505,0.2052,0.1947,0.1107,0.0756
1944,0.0206,0.0205,0.0192,0.0078,0.0208,0.0481,0.0341,0.0741,0.0551,0.0581,0.0294,0.0128,0.4007,0.0737,0.0478,0.1564,0.1426,0.4204,0.4251,0.4110,0.1269,0.2323,0.1787,0.2981,0.0603,0.0474,0.0767,0.1031,0.1634,0.1873,0.1003,0.0873
1945,0.0159,0.0276,0.0254,0.0172,0.0272,0.0379,0.0417,0.0426,0.0663,0.0554,0.0411,0.0257,0.4238,0.0564,0.0697,0.1221,0.1628,0.4110,0.3993,0.4020,0.1112,0.2156,0.1864,0.2882,0.0689,0.0702,0.0822,0.1068,0.1505,0.1642,0.1222,0.0581
1946,0.0188,0.0103,0.0244,0.0242,0.0234,0.0306,0.0553,0.0526,0.0136,0.0456,0.0270,0.0185,0.3442,0.0547,0.0719,0.1385,0.0862,0.3514,0.3654,0.3752,0.1202,0.1754,0.1998,0.2452,0.0534,0.0588,0.0782,0.1093,0.1214,0.1118,0.0912,0.0856
1947,0.0335,0.0036,0.0137,0.0211,0.0375,0.0408,0.0299,0.0425,0.0480,0.0466,0.0350,0.0270,0.3792,0.0556,0.0724,0.1132,0.1296,0.3707,0.3627,0.3618,0.0963,0.1987,0.1631,0.2664,0.0508,0.0384,0.0995,0.1083,0.1204,0.1370,0.1086,0.0791
1948,0.0199,0.0085,0.0072,0.0270,0.0231,0.0645,0.0475,0.0594,0.0592,0.0422,0.0356,0.0223,0.4163,0.0554,0.0573,0.1713,0.1370,0.4210,0.4204,0.4248,0.0976,0.2536,0.1712,0.3228,0.0356,0.0427,0.1146,0.1350,0.1661,0.1607,0.1000,0.0819
1949,0.0337,0.0113,0.0115,0.0418,0.0400,0.0700,0.0420,0.0672,0.0350,0.0240,0.0203,0.0159,0.4127,0.0673,0.0934,0.1792,0.0793,0.4191,0.4345,0.4526,0.1144,0.2542,0.1984,0.3201,0.0565,0.0646,0.1519,0.1520,0.1442,0.1262,0.0602,0.0916
