=======================================================================================
ECMWF ERA5 (0.5x0.5 deg)
2m Temperature (deg C)
Values averaged across Specify Point (63.541N; 223.838E)
---------------------------------------------------------------------------------------
This file was generated using Climate Reanalyzer (https://ClimateReanalyzer.org)
Climate Change Institute; University of Maine; USA (https://climatechange.umaine.edu)
=======================================================================================
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Ann,DJF,MAM,JJA,SON,Ann_D-N,Ann_NO,Ann_OS,NDJFM,MJJAS,ONDJFMA,AMJJASO,JFM,FMA,AMJ,MJJ,JAS,ASO,OND,NDJ
1940,-24.499,-21.616,-12.587,-0.914,6.491,12.185,15.435,11.049,8.010,-1.481,-18.211,-18.005,-3.679,-999,-2.337,12.890,-3.894,-999,-999,-999,-999,10.634,-999,7.254,-19.567,-11.706,5.920,11.370,11.498,5.860,-12.566,-999
1941,-23.694,-18.387,-9.966,0.832,6.489,12.930,14.078,12.143,4.106,-4.767,-17.607,-26.579,-4.202,-20.029,-0.882,13.050,-6.089,-3.487,-3.538,-3.264,-17.653,9.949,-12.702,6.544,-17.349,-9.174,6.750,11.166,10.109,3.827,-16.318,-19.970
1942,-17.991,-13.971,-10.346,-2.184,8.032,13.316,14.028,11.781,7.098,-0.402,-21.297,-31.740,-3.640,-19.514,-1.499,13.042,-4.867,-3.210,-2.902,-3.266,-17.299,10.851,-13.349,7.381,-14.103,-8.834,6.388,11.792,10.969,6.159,-17.813,-20.726
1943,-30.640,-19.243,-15.143,-2.077,6.410,13.193,13.720,11.090,6.610,-0.758,-8.637,-13.981,-3.288,-27.208,-3.603,12.668,-0.929,-4.768,-5.823,-5.793,-23.613,10.205,-17.220,6.884,-21.675,-12.154,5.842,11.108,10.473,5.647,-7.792,-27.892
1944,-17.535,-16.208,-12.735,-4.290,6.044,13.489,14.943,11.238,5.436,-0.698,-14.794,-20.669,-2.981,-15.908,-3.660,13.224,-3.352,-2.424,-1.911,-1.916,-13.819,10.230,-10.592,6.595,-15.492,-11.078,5.081,11.492,10.539,5.326,-12.054,-13.384
1945,-21.043,-17.482,-10.095,-6.071,5.485,11.370,12.957,11.782,4.276,-2.785,-22.338,-21.938,-4.657,-19.731,-3.561,12.036,-6.949,-4.551,-3.922,-3.748,-16.817,9.174,-12.979,5.288,-16.207,-11.216,3.595,9.938,9.672,4.424,-15.687,-18.835
1946,-23.420,-19.519,-11.832,-2.453,7.685,16.066,14.676,11.519,6.327,-3.046,-21.013,-32.198,-4.767,-21.626,-2.200,14.087,-5.910,-3.912,-4.023,-4.001,-19.810,11.255,-14.898,7.253,-18.257,-11.268,7.099,12.809,10.841,4.933,-18.752,-22.565
1947,-29.716,-25.369,-6.816,-2.811,7.454,11.515,15.812,9.590,4.980,-2.269,-9.859,-17.569,-3.755,-29.094,-0.724,12.305,-2.383,-4.974,-5.904,-5.968,-23.022,9.870,-17.281,6.324,-20.634,-11.665,5.386,11.593,10.127,4.100,-9.899,-27.642
1948,-21.424,-27.648,-16.911,-7.696,5.849,12.546,14.301,10.085,4.036,-3.759,-20.872,-33.564,-7.088,-22.214,-6.253,12.311,-6.865,-5.755,-4.837,-4.713,-18.682,9.364,-14.768,5.052,-21.994,-17.418,3.566,10.899,9.474,3.454,-19.398,-16.284
1949,-25.638,-29.894,-9.603,-2.345,2.619,8.871,13.394,12.508,8.245,-4.624,-10.865,-30.035,-5.614,-29.698,-3.109,11.591,-2.415,-5.908,-6.742,-6.670,-23.914,9.127,-17.953,5.524,-21.711,-13.947,3.048,8.295,11.382,5.376,-15.175,-26.691
1950,-29.517,-28.642,-11.791,-4.640,6.183,15.225,14.140,12.824,7.938,-4.644,-26.238,-20.069,-5.769,-29.398,-3.416,14.063,-7.648,-6.600,-5.319,-5.317,-22.170,11.262,-17.159,6.718,-23.317,-15.024,5.589,11.849,11.634,5.373,-16.984,-23.472
