=======================================================================================
ECMWF ERA5 (0.5x0.5 deg)
2m Dewpoint Temperature (deg C)
Values averaged across Specify Point (68.636N; 309.019E)
---------------------------------------------------------------------------------------
This file was generated using Climate Reanalyzer (https://ClimateReanalyzer.org)
Climate Change Institute; University of Maine; USA (https://climatechange.umaine.edu)
=======================================================================================
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Ann,DJF,MAM,JJA,SON,Ann_D-N,Ann_NO,Ann_OS,NDJFM,MJJAS,ONDJFMA,AMJJASO,JFM,FMA,AMJ,MJJ,JAS,ASO,OND,NDJ
1940,-25.219,-20.840,-25.198,-13.406,-8.123,-2.486,0.158,0.132,-4.113,-14.096,-20.608,-20.835,-12.886,-999,-15.576,-0.732,-12.939,-999,-999,-999,-999,-2.886,-999,-5.990,-23.753,-19.815,-8.005,-3.483,-1.274,-6.025,-18.513,-999
1941,-22.036,-22.931,-21.430,-15.167,-5.413,-1.868,0.294,-0.081,-7.228,-9.999,-21.275,-23.632,-12.564,-21.934,-14.003,-0.552,-12.834,-12.331,-12.275,-12.617,-21.568,-2.859,-19.586,-5.637,-22.132,-19.843,-7.483,-2.329,-2.338,-5.769,-18.302,-21.160
1942,-24.524,-23.691,-24.697,-19.490,-4.502,-0.370,1.187,0.196,-4.505,-16.781,-18.936,-22.665,-13.232,-23.949,-16.229,0.337,-13.407,-13.312,-13.507,-12.942,-23.564,-1.599,-21.044,-6.324,-24.304,-22.626,-8.121,-1.228,-1.041,-7.030,-19.461,-23.144
1943,-22.350,-32.837,-29.223,-21.445,-10.237,-2.002,-0.159,-2.059,-5.022,-17.463,-20.749,-21.234,-15.398,-25.951,-20.302,-1.407,-14.411,-15.518,-15.367,-15.310,-25.202,-3.896,-23.463,-8.341,-28.137,-27.835,-11.228,-4.133,-2.413,-8.181,-19.815,-21.317
1944,-29.770,-24.220,-23.188,-14.863,-7.982,-0.983,0.891,-0.881,-5.195,-15.252,-20.911,-26.861,-14.101,-25.075,-15.344,-0.324,-13.786,-13.632,-13.619,-13.803,-23.832,-2.830,-21.641,-6.324,-25.726,-20.757,-7.943,-2.691,-1.728,-7.110,-21.008,-23.918
1945,-22.599,-33.849,-21.818,-17.824,-7.414,-1.715,0.525,0.335,-6.806,-8.449,-20.361,-20.780,-13.396,-27.769,-15.685,-0.285,-11.872,-13.903,-13.949,-14.516,-25.208,-3.015,-22.731,-5.907,-26.089,-24.497,-8.984,-2.868,-1.982,-4.973,-16.530,-23.457
1946,-26.697,-24.854,-19.627,-18.978,-5.078,-1.095,1.451,0.858,-3.559,-9.320,-16.263,-21.540,-12.059,-24.111,-14.561,0.405,-9.714,-11.995,-12.337,-12.264,-22.464,-1.485,-19.964,-5.103,-23.726,-21.153,-8.384,-1.574,-0.417,-4.007,-15.708,-22.613
1947,-22.718,-21.007,-20.249,-16.785,-4.715,-0.131,1.350,0.059,-5.160,-15.364,-18.139,-22.982,-12.153,-21.755,-13.916,0.426,-12.888,-12.033,-11.877,-11.373,-20.355,-1.719,-18.269,-5.821,-21.324,-19.347,-7.210,-1.165,-1.250,-6.821,-18.828,-20.174
1948,-27.527,-25.978,-29.957,-17.979,-9.209,0.257,2.345,0.433,-4.756,-13.122,-22.614,-32.263,-15.031,-25.496,-19.049,1.011,-13.497,-14.258,-13.885,-14.071,-24.917,-2.186,-22.561,-6.005,-27.821,-24.638,-8.977,-2.203,-0.660,-5.815,-22.666,-22.883
1949,-29.115,-32.715,-22.556,-20.880,-8.054,-0.210,1.549,-0.172,-5.816,-14.201,-19.524,-22.765,-14.538,-31.364,-17.163,0.389,-13.181,-15.330,-15.587,-15.497,-27.852,-2.541,-24.752,-6.826,-28.128,-25.384,-9.715,-2.238,-1.480,-6.730,-18.830,-27.997
1950,-27.597,-28.411,-20.332,-16.923,-4.844,-0.494,1.545,1.953,-4.918,-14.483,-17.777,-16.421,-12.392,-26.258,-14.033,1.001,-12.393,-12.920,-13.066,-13.043,-23.726,-1.352,-21.393,-5.452,-25.447,-21.889,-7.420,-1.264,-0.473,-5.816,-16.227,-23.295
1951,-25.386,-29.103,-21.136,-17.014,-3.486,2.062,4.251,2.420,-0.790,-14.201,-14.980,-26.529,-11.991,-23.637,-13.878,2.911,-9.990,-11.149,-11.382,-11.405,-21.965,0.891,-20.189,-3.823,-25.208,-22.417,-6.146,0.942,1.960,-4.190,-18.570,-19.861
1952,-25.122,-25.291,-24.516,-15.713,-2.937,1.565,2.611,1.456,-1.262,-10.824,-13.138,-16.279,-10.788,-25.647,-14.389,1.877,-8.408,-11.642,-11.795,-12.077,-23.288,0.286,-20.907,-3.586,-24.976,-21.840,-5.695,0.413,0.935,-3.543,-13.414,-22.210
1953,-21.980,-24.219,-25.305,-9.932,-4.769,0.473,2.575,0.699,-3.671,-14.773,-20.450,-31.983,-12.778,-20.826,-13.335,1.249,-12.965,-11.469,-10.860,-10.531,-20.185,-0.939,-17.383,-4.200,-23.835,-19.819,-4.743,-0.574,-0.132,-5.915,-22.402,-17.133
1954,-19.664,-26.043,-19.656,-11.989,-2.599,-0.948,0.644,0.001,-6.215,-13.383,-19.725,-26.868,-12.204,-25.897,-11.414,-0.101,-13.108,-12.630,-12.690,-12.806,-23.559,-1.823,-20.651,-4.927,-21.788,-19.229,-5.178,-0.968,-1.857,-6.532,-19.992,-24.032
1955,-28.750,-21.413,-19.800,-21.062,-4.612,-0.131,0.007,-0.690,-6.066,-11.172,-18.983,-24.565,-13.103,-25.677,-15.158,-0.271,-12.074,-13.295,-13.357,-13.541,-23.311,-2.298,-21.572,-6.247,-23.321,-20.758,-8.602,-1.578,-2.250,-5.976,-18.240,-25.114
1956,-26.581,-22.509,-22.587,-11.713,-7.459,-1.417,1.678,0.803,-8.180,-12.829,-22.030,-29.660,-13.540,-24.552,-13.920,0.355,-14.347,-13.116,-12.862,-12.724,-23.045,-2.915,-19.730,-5.588,-23.893,-18.936,-6.863,-2.399,-1.899,-6.735,-21.507,-23.377
1957,-31.923,-28.606,-23.322,-16.779,-7.544,-0.591,-0.423,-1.253,-2.501,-13.157,-17.070,-25.288,-14.038,-30.063,-15.882,-0.756,-10.909,-14.402,-14.816,-14.789,-27.108,-2.462,-23.593,-6.035,-27.950,-22.903,-8.305,-2.852,-1.392,-5.637,-18.505,-27.871
1958,-28.247,-21.046,-23.360,-17.473,-4.062,-0.031,3.489,-1.310,-4.180,-12.910,-24.427,-21.077,-12.886,-24.861,-14.965,0.716,-13.839,-13.237,-12.624,-12.645,-23.002,-1.219,-20.806,-5.211,-24.218,-20.627,-7.189,-0.201,-0.667,-6.133,-19.471,-23.535
1959,-22.560,-29.151,-30.820,-15.687,-5.153,-1.341,1.906,-0.472,-6.625,-11.116,-19.017,-27.056,-13.924,-24.263,-17.220,0.031,-12.253,-13.426,-13.877,-14.027,-25.607,-2.337,-22.376,-5.498,-27.511,-25.220,-7.394,-1.529,-1.730,-6.071,-19.063,-22.688
1960,-24.324,-21.500,-28.492,-21.428,-6.827,0.211,0.436,1.323,-9.771,-7.129,-18.476,-23.740,-13.310,-24.293,-18.916,0.656,-11.792,-13.586,-13.631,-13.964,-24.078,-2.926,-21.848,-6.170,-24.772,-23.807,-9.348,-2.060,-2.671,-5.193,-16.448,-23.465
