=======================================================================================
ECMWF ERA5 (0.5x0.5 deg)
2m Temperature (deg C)
Values averaged across Specify Point (68.636N; 309.019E)
---------------------------------------------------------------------------------------
This file was generated using Climate Reanalyzer (https://ClimateReanalyzer.org)
Climate Change Institute; University of Maine; USA (https://climatechange.umaine.edu)
=======================================================================================
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Ann,DJF,MAM,JJA,SON,Ann_D-N,Ann_NO,Ann_OS,NDJFM,MJJAS,ONDJFMA,AMJJASO,JFM,FMA,AMJ,MJJ,JAS,ASO,OND,NDJ
1940,-20.966,-14.583,-19.801,-10.016,-4.804,0.392,1.861,1.475,-2.037,-9.350,-15.037,-16.538,-9.117,-999,-11.540,1.243,-8.808,-999,-999,-999,-999,-0.623,-999,-3.211,-18.450,-14.800,-4.809,-0.850,0.433,-3.304,-13.642,-999
1941,-18.073,-18.272,-16.753,-11.492,-3.332,0.241,1.742,1.697,-4.593,-4.872,-15.658,-18.812,-9.015,-17.628,-10.526,1.227,-8.374,-8.825,-8.773,-9.147,-16.935,-0.849,-15.074,-2.944,-17.699,-15.506,-4.861,-0.450,-0.384,-2.589,-13.114,-16.550
1942,-19.485,-19.846,-20.018,-15.248,-1.617,2.195,2.790,1.822,-1.675,-11.732,-14.531,-17.564,-9.576,-19.381,-12.294,2.269,-9.313,-9.680,-9.774,-9.202,-18.764,0.703,-16.277,-3.352,-19.783,-18.371,-4.890,1.123,0.979,-3.862,-14.609,-17.985
1943,-16.558,-27.287,-24.569,-16.530,-6.418,0.926,1.982,-0.044,-2.279,-13.653,-16.377,-16.635,-11.454,-20.470,-15.839,0.954,-10.770,-11.531,-11.377,-11.217,-20.102,-1.167,-18.396,-5.145,-22.805,-22.795,-7.341,-1.170,-0.114,-5.325,-15.555,-16.218
1944,-25.076,-19.368,-18.991,-10.253,-4.376,2.009,3.156,1.496,-2.120,-11.391,-16.910,-21.694,-10.293,-20.359,-11.207,2.220,-10.140,-9.872,-9.827,-10.016,-19.289,0.033,-17.193,-3.068,-21.145,-16.204,-4.207,0.263,0.844,-4.005,-16.665,-19.363
1945,-16.330,-29.050,-17.109,-14.107,-4.759,0.790,2.149,2.942,-3.427,-5.074,-15.447,-14.993,-9.535,-22.358,-11.992,1.960,-7.983,-10.093,-10.215,-10.741,-20.218,-0.461,-18.084,-3.069,-20.830,-20.088,-6.025,-0.607,0.554,-1.853,-11.838,-18.311
1946,-22.034,-20.316,-14.420,-14.957,-1.647,4.329,4.174,3.716,0.029,-5.986,-10.835,-15.601,-7.796,-19.114,-10.341,4.073,-5.597,-7.745,-8.129,-8.053,-17.442,2.120,-15.320,-1.477,-18.923,-16.564,-4.091,2.286,2.640,-0.747,-10.807,-17.491
1947,-15.933,-13.218,-15.193,-12.592,-0.863,3.995,5.339,2.496,-1.276,-10.644,-13.051,-17.063,-7.334,-14.917,-9.549,3.944,-8.324,-7.212,-7.027,-6.639,-14.156,1.938,-12.765,-1.935,-14.781,-13.668,-3.153,2.824,2.186,-3.141,-13.586,-14.123
1948,-22.692,-20.851,-25.368,-14.098,-5.870,4.491,6.442,3.949,-0.936,-8.817,-17.848,-26.252,-10.654,-20.202,-15.112,4.961,-9.201,-9.888,-9.489,-9.641,-19.805,1.615,-17.681,-2.120,-22.970,-20.106,-5.159,1.688,3.151,-1.935,-17.639,-17.602
1949,-24.145,-27.009,-17.702,-16.677,-3.705,2.992,3.789,2.225,-2.413,-9.893,-13.804,-17.631,-10.331,-25.802,-12.695,3.002,-8.704,-11.050,-11.387,-11.297,-22.591,0.577,-19.779,-3.383,-22.952,-20.463,-5.797,1.025,1.200,-3.361,-13.776,-22.748
1950,-23.357,-24.126,-16.041,-13.375,-2.401,2.314,3.380,5.256,-0.199,-9.927,-12.914,-11.401,-8.566,-21.705,-10.605,3.650,-7.680,-9.085,-9.159,-9.156,-18.992,1.670,-16.890,-2.136,-21.175,-17.847,-4.487,1.098,2.812,-1.624,-11.414,-18.264
1951,-20.142,-24.127,-16.630,-12.747,0.077,6.176,7.203,5.337,2.589,-9.054,-10.478,-21.398,-7.766,-18.557,-9.767,6.239,-5.647,-6.933,-7.136,-7.209,-17.043,4.276,-15.413,-0.060,-20.299,-17.834,-2.165,4.485,5.043,-0.376,-13.643,-14.819
1952,-20.292,-20.506,-20.030,-12.093,-0.697,5.241,7.051,6.526,1.991,-6.166,-8.629,-11.854,-6.622,-20.732,-10.940,6.273,-4.268,-7.417,-7.571,-7.812,-18.541,4.022,-16.264,0.265,-20.276,-17.543,-2.517,3.865,5.189,0.784,-8.883,-17.389
