=======================================================================================
ECMWF ERA5 (0.5x0.5 deg)
2m Dewpoint Temperature (deg C)
Values averaged across Specify Point (71N; 99.5E)
---------------------------------------------------------------------------------------
This file was generated using Climate Reanalyzer (https://ClimateReanalyzer.org)
Climate Change Institute; University of Maine; USA (https://climatechange.umaine.edu)
=======================================================================================
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Ann,DJF,MAM,JJA,SON,Ann_D-N,Ann_NO,Ann_OS,NDJFM,MJJAS,ONDJFMA,AMJJASO,JFM,FMA,AMJ,MJJ,JAS,ASO,OND,NDJ
1940,-38.020,-34.934,-32.038,-16.117,-6.181,5.912,6.414,6.335,-2.464,-18.369,-29.649,-36.726,-16.320,-999,-18.112,6.221,-16.828,-999,-999,-999,-999,2.003,-999,-3.496,-34.998,-27.696,-5.462,2.048,3.428,-4.833,-28.248,-999
1941,-38.876,-38.689,-33.092,-17.786,-4.841,5.116,10.152,7.494,-1.662,-14.775,-32.074,-38.368,-16.450,-38.097,-18.573,7.587,-16.170,-16.313,-16.111,-16.411,-35.406,3.252,-30.455,-2.329,-36.886,-29.856,-5.837,3.476,5.328,-2.981,-28.406,-35.084
1942,-29.188,-35.763,-32.722,-19.201,-5.578,3.958,9.161,5.028,0.124,-16.464,-32.192,-27.521,-15.030,-34.440,-19.167,6.049,-16.178,-15.934,-15.924,-15.783,-33.623,2.539,-28.870,-3.282,-32.558,-29.229,-6.940,2.514,4.771,-3.771,-25.392,-33.210
1943,-37.554,-28.731,-25.485,-10.926,-6.760,2.941,3.728,6.486,0.175,-12.840,-29.843,-37.080,-14.657,-31.268,-14.390,4.385,-14.169,-13.861,-14.056,-14.359,-30.297,1.314,-25.553,-2.456,-30.590,-21.714,-4.915,-0.030,3.463,-2.059,-26.588,-32.422
1944,-30.071,-32.197,-27.180,-17.730,-5.896,0.942,6.815,3.127,-0.563,-13.801,-26.808,-24.452,-13.984,-33.116,-16.936,3.628,-13.724,-15.037,-15.290,-15.210,-31.274,0.885,-26.706,-3.872,-29.816,-25.702,-7.561,0.620,3.126,-3.746,-21.687,-32.331
1945,-30.638,-29.741,-35.676,-15.941,-5.518,6.396,6.059,3.431,1.196,-14.582,-33.083,-40.093,-15.683,-28.277,-19.045,5.295,-15.490,-14.379,-13.856,-13.791,-29.463,2.313,-25.294,-2.708,-32.018,-27.119,-5.021,2.312,3.562,-3.319,-29.253,-27.299
1946,-40.004,-42.382,-29.725,-15.308,-8.986,2.618,8.109,2.473,-6.001,-16.230,-32.806,-39.593,-18.153,-40.826,-18.006,4.400,-18.346,-18.195,-18.218,-18.080,-37.057,-0.357,-30.740,-4.761,-37.370,-29.138,-7.225,0.580,1.527,-6.586,-29.543,-37.727
1947,-34.958,-40.721,-27.528,-16.708,-5.678,2.582,9.577,5.608,-3.496,-7.903,-32.543,-33.398,-15.431,-38.424,-16.638,5.922,-14.647,-15.947,-15.969,-16.663,-35.121,1.719,-29.792,-2.288,-34.403,-28.319,-6.602,2.160,3.896,-1.930,-24.615,-35.786
1948,-33.818,-38.774,-28.176,-19.573,-6.008,2.411,9.548,5.265,1.400,-9.946,-20.706,-35.019,-14.450,-35.330,-17.919,5.741,-9.751,-14.315,-15.301,-15.131,-33.342,2.523,-27.741,-2.415,-33.590,-28.841,-7.723,1.983,5.404,-1.094,-21.890,-33.253
1949,-32.304,-32.941,-25.726,-17.339,-6.982,-0.075,6.265,6.121,0.530,-10.783,-31.421,-30.326,-14.582,-33.421,-16.682,4.104,-13.891,-14.973,-14.080,-14.010,-29.339,1.172,-24.854,-3.180,-30.324,-25.335,-8.132,-0.264,4.305,-1.378,-24.177,-29.343
1950,-40.367,-36.298,-28.439,-19.759,-5.602,2.748,8.411,4.020,-0.709,-13.692,-30.345,-34.366,-16.200,-35.663,-17.933,5.059,-14.915,-15.863,-15.953,-15.710,-33.370,1.773,-28.199,-3.512,-35.035,-28.165,-7.538,1.852,3.907,-3.461,-26.135,-34.038
1951,-38.498,-40.872,-33.151,-18.338,-7.569,0.630,7.505,3.717,2.218,-9.543,-29.832,-29.167,-16.075,-37.912,-19.686,3.951,-12.386,-16.508,-16.551,-16.897,-35.447,1.300,-29.895,-3.054,-37.507,-30.787,-8.426,0.189,4.480,-1.203,-22.847,-34.403
1952,-38.313,-30.762,-35.235,-19.865,-7.080,2.755,6.237,4.483,1.374,-19.285,-32.502,-38.539,-17.228,-32.747,-20.727,4.492,-16.804,-16.447,-16.224,-15.412,-32.662,1.554,-27.531,-4.483,-34.770,-28.621,-8.063,0.637,4.032,-4.476,-30.109,-32.437
1953,-37.943,-31.759,-26.928,-12.754,-6.888,3.922,12.726,3.582,-2.142,-14.785,-27.890,-28.996,-14.155,-36.080,-15.524,6.743,-14.939,-14.950,-15.334,-15.709,-33.534,2.240,-28.530,-2.334,-32.210,-23.814,-5.240,3.253,4.722,-4.448,-23.890,-36.328
1954,-38.916,-38.721,-28.044,-19.106,-8.673,4.650,6.964,8.400,-4.594,-13.604,-27.408,-28.216,-15.606,-35.544,-18.608,6.671,-15.202,-15.671,-15.711,-15.809,-32.513,1.349,-28.065,-3.709,-35.227,-28.624,-7.710,0.980,3.590,-3.266,-23.076,-31.934
