=======================================================================================
ECMWF ERA5 (0.5x0.5 deg)
2m Temperature (deg C)
Values averaged across Specify Point (71N; 99.5E)
---------------------------------------------------------------------------------------
This file was generated using Climate Reanalyzer (https://ClimateReanalyzer.org)
Climate Change Institute; University of Maine; USA (https://climatechange.umaine.edu)
=======================================================================================
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Ann,DJF,MAM,JJA,SON,Ann_D-N,Ann_NO,Ann_OS,NDJFM,MJJAS,ONDJFMA,AMJJASO,JFM,FMA,AMJ,MJJ,JAS,ASO,OND,NDJ
1940,-34.415,-30.958,-28.538,-12.787,-3.585,11.015,11.703,11.956,3.690,-14.829,-25.992,-32.423,-12.097,-999,-14.970,11.558,-12.377,-999,-999,-999,-999,6.956,-999,1.023,-31.304,-24.094,-1.786,6.377,9.116,0.272,-24.415,-999
1941,-34.999,-34.705,-29.378,-14.705,0.659,12.000,16.213,10.910,1.382,-12.394,-29.119,-34.798,-12.411,-34.042,-14.475,13.041,-13.377,-12.213,-11.953,-12.156,-31.500,8.233,-26.719,2.009,-33.027,-26.263,-0.682,9.624,9.502,-0.034,-25.437,-31.138
1942,-26.077,-32.350,-29.166,-16.258,-2.902,8.587,13.450,8.660,2.911,-13.195,-28.697,-24.141,-11.598,-31.075,-16.109,10.232,-12.994,-12.486,-12.521,-12.455,-30.302,6.141,-25.737,0.179,-29.198,-25.925,-3.524,6.378,8.340,-0.541,-22.011,-29.998
1943,-33.816,-25.360,-21.942,-7.655,-3.992,9.004,10.464,10.188,3.039,-9.854,-26.690,-33.563,-10.848,-27.772,-11.196,9.885,-11.168,-10.063,-10.230,-10.509,-26.791,5.741,-22.115,1.599,-27.039,-18.319,-0.881,5.158,7.897,1.124,-23.369,-28.885
1944,-26.775,-28.766,-23.921,-14.317,-3.438,4.970,11.914,6.974,1.673,-11.596,-23.933,-21.696,-10.743,-29.701,-13.892,7.953,-11.286,-11.732,-11.961,-11.816,-27.943,4.419,-23.412,-0.546,-26.487,-22.335,-4.262,4.482,6.854,-0.983,-19.075,-29.009
1945,-27.408,-26.054,-32.199,-12.931,-3.066,11.607,14.137,8.696,4.012,-11.931,-29.861,-36.327,-11.777,-25.053,-16.065,11.480,-12.593,-10.558,-10.064,-10.036,-26.258,7.077,-22.260,1.503,-28.554,-23.728,-1.463,7.559,8.948,0.259,-26.040,-24.346
1946,-36.201,-38.527,-26.609,-12.611,-6.027,6.066,13.496,5.712,-3.874,-13.376,-29.468,-36.593,-14.834,-37.019,-15.083,8.425,-15.573,-14.812,-14.845,-14.725,-33.505,3.075,-27.438,-1.516,-33.779,-25.916,-4.191,4.512,5.112,-3.846,-26.479,-34.130
1947,-31.658,-37.039,-23.659,-13.877,-2.716,6.524,14.359,11.223,-0.673,-4.949,-28.910,-29.946,-11.777,-35.096,-13.418,10.702,-11.511,-12.331,-12.377,-13.079,-31.683,5.743,-26.524,1.413,-30.785,-24.859,-3.356,6.056,8.303,1.867,-21.268,-32.573
1948,-30.391,-35.240,-24.618,-16.536,-3.770,7.008,15.590,9.707,3.921,-7.624,-17.163,-31.130,-10.854,-31.859,-14.975,10.769,-6.955,-10.755,-11.734,-11.511,-29.821,6.491,-24.370,1.185,-30.083,-25.464,-4.433,6.276,9.739,2.001,-18.639,-29.749
1949,-28.706,-29.444,-22.562,-14.234,-4.431,3.050,11.369,9.549,4.239,-7.731,-28.336,-27.488,-11.227,-29.760,-13.742,7.989,-10.609,-11.531,-10.600,-10.591,-25.801,4.755,-21.552,0.259,-26.904,-22.080,-5.205,3.329,8.386,2.019,-21.185,-25.666
