=======================================================================================
ECMWF ERA5 (0.5x0.5 deg)
2m Dewpoint Temperature (deg C)
Values averaged across Specify Point (69.11N; 308.968E)
---------------------------------------------------------------------------------------
This file was generated using Climate Reanalyzer (https://ClimateReanalyzer.org)
Climate Change Institute; University of Maine; USA (https://climatechange.umaine.edu)
=======================================================================================
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Ann,DJF,MAM,JJA,SON,Ann_D-N,Ann_NO,Ann_OS,NDJFM,MJJAS,ONDJFMA,AMJJASO,JFM,FMA,AMJ,MJJ,JAS,ASO,OND,NDJ
1940,-25.936,-21.870,-27.460,-15.049,-9.500,-3.025,-0.789,-0.821,-5.845,-15.642,-22.661,-21.078,-14.140,-999,-17.336,-1.545,-14.716,-999,-999,-999,-999,-3.996,-999,-7.239,-25.089,-21.460,-9.191,-4.438,-2.485,-7.436,-19.794,-999
1941,-22.048,-24.343,-22.943,-15.772,-5.860,-2.163,-0.415,-1.264,-9.242,-11.429,-22.959,-24.429,-13.572,-22.490,-14.859,-1.281,-14.543,-13.293,-13.268,-13.619,-22.615,-3.789,-20.641,-6.592,-23.111,-21.020,-7.932,-2.813,-3.640,-7.312,-19.605,-21.929
1942,-24.649,-24.562,-26.781,-22.027,-6.283,-0.880,0.140,-0.800,-5.989,-18.839,-20.501,-24.361,-14.628,-24.547,-18.364,-0.513,-15.110,-14.633,-14.838,-14.221,-24.676,-2.763,-22.405,-7.811,-25.331,-24.457,-9.730,-2.341,-2.217,-8.543,-21.234,-24.012
1943,-23.688,-34.131,-30.968,-23.830,-12.311,-2.893,-1.106,-3.594,-6.788,-20.037,-22.685,-22.598,-17.052,-27.393,-22.370,-2.531,-16.503,-17.199,-17.017,-16.917,-26.730,-5.338,-25.188,-10.080,-29.596,-29.643,-13.011,-5.437,-3.829,-10.139,-21.773,-22.850
1944,-30.067,-25.505,-24.241,-17.789,-9.267,-1.767,-0.140,-3.098,-7.025,-16.463,-22.190,-28.394,-15.496,-26.057,-17.099,-1.668,-15.226,-15.013,-15.054,-15.352,-25.019,-4.259,-23.274,-7.936,-26.604,-22.512,-9.607,-3.725,-3.421,-8.862,-22.349,-25.116
1945,-24.378,-34.751,-24.267,-19.658,-8.631,-2.627,-0.027,-0.925,-9.052,-8.406,-21.244,-22.771,-14.728,-29.174,-17.519,-1.193,-12.901,-15.197,-15.276,-15.947,-26.796,-4.253,-24.300,-7.047,-27.799,-26.225,-10.305,-3.762,-3.335,-6.128,-17.473,-24.988
1946,-26.328,-25.749,-21.121,-21.226,-6.033,-2.204,-0.252,-1.701,-5.128,-9.576,-18.043,-22.643,-13.334,-24.949,-16.127,-1.386,-10.915,-13.344,-13.611,-13.514,-23.443,-3.064,-20.978,-6.588,-24.399,-22.699,-9.821,-2.830,-2.360,-5.468,-16.754,-23.447
1947,-23.036,-22.743,-23.643,-19.130,-6.428,-1.551,-0.377,-1.691,-7.837,-16.618,-19.887,-24.683,-13.969,-22.808,-16.401,-1.206,-14.781,-13.799,-13.645,-13.058,-22.022,-3.577,-19.831,-7.662,-23.141,-21.839,-9.036,-2.785,-3.302,-8.715,-20.396,-21.241
1948,-28.982,-26.605,-31.426,-20.049,-11.301,-1.714,0.346,-2.011,-8.074,-14.722,-25.149,-34.107,-16.983,-26.757,-20.925,-1.126,-15.982,-16.197,-15.759,-15.917,-26.317,-4.551,-24.036,-8.218,-29.004,-26.027,-11.021,-4.223,-3.246,-8.269,-24.659,-24.517
1949,-29.792,-33.300,-23.919,-21.929,-10.343,-1.837,-0.061,-1.631,-7.590,-15.811,-21.409,-24.144,-15.980,-32.400,-18.730,-1.176,-14.936,-16.811,-17.122,-17.032,-29.254,-4.292,-26.131,-8.457,-29.004,-26.383,-11.370,-4.080,-3.094,-8.344,-20.455,-29.683
1950,-27.138,-28.692,-21.216,-18.061,-5.745,-1.229,0.458,0.193,-7.459,-14.581,-18.595,-16.446,-13.209,-26.658,-15.008,-0.193,-13.545,-13.851,-14.085,-14.188,-24.520,-2.756,-22.353,-6.632,-25.682,-22.657,-8.345,-2.172,-2.269,-7.282,-16.541,-24.230
1951,-24.703,-28.681,-22.929,-18.543,-4.794,0.019,1.372,0.477,-3.651,-15.269,-14.553,-25.949,-13.100,-23.277,-15.422,0.623,-11.158,-12.308,-12.645,-12.588,-22.271,-1.316,-20.640,-5.770,-25.437,-23.384,-7.773,-1.134,-0.601,-6.148,-18.590,-19.915
1952,-24.131,-24.723,-25.288,-16.640,-3.861,-0.175,0.716,-0.378,-2.374,-11.019,-12.310,-15.295,-11.290,-24.934,-15.263,0.054,-8.568,-12.178,-12.365,-12.719,-22.929,-1.214,-20.936,-4.819,-24.714,-22.217,-6.892,-1.107,-0.679,-4.590,-12.875,-21.544
1953,-21.060,-23.989,-25.989,-11.522,-6.115,-1.138,0.540,-1.043,-4.864,-14.685,-20.015,-31.016,-13.408,-20.115,-14.542,-0.547,-13.188,-12.098,-11.456,-11.150,-19.729,-2.524,-17.312,-5.547,-23.679,-20.500,-6.258,-2.238,-1.789,-6.864,-21.905,-16.222
1954,-20.445,-27.002,-21.290,-13.379,-3.493,-1.434,-0.327,-1.772,-9.250,-14.514,-20.694,-27.468,-13.422,-26.154,-12.721,-1.178,-14.819,-13.718,-13.662,-13.676,-23.954,-3.255,-21.119,-6.310,-22.913,-20.557,-6.102,-1.751,-3.783,-8.512,-20.892,-23.825
1955,-29.588,-22.269,-21.046,-22.256,-5.887,-0.809,-0.643,-2.163,-8.974,-12.731,-19.702,-27.802,-14.489,-26.441,-16.396,-1.205,-13.802,-14.461,-14.544,-14.692,-24.213,-3.695,-22.548,-7.637,-24.301,-21.857,-9.650,-2.446,-3.927,-7.956,-20.078,-25.916
1956,-27.371,-23.671,-23.769,-14.332,-8.518,-3.308,-0.167,-1.550,-10.498,-13.634,-22.218,-29.420,-14.871,-26.281,-15.540,-1.675,-15.450,-14.736,-14.527,-14.452,-24.463,-4.808,-21.340,-7.430,-24.937,-20.591,-8.719,-3.998,-4.072,-8.561,-21.757,-24.958
1957,-31.894,-30.725,-25.901,-18.941,-10.397,-1.841,-1.147,-3.495,-4.236,-13.940,-17.527,-27.138,-15.599,-30.680,-18.413,-2.161,-11.901,-15.789,-16.180,-16.154,-28.031,-4.223,-24.676,-7.714,-29.506,-25.189,-10.393,-4.462,-2.959,-7.224,-19.535,-27.844
1958,-28.823,-21.828,-24.690,-19.386,-5.994,-1.523,0.239,-3.666,-6.650,-14.272,-26.700,-22.370,-14.638,-25.930,-16.690,-1.650,-15.874,-15.036,-14.271,-14.244,-24.001,-3.519,-21.905,-7.321,-25.114,-21.968,-8.967,-2.426,-3.359,-8.196,-21.114,-24.496
1959,-24.050,-30.153,-32.266,-18.146,-6.466,-2.241,0.224,-2.313,-9.138,-12.052,-20.505,-28.814,-15.493,-25.525,-18.959,-1.444,-13.898,-14.956,-15.473,-15.658,-27.108,-3.987,-23.994,-7.162,-28.823,-26.855,-8.951,-2.828,-3.743,-7.835,-20.457,-24.374
1960,-25.800,-22.270,-29.994,-22.909,-7.907,-1.209,-1.031,-0.513,-12.180,-8.629,-20.671,-25.865,-14.915,-25.628,-20.270,-0.918,-13.827,-15.161,-15.147,-15.432,-25.477,-4.568,-23.192,-7.768,-26.021,-25.057,-10.675,-3.383,-4.575,-7.107,-18.388,-25.040
1961,-25.866,-34.949,-32.851,-21.567,-6.426,-3.356,-0.847,-2.655,-6.869,-15.811,-25.707,-27.322,-17.019,-28.894,-20.282,-2.286,-16.129,-16.898,-16.478,-15.879,-28.041,-4.031,-24.343,-8.219,-31.222,-29.789,-10.450,-3.543,-3.457,-8.445,-22.947,-24.134
