=======================================================================================
ECMWF ERA5 (0.5x0.5 deg)
2m Temperature (deg C)
Values averaged across Specify Point (69.11N; 308.968E)
---------------------------------------------------------------------------------------
This file was generated using Climate Reanalyzer (https://ClimateReanalyzer.org)
Climate Change Institute; University of Maine; USA (https://climatechange.umaine.edu)
=======================================================================================
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Ann,DJF,MAM,JJA,SON,Ann_D-N,Ann_NO,Ann_OS,NDJFM,MJJAS,ONDJFMA,AMJJASO,JFM,FMA,AMJ,MJJ,JAS,ASO,OND,NDJ
1940,-21.833,-15.958,-21.885,-11.520,-6.382,-0.620,0.638,0.432,-3.812,-10.920,-15.940,-16.163,-10.330,-999,-13.262,0.150,-10.224,-999,-999,-999,-999,-1.949,-999,-4.598,-19.892,-16.454,-6.174,-2.121,-0.914,-4.767,-14.341,-999
1941,-18.510,-20.008,-18.511,-12.244,-4.029,-0.381,0.898,0.360,-6.778,-6.546,-15.844,-18.939,-10.044,-18.227,-11.595,0.293,-9.723,-9.813,-9.821,-10.186,-17.826,-1.986,-16.042,-4.103,-19.010,-16.921,-5.551,-1.170,-1.840,-4.322,-13.776,-16.871
1942,-20.005,-21.008,-21.832,-17.448,-3.747,0.851,1.235,0.443,-3.330,-13.931,-15.361,-17.617,-10.979,-19.984,-14.342,0.843,-10.874,-11.089,-11.130,-10.514,-19.525,-0.910,-17.374,-5.132,-20.948,-20.096,-6.781,-0.554,-0.550,-5.606,-15.637,-18.262
1943,-17.550,-28.455,-25.998,-18.753,-8.711,-0.633,0.448,-1.841,-4.205,-15.167,-17.031,-17.200,-12.925,-21.208,-17.821,-0.675,-12.134,-12.959,-12.820,-12.717,-20.997,-2.988,-19.667,-6.980,-24.001,-24.402,-9.366,-2.965,-1.866,-7.071,-16.466,-16.843
1944,-25.167,-20.628,-19.636,-12.751,-5.917,0.599,1.623,-0.584,-4.175,-12.567,-17.087,-22.366,-11.555,-20.998,-12.768,0.546,-11.276,-11.124,-11.119,-11.336,-19.932,-1.691,-18.226,-4.825,-21.810,-17.671,-6.023,-1.232,-1.045,-5.775,-17.340,-19.799
1945,-18.277,-30.140,-19.390,-15.855,-6.158,-0.522,1.072,1.520,-5.132,-5.125,-15.215,-16.268,-10.791,-23.594,-13.801,0.690,-8.491,-11.299,-11.455,-12.075,-21.452,-1.844,-19.383,-4.314,-22.602,-21.795,-7.511,-1.869,-0.847,-2.912,-12.203,-19.243
1946,-21.553,-21.533,-15.939,-16.830,-2.891,1.191,0.844,-0.013,-2.223,-6.322,-12.335,-15.939,-9.462,-19.785,-11.887,0.674,-6.960,-9.489,-9.729,-9.630,-18.102,-0.618,-16.066,-3.749,-19.675,-18.101,-6.177,-0.285,-0.464,-2.853,-11.532,-17.679
1947,-16.478,-15.312,-18.347,-14.745,-3.212,0.319,0.910,-0.258,-4.663,-12.246,-13.842,-17.911,-9.649,-15.910,-12.101,0.324,-10.250,-9.484,-9.359,-8.865,-15.682,-1.381,-14.211,-4.842,-16.712,-16.135,-5.879,-0.661,-1.337,-5.722,-14.666,-14.917
1948,-24.020,-21.744,-26.579,-15.956,-7.589,0.157,1.534,0.142,-4.380,-10.403,-18.628,-26.189,-12.804,-21.225,-16.708,0.611,-11.137,-12.115,-11.716,-11.869,-20.819,-2.027,-18.899,-5.213,-24.114,-21.426,-7.796,-1.966,-0.901,-4.880,-18.407,-18.591
1949,-24.452,-27.026,-19.054,-17.878,-5.939,1.193,1.855,0.609,-3.866,-11.212,-14.236,-17.873,-11.490,-25.889,-14.290,1.219,-9.771,-12.183,-12.549,-12.482,-23.070,-1.230,-20.519,-5.034,-23.511,-21.319,-7.541,-0.964,-0.467,-4.823,-14.440,-23.090
1950,-23.043,-24.980,-16.852,-14.300,-3.608,0.912,1.923,2.142,-3.718,-9.757,-12.955,-11.075,-9.609,-21.965,-11.587,1.659,-8.810,-10.176,-10.282,-10.404,-19.397,-0.470,-17.499,-3.772,-21.625,-18.711,-5.665,-0.257,0.116,-3.778,-11.263,-18.384
1951,-19.292,-24.000,-18.017,-13.981,-1.624,1.451,2.677,1.962,-0.936,-11.349,-9.538,-19.408,-9.338,-18.122,-11.207,2.030,-7.274,-8.643,-8.928,-8.796,-17.068,0.706,-15.582,-3.114,-20.436,-18.666,-4.718,0.835,1.234,-3.441,-13.432,-14.441
1952,-19.279,-20.334,-20.702,-12.814,-1.799,1.248,2.706,1.872,0.176,-6.394,-8.043,-10.536,-7.825,-19.673,-11.772,1.942,-4.753,-8.564,-8.689,-9.102,-17.852,0.841,-16.203,-2.144,-20.105,-17.950,-4.455,0.718,1.585,-1.449,-8.324,-16.075
1953,-16.302,-19.586,-21.348,-7.833,-2.094,0.423,1.789,1.198,-2.212,-9.929,-14.749,-24.881,-9.627,-15.475,-10.425,1.137,-8.963,-8.432,-7.873,-7.578,-15.163,-0.179,-12.863,-2.665,-19.079,-16.256,-3.168,0.039,0.259,-3.648,-16.519,-11.627
1954,-15.229,-22.601,-16.897,-8.760,-0.976,0.326,1.115,0.346,-5.352,-10.062,-14.497,-21.677,-9.522,-20.903,-8.878,0.596,-9.970,-9.789,-9.810,-9.799,-18.871,-0.908,-16.149,-3.338,-18.242,-16.086,-3.137,0.155,-1.297,-5.023,-15.412,-18.286
1955,-24.161,-17.323,-16.745,-17.661,-3.198,1.038,1.337,-0.199,-5.279,-8.482,-13.763,-20.082,-10.377,-21.054,-12.535,0.725,-9.175,-10.509,-10.571,-10.702,-18.881,-1.260,-17.447,-4.635,-19.410,-17.243,-6.607,-0.275,-1.380,-4.653,-14.109,-20.112
1956,-21.874,-17.781,-19.688,-10.088,-5.065,-1.164,0.612,0.368,-6.630,-9.989,-17.437,-23.797,-11.044,-19.912,-11.614,-0.061,-11.352,-10.735,-10.429,-10.303,-18.637,-2.376,-15.965,-4.565,-19.781,-15.852,-5.439,-1.873,-1.883,-5.417,-17.074,-18.573
1957,-26.687,-24.290,-19.575,-14.839,-5.467,0.335,0.670,-1.175,-1.387,-10.536,-12.461,-20.668,-11.340,-24.925,-13.294,-0.057,-8.128,-11.601,-12.016,-11.970,-22.357,-1.405,-19.516,-4.629,-23.517,-19.568,-6.657,-1.488,-0.631,-4.366,-14.555,-22.640
1958,-23.558,-17.025,-19.961,-15.258,-2.619,0.852,1.941,-1.113,-3.572,-10.471,-19.594,-15.542,-10.493,-20.417,-12.613,0.560,-11.212,-10.920,-10.326,-10.331,-18.734,-0.902,-17.067,-4.320,-20.181,-17.415,-5.675,0.058,-0.914,-5.052,-15.202,-18.895
1959,-17.887,-24.819,-27.853,-14.161,-3.451,-0.503,1.177,-0.605,-6.325,-8.037,-14.274,-21.580,-11.527,-19.416,-15.155,0.023,-9.545,-11.023,-11.467,-11.669,-21.139,-1.942,-18.618,-4.558,-23.519,-22.278,-6.038,-0.926,-1.918,-4.989,-14.630,-17.674
1960,-19.429,-17.230,-25.135,-17.857,-4.850,0.328,0.745,1.683,-8.890,-3.570,-14.056,-19.372,-10.636,-19.413,-15.947,0.919,-8.839,-10.820,-10.838,-11.211,-19.530,-2.197,-17.649,-4.630,-20.598,-20.074,-7.460,-1.259,-2.154,-3.592,-12.333,-18.428
1961,-20.046,-30.575,-28.036,-16.311,-4.029,-0.951,0.938,-0.533,-4.445,-11.898,-19.939,-19.819,-12.970,-23.331,-16.125,-0.182,-12.094,-12.933,-12.443,-11.749,-22.417,-1.804,-18.852,-5.318,-26.219,-24.974,-7.097,-1.347,-1.347,-5.625,-17.218,-17.825
1962,-20.322,-21.415,-14.087,-11.586,-3.532,-1.552,0.836,-0.878,-4.176,-12.024,-12.545,-17.379,-9.888,-20.518,-9.735,-0.531,-9.582,-10.092,-10.708,-10.697,-19.116,-1.860,-17.009,-4.702,-18.608,-15.696,-5.556,-1.416,-1.406,-5.693,-13.983,-20.026
